,_Player_,_Born_,_Squad_,defense_pca0,defense_pca1,touches_pca0,touches_pca1,passing_pca0,passing_pca1,progres_pca0,progres_pca1,attack_pca0,attack_pca1,attack_pca2,misc_pca0,misc_pca1
1,Sargis Adamyan,1993,Köln,-1.6461928422539898,0.8025682937065894,-1.473538378184223,-0.6364508995561339,-1.7201337277424764,-0.7522978103302523,-0.7513298453231034,-1.04561701397114,-1.3107375631019913,-0.17507084693854844,-0.9519923148737665,-0.36043983681172936,0.900742438512412
2,Karim Adeyemi,2002,Dortmund,-1.2784838315154656,0.323790228079625,-1.3408010110726452,-0.016880740027763567,-1.3662172967498538,-0.3775527186045499,1.1310717734427378,-0.8204515134213322,0.5054162696612159,-2.033656874656531,2.062019082694703,-0.6755463792265171,0.32749965439418866
3,Amine Adli,2000,Leverkusen,-0.7494217191020931,1.718617455986248,-1.4142212659390205,0.3402014274340209,-1.3269812101608263,-0.14179019162059125,0.7217099799017369,-0.8603887452556579,1.1223621913408952,-1.5624902360623834,0.05860131696533773,0.8918089466643865,-0.48554767097311197
5,Naouirou Ahamada,2002,Stuttgart,-1.2781549538211454,0.34981566884186566,-0.8815431564440718,-0.8469749292088422,-1.1163102066304182,-0.3271951536207344,-0.15726102363516778,-0.2723614018462711,-1.1052632645466547,-0.14755272088690788,0.6964691211755032,-0.9612210140162722,0.5556851896617175
6,Ludovic Ajorque,1994,Mainz 05,-2.1710167438410046,-0.19293766019536074,-1.4834197019244009,0.3515072099216483,-1.4216928768963362,-0.18340124820961262,-0.5628503970632952,-0.8176294265856322,-0.6669521016561145,-0.9087433124498514,-1.14161243221164,1.107355962894591,-1.2976189295592286
7,Kevin Akpoguma,1995,Hoffenheim,3.826129472969621,0.20115596359543242,2.0342165053692174,-0.2771632726766321,0.2059219769706619,1.0877332320959907,-0.5570791174369402,0.7522369325900775,-1.7122503616826685,0.42608508826234126,-0.6060086641959189,-0.3780622426524639,-1.5916071465607993
12,Nadiem Amiri,1996,Leverkusen,-1.448021907047213,0.18593953948373676,-0.9207916564923775,-0.9832472793165447,-1.0919167189082393,-0.19410090477461353,-0.6394530239156434,-0.4898435239767953,-0.1602546051626438,0.44295914560851624,-0.8569380492242566,-0.11381806117223997,1.3113644457802764
13,Robert Andrich,1994,Leverkusen,3.0659710202070403,0.4511668674952677,1.3117334961140474,-0.09959506526363404,0.45522801338471464,0.882018484428035,-1.3338454033464278,0.5685929028207675,-0.5778250881655472,-0.6883839545559175,3.727968927783508,-0.3160894283541859,-1.8201505097200563
14,Angeliño,1997,Hoffenheim,1.5875992937191143,-0.28596959429629326,0.8988529794713676,1.3562537650608795,6.417837369834487,-2.2471853425120942,0.642261441681757,0.2382819290774981,3.66228208118311,3.0672446030784184,0.7927405565293562,0.7134518732759545,0.5816112715611114
15,Waldemar Anton,1996,Stuttgart,2.622928089920392,-1.2756400161378376,3.2947476382193406,0.9068052154410904,1.582361706678582,2.249501282370081,0.6308499612214261,2.3221393289512693,-0.7153142014355469,0.5808253601648293,-0.831352837456586,0.13283581997243085,-1.5634628798181702
16,Christopher Antwi-Adjei,1994,Bochum,-0.8892709411660082,0.9826344608608613,-1.4070605324890468,1.73082888313466,2.528996880804853,-2.0928518069881865,5.272570702757618,-0.4715734163371423,4.241051349518412,-0.9300742217530061,-1.8787915987635588,3.542123843950636,1.637516488910756
18,Maximilian Arnold,1994,Wolfsburg,2.3957516789906204,0.7539835297709252,1.6099869954845916,0.5776222945279598,2.5921250816975756,2.327396966815086,-0.4800469573385181,1.4698371843963673,6.937127413774967,7.0624231284548555,-1.069113807085381,-0.369632453128165,-1.086842994597885
