,_Player_,defense_Blocks_Blocks,defense_Tackles_Tkl,defense_Tackles_TklW,defense_Tackles_Def 3rd,defense_Tackles_Mid 3rd,defense_Tackles_Att 3rd,defense__Int,defense__Clr,possession_Touches_Def Pen,possession_Touches_Def 3rd,possession_Touches_Mid 3rd,possession_Touches_Att 3rd,possession_Touches_Att Pen,possession_Touches_Touches,passing_Total_Att,passing_Short_Att,passing_Medium_Att,passing_Long_Att,passing__KP,passing__CrsPA,passing__PrgP,possession_Carries_PrgDist,possession_Carries_TotDist,possession_Receiving_Rec,possession_Receiving_PrgR,possession_Take-Ons_Att,possession_Take-Ons_Succ,gca_SCATypes_TO,gca_SCATypes_Sh,gca_SCATypes_Fld,gca_SCATypes_Def,gca_SCATypes_PassLive,gca_SCATypes_PassDead,shooting_Standard_Dist,shooting_Expected_npxG,playingtime_PlayingTime_Min,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_AerialDuels_Won,misc_AerialDuels_Lost,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggressiion,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Teamwork,Work Rate,Positioning,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength
0,Brenden Aaronson,0.19999999999999993,0.27514231499051234,0.11176470588235299,0.1716738197424893,0.19736842105263153,0.9090909090909092,-0.8561643835616438,-0.8962962962962963,-0.807820299500832,-0.5802332037756802,-0.15697519338490262,0.5260416666666666,0.5302325581395348,-0.153428093645485,-0.2304945268224517,0.007596961215513737,-0.4632324026740071,-0.6440677966101694,0.6153846153846154,-0.20253164556962025,0.07103825136612024,0.4440753594447199,0.3885689290661223,-0.010006189395502315,0.7580496780128796,2.3067484662576687,2.416267942583732,4.25,0.28571428571428564,-1.0,-1.0,0.8556034482758621,-0.7529411764705882,0.07993292342090545,0.2574850299401195,-0.08074212271973462,-0.17539267015706803,0.6509433962264152,0.7213114754098361,-0.521891418563923,-0.4042553191489362,11,12,14,11,13,8,8,11,6,8,14,10,9,13,12,12,13,12,11,13,12,11,11,7,11,13,15,8,16,15,13,9,13,15,14,10
1,Sargis Adamyan,-0.3783231083844581,-0.5544388609715243,-0.5302197802197802,-0.8808777429467085,-0.25,0.13999999999999993,-0.6812080536912751,-0.821954484605087,-0.8788844621513944,-0.8977578475336323,-0.6389378303548956,-0.3677514068999266,0.5858747993579454,-0.6587022856813863,-0.7375191871939186,-0.6712076583210603,-0.785575736201728,-0.9023972602739726,-0.23232323232323232,-1.0,-0.6739752144899904,-0.7452050522376423,-0.7012209257398965,-0.6640904260457927,-0.21687929342492634,-0.3006134969325153,-0.4242424242424242,-0.40624999999999994,-0.6346153846153846,1.5333333333333334,0.9000000000000001,-0.18677042801556426,-1.0,-0.3260869565217393,1.442006269592476,-0.4816240335161279,-0.14070351758793964,-0.2840579710144928,1.8679245283018873,-0.5119266055045872,0.3976143141153082,9,11,14,10,12,9,10,12,8,6,12,11,8,13,14,10,13,11,10,14,11,13,15,6,14,10,14,7,14,13,15,11,11,16,13,10
2,Karim Adeyemi,-0.4685990338164251,-0.3869731800766284,-0.17888563049853376,-0.36170212765957444,-0.5833333333333334,0.25000000000000006,-0.7560975609756098,-0.8287671232876712,-0.8415213946117274,-0.7787042976266838,-0.6831904584420425,-0.11431915723761221,0.4840989399293285,-0.5815631994883742,-0.6726874657909141,-0.5929136826234451,-0.7726650232812928,-0.8157625383828045,-0.5148247978436657,-0.5454545454545455,-0.6285714285714286,-0.37540004267121824,-0.32975014929933477,-0.5883761568830496,0.4065934065934066,0.7543859649122806,0.19205298013245037,0.11111111111111104,-0.31034482758620685,2.076923076923077,-1.0,-0.5846645367412141,-0.7014925373134329,-0.16043703277745835,0.20481927710843364,-0.3757051523128996,0.3605442176870749,0.0410958904109589,-0.48717948717948717,-0.20227920227920232,-0.5384615384615384,8,9,14,13,12,7,8,9,3,5,9,13,6,13,13,12,12,10,13,12,10,19,12,7,15,12,14,5,18,14,7,11,12,18,13,10
3,Amine Adli,-0.5,-0.41013824884792627,-0.5773584905660377,-0.8192090395480226,-0.096045197740113,-0.2,-0.5636363636363636,-0.8181818181818182,-0.8745800671892497,-0.8277789277582281,-0.7319019294936893,-0.38831351489579335,-0.04864864864864865,-0.6492164563236359,-0.6793013100436681,-0.6276093737502999,-0.768512429304222,-0.8234212139791539,-0.2851063829787234,-0.2727272727272727,-0.6808184143222507,-0.6309166083007614,-0.6527673782022169,-0.6332835077229696,0.10840824960338445,-0.3802008608321377,-0.3864306784660767,0.2631578947368421,-0.058823529411764705,0.3617021276595745,-1.0,-0.24179829890643986,-1.0,-0.19853747714808048,-0.17628705148205925,-0.5138226237607011,-0.22491349480968859,0.37003058103975534,0.5774647887323944,-0.011764705882352941,0.19322033898305085,11,12,14,12,13,12,10,13,3,6,13,11,5,14,11,13,11,12,10,13,12,14,15,10,13,13,14,8,14,14,12,10,14,15,11,8
4,Felix Agu,0.1543942992874109,0.37989778534923324,0.5398230088495576,0.7142857142857144,0.012987012987012941,0.1612903225806451,-0.15827338129496404,-0.03403141361256541,-0.16628701594533035,-0.10430054374691058,-0.25103163686382396,0.09744408945686905,-0.3110047846889953,-0.13066230580539653,-0.1777959852519459,-0.09938313913639481,-0.24627606752730888,-0.3899848254931714,-0.5922330097087379,0.5180722891566266,-0.4875444839857651,-0.13419334539447816,-0.18722233143306474,-0.23196276183087663,0.4607754733994589,0.1688311688311689,0.037037037037037035,-1.0,-1.0,2.8181818181818183,-1.0,-0.4472168905950096,-0.6727272727272727,0.13189293776201225,-0.5960099750623442,-0.01794949802251293,-0.2857142857142857,1.146341463414634,-0.45454545454545453,-0.39189189189189194,-0.1818181818181818,8,11,12,8,14,6,9,8,14,12,10,8,12,13,14,10,11,11,10,8,9,12,8,7,13,13,15,10,15,14,11,11,16,15,14,10
5,Ludovic Ajorque,-0.7359413202933985,-0.8977272727272727,-0.8803986710963455,-0.922077922077922,-0.847457627118644,-1.0,-0.7721518987341772,-0.690625,-0.7714285714285715,-0.8015394216767214,-0.2907516626929351,0.006106153123532228,1.0592193808882906,-0.35596036314009377,-0.3788375104745944,-0.17653758542141235,-0.4951644100580271,-0.8192389006342494,-0.11656441717791409,-1.0,-0.6588447653429603,-0.7205207555223562,-0.595746795190301,-0.15844155844155836,0.4873239436619719,-0.648936170212766,-0.8565737051792829,-1.0,-0.6785714285714286,0.5254237288135594,0.7999999999999999,0.06530612244897963,-0.8217821782178217,-0.24326059050064183,0.7253886010362699,-0.14566901654219308,0.16666666666666666,-0.30591259640102825,0.5517241379310345,1.3399999999999999,1.3500717360114778,4,10,12,16,13,7,17,12,4,4,12,15,2,13,13,14,15,13,15,11,13,15,13,12,12,15,16,7,12,12,16,17,15,12,14,16
6,Kevin Akpoguma,0.28900255754475707,0.2962962962962963,0.14084507042253516,0.5289575289575289,0.18032786885245908,-0.5909090909090909,-0.07692307692307693,-0.2184531886024423,0.017268445839874504,0.2582524271844661,-0.11098889011109887,-0.761990138951143,-0.8756906077348067,-0.1647984479413667,-0.14136195907413618,-0.13121304139363907,-0.08826926249793765,-0.2117516629711752,-0.7239263803680982,-1.0,-0.2355212355212355,-0.2929865096519341,-0.2364314789687924,-0.1554779136511106,-0.8707102952913008,-0.5473887814313346,-0.23222748815165872,-0.027027027027026935,-1.0,-0.5263157894736842,-1.0,-0.5972461273666093,-1.0,-0.6023391812865496,-0.8891170431211499,-0.3206962983349388,-0.14556962025316464,-0.2758620689655172,-1.0,-0.08906882591093113,-0.23481781376518215,5,9,9,10,11,8,15,11,15,13,12,10,14,11,12,13,15,11,12,9,11,14,10,9,10,15,13,11,14,12,15,17,16,16,14,14
7,Faride Alidou,-0.10633946830265847,-0.6817420435510888,-0.7912087912087912,-0.8213166144200628,-0.5,-0.62,-0.4899328859060403,-0.6184738955823293,-0.7880478087649403,-0.7375784753363229,-0.49786055877170904,0.12967947149498407,0.5553772070626003,-0.4289826702746272,-0.5764198523499744,-0.5312960235640648,-0.6649620878152002,-0.555365296803653,-0.10437710437710439,-0.29629629629629634,-0.40228789323164915,-0.1178465616716046,-0.059983772505988645,-0.36856342382378515,0.7713444553483809,1.719836400817996,0.9740259740259741,1.9687500000000002,-0.6346153846153846,1.1111111111111114,-1.0,-0.14980544747081717,-1.0,-0.21195652173913068,0.7868338557993729,-0.17033958922306613,0.0025125628140704234,0.2666666666666666,0.07547169811320763,-0.3724770642201835,0.05765407554671971,6,11,13,10,11,7,8,10,8,6,9,12,7,13,12,9,11,9,8,10,9,12,14,4,11,11,12,7,16,12,12,12,14,16,11,12
8,Nadiem Amiri,-0.29584352078239606,-0.24999999999999997,-0.16279069767441856,-0.37662337662337664,-0.23728813559322032,0.18032786885245902,-0.20253164556962033,-0.49375,-0.44761904761904764,-0.442063657166632,0.1384113439578366,0.4626585251291687,-0.6366083445491252,0.05097015368183701,0.09423325969376087,-0.005694760820045623,-0.08433268858800776,0.9122621564482029,1.871165644171779,-0.2987012987012987,0.42960288808664254,0.050688293671966755,0.09738646526880654,-0.02005194805194796,-0.628169014084507,0.7553191489361702,0.7928286852589641,1.6341463414634148,-0.6785714285714286,0.22033898305084748,4.4,0.24897959183673474,6.663366336633663,0.5481386392811298,-0.3471502590673574,-0.17393732114189991,-0.5416666666666666,0.48071979434447304,-0.6896551724137931,-0.7000000000000001,-0.8708751793400287,15,15,13,11,12,14,5,13,7,9,13,12,11,14,15,13,13,12,11,14,11,15,14,12,13,17,15,11,12,13,13,9,16,12,14,11
9,Robert Andrich,-0.25,0.10599078341013825,0.08679245283018867,-0.2768361581920904,0.2655367231638418,0.6,0.45454545454545453,-0.38181818181818183,-0.05039193729003359,0.0565100393293314,0.2174669955026839,-0.42513745045390616,-0.7693693693693694,-0.0007244442749837954,0.043842794759825325,0.009677677357434215,0.14060239379192424,0.030042918454935622,-0.251063829787234,-0.2727272727272727,-0.2061381074168798,-0.2849687083436886,-0.21342384032798556,-0.015445939212755356,-0.881544156530936,-0.7245337159253945,-0.6696165191740413,-1.0,0.2549019607843137,-0.3191489361702128,0.6,-0.08626974483596597,-1.0,0.170018281535649,-0.5756630265210607,-0.08503366832470477,0.27335640138408307,-0.3149847094801223,-1.0,-0.058823529411764705,0.19322033898305085,12,10,11,8,12,14,12,13,10,13,13,10,14,12,17,14,16,15,14,12,13,17,8,15,13,15,16,12,12,11,12,14,14,13,16,14
