_Squad_,0,1
Ajaccio,-4.048387478138646,1.4893965818888697
Almería,-4.951389881772099,-1.4113283804892196
Angers,-3.4480131280518043,-2.4803761455933278
Arsenal,7.402516880151882,-2.0380161332721314
Aston Villa,2.9993002176541297,3.2707802031695365
Atalanta,-0.2982845884142371,-1.3948636647130115
Athletic Club,3.5682495525806712,0.34720271095077126
Atlético Madrid,3.2185446863920286,0.21939372576848246
Augsburg,-7.061293041702978,0.4518194734518223
Auxerre,-2.688394881944892,1.0665870716093562
Barcelona,7.2420874881563275,-4.701963644824302
Bayern Munich,6.705211925820914,-3.5510385588955122
Betis,-2.2587555262912007,-0.35606528020224226
Bochum,-5.516347236495454,2.2381362318502016
Bologna,-1.5840240432841537,-1.5135745323454834
Bournemouth,-1.6769560281053877,3.088627429332919
Brentford,-2.467024964944257,1.6548903471923226
Brest,1.4858956868220963,5.122959611690892
Brighton,5.597407251745938,-3.19018819998466
Celta Vigo,4.910130671439976,3.600705488033634
Chelsea,-3.2883028979660507,-4.030341527477874
Clermont Foot,1.0329874026747543,1.89683889189692
Cremonese,-6.827353510568807,-0.5354224590478014
Crystal Palace,4.895108699766392,5.91115955108942
Cádiz,-7.30068387656109,-0.5795651975670487
Dortmund,1.9377728018746563,-4.0126372733494575
Eint Frankfurt,0.7194031259363273,-0.2750388728356112
Elche,-6.502614270056858,-2.4903435425939664
Empoli,-5.879556447422549,-2.092923196464614
Espanyol,-0.37877725326042533,3.537145362380258
Everton,-2.0208191163656646,2.718815628646624
Fiorentina,-0.2932213664274411,-2.905590562314886
Freiburg,-0.8624167021594471,2.1059127172508596
Fulham,2.155762591722946,2.8141861163940303
Getafe,-3.4734465510428847,3.8254337552996183
Girona,-1.4884818352252334,-2.231748968371058
Gladbach,1.6677101930110265,0.6119077695234301
Hellas Verona,-9.050545722151979,-2.157399043178275
Hertha BSC,-5.426834753923738,0.974381627674538
Hoffenheim,-3.3112158250595902,-0.22014106627106364
Inter,2.747989883152302,-1.389237898287095
Juventus,-0.9107096815904449,-1.188975135842094
Köln,-1.5065362131100013,1.5960028120152387
Lazio,5.050936113568835,1.0659483361790594
Lecce,-1.272203163553456,4.80360645768581
Leeds United,0.9445893187210586,4.153722281774213
Leicester City,-2.7664103860433076,0.001488233999228403
Lens,6.059723346544735,-1.366257063112969
Leverkusen,0.6818713523217785,-1.6233585175884129
Lille,7.725221591256685,-0.8966992122187742
Liverpool,3.5304541072496365,-3.6845936037097027
Lorient,-0.03884990257871206,1.391363780414259
Lyon,5.3887862766544306,-0.4057799822581146
Mainz 05,-3.7896203093923555,1.440292868556352
Mallorca,-4.652817146681647,2.5500098832931894
Manchester City,8.766614391884396,-5.6324478397484254
Manchester Utd,0.2220785181012492,-1.5822060966997396
Marseille,8.270137914170236,1.2847844466300542
Milan,1.1089169332422448,-1.129890332132257
Monaco,2.2773465897700613,0.39420047037281314
Montpellier,-1.3404170973922411,1.1239548471324996
Monza,1.5410178665465226,0.4090872269334846
Nantes,0.04802929740068772,1.7605289200672654
Napoli,10.267055389145874,-1.56480099312629
Newcastle Utd,10.75995642985573,4.434672973523421
Nice,-0.42260583528329837,-2.1594129751340345
Nott'ham Forest,-7.441495220613222,0.0866201115036478
Osasuna,-2.661815813151963,-0.4457400584812601
Paris S-G,7.43827506847074,-5.505868165485454
RB Leipzig,3.6473045265098976,-1.1655009563894891
Rayo Vallecano,6.5936156819311655,5.540480229158055
Real Madrid,10.864055861754407,-3.1777934092054045
Real Sociedad,1.0710099832382864,1.0340512204798946
Reims,2.997530233576123,1.112716836357095
Rennes,0.3800188013526287,-3.9124465876335086
Roma,-1.08821247506279,-0.8917183328802274
Salernitana,-5.477913228361724,-1.0163970092586618
Sampdoria,-7.255207554746789,-2.1801168086325515
Sassuolo,-3.3435603107059886,-4.125841567932498
Schalke 04,-8.062545528988524,-1.27546654218611
Sevilla,-3.5258987243450988,-3.057215300963796
Southampton,-4.488344230524281,0.5121290242848229
Spezia,-2.365676051089667,0.9821275549827637
Strasbourg,-1.8455880891047203,0.7342762822729062
Stuttgart,1.1586647128062277,0.5014969209649867
Torino,-0.7632468091180813,-2.3448060857050548
Tottenham,2.623006726061678,1.1681602609857082
Toulouse,4.173777152725376,2.771293504796728
Troyes,-1.6797717263901297,0.7526432827058058
Udinese,0.9618012080559942,1.104175607123993
Union Berlin,-6.417959741471365,-0.1458772648194598
Valencia,0.1327933733917333,0.6401295645809397
Valladolid,-3.8798735386748047,0.0720388779907184
Villarreal,-0.14020345865296138,-3.43136338515007
Werder Bremen,2.943404594305016,6.529891086898123
West Ham,-1.3464297443001016,1.1002088782437898
Wolfsburg,-1.6341387326956798,0.3443978601818107
Wolves,-3.692880778555608,-0.8744035628101906
