,_Player_,_Born_,_Squad_,defense_pca0,defense_pca1,touches_pca0,touches_pca1,passing_pca0,passing_pca1,progres_pca0,progres_pca1,attack_pca0,attack_pca1,attack_pca2,misc_pca0,misc_pca1
0,Brenden Aaronson,2000.0,Union Berlin,-0.1964183368886055,1.4055036297115582,-1.172908231162566,0.4453912398163161,-0.32653934131072204,-0.5214044902747531,3.261230525624665,-0.26581727093820046,0.7608200136297828,1.9975829345490534,-1.78129818377216,0.5143563011436736,-0.8302450693925998
3,Sargis Adamyan,1993.0,Köln,-1.5362214304594615,0.5313472893395157,-1.5273002749363898,-0.3525156613655524,-1.8889936300318866,-0.462629337945641,-0.8875582763676361,-1.0124432321197552,-0.23786790547507106,1.5872049686069885,0.6618544948702973,1.5642283476492629,-1.1169891127643654
4,Karim Adeyemi,2002.0,Dortmund,-1.2861665839641803,0.5787567520896049,-1.4414636715273583,-0.2497044967017207,-1.633738755782039,-0.6043627171044987,0.5401072766607914,-0.9459385159249186,-0.262734867276997,1.0298091693265696,-1.1843518135111946,-0.6332247987058984,-0.17088556596539667
5,Amine Adli,2000.0,Leverkusen,-1.4796914303505602,0.34679872137763573,-1.3457183226323117,-0.8210986999733203,-1.4160068049897523,-0.8648649294726987,-0.7184041426504493,-0.9924006882536806,-0.8783800563110157,0.5607046797616657,-1.0055048654477419,0.5587390302391377,-0.2937050035247914
6,Felix Agu,1999.0,Werder Bremen,0.6221906715180755,0.25755203616190114,-0.21024539495284292,-0.3009276486036207,-0.39156099249006515,-0.6252555142462067,0.24861960396438895,-0.4647024248692548,-0.7305613159086344,0.28262848144848074,-0.83627122089671,-0.36255585591680034,-0.14827640915455617
7,Ludovic Ajorque,1994.0,Mainz 05,-2.3270205014794465,-0.565182600116088,-1.4093553072064364,0.39667125893187144,-1.4886164362790026,-0.13672504132925756,-0.9129490326149822,-0.8142373922147015,-0.7235426072663486,0.5203069162147912,0.8966060950773992,1.1019535495208608,1.3057778798038084
8,Kevin Akpoguma,1995.0,Hoffenheim,0.2775998115578638,-0.16306952716313394,0.4246261387799298,-1.1076627367232688,-1.1369098852475574,0.6035529607341743,-1.008633022012529,-0.02053257563451145,-1.7131216647972123,-0.473991779017184,-0.7233411963933561,-1.09899902309334,0.07597389895288326
9,Faride Alidou,2001.0,Köln,-1.6474849076746116,-0.2828274342657223,-1.3512212873861835,0.04490176687666865,-1.076584061666368,-0.637061209327209,1.8596972299418026,-0.8422803935511747,0.025658284200799953,1.8401680948006394,-1.5333720618787492,0.03576767089982305,-0.29202583152414796
11,Nadiem Amiri,1996.0,Mainz 05,-0.7215130125433077,0.35306686751155053,-0.42142886571841665,-0.22049558405882122,1.033650149112601,0.1445877355163091,0.6074216552004503,0.09475476479511548,6.401842895252125,-2.7000677299713485,3.772242977746157,-1.0147951308007128,-0.7492720993802614
14,Robert Andrich,1994.0,Leverkusen,0.12139681736814244,0.6909768935434506,0.312044638679463,-0.7306819837609083,-0.26487489986567603,0.28031198698583626,-1.3477899746109125,0.12549831374258125,-1.2107598980514884,-0.024561151297083608,0.9111881401148983,-0.901257955891282,0.440195366312958
15,Waldemar Anton,1996.0,Stuttgart,2.530517425782067,-2.55410676209245,4.696065154658595,0.6307277045385141,1.3723355481353987,2.5925118648459002,-0.058967074693193886,2.706355530820749,-1.3911914168499595,-0.18211806011681922,0.27518059282150525,-0.09965909554689961,2.562418080643541
16,Christopher Antwi-Adjei,1994.0,Bochum,-1.313597441444925,0.4919593803965978,-1.319428514280866,0.08803985962238056,-0.08735170066334197,-0.9275590053476764,0.846927246405195,-0.34128797639962866,0.1020560291804894,-0.48425524189398045,-0.9644327196383597,2.27611127959615,-2.1238336154642883
18,Maximilian Arnold,1994.0,Wolfsburg,1.8818114610385046,1.1336451715215705,1.2683586089246377,0.2855165173170697,4.080257800524342,0.04550130434480427,-0.5861111975486096,1.3009701626909989,6.7438775264886734,-4.512346388096487,3.323775362551337,-0.572098893569414,0.5812301036485341
20,Takuma Asano,1994.0,Bochum,-1.476096543398679,0.6551865049162695,-1.4600825107659172,0.8275754007462826,-1.2173772898926574,-0.3052984218344924,1.803706884663373,-0.19494537280725646,1.154124113032299,3.0241214178134572,-0.5647302388729737,3.6008984436317735,-2.0435105744543183
23,Matthias Bader,1997.0,Darmstadt 98,1.673220843626784,1.6300170691560796,0.2632530976643163,0.5398978774184433,1.2887900806734223,-0.042869301141043745,1.8547378115643043,0.3182601546591268,0.5939416212767744,1.1042192849218715,1.0894370006042784,-0.44745311268540044,-0.0919429567578849
24,Ridle Baku,1998.0,Wolfsburg,0.7678225015368398,0.10615003061667175,-0.24491245798355513,1.1027310826466372,1.8446286430280272,-1.050377149406716,1.3353522520347352,-0.051671893315182627,-0.7081558327687543,0.5639276095431524,-0.8106587260912471,0.5587887710264986,-0.12957665123477186
27,Leandro Barreiro Martins,2000.0,Mainz 05,2.99908890860804,1.5151983446129296,0.49877482512005245,0.8610167053464349,0.09074124352454496,0.6395795895662829,-0.049362978884505,0.08255008098588919,0.5689040308599457,2.0475106737573014,2.3027052295498356,0.6554024698167786,1.094721927641172
29,Maximilian Bauer,2000.0,Augsburg,-0.7679437591889353,-0.4149545945425079,0.3109684490434582,-1.26256869705137,-1.5026723630677654,0.47712835590904706,-1.6042863889738455,0.09705294793081713,-1.9726868898619436,-0.6894530081182683,-0.6146563124157285,-1.2983689001076575,-0.3904076937306625
32,Christoph Baumgartner,1999.0,RB Leipzig,-0.9414062188279395,0.4545974891739614,-1.2210627534022545,-0.34047089429083616,-1.5705949184852663,-0.368095910985848,-0.2891299335496798,-0.7347661115035647,-0.48030464829309155,1.0557424988988948,0.25616937258631384,-0.6441044964026112,0.23459033527120907
