,_Player_,team_cluster,defense_Blocks_Blocks,defense_Tackles_Tkl,defense_Tackles_TklW,defense_Tackles_Def 3rd,defense_Tackles_Mid 3rd,defense_Tackles_Att 3rd,defense__Int,defense__Clr,possession_Touches_Def Pen,possession_Touches_Def 3rd,possession_Touches_Mid 3rd,possession_Touches_Att 3rd,possession_Touches_Att Pen,possession_Touches_Touches,passing_Total_Att,passing_Short_Att,passing_Medium_Att,passing_Long_Att,passing__KP,passing__CrsPA,passing__PrgP,possession_Carries_PrgDist,possession_Carries_TotDist,possession_Receiving_Rec,possession_Receiving_PrgR,possession_Take-Ons_Att,possession_Take-Ons_Succ,gca_SCATypes_TO,gca_SCATypes_Sh,gca_SCATypes_Fld,gca_SCATypes_Def,gca_SCATypes_PassLive,gca_SCATypes_PassDead,shooting_Standard_Dist,shooting_Expected_npxG,playingtime_PlayingTime_Min,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_AerialDuels_Won,misc_AerialDuels_Lost,Name,Position,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggressiion,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Teamwork,Work Rate,Positioning,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength
0,Youcef Belaïli,0,0.5135265700483091,0.5120496894409938,0.41922196796338673,0.09956521739130436,0.6099744245524297,0.6165728900255756,0.16448160535117057,0.03311252308657319,0.005736541281950112,0.11336859762179666,0.5719806763285024,0.9882501781895938,0.8366157461809636,0.5291240596710444,0.3663589015703026,0.61817106319871,0.3013585022435401,0.2676364588142578,0.9355183946488295,0.7360869565217393,0.6924385633270322,0.7941988280040794,0.9636098440023632,0.7808073465847054,0.5800158102766798,1.0,1.0,1.0,0.8092753623188406,0.8685217391304348,0.0,1.0,0.43434782608695655,0.6923828422074004,0.5428260869565218,0.2701505757307352,0.6701556629092861,0.6513913043478261,0.3776181474480152,0.08016406890894175,0.10231277031641249,Youcef Belaïli,M/AM L,11,13,15,13,15,12,8,14,4,7,14,12,7,15,13,14,11,12,12,13,14,10,12,10,13,12,12,11,14,14,12,9,12,14,13,11
1,Romain Hamouma,0,0.43785398002265474,0.24255262809479677,0.13404224184186136,0.1061167747914736,0.2167039197514038,0.219048138254375,0.07012190774934056,0.0,0.0,0.0,0.4362578519205025,1.0,0.7343135535906621,0.34441850415422126,0.2308973734118993,0.452728513102702,0.3253374846223107,0.10009387771909725,0.6172381835032438,0.1307537843682422,0.6306564048837491,0.5162289638980571,0.637810452261311,0.6581757688848591,0.9999999999999999,0.6328197405004634,0.5880285065993417,0.5329008341056534,0.6468952734012975,0.6171146122953352,0.0,0.8881680568427556,0.3086190917516219,0.42715533761048363,0.9642415817114612,0.23870682019486272,0.5142621769127794,0.43390871177015755,0.4024660514969578,0.14646685435501075,0.2180902425651054,Romain Hamouma,M/AM R,12,13,14,12,15,11,6,11,4,3,12,8,5,14,9,11,11,12,10,13,12,14,14,10,14,10,13,6,14,14,12,8,13,13,12,12
2,Youssouf Koné,0,0.5802401746724891,1.0,1.0,1.0,0.34035448240431543,0.0,0.4955995969096405,0.6742155079583781,0.20154810171781887,0.680914283832722,0.5946749150897621,0.26069332092490516,0.020594830638498762,0.5896669185160525,0.5149262786032552,0.6920287731428054,0.4714913984677306,0.4521328312242441,0.0559287873698354,0.3080422125181951,0.3635371179039302,0.5507365458621303,0.4793570671379296,0.62784154495323,0.17133783247320364,0.37271424672489084,0.3463333835265773,0.0,0.2540029112081514,0.0,0.5483078602620087,0.20924308588064044,0.0,1.0,0.0,0.16651904340124002,0.5048115801390911,0.579271288209607,0.0,0.05751009310373238,0.1712659182880267,Youssouf Koné,D/WB L,8,13,12,8,12,6,11,9,12,13,12,10,13,12,13,13,14,12,11,9,11,11,11,5,14,13,14,10,14,12,12,9,14,14,15,13
3,Thomas Mangani,0,0.975392058725392,0.7859287859287859,0.6152995100363522,0.40115115115115124,0.877715951245363,0.266163222045575,0.6816354816354816,0.2988424839480142,0.1313527831429346,0.48036543000818893,1.0,0.5809856988135678,0.042488434380326276,1.0,1.0,0.8020788405865112,0.9999999999999999,0.7753602756113458,1.0,0.4236736736736737,1.0,0.621746124640584,0.7150151532555006,0.9533558326127984,0.11046273546273545,0.08094031531531531,0.11908460184322253,0.0,0.17467467467467468,0.12497497497497498,0.0,0.5755755755755756,1.0,0.6485744247529959,0.10414581247914582,0.3507528786536759,0.5554443332221111,0.3046265015015015,0.0,0.1977449147260468,0.2355549266544031,Thomas Mangani,DM C,13,8,10,6,12,15,13,10,12,11,12,14,13,12,12,15,13,13,13,11,13,15,6,12,10,16,17,13,12,11,14,12,14,11,15,14
4,Riad Nouri,0,0.2790575572619282,0.4057885410513881,0.3417166661485373,0.1578066548533176,0.4603731628504916,0.27921198012577747,0.33518106229269845,0.09464378397067713,0.024059816599792054,0.12791479770393477,0.46016276169849707,0.7966627288836386,0.28971440430389045,0.35845546523289795,0.3042843373975507,0.5994737438462132,0.3190318939405087,0.18867292478893077,0.7565087009859602,1.0,0.3335216620868538,0.3957174699892857,0.5443461451023212,0.6075204747446485,0.8343231487945014,0.40331512108682815,0.3044992565737214,0.0,0.6871431384130734,0.19665288442606813,0.0,0.6226619413270329,0.36060248080330776,0.26580674141797184,0.3277548073767802,0.5106288751107174,0.291337606557138,0.2765431187241583,0.4488815840160251,0.10112672603060326,0.13127352232630204,Riad Nouri,AM RL,10,13,14,12,14,11,6,13,5,5,13,15,5,14,8,13,12,13,11,12,12,15,13,14,13,11,12,6,13,15,12,8,14,13,12,11
5,Clément Vidal,0,0.8387690689110994,0.4302246937701961,0.38040920291259445,0.2810801332631948,0.45100102113438745,0.0,0.5373123457289685,0.7448623367512044,0.2456721322226836,0.7562606065976532,0.48658600736454494,0.07676503307146369,0.15877845230817353,0.4540518109777074,0.3990051816515351,0.35437805918502474,0.6742246541902464,0.4103538419640256,0.026949378869420948,0.07421532526740313,0.46458385746632214,0.6779959094790866,0.46602487285569205,0.560308182447744,0.015479890966476973,0.009452261967385587,0.020860164341816465,0.0,0.12239172365421706,0.0,0.0,0.12603015956514113,0.0,0.12195189177042802,0.1459465778245368,0.6027457927369354,0.3567583013488677,0.295541820094687,0.05710953045307962,0.3463916707194823,0.1788036607902702,Clément Vidal,D C,8,9,8,8,10,7,12,10,8,13,10,8,12,11,11,12,13,12,13,9,11,9,5,13,10,12,12,12,11,12,13,12,14,11,13,14
6,Sergio Akieme,0,0.29529867769057816,0.34605137135393993,0.3796255986068785,0.45804309969525475,0.14788520143330766,0.13286895951240751,0.310841169229321,0.2613797233368404,0.074460142941346,0.3904518071553439,0.6281104138460173,0.4522680758010198,0.22942969090117546,0.5961073488960774,0.5972680194914104,0.5845992332672444,0.5985127383211631,0.24847418969171953,0.42054854157596866,0.869612538093165,0.24636129381449362,0.6716354959070026,0.5737746456255578,0.4128760011020766,0.4437918286932846,0.2789615002649184,0.36205762210318015,0.06786629903739176,0.28178058336961254,0.0,0.33217239878101873,0.3740749053570576,0.03372820383566666,0.22981901350151304,0.11689159773617762,0.6417693981145758,0.33957335655202436,0.20387160806316168,0.0,0.10836790411502674,0.13208838475398196,Sergio Akieme,D/WB L,8,13,12,8,13,7,9,9,12,9,12,8,12,13,13,12,13,10,10,9,14,12,12,8,12,13,14,11,15,13,12,11,15,15,15,14
7,Srđan Babić,0,0.3533511599507777,0.2749566377585057,0.3272181454302868,0.3694129419613076,0.15107507569148662,0.0,0.5029240866095764,0.6349008903968933,0.19281472226397864,0.7401014469146974,0.5404255754832343,0.04853503868479369,0.08035833412751359,0.5670699579932493,0.5881515458981623,0.34120766070830244,0.9343769647832821,0.334100829410681,0.10740493662441629,0.039192795196797865,0.20502857761029875,0.6296907396462028,0.4596664126596537,0.49433795963874966,0.02023948168835721,0.03011507796560974,0.03256319263554165,0.0,0.14392928619079384,0.0,0.0,0.17304735667758123,0.0,0.0,0.07164776517678452,0.8959390862944163,0.3122081387591728,0.03987714068529714,0.0648637553240622,0.4557792315440776,0.31907275258760953,Srđan Babić,D C,8,8,7,7,11,8,13,8,10,14,12,8,13,8,12,14,12,14,15,11,13,15,10,12,10,13,13,13,10,12,13,16,13,11,13,14
8,Léo Baptistão,0,0.3042427871660682,0.5458169177288529,0.6315179606025493,0.41707705677867907,0.5248239593546662,0.2652375434530707,0.5745884004818027,0.08826411158127667,0.009667219694189579,0.14115348920474002,0.5801726276710262,0.5136639096442508,0.5321469955305413,0.3405192197651822,0.25195344884341353,0.3158013421509934,0.26535344514999193,0.1682257324256267,0.4797219003476246,0.20422943221320974,0.2882935078763584,0.5554878672064067,0.4078012559378794,0.39893551237749775,0.5835771942573208,0.2618226401495426,0.24685667017009724,0.3612720484099395,1.0,0.2765546543066821,0.4420625724217845,0.6416097885846817,0.0,0.22298173613322067,0.5081691772885284,0.4347353154459753,0.6778679026651218,0.39008544768315767,0.563330065068188,0.29697591233318404,0.48522505422323503,Léo Baptistão,AM/S RLC,9,12,15,12,14,11,10,12,5,5,14,12,5,15,10,13,9,12,12,14,12,14,16,9,14,10,9,5,13,13,10,12,10,13,11,10
9,El Bilal Touré,0,0.1362430810800896,0.09316455696202532,0.1293512658227848,0.08761867088607596,0.044790652385589096,0.12072784810126584,0.026128044308425837,0.26688977372259326,0.03932355220230113,0.0,0.3956399489932625,0.4604684999272516,0.6313517179023509,0.0,0.0,0.2895042996992955,0.0,0.0,0.509493670886076,0.09295886075949367,0.10806534382483748,0.08929180594215097,0.08502212532178116,0.12256577506842509,0.4896481441750698,0.1674517728281816,0.14047211813474092,0.24665963431786217,0.682753164556962,0.5664556962025317,0.0,0.6152795543645266,0.06129247168554297,0.24269788862384176,0.8921677215189873,0.2672226250906454,0.7713607594936709,0.12590510867200821,1.0,0.6755869637339554,0.7656480512211611,El Bilal Touré,S,8,7,12,12,14,9,12,11,10,6,12,13,6,14,8,12,10,12,11,11,11,11,12,8,12,9,10,9,16,11,11,11,11,14,14,13
