,team_cluster,defense_Blocks_Blocks,defense_Tackles_Tkl,defense_Tackles_TklW,defense_Tackles_Def 3rd,defense_Tackles_Mid 3rd,defense_Tackles_Att 3rd,defense__Int,defense__Clr,possession_Touches_Def Pen,possession_Touches_Def 3rd,possession_Touches_Mid 3rd,possession_Touches_Att 3rd,possession_Touches_Att Pen,possession_Touches_Touches,passing_Total_Att,passing_Short_Att,passing_Medium_Att,passing_Long_Att,passing__KP,passing__CrsPA,passing__PrgP,possession_Carries_PrgDist,possession_Carries_TotDist,possession_Receiving_Rec,possession_Receiving_PrgR,possession_Take-Ons_Att,possession_Take-Ons_Succ,gca_SCATypes_TO,gca_SCATypes_Sh,gca_SCATypes_Fld,gca_SCATypes_Def,gca_SCATypes_PassLive,gca_SCATypes_PassDead,shooting_Standard_Dist,shooting_Expected_npxG,playingtime_PlayingTime_Min,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_AerialDuels_Won,misc_AerialDuels_Lost,Name,Position,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggressiion,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Teamwork,Work Rate,Positioning,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength
0,1,0.6492168178070898,0.5100694853374161,0.48163938287598634,0.6199692722775988,0.48627053078825544,0.21284568687701416,0.8625851520805312,0.1582807945636744,0.07995897688853044,0.33470966747354736,0.8656363361722242,0.3343954011719881,0.09776037372904645,0.774515703391536,0.7973246724580728,0.6993253762409084,0.656986054539779,0.22732148670905225,0.2432810652701842,0.26239547756448006,0.8595738677693966,0.2650888034493772,0.18872295501915182,0.7672272740473628,0.08394106580421502,0.2288870568837593,0.22985486684944112,0.0,0.10387469084913438,0.22294193852314215,0.0,0.4468010194848655,0.022093981863149217,0.2079039120416941,0.0585630973100058,0.7390946502057614,0.4436152210699875,0.6424997527499833,0.0,0.1938736267379606,0.15393846616685813,Antonio Blanco,DM/M C,9,10,8,7,12,11,13,10,11,13,13,7,13,13,10,14,12,12,13,12,13,17,9,15,14,15,14,14,13,12,11,9,15,12,14,13
1,1,0.7044728434504792,0.42126882701962576,0.3456564734520006,0.5799448155678187,0.3722454329483084,0.10998160518927294,0.7322459503391067,0.6656528197315423,0.14848689211390792,0.5466002579999607,0.6415482534772284,0.3799038655268687,0.08419121997396757,0.8333383487807009,0.8162397527487751,0.49381583669482026,0.7791132297262116,0.3955134475728848,0.2715847574771917,0.4237030275368934,0.6762570261912489,0.26296018066676335,0.1272455519176574,0.5036960210232627,0.1922257720979766,0.04479943201987931,0.046883126532431825,0.041999467518636854,0.06709265175718851,0.09599878289974137,0.0,0.2803311615303022,0.22832800851970184,0.31211528213746065,0.06619532205261704,0.5135802469135802,0.49347009696765887,0.6216596710819838,0.0,0.368024855796271,0.293380600284355,Rubén Duarte,D/WB LC,7,10,9,7,13,12,9,9,11,13,13,6,14,12,11,14,14,13,14,12,13,10,8,13,11,14,13,15,13,13,13,8,12,14,14,11
2,1,0.529782761037141,0.4406847532285515,0.477645409950946,0.7268904886284003,0.26025551183224627,0.18092629164808563,0.5865820823958987,0.40411888464985446,0.09603365347220151,0.42291218716027396,0.6733756136068403,0.5913369571393398,0.18466609566819797,0.9185419182358714,0.8920290442552486,1.0,0.6423199080862982,0.11330035029581303,0.13862571912984,0.2788066873560917,0.6427680073749573,0.45585159602485487,0.23151480605649066,0.6200563525593049,0.39244065908396675,0.28889511796309275,0.25708511921252913,0.02763665031534688,0.044148563419761734,0.2526779457403143,0.2653585610838589,0.4482258009943343,0.09390329362298529,0.12661708055046303,0.043558099094188785,0.9152263374485596,0.3037657212407333,0.5563874478524398,0.0,0.19702166584124814,0.4263672511603072,Andoni Gorosabel,D/WB R,7,15,13,9,12,8,9,10,8,14,12,11,13,13,14,13,13,13,11,12,13,13,8,9,16,14,16,12,14,13,14,8,13,14,14,15
3,1,0.7305593451568895,0.40820502825959853,0.35423893977782106,0.4952871139774278,0.37254696190576136,0.21133573111745008,0.265096574998205,0.22744763149809005,0.07727821301284768,0.33403712670519853,1.0000000000000002,0.3952656612956749,0.071901369309282,0.9999999999999998,0.9999999999999999,0.8675072974316447,0.864867410721532,0.2093811329974813,0.20539817443174227,0.05427791853439875,1.0,0.7674012684463811,0.6844952593952718,1.0,0.11681008850176655,0.18364711232378356,0.190186871410895,0.05380286493860846,0.12892223738062755,0.06148898850126681,0.12914961346066395,0.5728634514398713,0.07312414733969987,0.1157775493891329,0.042399322924561667,0.9473251028806584,0.4894090615351476,0.38865090754697984,0.0,0.39758055662263353,0.29639983742049447,Ander Guevara,DM/M C,9,8,12,10,12,8,11,14,8,14,14,8,13,14,14,13,14,10,12,14,10,13,8,10,9,16,16,13,12,14,13,10,14,11,15,13
4,1,0.541075429424944,0.3181478715459299,0.29087805398485006,0.19366555774322766,0.4405124375251336,0.19281689184601808,0.49117566133406715,0.07187834266141123,0.031663427625071905,0.12396229070960474,0.6112346934881085,0.450336071695295,0.3640845849583713,0.3176286600516782,0.4255247635965832,0.5209647678727243,0.39427939424415376,0.08959711084251382,0.3730457448225778,0.11885202176464313,0.6850111624526244,0.259411217734079,0.15378262871365356,0.5531886087885723,0.3179946764711515,0.23876524769728658,0.15342932073571044,0.058905899925317404,0.32935026138909634,0.13464205697215406,0.565596216081653,0.5858777398644116,0.0,0.0,0.26526152739744974,0.842798353909465,0.2344247474548957,0.42802861029583766,0.08952576549663929,0.44189482188725654,0.3738111719823583,Jon Guridi,DM/M C,7,12,10,10,14,8,10,12,7,12,13,10,13,14,14,13,13,12,10,12,12,14,9,11,12,14,16,14,12,13,10,9,14,13,14,14
5,1,0.6268656716417911,0.42892679459843647,0.48443496801705754,0.12901402080506558,0.7608113279755071,0.1284486657620986,0.3718250851008118,0.004438189625572769,0.0,0.0557887852370535,0.5627255479844202,1.0,0.40969918923899024,0.6844443475976316,0.6185776563483972,0.5339654435595775,0.4096923629483155,0.2969470566306787,0.9999999999999999,0.3958777540867093,0.6240455476627557,0.5305860808245926,0.5354484699464976,0.7493767561118273,0.6677509886465112,0.5650746268656717,0.5110494041420803,0.2943097014925373,0.47014925373134325,0.2242359630419332,0.0,1.0,0.9999999999999999,0.941569354092962,0.4417726183895338,0.07160493827160497,0.4833726106310553,0.9323668386731753,0.14909825870646765,0.42258154622896393,0.28984460661098294,Ianis Hagi,AM RLC,16,16,13,13,15,17,6,15,5,7,15,14,5,16,9,13,12,12,13,14,10,13,14,13,12,13,14,8,9,11,12,8,14,9,12,10
6,1,0.7061649319455564,0.21926112318426175,0.24687178314079833,0.20762064196811994,0.2098909897148488,0.20671082320401776,0.3829589987779698,0.1341963090495117,0.023827497620974816,0.11229863784276856,0.4206262551457777,0.8974314586804578,0.3270245826290662,0.4902251442282781,0.5224058045162369,0.49855024273261245,0.38540796743060907,0.18628258965254407,0.5293826741248301,0.6052270387738762,0.4833042904912164,0.7356275624084672,0.6754301834740521,0.6621871731651524,0.641056434891503,0.47825994128636246,0.4817062952687732,0.15787630104083267,0.15132105684547636,0.14434404666590414,0.0,0.6761570530690357,0.30040032025620494,0.14357299969839946,0.21328173650031132,0.7687242798353908,0.2632843116598542,0.26586127914203067,0.4798839071257005,0.052226771524812865,0.19273863448096268,Luis Rioja,M/AM RL,14,12,14,12,12,15,6,8,6,8,11,5,9,13,12,12,11,11,11,12,13,5,10,12,13,11,13,12,15,14,7,7,14,17,14,9
7,1,1.0,0.22539682539682543,0.2575963718820861,0.16464646464646465,0.20805860805860807,0.3278499278499279,0.4745196324143693,0.0,0.018234899078461368,0.13520153163855078,0.34474018783120197,0.7875589875589876,0.5646825396825397,0.32392305038617186,0.3006713872230573,0.5321189853156003,0.13989379579216238,0.01737239161381813,0.5660576567653212,0.12630385487528345,0.5973007384772091,0.6655588229936018,0.5153886755698518,0.5166081198586187,0.6905575905575906,0.5875978835978837,0.41926910299003317,0.0,1.0,0.5723356009070295,0.6010582010582011,0.6558818649410985,0.0,0.9999999999999999,0.4510288065843621,0.0,0.5219715956558063,0.35991842363797566,0.38055555555555554,0.027002625657537943,0.33740598028266927,Giuliano Simeone,AM/S RL,7,11,12,14,10,9,11,10,6,5,10,8,6,13,14,13,16,11,14,9,12,19,11,13,11,14,15,7,14,12,12,9,11,12,13,11
8,1,0.7730061349693251,0.5155878302241143,0.5404782772004507,1.0,0.1531719813928403,0.27153214883276233,0.6288112920337655,0.9772094862899727,0.2380434991596262,0.6173852066532398,0.6168205816670437,0.26979652746523913,0.15012010257409028,0.7763303055938549,0.6890297680102405,0.4309684991806661,0.7892530199579291,0.2679765926302957,0.1387225131637011,0.2092149743332916,0.6183711633007916,0.7754301746425476,0.5309997968111804,0.4455466623089549,0.19470100451695546,0.20646216768916156,0.18005421600798974,0.0,0.0,0.15800676098660324,0.663745252702308,0.4664020671221397,0.09395267309377739,0.2840461090851305,0.09338786639400135,0.21028806584362142,0.3406061165182896,0.47134554168256426,0.21012269938650308,0.5973622511058759,0.33529249194839433,Nahuel Tenaglia,D RC,8,11,11,9,12,6,12,7,15,15,15,9,15,11,15,13,14,12,12,13,13,11,7,10,14,13,14,14,14,13,13,10,13,14,12,12
9,3,0.4391542288557214,0.49814155031295143,0.46373537716821306,0.5691542288557213,0.33200663349917076,0.26876526458616007,0.2730465320456541,0.23062151689765584,0.07638499360413688,0.40843738838174765,0.6061828181139368,0.5044125344839783,0.19552238805970149,0.6265459959630184,0.6919039824591017,0.532425230324574,0.5538215782213878,0.2597395876470399,0.3428192371475954,0.7800995024875622,0.2241966637401229,0.4086018550685169,0.5314950484411385,0.32097578232982993,0.6373116453659844,0.4860758720487079,0.6288878189696678,0.43797014925373134,0.10949253731343284,0.1843582089552239,0.0,0.2813946873107824,0.17738507462686567,0.2432479584939439,0.11525530243519244,0.47078054760931753,0.3696486591944256,0.39176119402985077,0.08436280137772675,0.14607290538348133,0.157123473541384,Sergio Akieme,D/WB L,8,13,12,8,13,7,9,9,12,9,12,8,12,13,13,12,13,10,10,9,14,12,12,8,12,13,14,11,15,13,12,11,15,15,15,14
