,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,SCA_SCA,SCA_SCA90,SCATypes_PassLive,SCATypes_PassDead,SCATypes_TO,SCATypes_Sh,SCATypes_Fld,SCATypes_Def,GCA_GCA,GCA_GCA90,GCATypes_PassLive,GCATypes_PassDead,GCATypes_TO,GCATypes_Sh,GCATypes_Fld,GCATypes_Def,Matches
0,1,Abner,br BRA,DF,Betis,22,2000,6.7,8.0,1.18,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,Matches
1,2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2,3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,21.2,65.0,3.04,45.0,14.0,3.0,3.0,0.0,0.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,Matches
3,4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
4,5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,21.0,76.0,3.62,56.0,13.0,3.0,0.0,4.0,0.0,4.0,0.19,2.0,2.0,0.0,0.0,0.0,0.0,Matches
5,6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,34.7,10.0,0.29,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
6,7,Sergio Akieme,es ESP,DF,Almería,24,1997,25.5,36.0,1.41,29.0,1.0,1.0,3.0,0.0,2.0,3.0,0.12,2.0,0.0,1.0,0.0,0.0,0.0,Matches
7,8,Babatunde Akinsola,ng NGA,FW,Valladolid,19,2003,0.1,1.0,8.18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
8,9,Paul Akouokou,ci CIV,MFDF,Betis,24,1997,5.0,2.0,0.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
9,10,David Alaba,at AUT,DF,Real Madrid,30,1992,20.4,27.0,1.32,23.0,3.0,0.0,1.0,0.0,0.0,4.0,0.2,3.0,0.0,0.0,1.0,0.0,0.0,Matches
10,11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,0.3,,,,,,,,,,,,,,,,,Matches
11,12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,2.5,4.0,1.61,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
12,13,Jordi Alba,es ESP,DF,Barcelona,33,1989,15.8,59.0,3.74,52.0,5.0,1.0,1.0,0.0,0.0,6.0,0.38,5.0,1.0,0.0,0.0,0.0,0.0,Matches
13,14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,23.5,12.0,0.51,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
14,15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,22.7,47.0,2.07,34.0,9.0,1.0,1.0,2.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,Matches
15,16,Omar Alderete,py PAR,DF,Getafe,25,1996,22.7,24.0,1.06,22.0,0.0,0.0,2.0,0.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,Matches
16,17,Iván Alejo,es ESP,MFFW,Cádiz,27,1995,14.6,40.0,2.75,27.0,3.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
17,18,Carles Aleñá,es ESP,MFFW,Getafe,24,1998,23.5,44.0,1.87,30.0,2.0,1.0,2.0,9.0,0.0,4.0,0.17,4.0,0.0,0.0,0.0,0.0,0.0,Matches
18,19,Alejandro Alfaro,es ESP,MF,Elche,20,2002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
19,20,Ángel Algobia,es ESP,MF,Getafe,23,1999,12.6,16.0,1.27,13.0,0.0,1.0,2.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Matches
20,21,Mohamed Ali Cho,fr FRA,FWMF,Real Sociedad,18,2004,6.5,19.0,2.9,12.0,1.0,2.0,2.0,1.0,1.0,2.0,0.31,2.0,0.0,0.0,0.0,0.0,0.0,Matches
21,22,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,22,2000,28.2,91.0,3.22,67.0,17.0,1.0,1.0,2.0,3.0,5.0,0.18,3.0,2.0,0.0,0.0,0.0,0.0,Matches
22,23,Marcos Alonso,es ESP,DF,Barcelona,31,1990,13.0,14.0,1.08,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Matches
23,24,Carlos Álvarez,es ESP,MF,Sevilla,18,2003,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
24,25,Gastón Álvarez,uy URU,DF,Getafe,22,2000,16.7,16.0,0.96,9.0,5.0,0.0,1.0,0.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Matches
25,26,Yeray Álvarez,es ESP,DF,Athletic Club,27,1995,25.9,28.0,1.08,24.0,1.0,0.0,1.0,1.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,Matches
26,27,Selim Amallah,ma MAR,MFFW,Valladolid,25,1996,3.0,11.0,3.69,5.0,0.0,4.0,0.0,0.0,2.0,2.0,0.67,1.0,0.0,1.0,0.0,0.0,0.0,Matches
27,28,Amath,sn SEN,MFFW,Mallorca,26,1996,13.6,24.0,1.76,11.0,0.0,5.0,4.0,3.0,1.0,3.0,0.22,1.0,0.0,1.0,0.0,1.0,0.0,Matches
28,29,Jordan Amavi,fr FRA,DF,Getafe,28,1994,2.2,2.0,0.9,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0,Matches
29,30,Marcos André,br BRA,FWMF,Valencia,25,1996,5.0,12.0,2.42,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
30,31,Fabrizio Angileri,ar ARG,DF,Getafe,28,1994,6.5,5.0,0.77,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.31,1.0,0.0,0.0,0.0,0.0,1.0,Matches
31,32,Josep Antoni Gayá,es ESP,DFMF,Mallorca,22,2000,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
32,33,José Antonio,es ESP,MFDF,Cádiz,18,2004,0.5,1.0,1.91,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.91,1.0,0.0,0.0,0.0,0.0,0.0,Matches
33,34,Anuar,ma MAR,MFFW,Valladolid,27,1995,2.3,4.0,1.71,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.43,0.0,0.0,1.0,0.0,0.0,0.0,Matches
34,35,Mauro Arambarri,uy URU,MF,Getafe,26,1995,11.0,25.0,2.27,8.0,14.0,1.0,1.0,0.0,1.0,3.0,0.27,2.0,1.0,0.0,0.0,0.0,0.0,Matches
35,36,Ronald Araújo,uy URU,DF,Barcelona,23,1999,20.0,18.0,0.9,15.0,0.0,0.0,3.0,0.0,0.0,6.0,0.3,5.0,0.0,0.0,1.0,0.0,0.0,Matches
