,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Min,PlayingTime_Mn/MP,PlayingTime_Min%,PlayingTime_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,TeamSuccess_PPM,TeamSuccess_onG,TeamSuccess_onGA,TeamSuccess_+/-,TeamSuccess_+/-90,TeamSuccess_On-Off,TeamSuccess(xG)_onxG,TeamSuccess(xG)_onxGA,TeamSuccess(xG)_xG+/-,TeamSuccess(xG)_xG+/-90,TeamSuccess(xG)_On-Off,Matches
0,1,Paxten Aaronson,us USA,MFDF,Eint Frankfurt,18,2003,7,173.0,25.0,5.7,1.9,0,,0,7,25.0,6,1.14,4.0,0.0,4.0,2.08,2.02,5.4,1.4,4.0,2.06,1.92,Matches
1,2,Sargis Adamyan,am ARM,FWMF,Köln,29,1993,24,644.0,27.0,21.0,7.2,4,62.0,0,20,20.0,4,1.13,11.0,16.0,-5.0,-0.7,-0.7,11.2,11.7,-0.5,-0.06,-0.28,Matches
2,3,Karim Adeyemi,de GER,FWMF,Dortmund,20,2002,24,1386.0,58.0,45.3,15.4,20,64.0,2,4,27.0,1,2.17,41.0,17.0,24.0,1.56,0.75,32.6,17.4,15.2,0.99,0.31,Matches
3,4,Amine Adli,ma MAR,FWMF,Leverkusen,22,2000,26,1435.0,55.0,46.9,15.9,16,74.0,1,10,26.0,1,1.69,29.0,17.0,12.0,0.75,0.97,26.3,15.7,10.6,0.66,0.77,Matches
4,5,Felix Agu,de GER,DFFW,Werder Bremen,22,1999,3,49.0,16.0,1.6,0.5,0,,0,3,16.0,9,1.33,1.0,2.0,-1.0,-1.84,-1.48,0.4,2.4,-2.0,-3.53,-3.24,Matches
5,6,Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,17,1398.0,82.0,45.7,15.5,17,82.0,6,0,,0,0.94,17.0,26.0,-9.0,-0.58,-0.42,19.5,18.4,1.1,0.07,0.0,Matches
6,7,Antonis Aidonis,de GER,DF,Stuttgart,21,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
7,8,Ludovic Ajorque,fr FRA,FWMF,Mainz 05,28,1994,17,1211.0,71.0,39.6,13.5,15,79.0,3,2,15.0,0,1.47,23.0,22.0,1.0,0.07,0.17,18.8,20.7,-1.9,-0.14,0.08,Matches
8,9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,28,1950.0,70.0,63.7,21.7,21,81.0,14,7,35.0,3,1.04,22.0,29.0,-7.0,-0.32,-0.16,26.8,30.6,-3.8,-0.17,-0.23,Matches
9,10,Lucas Alario,ar ARG,FWMF,Eint Frankfurt,29,1992,20,331.0,17.0,10.8,3.7,2,78.0,1,18,10.0,9,1.25,5.0,9.0,-4.0,-1.09,-1.42,6.1,3.5,2.6,0.69,0.49,Matches
10,11,Faride Alidou,de GER,DFMF,Eint Frankfurt,21,2001,15,182.0,12.0,5.9,2.0,0,,0,15,12.0,10,1.13,3.0,4.0,-1.0,-0.49,-0.71,4.0,2.5,1.4,0.69,0.47,Matches
11,12,Éder Álvarez Balanta,co COL,MFFW,Schalke 04,29,1993,6,238.0,40.0,7.8,2.6,3,50.0,0,3,29.0,3,1.5,2.0,3.0,-1.0,-0.38,0.74,2.7,4.7,-2.0,-0.75,-0.25,Matches
12,13,Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,1,17.0,17.0,0.6,0.2,0,,0,1,17.0,8,0.0,0.0,2.0,-2.0,-10.59,-10.91,0.0,1.0,-1.0,-5.36,-5.39,Matches
13,14,Nadiem Amiri,de GER,MFFW,Leverkusen,25,1996,25,977.0,39.0,31.9,10.9,9,75.0,2,16,19.0,4,1.44,19.0,20.0,-1.0,-0.09,-0.48,14.4,12.8,1.6,0.15,-0.16,Matches
14,15,Robert Andrich,de GER,MF,Leverkusen,27,1994,29,2406.0,83.0,78.6,26.7,28,85.0,24,1,15.0,0,1.55,50.0,38.0,12.0,0.45,1.0,40.9,34.9,6.0,0.23,-0.13,Matches
15,16,Angeliño,es ESP,DF,Hoffenheim,25,1997,33,2617.0,79.0,85.5,29.1,30,86.0,23,3,13.0,0,1.09,38.0,51.0,-13.0,-0.45,-1.26,39.9,45.6,-5.7,-0.2,-0.73,Matches
16,17,Waldemar Anton,de GER,DF,Stuttgart,26,1996,34,2934.0,86.0,95.9,32.6,34,86.0,27,0,,0,0.97,44.0,54.0,-10.0,-0.31,1.12,44.6,44.0,0.7,0.02,-1.19,Matches
17,18,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,28,1994,29,1981.0,68.0,64.7,22.0,22,81.0,10,7,29.0,2,1.21,32.0,40.0,-8.0,-0.36,1.64,29.3,38.3,-9.0,-0.41,0.99,Matches
18,19,Ayman Aourir,de GER,MF,Leverkusen,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
19,20,Charles Aránguiz,cl CHI,MF,Leverkusen,33,1989,10,493.0,49.0,16.1,5.5,4,60.0,0,6,42.0,0,0.8,7.0,10.0,-3.0,-0.55,-0.93,7.4,8.6,-1.2,-0.22,-0.57,Matches
20,21,Maximilian Arnold,de GER,MF,Wolfsburg,28,1994,32,2767.0,86.0,90.4,30.7,32,86.0,24,0,,0,1.47,53.0,44.0,9.0,0.29,0.29,46.8,45.3,1.5,0.05,0.51,Matches
21,22,Takuma Asano,jp JPN,FWMF,Bochum,27,1994,25,1713.0,69.0,56.0,19.0,21,75.0,4,4,33.0,0,0.88,24.0,38.0,-14.0,-0.74,0.47,26.8,37.4,-10.6,-0.56,0.45,Matches
22,23,Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,8,167.0,21.0,5.5,1.9,0,,0,8,21.0,2,0.38,1.0,3.0,-2.0,-1.08,-0.86,3.2,2.7,0.5,0.25,0.37,Matches
23,24,Noah Atubolu,de GER,GK,Freiburg,20,2002,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
