,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,_Int,_Tkl+Int,_Clr,_Err,Matches
0,1,Abner,br BRA,DF,Betis,22,2000,6.7,12.0,9,9.0,2.0,1.0,7.0,16.0,43.8,9.0,8.0,2.0,6.0,8,20.0,24.0,0.0,Matches
1,2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
2,3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,21.2,57.0,36,34.0,17.0,6.0,30.0,42.0,71.4,12.0,16.0,5.0,11.0,23,80.0,36.0,0.0,Matches
3,4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,7.5,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,Matches
4,5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,21.0,27.0,15,13.0,11.0,3.0,15.0,25.0,60.0,10.0,16.0,4.0,12.0,13,40.0,15.0,0.0,Matches
5,6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,34.7,51.0,36,33.0,17.0,1.0,16.0,28.0,57.1,12.0,26.0,14.0,12.0,31,82.0,150.0,0.0,Matches
6,7,Sergio Akieme,es ESP,DF,Almería,24,1997,25.5,27.0,16,19.0,6.0,2.0,12.0,22.0,54.5,10.0,22.0,6.0,16.0,14,41.0,41.0,0.0,Matches
7,8,Babatunde Akinsola,ng NGA,FW,Valladolid,19,2003,0.1,1.0,1,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Matches
8,9,Paul Akouokou,ci CIV,MFDF,Betis,24,1997,5.0,16.0,9,13.0,3.0,0.0,13.0,20.0,65.0,7.0,2.0,2.0,0.0,12,28.0,17.0,1.0,Matches
9,10,David Alaba,at AUT,DF,Real Madrid,30,1992,20.4,15.0,11,8.0,4.0,3.0,9.0,15.0,60.0,6.0,18.0,9.0,9.0,14,29.0,37.0,1.0,Matches
10,11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,0.3,,0,,,,,,,,,,,0,,,,Matches
11,12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,2.5,3.0,2,0.0,2.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,2,5.0,2.0,0.0,Matches
12,13,Jordi Alba,es ESP,DF,Barcelona,33,1989,15.8,25.0,18,13.0,11.0,1.0,12.0,28.0,42.9,16.0,12.0,5.0,7.0,11,36.0,23.0,0.0,Matches
13,14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,23.5,25.0,17,17.0,6.0,2.0,14.0,18.0,77.8,4.0,17.0,13.0,4.0,14,39.0,111.0,0.0,Matches
14,15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,22.7,43.0,31,24.0,18.0,1.0,19.0,54.0,35.2,35.0,23.0,8.0,15.0,19,62.0,37.0,0.0,Matches
15,16,Omar Alderete,py PAR,DF,Getafe,25,1996,22.7,35.0,20,21.0,14.0,0.0,28.0,40.0,70.0,12.0,23.0,16.0,7.0,26,61.0,85.0,0.0,Matches
