,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,_Int,_Tkl+Int,_Clr,_Err,Matches
16,17,Iván Alejo,es ESP,MFFW,Cádiz,27,1995,14.6,32.0,21,19.0,9.0,4.0,17.0,37.0,45.9,20.0,18.0,3.0,15.0,5,37.0,12.0,1.0,Matches
17,18,Carles Aleñá,es ESP,MFFW,Getafe,24,1998,23.5,18.0,10,7.0,5.0,6.0,5.0,34.0,14.7,29.0,19.0,1.0,18.0,4,22.0,18.0,0.0,Matches
18,19,Alejandro Alfaro,es ESP,MF,Elche,20,2002,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
19,20,Ángel Algobia,es ESP,MF,Getafe,23,1999,12.6,27.0,13,14.0,13.0,0.0,22.0,48.0,45.8,26.0,15.0,5.0,10.0,3,30.0,11.0,0.0,Matches
20,21,Mohamed Ali Cho,fr FRA,FWMF,Real Sociedad,18,2004,6.5,13.0,10,6.0,5.0,2.0,4.0,10.0,40.0,6.0,9.0,0.0,9.0,2,15.0,2.0,0.0,Matches
21,22,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,22,2000,28.2,66.0,42,23.0,32.0,11.0,26.0,57.0,45.6,31.0,26.0,0.0,26.0,20,86.0,16.0,1.0,Matches
22,23,Marcos Alonso,es ESP,DF,Barcelona,31,1990,13.0,15.0,10,10.0,5.0,0.0,9.0,12.0,75.0,3.0,14.0,10.0,4.0,11,26.0,32.0,0.0,Matches
23,24,Carlos Álvarez,es ESP,MF,Sevilla,18,2003,0.1,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Matches
24,25,Gastón Álvarez,uy URU,DF,Getafe,22,2000,16.7,38.0,30,24.0,9.0,5.0,23.0,42.0,54.8,19.0,15.0,5.0,10.0,15,53.0,35.0,0.0,Matches
25,26,Yeray Álvarez,es ESP,DF,Athletic Club,27,1995,25.9,34.0,23,26.0,7.0,1.0,24.0,31.0,77.4,7.0,23.0,13.0,10.0,48,82.0,101.0,0.0,Matches
26,27,Selim Amallah,ma MAR,MFFW,Valladolid,25,1996,3.0,15.0,9,7.0,8.0,0.0,5.0,8.0,62.5,3.0,2.0,0.0,2.0,5,20.0,2.0,0.0,Matches
27,28,Amath,sn SEN,MFFW,Mallorca,26,1996,13.6,29.0,19,14.0,8.0,7.0,14.0,22.0,63.6,8.0,13.0,1.0,12.0,5,34.0,5.0,0.0,Matches
28,29,Jordan Amavi,fr FRA,DF,Getafe,28,1994,2.2,3.0,2,3.0,0.0,0.0,1.0,3.0,33.3,2.0,3.0,0.0,3.0,4,7.0,7.0,0.0,Matches
29,30,Marcos André,br BRA,FWMF,Valencia,25,1996,5.0,4.0,1,1.0,1.0,2.0,1.0,2.0,50.0,1.0,4.0,1.0,3.0,0,4.0,0.0,0.0,Matches
30,31,Fabrizio Angileri,ar ARG,DF,Getafe,28,1994,6.5,12.0,9,8.0,3.0,1.0,10.0,17.0,58.8,7.0,8.0,3.0,5.0,7,19.0,10.0,0.0,Matches
31,32,Josep Antoni Gayá,es ESP,DFMF,Mallorca,22,2000,1.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,2.0,2.0,1,1.0,6.0,0.0,Matches
32,33,José Antonio,es ESP,MFDF,Cádiz,18,2004,0.5,2.0,1,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,Matches
33,34,Anuar,ma MAR,MFFW,Valladolid,27,1995,2.3,4.0,4,0.0,1.0,3.0,0.0,0.0,,0.0,5.0,2.0,3.0,3,7.0,3.0,0.0,Matches
34,35,Mauro Arambarri,uy URU,MF,Getafe,26,1995,11.0,14.0,6,9.0,4.0,1.0,3.0,17.0,17.6,14.0,17.0,5.0,12.0,14,28.0,19.0,0.0,Matches
35,36,Ronald Araújo,uy URU,DF,Barcelona,23,1999,20.0,26.0,18,12.0,13.0,1.0,6.0,9.0,66.7,3.0,15.0,7.0,8.0,12,38.0,41.0,1.0,Matches
36,37,Adu Ares,es ESP,FWMF,Athletic Club,20,2001,0.9,4.0,2,2.0,1.0,1.0,4.0,4.0,100.0,0.0,1.0,0.0,1.0,2,6.0,1.0,0.0,Matches
37,38,Sergio Arribas,es ESP,MFFW,Real Madrid,20,2001,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,Matches
38,39,Roberto Arroyo,es ESP,MF,Valladolid,18,2003,0.2,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Matches
39,40,Ricard Artero,es ESP,MFFW,Girona,19,2003,1.5,3.0,3,2.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,1,4.0,3.0,0.0,Matches
40,41,Santiago Arzamendia,py PAR,DFMF,Cádiz,24,1998,5.4,9.0,8,7.0,1.0,1.0,6.0,21.0,28.6,15.0,11.0,1.0,10.0,2,11.0,15.0,1.0,Matches
41,42,Sergio Asenjo,es ESP,GK,Valladolid,33,1989,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,10.0,2.0,Matches
42,43,Marco Asensio,es ESP,FWMF,Real Madrid,26,1996,16.0,16.0,10,8.0,6.0,2.0,8.0,19.0,42.1,11.0,8.0,3.0,5.0,5,21.0,4.0,0.0,Matches
43,44,Iago Aspas,es ESP,FW,Celta Vigo,34,1987,31.9,8.0,4,0.0,4.0,4.0,3.0,22.0,13.6,19.0,10.0,1.0,9.0,7,15.0,23.0,0.0,Matches
44,45,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,33,1989,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
45,46,Ludwig Augustinsson,se SWE,DF,Mallorca,28,1994,1.5,2.0,1,2.0,0.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,1,3.0,3.0,0.0,Matches
46,47,Ezequiel Ávila,ar ARG,FWMF,Osasuna,28,1994,19.0,8.0,5,2.0,4.0,2.0,6.0,23.0,26.1,17.0,12.0,1.0,11.0,8,16.0,16.0,0.0,Matches
47,48,Iddrisu Baba,gh GHA,MFDF,Mallorca,26,1996,18.9,31.0,17,15.0,16.0,0.0,15.0,32.0,46.9,17.0,18.0,8.0,10.0,11,42.0,39.0,0.0,Matches
48,49,Srđan Babić,rs SRB,DF,Almería,26,1996,33.3,28.0,18,20.0,8.0,0.0,15.0,32.0,46.9,17.0,34.0,22.0,12.0,29,57.0,124.0,1.0,Matches
49,50,Loïc Bade,fr FRA,DF,Sevilla,22,2000,16.1,27.0,20,23.0,3.0,1.0,17.0,30.0,56.7,13.0,21.0,13.0,8.0,23,50.0,77.0,0.0,Matches
50,51,Édgar Badía,es ESP,GK,Elche,30,1992,36.0,1.0,0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,1.0,19.0,3.0,Matches
51,52,Alex Baena,es ESP,MFFW,Villarreal,21,2001,21.6,30.0,17,9.0,15.0,6.0,15.0,45.0,33.3,30.0,15.0,3.0,12.0,7,37.0,16.0,0.0,Matches
52,53,Alejandro Balde,es ESP,DF,Barcelona,18,2003,27.5,42.0,30,22.0,16.0,4.0,24.0,41.0,58.5,17.0,25.0,3.0,22.0,12,54.0,17.0,1.0,Matches
53,54,Mikel Balenziaga,es ESP,DF,Athletic Club,34,1988,1.3,4.0,4,1.0,2.0,1.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,1,5.0,2.0,0.0,Matches
54,55,Iván Balliu,al ALB,DF,Rayo Vallecano,30,1992,35.9,52.0,29,26.0,20.0,6.0,18.0,30.0,60.0,12.0,26.0,3.0,23.0,25,77.0,72.0,1.0,Matches
55,56,Léo Baptistão,br BRA,FWMF,Almería,29,1992,19.2,32.0,20,13.0,16.0,3.0,13.0,33.0,39.4,20.0,17.0,2.0,15.0,19,51.0,12.0,0.0,Matches
56,57,Keidi Bare,al ALB,MF,Espanyol,24,1997,5.6,15.0,8,7.0,5.0,3.0,7.0,13.0,53.8,6.0,8.0,2.0,6.0,11,26.0,8.0,0.0,Matches
57,58,Kike Barja,es ESP,FWMF,Osasuna,25,1997,14.6,15.0,9,6.0,5.0,4.0,8.0,24.0,33.3,16.0,7.0,0.0,7.0,4,19.0,3.0,0.0,Matches
58,59,Ander Barrenetxea,es ESP,FWDF,Real Sociedad,20,2001,9.8,21.0,15,15.0,6.0,0.0,12.0,28.0,42.9,16.0,15.0,1.0,14.0,5,26.0,7.0,0.0,Matches
59,60,Pablo Barrios,es ESP,MF,Atlético Madrid,19,2003,8.0,19.0,10,3.0,10.0,6.0,8.0,15.0,53.3,7.0,12.0,2.0,10.0,9,28.0,6.0,1.0,Matches
60,61,Rodrigo Battaglia,ar ARG,MF,Mallorca,31,1991,7.6,12.0,5,7.0,5.0,0.0,6.0,14.0,42.9,8.0,16.0,7.0,9.0,5,17.0,18.0,0.0,Matches
61,62,Bebé,cv CPV,FW,Rayo Vallecano,32,1990,0.7,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0,0.0,0.0,0.0,Matches
62,63,Héctor Bellerín,es ESP,DF,Barcelona,27,1995,1.6,2.0,0,0.0,2.0,0.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,3,5.0,2.0,0.0,Matches
63,64,Fran Beltrán,es ESP,MF,Celta Vigo,23,1999,31.7,34.0,22,15.0,14.0,5.0,14.0,55.0,25.5,41.0,29.0,5.0,24.0,53,87.0,35.0,2.0,Matches
64,65,Iker Benito,es ESP,FWMF,Osasuna,19,2002,2.0,4.0,3,0.0,3.0,1.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,2,6.0,4.0,0.0,Matches
65,66,Karim Benzema,fr FRA,FW,Real Madrid,34,1987,22.6,9.0,5,2.0,4.0,3.0,2.0,11.0,18.2,9.0,11.0,0.0,11.0,2,11.0,5.0,0.0,Matches
66,67,Yuri Berchiche,es ESP,DF,Athletic Club,32,1990,26.7,56.0,32,28.0,20.0,8.0,35.0,59.0,59.3,24.0,37.0,12.0,25.0,40,96.0,59.0,1.0,Matches
67,68,Álex Berenguer,es ESP,FW,Athletic Club,27,1995,25.5,58.0,37,17.0,25.0,16.0,23.0,60.0,38.3,37.0,37.0,4.0,33.0,10,68.0,6.0,0.0,Matches
68,69,Pedro Bigas,es ESP,DF,Elche,31,1990,22.4,37.0,20,30.0,7.0,0.0,18.0,29.0,62.1,11.0,25.0,14.0,11.0,33,70.0,95.0,0.0,Matches
69,70,El Bilal Touré,ml MLI,FW,Almería,20,2001,14.0,4.0,3,2.0,1.0,1.0,0.0,3.0,0.0,3.0,6.0,1.0,5.0,1,5.0,23.0,0.0,Matches
70,71,Antonio Blanco,es ESP,MF,Cádiz,22,2000,1.8,6.0,4,5.0,1.0,0.0,4.0,6.0,66.7,2.0,5.0,0.0,5.0,1,7.0,3.0,0.0,Matches
71,72,Lautaro Blanco,ar ARG,DFMF,Elche,23,1999,9.7,16.0,9,10.0,4.0,2.0,9.0,26.0,34.6,17.0,8.0,1.0,7.0,2,18.0,10.0,1.0,Matches
72,73,Theo Bongonda,cd COD,MFFW,Cádiz,26,1995,21.5,28.0,20,11.0,14.0,3.0,17.0,40.0,42.5,23.0,21.0,2.0,19.0,6,34.0,14.0,0.0,Matches
73,74,Yassine Bounou,ma MAR,GK,Sevilla,31,1991,23.9,2.0,1,2.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,2,4.0,11.0,1.0,Matches
74,75,Lucas Boyé,ar ARG,FW,Elche,26,1996,27.4,36.0,16,12.0,16.0,8.0,17.0,35.0,48.6,18.0,33.0,5.0,28.0,15,51.0,46.0,0.0,Matches
75,76,Martin Braithwaite,dk DEN,FWMF,Espanyol,31,1991,27.3,12.0,2,2.0,4.0,6.0,5.0,14.0,35.7,9.0,10.0,0.0,10.0,5,17.0,11.0,0.0,Matches
76,77,Juan Brandáriz,es ESP,DF,Almería,23,1999,16.5,29.0,16,18.0,9.0,2.0,14.0,23.0,60.9,9.0,20.0,7.0,13.0,15,44.0,53.0,0.0,Matches
77,78,Darko Brašanac,rs SRB,MF,Osasuna,30,1992,11.6,29.0,20,12.0,10.0,7.0,12.0,23.0,52.2,11.0,14.0,2.0,12.0,12,41.0,9.0,0.0,Matches
78,79,Claudio Bravo,cl CHI,GK,Betis,39,1983,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2,2.0,1.0,1.0,Matches
79,80,Ante Budimir,hr CRO,FW,Osasuna,31,1991,20.0,19.0,9,0.0,12.0,7.0,2.0,10.0,20.0,8.0,10.0,0.0,10.0,5,24.0,19.0,0.0,Matches
80,81,Santiago Bueno,uy URU,DF,Girona,23,1998,33.4,63.0,38,43.0,19.0,1.0,24.0,36.0,66.7,12.0,34.0,22.0,12.0,31,94.0,105.0,2.0,Matches
81,82,Sergio Busquets,es ESP,MF,Barcelona,34,1988,26.0,58.0,26,24.0,26.0,8.0,29.0,51.0,56.9,22.0,32.0,6.0,26.0,27,85.0,36.0,2.0,Matches
82,83,Leandro Cabrera,uy URU,DF,Espanyol,31,1991,29.7,46.0,24,34.0,12.0,0.0,28.0,43.0,65.1,15.0,37.0,23.0,14.0,43,89.0,114.0,2.0,Matches
83,84,Cala,es ESP,DF,Cádiz,32,1989,1.5,2.0,1,1.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,1.0,1.0,1,3.0,12.0,0.0,Matches
84,85,Fernando Calero,es ESP,DFMF,Espanyol,26,1995,17.9,46.0,29,27.0,15.0,4.0,21.0,34.0,61.8,13.0,31.0,13.0,18.0,13,59.0,52.0,0.0,Matches
85,86,Alexander Callens,pe PER,DF,Girona,30,1992,1.3,3.0,3,2.0,1.0,0.0,3.0,4.0,75.0,1.0,3.0,1.0,2.0,1,4.0,9.0,0.0,Matches
86,87,Eduardo Camavinga,fr FRA,MFDF,Real Madrid,19,2002,22.3,68.0,48,32.0,21.0,15.0,24.0,64.0,37.5,40.0,24.0,5.0,19.0,17,85.0,25.0,0.0,Matches
87,88,Sergio Camello,es ESP,FW,Rayo Vallecano,21,2001,26.7,16.0,10,3.0,9.0,4.0,5.0,17.0,29.4,12.0,9.0,1.0,8.0,2,18.0,26.0,0.0,Matches
88,89,Sergio Canales,es ESP,FWMF,Betis,31,1991,26.7,25.0,14,10.0,8.0,7.0,14.0,33.0,42.4,19.0,18.0,0.0,18.0,14,39.0,8.0,0.0,Matches
89,90,Ander Capa,es ESP,DF,Athletic Club,30,1992,1.2,1.0,1,1.0,0.0,0.0,1.0,5.0,20.0,4.0,5.0,0.0,5.0,0,1.0,2.0,0.0,Matches
90,91,Étienne Capoue,fr FRA,MF,Villarreal,34,1988,21.7,21.0,12,6.0,13.0,2.0,10.0,18.0,55.6,8.0,12.0,5.0,7.0,19,40.0,20.0,1.0,Matches
91,92,Isaac Carcelen,es ESP,DF,Cádiz,29,1993,24.4,69.0,51,41.0,22.0,6.0,41.0,63.0,65.1,22.0,35.0,11.0,24.0,19,88.0,80.0,1.0,Matches
92,93,Juan Carlos,es ESP,GK,Girona,34,1988,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,7.0,1.0,Matches
93,94,José Carlos Lazo,es ESP,MFFW,Almería,26,1996,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
94,95,José Carlos Lazo,es ESP,MFFW,Espanyol,26,1996,1.8,5.0,3,2.0,2.0,1.0,3.0,3.0,100.0,0.0,2.0,0.0,2.0,3,8.0,5.0,0.0,Matches
95,96,Carmona,es ESP,MFDF,Elche,20,2002,6.5,16.0,9,7.0,6.0,3.0,6.0,16.0,37.5,10.0,14.0,2.0,12.0,8,24.0,9.0,0.0,Matches
96,97,Carmona,es ESP,DF,Sevilla,20,2002,5.9,13.0,11,5.0,3.0,5.0,9.0,16.0,56.3,7.0,10.0,6.0,4.0,7,20.0,17.0,1.0,Matches
97,98,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,28,1993,25.7,35.0,14,21.0,10.0,4.0,23.0,54.0,42.6,31.0,23.0,1.0,22.0,12,47.0,19.0,0.0,Matches
98,99,Dani Carvajal,es ESP,DF,Real Madrid,30,1992,19.8,32.0,18,15.0,12.0,5.0,18.0,35.0,51.4,17.0,24.0,6.0,18.0,15,47.0,49.0,0.0,Matches
99,100,William Carvalho,pt POR,MF,Betis,30,1992,27.1,43.0,27,18.0,23.0,2.0,17.0,44.0,38.6,27.0,27.0,6.0,21.0,16,59.0,22.0,0.0,Matches
100,101,Casemiro,br BRA,MF,Real Madrid,30,1992,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,Matches
101,102,Valentín Castellanos,ar ARG,FW,Girona,23,1998,28.9,12.0,5,2.0,7.0,3.0,0.0,18.0,0.0,18.0,22.0,2.0,20.0,6,18.0,26.0,0.0,Matches
102,103,Samu Castillejo,es ESP,FWMF,Valencia,27,1995,15.1,21.0,12,8.0,9.0,4.0,8.0,40.0,20.0,32.0,21.0,2.0,19.0,9,30.0,2.0,0.0,Matches
103,104,Catena,es ESP,DF,Rayo Vallecano,27,1994,34.5,29.0,14,23.0,4.0,2.0,13.0,27.0,48.1,14.0,32.0,25.0,7.0,28,57.0,159.0,1.0,Matches
104,105,Edinson Cavani,uy URU,FW,Valencia,35,1987,16.1,7.0,4,3.0,3.0,1.0,3.0,15.0,20.0,12.0,10.0,3.0,7.0,2,9.0,11.0,0.0,Matches
105,106,Dani Ceballos,es ESP,MF,Real Madrid,25,1996,17.4,43.0,29,13.0,15.0,15.0,25.0,64.0,39.1,39.0,23.0,2.0,21.0,25,68.0,6.0,1.0,Matches
106,107,Álex Centelles,es ESP,DF,Almería,24,1997,12.5,22.0,14,16.0,3.0,3.0,16.0,22.0,72.7,6.0,13.0,2.0,11.0,11,33.0,40.0,0.0,Matches
107,108,Franco Cervi,ar ARG,MFDF,Celta Vigo,28,1994,21.0,76.0,46,29.0,36.0,11.0,33.0,66.0,50.0,33.0,33.0,1.0,32.0,36,112.0,16.0,0.0,Matches
108,109,Pep Chavarría,es ESP,FWMF,Rayo Vallecano,24,1998,4.1,6.0,4,2.0,1.0,3.0,1.0,5.0,20.0,4.0,8.0,0.0,8.0,2,8.0,8.0,0.0,Matches
109,110,Pape Cheikh Diop,sn SEN,MF,Elche,24,1997,0.4,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
110,111,Andreas Christensen,dk DEN,DF,Barcelona,26,1996,19.6,20.0,15,9.0,11.0,0.0,10.0,16.0,62.5,6.0,14.0,12.0,2.0,21,41.0,47.0,0.0,Matches
111,112,Samuel Chukwueze,ng NGA,FWMF,Villarreal,23,1999,26.0,14.0,7,7.0,2.0,5.0,7.0,23.0,30.4,16.0,13.0,0.0,13.0,12,26.0,16.0,0.0,Matches
112,113,Víctor Chust,es ESP,DF,Cádiz,22,2000,10.7,9.0,6,7.0,2.0,0.0,4.0,7.0,57.1,3.0,8.0,3.0,5.0,10,19.0,53.0,0.0,Matches
113,114,Pathé Ciss,sn SEN,MFDF,Rayo Vallecano,28,1994,14.2,39.0,29,11.0,23.0,5.0,15.0,34.0,44.1,19.0,23.0,10.0,13.0,22,61.0,34.0,0.0,Matches
114,115,Carlos Clerc,es ESP,DFMF,Elche,30,1992,29.3,75.0,51,55.0,16.0,4.0,31.0,50.0,62.0,19.0,29.0,7.0,22.0,28,103.0,94.0,1.0,Matches
115,116,Álex Collado,es ESP,MF,Elche,23,1999,8.1,26.0,14,13.0,11.0,2.0,8.0,13.0,61.5,5.0,12.0,1.0,11.0,2,28.0,4.0,0.0,Matches
116,117,Diego Collado,es ESP,FW,Villarreal,21,2001,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
117,118,Eray Cömert,ch SUI,DF,Valencia,24,1998,18.6,35.0,23,24.0,10.0,1.0,17.0,33.0,51.5,16.0,23.0,8.0,15.0,29,64.0,76.0,1.0,Matches
118,119,Santi Comesaña,es ESP,MF,Rayo Vallecano,25,1996,27.2,71.0,44,24.0,41.0,6.0,38.0,82.0,46.3,44.0,39.0,3.0,36.0,32,103.0,17.0,0.0,Matches
119,120,Copete,es ESP,DF,Mallorca,22,1999,24.5,53.0,28,35.0,16.0,2.0,26.0,36.0,72.2,10.0,38.0,17.0,21.0,44,97.0,111.0,2.0,Matches
120,121,Francis Coquelin,fr FRA,MF,Villarreal,31,1991,8.3,18.0,13,7.0,9.0,2.0,7.0,7.0,100.0,0.0,8.0,2.0,6.0,9,27.0,7.0,0.0,Matches
121,122,Jesús Corona,mx MEX,FW,Sevilla,29,1993,1.2,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2.0,1.0,0.0,Matches
122,123,Ángel Correa,ar ARG,FWMF,Atlético Madrid,27,1995,16.2,12.0,6,6.0,3.0,3.0,5.0,16.0,31.3,11.0,17.0,0.0,17.0,10,22.0,6.0,1.0,Matches
123,124,Thierry Correia,pt POR,DF,Valencia,23,1999,22.3,71.0,52,46.0,22.0,3.0,31.0,54.0,57.4,23.0,25.0,2.0,23.0,24,95.0,54.0,2.0,Matches
124,125,Jaume Costa,es ESP,DF,Mallorca,34,1988,28.9,50.0,34,26.0,17.0,7.0,29.0,51.0,56.9,22.0,13.0,5.0,8.0,22,72.0,44.0,1.0,Matches
125,126,Samu Costa,pt POR,MF,Almería,21,2000,22.1,61.0,31,35.0,20.0,6.0,29.0,61.0,47.5,32.0,29.0,7.0,22.0,37,98.0,64.0,4.0,Matches
126,127,Thibaut Courtois,be BEL,GK,Real Madrid,30,1992,31.0,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3,4.0,7.0,1.0,Matches
127,128,Yan Couto,br BRA,DFMF,Girona,20,2002,12.9,25.0,18,11.0,11.0,3.0,12.0,20.0,60.0,8.0,7.0,2.0,5.0,5,30.0,10.0,0.0,Matches
128,129,Juan Cruz Armada,es ESP,DF,Osasuna,30,1992,22.9,24.0,14,17.0,4.0,3.0,13.0,23.0,56.5,10.0,21.0,8.0,13.0,13,37.0,58.0,0.0,Matches
129,130,Juan Cruz,es ESP,FW,Betis,22,2000,2.0,1.0,0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,0,1.0,0.0,0.0,Matches
130,131,Jorge Cuenca,es ESP,DF,Villarreal,22,1999,5.6,9.0,7,7.0,2.0,0.0,4.0,7.0,57.1,3.0,10.0,8.0,2.0,6,15.0,44.0,0.0,Matches
131,132,Braian Cufré,ar ARG,DF,Mallorca,25,1996,2.4,5.0,2,2.0,1.0,2.0,2.0,5.0,40.0,3.0,2.0,1.0,1.0,2,7.0,1.0,0.0,Matches
132,133,Matheus Cunha,br BRA,FWMF,Atlético Madrid,23,1999,4.2,4.0,1,1.0,3.0,0.0,0.0,3.0,0.0,3.0,4.0,1.0,3.0,2,6.0,3.0,0.0,Matches
133,134,Curro,es ESP,MF,Almería,26,1996,0.5,2.0,0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,2.0,0.0,0.0,Matches
134,135,Arnaut Danjuma,nl NED,FW,Villarreal,25,1997,5.3,3.0,3,1.0,0.0,2.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,3.0,1.0,1.0,Matches
135,136,Sergi Darder,es ESP,MF,Espanyol,28,1993,36.9,69.0,38,12.0,43.0,14.0,29.0,73.0,39.7,44.0,34.0,2.0,32.0,24,93.0,23.0,0.0,Matches
