,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,PenaltyKicks_PKatt,PenaltyKicks_PKA,PenaltyKicks_PKsv,PenaltyKicks_PKm,PenaltyKicks_Save%,Matches
0,1,Emil Audero,it ITA,GK,Sampdoria,25,1997,25,25,2250,25.0,39.0,1.56,121.0,82.0,71.9,2,6.0,17.0,4.0,16.0,7.0,5.0,2.0,0.0,28.6,Matches
1,2,Francesco Bardi,it ITA,GK,Bologna,30,1992,1,1,90,1.0,0.0,0.0,4.0,4.0,100.0,1,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
2,3,Marco Carnesecchi,it ITA,GK,Cremonese,22,2000,27,27,2430,27.0,47.0,1.74,153.0,107.0,70.6,4,9.0,14.0,4.0,14.8,2.0,2.0,0.0,0.0,0.0,Matches
3,4,Michele Cerofolini,it ITA,GK,Fiorentina,23,1999,5,5,450,5.0,3.0,0.6,11.0,8.0,81.8,4,1.0,0.0,2.0,40.0,1.0,1.0,0.0,0.0,0.0,Matches
4,5,Andrea Consigli,it ITA,GK,Sassuolo,35,1987,35,35,3150,35.0,55.0,1.57,117.0,64.0,55.6,12,8.0,15.0,9.0,25.7,3.0,3.0,0.0,0.0,0.0,Matches
5,6,Alex Cordaz,it ITA,GK,Inter,39,1983,1,0,26,0.3,0.0,0.0,2.0,2.0,100.0,0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,Matches
6,7,Alessio Cragno,it ITA,GK,Monza,28,1994,1,1,90,1.0,3.0,3.0,5.0,2.0,40.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
7,8,Michele Di Gregorio,it ITA,GK,Monza,25,1997,37,37,3330,37.0,49.0,1.32,167.0,119.0,72.5,14,10.0,13.0,10.0,27.0,3.0,3.0,0.0,0.0,0.0,Matches
8,9,Bartłomiej Drągowski,pl POL,GK,Spezia,24,1997,34,34,2946,32.7,54.0,1.65,164.0,112.0,69.5,6,10.0,18.0,6.0,17.6,6.0,4.0,1.0,1.0,20.0,Matches
9,10,Wladimiro Falcone,it ITA,GK,Lecce,27,1995,38,38,3420,38.0,46.0,1.21,156.0,112.0,73.7,8,12.0,18.0,6.0,15.8,6.0,5.0,1.0,0.0,16.7,Matches
10,11,Vincenzo Fiorillo,it ITA,GK,Salernitana,32,1990,1,1,90,1.0,2.0,2.0,4.0,2.0,50.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
11,12,Pierluigi Gollini,it ITA,GK,Napoli,27,1995,4,4,360,4.0,4.0,1.0,16.0,12.0,75.0,2,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,,Matches
12,13,Pierluigi Gollini,it ITA,GK,Fiorentina,27,1995,3,3,270,3.0,2.0,0.67,8.0,6.0,75.0,1,2.0,0.0,2.0,66.7,0.0,0.0,0.0,0.0,,Matches
