,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
0,1,Abner,br BRA,DF,Betis,22,2000,6.7,0,5,1,20.0,0.74,0.15,0.0,0.0,13.6,0.0,0,0,1.7,1.7,0.34,-1.7,-1.7,Matches
1,2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
2,3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,21.2,3,21,5,23.8,0.99,0.24,0.14,0.6,25.6,1.0,0,0,1.2,1.2,0.06,1.8,1.8,Matches
3,4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,7.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
4,5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,21.0,1,20,6,30.0,0.95,0.29,0.05,0.17,24.6,1.0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
5,6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,34.7,3,14,3,21.4,0.4,0.09,0.21,1.0,13.2,0.0,0,0,1.0,1.0,0.07,2.0,2.0,Matches
6,7,Sergio Akieme,es ESP,DF,Almería,24,1997,25.5,1,23,7,30.4,0.9,0.27,0.04,0.14,20.2,0.0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
7,8,Babatunde Akinsola,ng NGA,FW,Valladolid,19,2003,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
8,9,Paul Akouokou,ci CIV,MFDF,Betis,24,1997,5.0,0,3,1,33.3,0.6,0.2,0.0,0.0,19.2,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
9,10,David Alaba,at AUT,DF,Real Madrid,30,1992,20.4,1,14,3,21.4,0.69,0.15,0.07,0.33,19.8,5.0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
10,11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,0.3,0,1,1,100.0,3.6,3.6,0.0,0.0,,,0,0,,,,,,Matches
11,12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,2.5,0,2,1,50.0,0.81,0.4,0.0,0.0,36.4,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
12,13,Jordi Alba,es ESP,DF,Barcelona,33,1989,15.8,2,13,4,30.8,0.82,0.25,0.15,0.5,23.3,0.0,0,0,0.8,0.8,0.06,1.2,1.2,Matches
13,14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,23.5,0,2,1,50.0,0.08,0.04,0.0,0.0,25.2,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
14,15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,22.7,3,31,4,12.9,1.37,0.18,0.03,0.25,23.5,3.0,2,3,4.0,1.6,0.05,-1.0,-0.6,Matches
15,16,Omar Alderete,py PAR,DF,Getafe,25,1996,22.7,1,17,8,47.1,0.75,0.35,0.06,0.13,17.6,0.0,0,0,0.6,0.6,0.04,0.4,0.4,Matches
16,17,Iván Alejo,es ESP,MFFW,Cádiz,27,1995,14.6,0,23,6,26.1,1.58,0.41,0.0,0.0,21.3,0.0,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
17,18,Carles Aleñá,es ESP,MFFW,Getafe,24,1998,23.5,2,33,10,30.3,1.4,0.42,0.06,0.2,22.3,0.0,0,0,2.3,2.3,0.07,-0.3,-0.3,Matches
18,19,Alejandro Alfaro,es ESP,MF,Elche,20,2002,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
