,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,_Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
0,1,Brenden Aaronson,us USA,MFFW,Leeds United,21,2000,26.4,797,711,85,26,8,2,72,5,38,17,14,1,592,1,27,Matches
1,2,George Abbott,eng ENG,MF,Tottenham,16,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
2,3,Che Adams,sct SCO,FW,Southampton,26,1996,22.1,498,490,7,0,6,7,12,4,0,0,0,0,330,1,17,Matches
3,4,Tyler Adams,us USA,MF,Leeds United,23,1999,24.0,1343,1271,72,58,1,2,2,14,0,0,0,0,1108,0,24,Matches
4,5,Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,23.2,1300,1235,58,47,2,12,2,7,0,0,0,0,1066,7,10,Matches
5,6,Nayef Aguerd,ma MAR,DF,West Ham,26,1996,17.7,763,723,36,29,0,21,0,0,0,0,0,0,599,4,5,Matches
6,7,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,20,2002,1.0,46,45,1,0,0,0,2,0,0,0,0,0,37,0,0,Matches
7,8,Rayan Aït-Nouri,dz ALG,DF,Wolves,21,2001,12.0,578,487,89,5,0,2,21,81,3,1,2,0,470,2,18,Matches
8,9,Kristoffer Ajer,no NOR,DF,Brentford,24,1998,8.5,345,293,51,7,0,4,6,44,0,0,0,0,259,1,8,Matches
9,10,Manuel Akanji,ch SUI,DF,Manchester City,27,1995,25.4,2056,1999,55,28,0,8,6,27,0,0,0,0,1912,2,8,Matches
10,11,Nathan Aké,nl NED,DF,Manchester City,27,1995,20.8,1813,1685,126,35,1,6,15,91,0,0,0,0,1639,2,26,Matches
11,12,Marc Albrighton,eng ENG,FWMF,Leicester City,32,1989,2.6,148,130,17,1,1,0,28,7,7,1,3,2,89,1,10,Matches
12,13,Thiago Alcántara,es ESP,MF,Liverpool,31,1991,13.9,1097,1063,31,23,8,15,3,6,0,0,0,0,946,3,22,Matches
13,14,Carlos Alcaraz,ar ARG,MFFW,Southampton,19,2002,11.4,290,279,9,1,2,4,4,1,0,0,0,0,222,2,10,Matches
14,15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,32.5,2912,2393,509,70,26,59,252,341,98,16,74,1,2188,10,37,Matches
15,16,Alisson,br BRA,GK,Liverpool,29,1992,37.0,1453,1199,250,57,0,2,0,0,0,0,0,0,1241,4,1,Matches
16,17,Dele Alli,eng ENG,MF,Everton,26,1996,0.4,15,13,2,1,0,0,0,0,0,0,0,0,12,0,0,Matches
17,18,Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,27.7,982,946,30,0,3,4,26,18,11,0,0,0,811,6,29,Matches
18,19,Julián Álvarez,ar ARG,FWMF,Manchester City,22,2000,16.3,503,478,21,2,7,3,26,4,4,3,0,0,395,4,17,Matches
19,20,Daniel Amartey,gh GHA,DF,Leicester City,27,1994,17.9,1114,1092,20,15,2,2,0,5,0,0,0,0,1015,2,2,Matches
20,21,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,2006,0.0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
21,22,Joachim Andersen,dk DEN,DF,Crystal Palace,26,1996,30.9,1972,1840,123,107,4,44,10,13,1,0,0,0,1561,9,13,Matches
22,23,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,19,2002,4.6,198,193,3,0,1,0,9,2,1,0,0,0,150,2,10,Matches
23,24,Jaidon Anthony,eng ENG,MFFW,Bournemouth,22,1999,14.0,526,480,45,9,2,5,43,21,14,9,1,1,387,1,18,Matches
24,25,Michail Antonio,jm JAM,FW,West Ham,32,1990,20.3,348,335,12,1,1,1,35,8,0,0,0,0,186,1,18,Matches
25,26,Antony,br BRA,FW,Manchester Utd,22,2000,20.0,819,804,15,1,3,2,32,13,1,0,0,0,651,0,29,Matches
26,27,Cameron Archer,eng ENG,FWMF,Aston Villa,21,2001,0.5,12,11,1,1,0,0,1,0,0,0,0,0,8,0,1,Matches
27,28,Alphonse Areola,fr FRA,GK,West Ham,29,1993,3.4,92,59,32,2,0,0,0,0,0,0,0,0,67,1,0,Matches
28,29,Joe Aribo,ng NGA,MFFW,Southampton,26,1996,13.6,385,376,9,0,0,0,8,2,0,0,0,0,280,0,16,Matches
29,30,Adam Armstrong,eng ENG,FWMF,Southampton,25,1997,14.8,302,267,35,0,0,4,14,3,0,0,0,0,220,0,21,Matches
30,31,Stuart Armstrong,sct SCO,MFFW,Southampton,30,1992,15.6,676,634,40,4,3,3,37,14,2,0,2,0,531,2,24,Matches
31,32,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,28.5,1046,805,241,59,0,3,0,0,0,0,0,0,871,0,1,Matches
32,33,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,1989,6.2,111,101,10,0,0,0,3,0,0,0,0,0,82,0,5,Matches
33,34,Ludwig Augustinsson,se SWE,DF,Aston Villa,28,1994,0.9,43,34,9,1,0,0,5,8,0,0,0,0,26,0,0,Matches
34,35,Serge Aurier,ci CIV,DF,Nott'ham Forest,29,1992,21.6,943,758,183,16,1,0,40,167,0,0,0,0,667,2,28,Matches
35,36,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24,1997,15.6,223,220,3,0,2,1,3,1,0,0,0,0,143,0,9,Matches
36,37,Yasin Ayari,se SWE,MF,Brighton,18,2003,0.7,23,22,0,0,1,0,0,0,0,0,0,0,20,1,0,Matches
37,38,André Ayew,gh GHA,FWMF,Nott'ham Forest,32,1989,3.5,73,68,5,0,0,0,1,0,1,0,0,0,53,0,0,Matches
38,39,Jordan Ayew,gh GHA,FWMF,Crystal Palace,30,1991,30.2,875,860,13,3,5,1,43,9,0,0,0,0,676,2,34,Matches
