,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Min,PlayingTime_Mn/MP,PlayingTime_Min%,PlayingTime_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,TeamSuccess_PPM,TeamSuccess_onG,TeamSuccess_onGA,TeamSuccess_+/-,TeamSuccess_+/-90,TeamSuccess_On-Off,TeamSuccess(xG)_onxG,TeamSuccess(xG)_onxGA,TeamSuccess(xG)_xG+/-,TeamSuccess(xG)_xG+/-90,TeamSuccess(xG)_On-Off,Matches
0,1,James Abankwah,ie IRL,DF,Udinese,18,2004,2,63.0,32.0,1.8,0.7,1,58.0,0,1,5.0,33,0.0,0.0,0.0,0.0,0.0,0.03,0.4,0.7,-0.3,-0.37,-0.25,Matches
1,2,Oliver Abildgaard,dk DEN,MF,Hellas Verona,26,1996,13,592.0,46.0,17.3,6.6,6,80.0,5,7,16.0,5,1.08,2.0,11.0,-9.0,-1.37,-0.76,4.9,9.3,-4.4,-0.67,-0.36,Matches
2,3,Tammy Abraham,eng ENG,FW,Roma,24,1997,38,2189.0,58.0,64.0,24.3,24,77.0,7,14,24.0,0,1.66,32.0,25.0,7.0,0.29,-0.08,37.7,22.9,14.8,0.61,-0.16,Matches
3,4,Christian Acella,it ITA,MF,Cremonese,20,2002,1,15.0,15.0,0.4,0.2,0,,0,1,15.0,25,0.0,0.0,1.0,-1.0,-6.0,-5.15,0.0,0.1,-0.1,-0.65,0.07,Matches
4,5,Francesco Acerbi,it ITA,DF,Inter,34,1988,31,2425.0,78.0,70.9,26.9,25,90.0,24,6,31.0,3,1.94,53.0,30.0,23.0,0.85,0.31,49.5,26.6,22.9,0.85,0.07,Matches
5,6,Marius Adamonis,lt LTU,GK,Lazio,25,1997,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches
6,7,Yacine Adli,fr FRA,MFFW,Milan,22,2000,6,144.0,24.0,4.2,1.6,1,59.0,0,5,17.0,32,1.17,2.0,4.0,-2.0,-1.25,-1.88,2.4,2.9,-0.5,-0.33,-0.83,Matches
7,8,Michel Aebischer,ch SUI,FWMF,Bologna,25,1997,32,1542.0,48.0,45.1,17.1,18,72.0,5,14,17.0,6,1.5,23.0,26.0,-3.0,-0.18,-0.51,16.9,21.6,-4.8,-0.28,-0.28,Matches
8,9,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,19,2003,23,817.0,36.0,23.9,9.1,7,63.0,1,16,24.0,11,0.78,9.0,13.0,-4.0,-0.44,0.56,8.1,12.9,-4.8,-0.52,0.26,Matches
9,10,Felix Afena-Gyan,gh GHA,FW,Roma,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
10,11,Lucien Agoume,fr FRA,MF,Inter,20,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
11,12,Kevin Agudelo,co COL,MFFW,Spezia,23,1998,34,2131.0,63.0,62.3,23.7,23,78.0,6,11,31.0,2,0.74,20.0,39.0,-19.0,-0.8,0.04,24.4,38.7,-14.3,-0.6,-0.35,Matches
12,13,Ola Aina,ng NGA,DF,Torino,25,1996,19,876.0,46.0,25.6,9.7,9,75.0,4,10,20.0,3,1.53,10.0,7.0,3.0,0.31,0.38,13.7,10.5,3.2,0.32,0.37,Matches
13,14,Emanuel Aiwum,at AUT,DF,Cremonese,21,2000,23,1653.0,72.0,48.3,18.4,17,87.0,14,6,29.0,13,0.61,13.0,30.0,-17.0,-0.93,-0.11,17.4,33.9,-16.5,-0.9,-0.35,Matches
14,15,Ebenezer Akinsanmiro,ng NGA,MF,Inter,17,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
15,16,Jean-Daniel Akpa-Akpro,ci CIV,MFFW,Empoli,29,1992,24,1356.0,57.0,39.6,15.1,16,72.0,2,8,26.0,0,1.29,17.0,20.0,-3.0,-0.2,0.19,17.3,22.2,-5.0,-0.33,0.3,Matches
16,17,Luis Alberto,es ESP,MF,Lazio,29,1992,35,2442.0,70.0,71.4,27.1,27,82.0,16,8,27.0,2,1.94,49.0,19.0,30.0,1.11,1.11,39.6,27.7,11.9,0.44,0.63,Matches
17,18,Pasquale Allocca,it ITA,GK,Salernitana,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
18,19,Agustín Álvarez Martínez,uy URU,FWMF,Sassuolo,21,2001,22,368.0,17.0,10.8,4.1,1,53.0,0,21,15.0,13,0.86,6.0,9.0,-3.0,-0.73,-0.41,4.8,6.3,-1.5,-0.38,-0.48,Matches
19,20,Lorenzo Amatucci,it ITA,MF,Fiorentina,18,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
20,21,Wisdom Amey,it ITA,DF,Bologna,16,2005,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
21,22,Kelvin Amian,fr FRA,DF,Spezia,24,1998,30,2372.0,79.0,69.4,26.4,26,87.0,22,4,31.0,0,0.73,21.0,42.0,-21.0,-0.8,0.06,32.0,41.6,-9.6,-0.37,0.35,Matches
