,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,_Ast,_xAG,Expected_xA,Expected_A-xAG,_KP,_1/3,_PPA,_CrsPA,_PrgP,Matches
44,45,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,33,1989,0.1,3.0,3.0,100.0,59.0,26.0,0.0,0.0,,3.0,3.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
45,46,Ludwig Augustinsson,se SWE,DF,Mallorca,28,1994,1.5,49.0,70.0,70.0,727.0,274.0,32.0,35.0,91.4,13.0,23.0,56.5,2.0,10.0,20.0,0,0.0,0.1,0.0,1.0,1.0,2.0,2.0,5.0,Matches
46,47,Ezequiel Ávila,ar ARG,FWMF,Osasuna,28,1994,19.0,287.0,526.0,54.6,5983.0,1501.0,131.0,185.0,70.8,87.0,151.0,57.6,62.0,139.0,44.6,2,1.8,2.1,0.2,18.0,24.0,25.0,14.0,39.0,Matches
47,48,Iddrisu Baba,gh GHA,MFDF,Mallorca,26,1996,18.9,476.0,584.0,81.5,8907.0,2460.0,190.0,212.0,89.6,221.0,252.0,87.7,57.0,93.0,61.3,0,0.2,0.3,-0.2,5.0,42.0,2.0,0.0,47.0,Matches
48,49,Srđan Babić,rs SRB,DF,Almería,26,1996,33.3,1172.0,1373.0,85.4,23290.0,8365.0,382.0,420.0,91.0,637.0,700.0,91.0,142.0,223.0,63.7,0,0.3,0.4,-0.3,7.0,55.0,3.0,1.0,63.0,Matches
49,50,Loïc Bade,fr FRA,DF,Sevilla,22,2000,16.1,735.0,847.0,86.8,13873.0,4762.0,253.0,273.0,92.7,409.0,445.0,91.9,64.0,105.0,61.0,0,0.1,0.1,-0.1,2.0,40.0,0.0,0.0,42.0,Matches
50,51,Édgar Badía,es ESP,GK,Elche,30,1992,36.0,791.0,1072.0,73.8,24081.0,17998.0,102.0,103.0,99.0,381.0,393.0,96.9,306.0,570.0,53.7,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,Matches
51,52,Alex Baena,es ESP,MFFW,Villarreal,21,2001,21.6,681.0,859.0,79.3,11154.0,3034.0,340.0,380.0,89.5,257.0,301.0,85.4,59.0,100.0,59.0,2,5.2,3.8,-3.2,31.0,75.0,43.0,3.0,124.0,Matches
52,53,Alejandro Balde,es ESP,DF,Barcelona,18,2003,27.5,1482.0,1670.0,88.7,21525.0,4340.0,892.0,951.0,93.8,486.0,536.0,90.7,71.0,106.0,67.0,6,4.9,5.4,1.1,22.0,74.0,22.0,16.0,79.0,Matches
53,54,Mikel Balenziaga,es ESP,DF,Athletic Club,34,1988,1.3,49.0,69.0,71.0,819.0,242.0,25.0,29.0,86.2,19.0,26.0,73.1,5.0,9.0,55.6,0,0.0,0.1,0.0,0.0,4.0,2.0,1.0,7.0,Matches
54,55,Iván Balliu,al ALB,DF,Rayo Vallecano,30,1992,35.9,1422.0,1850.0,76.9,23328.0,9525.0,718.0,792.0,90.7,551.0,707.0,77.9,118.0,235.0,50.2,0,2.8,2.6,-2.8,32.0,95.0,34.0,18.0,131.0,Matches
55,56,Léo Baptistão,br BRA,FWMF,Almería,29,1992,19.2,359.0,540.0,66.5,5742.0,1514.0,179.0,229.0,78.2,124.0,178.0,69.7,30.0,66.0,45.5,1,1.2,0.9,-0.2,18.0,30.0,13.0,3.0,51.0,Matches
56,57,Keidi Bare,al ALB,MF,Espanyol,24,1997,5.6,221.0,267.0,82.8,3777.0,1040.0,106.0,122.0,86.9,93.0,104.0,89.4,20.0,31.0,64.5,1,0.2,0.2,0.8,3.0,25.0,1.0,0.0,28.0,Matches
57,58,Kike Barja,es ESP,FWMF,Osasuna,25,1997,14.6,316.0,487.0,64.9,5033.0,1204.0,174.0,216.0,80.6,96.0,153.0,62.7,30.0,65.0,46.2,6,3.9,3.6,2.1,28.0,13.0,25.0,18.0,35.0,Matches
58,59,Ander Barrenetxea,es ESP,FWDF,Real Sociedad,20,2001,9.8,288.0,376.0,76.6,4302.0,1117.0,162.0,187.0,86.6,95.0,113.0,84.1,19.0,33.0,57.6,1,1.2,1.1,-0.2,9.0,14.0,9.0,1.0,27.0,Matches
59,60,Pablo Barrios,es ESP,MF,Atlético Madrid,19,2003,8.0,368.0,450.0,81.8,5684.0,1671.0,198.0,217.0,91.2,134.0,161.0,83.2,22.0,38.0,57.9,1,0.7,0.5,0.3,4.0,46.0,3.0,0.0,51.0,Matches
60,61,Rodrigo Battaglia,ar ARG,MF,Mallorca,31,1991,7.6,185.0,232.0,79.7,2885.0,894.0,93.0,106.0,87.7,78.0,93.0,83.9,11.0,20.0,55.0,0,0.0,0.1,0.0,1.0,24.0,1.0,0.0,19.0,Matches
61,62,Bebé,cv CPV,FW,Rayo Vallecano,32,1990,0.7,21.0,38.0,55.3,411.0,101.0,8.0,9.0,88.9,9.0,17.0,52.9,4.0,7.0,57.1,0,0.1,0.1,-0.1,2.0,2.0,1.0,1.0,1.0,Matches
62,63,Héctor Bellerín,es ESP,DF,Barcelona,27,1995,1.6,77.0,96.0,80.2,1146.0,419.0,48.0,52.0,92.3,21.0,25.0,84.0,5.0,8.0,62.5,0,0.1,0.5,-0.1,1.0,10.0,4.0,0.0,13.0,Matches
63,64,Fran Beltrán,es ESP,MF,Celta Vigo,23,1999,31.7,1604.0,1816.0,88.3,28935.0,6589.0,658.0,716.0,91.9,743.0,808.0,92.0,164.0,221.0,74.2,2,1.7,2.5,0.3,24.0,136.0,12.0,4.0,138.0,Matches
64,65,Iker Benito,es ESP,FWMF,Osasuna,19,2002,2.0,31.0,42.0,73.8,501.0,92.0,24.0,29.0,82.8,3.0,7.0,42.9,4.0,5.0,80.0,0,0.3,0.2,-0.3,3.0,0.0,1.0,1.0,3.0,Matches
65,66,Karim Benzema,fr FRA,FW,Real Madrid,34,1987,22.6,924.0,1070.0,86.4,10990.0,2417.0,624.0,695.0,89.8,193.0,210.0,91.9,24.0,32.0,75.0,3,5.8,5.5,-2.8,48.0,71.0,51.0,0.0,138.0,Matches
66,67,Yuri Berchiche,es ESP,DF,Athletic Club,32,1990,26.7,1304.0,1580.0,82.5,22195.0,8668.0,640.0,703.0,91.0,537.0,634.0,84.7,105.0,153.0,68.6,1,1.4,1.7,-0.4,21.0,146.0,31.0,14.0,179.0,Matches
67,68,Álex Berenguer,es ESP,FW,Athletic Club,27,1995,25.5,630.0,955.0,66.0,9379.0,2766.0,372.0,441.0,84.4,163.0,266.0,61.3,62.0,152.0,40.8,1,4.6,5.2,-3.6,52.0,25.0,41.0,16.0,77.0,Matches
68,69,Pedro Bigas,es ESP,DF,Elche,31,1990,22.4,843.0,1053.0,80.1,16786.0,7505.0,284.0,314.0,90.4,449.0,500.0,89.8,100.0,200.0,50.0,0,0.0,0.3,0.0,0.0,63.0,1.0,1.0,83.0,Matches
69,70,El Bilal Touré,ml MLI,FW,Almería,20,2001,14.0,183.0,258.0,70.9,2226.0,311.0,130.0,158.0,82.3,44.0,65.0,67.7,2.0,2.0,100.0,2,1.3,0.7,0.7,14.0,7.0,3.0,1.0,14.0,Matches
70,71,Antonio Blanco,es ESP,MF,Cádiz,22,2000,1.8,57.0,61.0,93.4,818.0,137.0,31.0,33.0,93.9,22.0,24.0,91.7,1.0,1.0,100.0,0,0.0,0.1,0.0,1.0,3.0,1.0,0.0,2.0,Matches
71,72,Lautaro Blanco,ar ARG,DFMF,Elche,23,1999,9.7,235.0,416.0,56.5,4363.0,2284.0,117.0,141.0,83.0,85.0,139.0,61.2,32.0,107.0,29.9,2,1.5,1.3,0.5,12.0,19.0,17.0,10.0,28.0,Matches
72,73,Theo Bongonda,cd COD,MFFW,Cádiz,26,1995,21.5,329.0,489.0,67.3,4564.0,1295.0,207.0,254.0,81.5,87.0,123.0,70.7,20.0,70.0,28.6,3,3.0,2.4,0.0,20.0,20.0,11.0,4.0,39.0,Matches
73,74,Yassine Bounou,ma MAR,GK,Sevilla,31,1991,23.9,717.0,949.0,75.6,18725.0,13212.0,155.0,155.0,100.0,341.0,349.0,97.7,219.0,440.0,49.8,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,Matches
74,75,Lucas Boyé,ar ARG,FW,Elche,26,1996,27.4,510.0,650.0,78.5,7080.0,1364.0,292.0,338.0,86.4,140.0,169.0,82.8,32.0,39.0,82.1,2,2.9,1.6,-0.9,29.0,35.0,22.0,5.0,63.0,Matches
75,76,Martin Braithwaite,dk DEN,FWMF,Espanyol,31,1991,27.3,294.0,446.0,65.9,4173.0,986.0,183.0,242.0,75.6,74.0,112.0,66.1,19.0,30.0,63.3,2,1.4,1.1,0.6,12.0,26.0,13.0,2.0,54.0,Matches
76,77,Juan Brandáriz,es ESP,DF,Almería,23,1999,16.5,664.0,806.0,82.4,11229.0,4521.0,313.0,339.0,92.3,291.0,335.0,86.9,47.0,96.0,49.0,0,0.1,0.2,-0.1,2.0,35.0,3.0,2.0,32.0,Matches
77,78,Darko Brašanac,rs SRB,MF,Osasuna,30,1992,11.6,306.0,376.0,81.4,4620.0,1215.0,162.0,179.0,90.5,118.0,143.0,82.5,11.0,19.0,57.9,1,0.6,0.6,0.4,7.0,40.0,7.0,2.0,49.0,Matches
78,79,Claudio Bravo,cl CHI,GK,Betis,39,1983,12.0,232.0,392.0,59.2,7419.0,5674.0,44.0,44.0,100.0,89.0,91.0,97.8,96.0,251.0,38.2,0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,Matches
79,80,Ante Budimir,hr CRO,FW,Osasuna,31,1991,20.0,194.0,315.0,61.6,2324.0,372.0,123.0,172.0,71.5,55.0,97.0,56.7,1.0,7.0,14.3,0,0.7,0.6,-0.7,10.0,13.0,3.0,0.0,23.0,Matches
80,81,Santiago Bueno,uy URU,DF,Girona,23,1998,33.4,1576.0,1823.0,86.5,31141.0,10648.0,509.0,557.0,91.4,875.0,940.0,93.1,173.0,279.0,62.0,1,1.0,0.7,0.0,9.0,148.0,5.0,1.0,148.0,Matches
81,82,Sergio Busquets,es ESP,MF,Barcelona,34,1988,26.0,1722.0,1949.0,88.4,30610.0,9017.0,756.0,825.0,91.6,745.0,822.0,90.6,183.0,222.0,82.4,4,2.8,3.7,1.2,25.0,230.0,33.0,3.0,254.0,Matches
82,83,Leandro Cabrera,uy URU,DF,Espanyol,31,1991,29.7,959.0,1343.0,71.4,19673.0,9222.0,307.0,368.0,83.4,502.0,614.0,81.8,137.0,314.0,43.6,1,1.5,1.3,-0.5,14.0,87.0,12.0,4.0,95.0,Matches
83,84,Cala,es ESP,DF,Cádiz,32,1989,1.5,30.0,38.0,78.9,792.0,274.0,4.0,5.0,80.0,14.0,17.0,82.4,12.0,16.0,75.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Matches
84,85,Fernando Calero,es ESP,DFMF,Espanyol,26,1995,17.9,617.0,765.0,80.7,11710.0,4547.0,245.0,275.0,89.1,289.0,335.0,86.3,78.0,139.0,56.1,1,0.6,0.4,0.4,4.0,58.0,3.0,0.0,64.0,Matches
85,86,Alexander Callens,pe PER,DF,Girona,30,1992,1.3,78.0,93.0,83.9,1206.0,505.0,35.0,40.0,87.5,38.0,47.0,80.9,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,6.0,Matches
86,87,Eduardo Camavinga,fr FRA,MFDF,Real Madrid,19,2002,22.3,1364.0,1504.0,90.7,21221.0,5654.0,711.0,763.0,93.2,517.0,548.0,94.3,89.0,112.0,79.5,1,1.5,2.2,-0.5,24.0,138.0,17.0,1.0,165.0,Matches
87,88,Sergio Camello,es ESP,FW,Rayo Vallecano,21,2001,26.7,408.0,523.0,78.0,5782.0,733.0,235.0,285.0,82.5,126.0,156.0,80.8,20.0,28.0,71.4,5,2.4,1.7,2.6,28.0,15.0,13.0,0.0,42.0,Matches
88,89,Sergio Canales,es ESP,FWMF,Betis,31,1991,26.7,1116.0,1474.0,75.7,16689.0,4491.0,623.0,697.0,89.4,319.0,407.0,78.4,99.0,211.0,46.9,3,5.6,5.1,-2.6,56.0,94.0,51.0,14.0,143.0,Matches
89,90,Ander Capa,es ESP,DF,Athletic Club,30,1992,1.2,74.0,91.0,81.3,1275.0,441.0,31.0,35.0,88.6,30.0,37.0,81.1,8.0,12.0,66.7,0,0.0,0.1,0.0,1.0,5.0,2.0,1.0,12.0,Matches
90,91,Étienne Capoue,fr FRA,MF,Villarreal,34,1988,21.7,915.0,1043.0,87.7,14387.0,3476.0,469.0,516.0,90.9,362.0,393.0,92.1,52.0,78.0,66.7,0,1.2,1.0,-1.2,10.0,115.0,8.0,1.0,98.0,Matches
91,92,Isaac Carcelen,es ESP,DF,Cádiz,29,1993,24.4,747.0,961.0,77.7,12672.0,4769.0,358.0,396.0,90.4,308.0,394.0,78.2,64.0,124.0,51.6,1,1.3,1.8,-0.3,16.0,65.0,17.0,12.0,85.0,Matches
92,93,Juan Carlos,es ESP,GK,Girona,34,1988,10.0,288.0,340.0,84.7,7160.0,4635.0,52.0,53.0,98.1,170.0,176.0,96.6,66.0,111.0,59.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
93,94,José Carlos Lazo,es ESP,MFFW,Almería,26,1996,0.2,3.0,4.0,75.0,49.0,2.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
94,95,José Carlos Lazo,es ESP,MFFW,Espanyol,26,1996,1.8,25.0,35.0,71.4,335.0,55.0,11.0,14.0,78.6,10.0,11.0,90.9,2.0,5.0,40.0,1,0.2,0.1,0.8,2.0,0.0,3.0,1.0,4.0,Matches
95,96,Carmona,es ESP,MFDF,Elche,20,2002,6.5,129.0,186.0,69.4,1917.0,729.0,81.0,100.0,81.0,37.0,54.0,68.5,8.0,16.0,50.0,0,0.1,0.2,-0.1,4.0,6.0,2.0,0.0,10.0,Matches
96,97,Carmona,es ESP,DF,Sevilla,20,2002,5.9,269.0,330.0,81.5,4412.0,1380.0,131.0,142.0,92.3,118.0,147.0,80.3,17.0,32.0,53.1,1,0.4,0.2,0.6,2.0,24.0,3.0,2.0,11.0,Matches
97,98,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,28,1993,25.7,863.0,1091.0,79.1,11833.0,3379.0,565.0,612.0,92.3,210.0,277.0,75.8,42.0,97.0,43.3,3,4.1,4.1,-1.1,47.0,35.0,36.0,7.0,84.0,Matches
98,99,Dani Carvajal,es ESP,DF,Real Madrid,30,1992,19.8,1133.0,1333.0,85.0,18356.0,4041.0,607.0,664.0,91.4,416.0,483.0,86.1,86.0,123.0,69.9,2,2.0,2.0,0.0,22.0,57.0,21.0,8.0,58.0,Matches
99,100,William Carvalho,pt POR,MF,Betis,30,1992,27.1,1510.0,1745.0,86.5,24743.0,7482.0,786.0,859.0,91.5,525.0,599.0,87.6,148.0,194.0,76.3,1,1.6,2.1,-0.6,22.0,170.0,23.0,1.0,203.0,Matches
100,101,Casemiro,br BRA,MF,Real Madrid,30,1992,0.1,7.0,8.0,87.5,134.0,50.0,6.0,6.0,100.0,0.0,0.0,,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
101,102,Valentín Castellanos,ar ARG,FW,Girona,23,1998,28.9,244.0,397.0,61.5,3345.0,704.0,144.0,200.0,72.0,74.0,125.0,59.2,12.0,17.0,70.6,0,1.7,2.3,-1.7,15.0,17.0,16.0,1.0,34.0,Matches
