,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,_Ast,_xAG,Expected_xA,Expected_A-xAG,_KP,_1/3,_PPA,_CrsPA,_PrgP,Matches
0,1,Abner,br BRA,DF,Betis,22,2000,6.7,252.0,351.0,71.8,3886.0,1578.0,130.0,149.0,87.2,94.0,134.0,70.1,16.0,42.0,38.1,0,0.1,0.5,-0.1,2.0,18.0,3.0,1.0,16.0,Matches
1,2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,0.1,7.0,8.0,87.5,151.0,113.0,2.0,2.0,100.0,4.0,4.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2,3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,21.2,970.0,1307.0,74.2,18018.0,6997.0,446.0,499.0,89.4,380.0,491.0,77.4,128.0,260.0,49.2,2,4.3,5.7,-2.3,38.0,71.0,38.0,19.0,102.0,Matches
3,4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,7.5,171.0,241.0,71.0,4890.0,3600.0,29.0,29.0,100.0,91.0,94.0,96.8,51.0,118.0,43.2,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Matches
4,5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,21.0,930.0,1142.0,81.4,18906.0,5096.0,359.0,404.0,88.9,371.0,429.0,86.5,174.0,246.0,70.7,2,2.2,2.0,-0.2,35.0,111.0,11.0,2.0,139.0,Matches
5,6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,34.7,1525.0,1766.0,86.4,31337.0,9650.0,383.0,439.0,87.2,974.0,1050.0,92.8,163.0,244.0,66.8,0,0.1,0.3,-0.1,2.0,83.0,4.0,0.0,95.0,Matches
6,7,Sergio Akieme,es ESP,DF,Almería,24,1997,25.5,821.0,1061.0,77.4,13314.0,5012.0,430.0,485.0,88.7,315.0,386.0,81.6,52.0,128.0,40.6,0,2.0,2.2,-2.0,21.0,43.0,22.0,17.0,58.0,Matches
7,8,Babatunde Akinsola,ng NGA,FW,Valladolid,19,2003,0.1,2.0,2.0,100.0,41.0,0.0,0.0,0.0,,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
8,9,Paul Akouokou,ci CIV,MFDF,Betis,24,1997,5.0,160.0,174.0,92.0,2670.0,645.0,71.0,73.0,97.3,66.0,69.0,95.7,14.0,18.0,77.8,0,0.0,0.1,0.0,0.0,13.0,1.0,0.0,10.0,Matches
9,10,David Alaba,at AUT,DF,Real Madrid,30,1992,20.4,1042.0,1189.0,87.6,15258.0,5475.0,601.0,626.0,96.0,340.0,388.0,87.6,53.0,99.0,53.5,3,1.1,1.3,1.9,16.0,68.0,9.0,4.0,67.0,Matches
10,11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,0.3,,,,,,,,,,,,,,,0,,,,,,,,,Matches
11,12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,2.5,78.0,95.0,82.1,1688.0,582.0,28.0,32.0,87.5,27.0,34.0,79.4,20.0,25.0,80.0,0,0.1,0.1,-0.1,2.0,11.0,1.0,0.0,9.0,Matches
12,13,Jordi Alba,es ESP,DF,Barcelona,33,1989,15.8,1217.0,1460.0,83.4,19141.0,5490.0,668.0,728.0,91.8,441.0,521.0,84.6,78.0,139.0,56.1,3,6.2,6.7,-3.2,38.0,120.0,43.0,15.0,141.0,Matches
13,14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,23.5,1303.0,1472.0,88.5,28074.0,10667.0,321.0,349.0,92.0,757.0,811.0,93.3,215.0,287.0,74.9,0,0.0,0.5,0.0,2.0,98.0,5.0,0.0,100.0,Matches
14,15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,22.7,827.0,1046.0,79.1,16517.0,4831.0,331.0,386.0,85.8,340.0,388.0,87.6,138.0,219.0,63.0,0,1.3,1.2,-1.3,20.0,93.0,16.0,8.0,105.0,Matches
15,16,Omar Alderete,py PAR,DF,Getafe,25,1996,22.7,509.0,877.0,58.0,11252.0,5744.0,153.0,218.0,70.2,260.0,351.0,74.1,94.0,268.0,35.1,1,0.8,1.0,0.2,5.0,69.0,12.0,0.0,96.0,Matches
16,17,Iván Alejo,es ESP,MFFW,Cádiz,27,1995,14.6,219.0,392.0,55.9,3409.0,1108.0,128.0,173.0,74.0,55.0,111.0,49.5,24.0,61.0,39.3,1,2.4,1.6,-1.4,21.0,10.0,24.0,20.0,16.0,Matches
17,18,Carles Aleñá,es ESP,MFFW,Getafe,24,1998,23.5,607.0,809.0,75.0,10256.0,2596.0,291.0,346.0,84.1,211.0,270.0,78.1,69.0,120.0,57.5,2,1.6,1.8,0.4,15.0,71.0,20.0,6.0,87.0,Matches
18,19,Alejandro Alfaro,es ESP,MF,Elche,20,2002,0.2,1.0,1.0,100.0,3.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
19,20,Ángel Algobia,es ESP,MF,Getafe,23,1999,12.6,420.0,521.0,80.6,7479.0,1575.0,179.0,211.0,84.8,173.0,197.0,87.8,52.0,82.0,63.4,0,0.6,0.3,-0.6,5.0,35.0,4.0,4.0,42.0,Matches
20,21,Mohamed Ali Cho,fr FRA,FWMF,Real Sociedad,18,2004,6.5,108.0,165.0,65.5,1506.0,407.0,72.0,82.0,87.8,27.0,53.0,50.9,5.0,17.0,29.4,2,1.7,1.6,0.3,7.0,6.0,10.0,7.0,8.0,Matches
21,22,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,22,2000,28.2,1110.0,1402.0,79.2,18396.0,6030.0,561.0,624.0,89.9,396.0,485.0,81.6,110.0,213.0,51.6,4,3.4,4.0,0.6,43.0,143.0,43.0,13.0,197.0,Matches
22,23,Marcos Alonso,es ESP,DF,Barcelona,31,1990,13.0,896.0,1005.0,89.2,16393.0,5539.0,360.0,386.0,93.3,442.0,475.0,93.1,81.0,117.0,69.2,0,0.3,0.9,-0.3,6.0,70.0,9.0,4.0,71.0,Matches
23,24,Carlos Álvarez,es ESP,MF,Sevilla,18,2003,0.1,4.0,4.0,100.0,47.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
24,25,Gastón Álvarez,uy URU,DF,Getafe,22,2000,16.7,350.0,579.0,60.4,5840.0,3078.0,176.0,209.0,84.2,136.0,228.0,59.6,30.0,103.0,29.1,0,0.2,0.4,-0.2,4.0,27.0,4.0,3.0,38.0,Matches
25,26,Yeray Álvarez,es ESP,DF,Athletic Club,27,1995,25.9,1123.0,1392.0,80.7,23716.0,9040.0,357.0,404.0,88.4,596.0,671.0,88.8,163.0,287.0,56.8,1,1.1,0.8,-0.1,14.0,137.0,11.0,4.0,152.0,Matches
26,27,Selim Amallah,ma MAR,MFFW,Valladolid,25,1996,3.0,63.0,83.0,75.9,1030.0,268.0,30.0,38.0,78.9,23.0,30.0,76.7,6.0,8.0,75.0,1,0.3,0.2,0.7,3.0,7.0,2.0,0.0,10.0,Matches
27,28,Amath,sn SEN,MFFW,Mallorca,26,1996,13.6,215.0,299.0,71.9,2692.0,708.0,147.0,174.0,84.5,41.0,64.0,64.1,9.0,19.0,47.4,0,0.8,0.6,-0.8,2.0,13.0,5.0,3.0,16.0,Matches
28,29,Jordan Amavi,fr FRA,DF,Getafe,28,1994,2.2,51.0,96.0,53.1,779.0,372.0,28.0,39.0,71.8,18.0,36.0,50.0,3.0,11.0,27.3,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,Matches
29,30,Marcos André,br BRA,FWMF,Valencia,25,1996,5.0,43.0,64.0,67.2,631.0,160.0,21.0,32.0,65.6,18.0,23.0,78.3,1.0,4.0,25.0,0,0.4,0.2,-0.4,4.0,4.0,1.0,0.0,7.0,Matches
30,31,Fabrizio Angileri,ar ARG,DF,Getafe,28,1994,6.5,153.0,260.0,58.8,2800.0,936.0,67.0,87.0,77.0,65.0,109.0,59.6,17.0,42.0,40.5,0,0.0,0.1,0.0,0.0,13.0,1.0,0.0,16.0,Matches
31,32,Josep Antoni Gayá,es ESP,DFMF,Mallorca,22,2000,1.1,6.0,7.0,85.7,96.0,34.0,3.0,3.0,100.0,3.0,3.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
32,33,José Antonio,es ESP,MFDF,Cádiz,18,2004,0.5,8.0,10.0,80.0,98.0,50.0,6.0,6.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,1,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,Matches
33,34,Anuar,ma MAR,MFFW,Valladolid,27,1995,2.3,30.0,40.0,75.0,363.0,114.0,18.0,23.0,78.3,9.0,10.0,90.0,0.0,0.0,,0,0.5,0.0,-0.5,4.0,3.0,0.0,0.0,3.0,Matches
34,35,Mauro Arambarri,uy URU,MF,Getafe,26,1995,11.0,326.0,421.0,77.4,6549.0,2050.0,112.0,128.0,87.5,150.0,177.0,84.7,58.0,99.0,58.6,1,1.5,1.6,-0.5,15.0,32.0,4.0,2.0,33.0,Matches
35,36,Ronald Araújo,uy URU,DF,Barcelona,23,1999,20.0,1139.0,1287.0,88.5,21762.0,7324.0,406.0,433.0,93.8,609.0,652.0,93.4,110.0,174.0,63.2,2,0.8,0.7,1.2,6.0,95.0,3.0,1.0,79.0,Matches
36,37,Adu Ares,es ESP,FWMF,Athletic Club,20,2001,0.9,42.0,51.0,82.4,744.0,137.0,23.0,27.0,85.2,10.0,12.0,83.3,7.0,8.0,87.5,0,0.2,0.2,-0.2,3.0,4.0,3.0,3.0,4.0,Matches
37,38,Sergio Arribas,es ESP,MFFW,Real Madrid,20,2001,0.2,9.0,11.0,81.8,131.0,35.0,6.0,6.0,100.0,3.0,5.0,60.0,0.0,0.0,,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,Matches
38,39,Roberto Arroyo,es ESP,MF,Valladolid,18,2003,0.2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
39,40,Ricard Artero,es ESP,MFFW,Girona,19,2003,1.5,37.0,47.0,78.7,431.0,85.0,28.0,32.0,87.5,5.0,6.0,83.3,1.0,2.0,50.0,0,0.0,0.1,0.0,0.0,2.0,0.0,0.0,3.0,Matches
40,41,Santiago Arzamendia,py PAR,DFMF,Cádiz,24,1998,5.4,150.0,226.0,66.4,2442.0,1025.0,80.0,94.0,85.1,54.0,73.0,74.0,11.0,36.0,30.6,0,0.5,0.2,-0.5,6.0,14.0,3.0,0.0,17.0,Matches
41,42,Sergio Asenjo,es ESP,GK,Valladolid,33,1989,10.0,233.0,353.0,66.0,7218.0,5138.0,33.0,33.0,100.0,107.0,112.0,95.5,91.0,203.0,44.8,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Matches
42,43,Marco Asensio,es ESP,FWMF,Real Madrid,26,1996,16.0,650.0,802.0,81.0,9900.0,2248.0,378.0,415.0,91.1,187.0,222.0,84.2,56.0,102.0,54.9,6,4.9,4.2,1.1,41.0,60.0,26.0,6.0,70.0,Matches
43,44,Iago Aspas,es ESP,FW,Celta Vigo,34,1987,31.9,936.0,1227.0,76.3,14650.0,3382.0,517.0,625.0,82.7,275.0,353.0,77.9,91.0,131.0,69.5,3,5.6,5.4,-2.6,83.0,90.0,47.0,2.0,162.0,Matches
