,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
22,23,Marcos Alonso,es ESP,DF,Barcelona,31,1990,13.0,1114.0,98.0,402.0,624.0,94.0,11.0,1114.0,2.0,2.0,100.0,0.0,0.0,727.0,4516.0,2674.0,26.0,11.0,0.0,8.0,1.0,816.0,12.0,Matches
23,24,Carlos Álvarez,es ESP,MF,Sevilla,18,2003,0.1,6.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,0.0,,0.0,,2.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,Matches
24,25,Gastón Álvarez,uy URU,DF,Getafe,22,2000,16.7,732.0,42.0,218.0,376.0,144.0,8.0,732.0,19.0,8.0,42.1,9.0,47.4,254.0,933.0,437.0,11.0,8.0,0.0,13.0,3.0,318.0,27.0,Matches
25,26,Yeray Álvarez,es ESP,DF,Athletic Club,27,1995,25.9,1651.0,161.0,698.0,896.0,74.0,16.0,1651.0,11.0,6.0,54.5,1.0,9.1,898.0,6084.0,4073.0,32.0,17.0,1.0,8.0,1.0,915.0,8.0,Matches
26,27,Selim Amallah,ma MAR,MFFW,Valladolid,25,1996,3.0,138.0,2.0,21.0,77.0,44.0,11.0,138.0,25.0,11.0,44.0,12.0,48.0,80.0,507.0,254.0,11.0,7.0,3.0,6.0,10.0,84.0,9.0,Matches
27,28,Amath,sn SEN,MFFW,Mallorca,26,1996,13.6,464.0,12.0,70.0,171.0,229.0,40.0,464.0,34.0,14.0,41.2,15.0,44.1,261.0,1666.0,840.0,33.0,23.0,12.0,41.0,22.0,283.0,69.0,Matches
28,29,Jordan Amavi,fr FRA,DF,Getafe,28,1994,2.2,119.0,8.0,33.0,65.0,23.0,1.0,119.0,1.0,0.0,0.0,1.0,100.0,42.0,255.0,121.0,4.0,5.0,1.0,2.0,0.0,44.0,5.0,Matches
29,30,Marcos André,br BRA,FWMF,Valencia,25,1996,5.0,125.0,1.0,8.0,50.0,69.0,23.0,125.0,17.0,9.0,52.9,4.0,23.5,78.0,353.0,124.0,2.0,3.0,0.0,21.0,5.0,94.0,20.0,Matches
30,31,Fabrizio Angileri,ar ARG,DF,Getafe,28,1994,6.5,324.0,17.0,88.0,157.0,80.0,3.0,324.0,11.0,4.0,36.4,6.0,54.5,123.0,554.0,220.0,4.0,7.0,0.0,4.0,4.0,145.0,14.0,Matches
31,32,Josep Antoni Gayá,es ESP,DFMF,Mallorca,22,2000,1.1,19.0,10.0,15.0,3.0,1.0,0.0,19.0,0.0,0.0,,0.0,,6.0,32.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,Matches
32,33,José Antonio,es ESP,MFDF,Cádiz,18,2004,0.5,15.0,0.0,2.0,4.0,9.0,0.0,15.0,4.0,1.0,25.0,1.0,25.0,13.0,45.0,36.0,2.0,2.0,0.0,2.0,1.0,11.0,2.0,Matches
33,34,Anuar,ma MAR,MFFW,Valladolid,27,1995,2.3,70.0,8.0,20.0,30.0,20.0,8.0,70.0,4.0,2.0,50.0,0.0,0.0,37.0,261.0,127.0,6.0,2.0,3.0,7.0,4.0,41.0,4.0,Matches
34,35,Mauro Arambarri,uy URU,MF,Getafe,26,1995,11.0,514.0,30.0,118.0,304.0,102.0,3.0,514.0,4.0,4.0,100.0,0.0,0.0,234.0,1162.0,503.0,8.0,10.0,0.0,13.0,4.0,248.0,7.0,Matches
35,36,Ronald Araújo,uy URU,DF,Barcelona,23,1999,20.0,1437.0,109.0,487.0,882.0,77.0,29.0,1437.0,14.0,10.0,71.4,3.0,21.4,957.0,5938.0,3727.0,29.0,13.0,1.0,9.0,6.0,1022.0,11.0,Matches
36,37,Adu Ares,es ESP,FWMF,Athletic Club,20,2001,0.9,69.0,2.0,5.0,18.0,46.0,3.0,69.0,9.0,5.0,55.6,2.0,22.2,51.0,410.0,246.0,8.0,4.0,1.0,1.0,3.0,49.0,19.0,Matches
37,38,Sergio Arribas,es ESP,MFFW,Real Madrid,20,2001,0.2,13.0,1.0,1.0,6.0,6.0,1.0,13.0,0.0,0.0,,0.0,,4.0,26.0,17.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,Matches
38,39,Roberto Arroyo,es ESP,MF,Valladolid,18,2003,0.2,7.0,0.0,1.0,3.0,3.0,1.0,7.0,1.0,1.0,100.0,0.0,0.0,8.0,38.0,25.0,1.0,0.0,1.0,1.0,2.0,8.0,4.0,Matches
39,40,Ricard Artero,es ESP,MFFW,Girona,19,2003,1.5,68.0,2.0,14.0,36.0,20.0,6.0,68.0,4.0,3.0,75.0,0.0,0.0,45.0,217.0,106.0,4.0,4.0,0.0,4.0,3.0,54.0,9.0,Matches
40,41,Santiago Arzamendia,py PAR,DFMF,Cádiz,24,1998,5.4,290.0,23.0,90.0,135.0,70.0,5.0,290.0,6.0,2.0,33.3,4.0,66.7,140.0,668.0,349.0,8.0,9.0,2.0,8.0,4.0,142.0,22.0,Matches
41,42,Sergio Asenjo,es ESP,GK,Valladolid,33,1989,10.0,384.0,327.0,384.0,0.0,0.0,0.0,384.0,0.0,0.0,,0.0,,198.0,910.0,556.0,0.0,0.0,0.0,2.0,0.0,153.0,0.0,Matches
42,43,Marco Asensio,es ESP,FWMF,Real Madrid,26,1996,16.0,951.0,11.0,66.0,375.0,517.0,71.0,950.0,33.0,23.0,69.7,7.0,21.2,609.0,3688.0,1856.0,56.0,39.0,11.0,19.0,13.0,725.0,108.0,Matches
43,44,Iago Aspas,es ESP,FW,Celta Vigo,34,1987,31.9,1487.0,26.0,111.0,643.0,748.0,145.0,1484.0,56.0,22.0,39.3,25.0,44.6,1030.0,5114.0,2370.0,80.0,58.0,30.0,52.0,46.0,1199.0,239.0,Matches
44,45,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,33,1989,0.1,4.0,0.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,,0.0,,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Matches
45,46,Ludwig Augustinsson,se SWE,DF,Mallorca,28,1994,1.5,80.0,6.0,28.0,32.0,20.0,2.0,80.0,0.0,0.0,,0.0,,39.0,132.0,62.0,0.0,1.0,0.0,0.0,0.0,39.0,6.0,Matches
46,47,Ezequiel Ávila,ar ARG,FWMF,Osasuna,28,1994,19.0,739.0,18.0,83.0,275.0,383.0,61.0,736.0,34.0,17.0,50.0,14.0,41.2,422.0,1922.0,710.0,23.0,18.0,6.0,39.0,18.0,509.0,96.0,Matches
47,48,Iddrisu Baba,gh GHA,MFDF,Mallorca,26,1996,18.9,773.0,61.0,253.0,476.0,60.0,8.0,773.0,19.0,11.0,57.9,5.0,26.3,413.0,1926.0,498.0,3.0,5.0,0.0,28.0,15.0,398.0,8.0,Matches
48,49,Srđan Babić,rs SRB,DF,Almería,26,1996,33.3,1640.0,237.0,976.0,633.0,43.0,16.0,1640.0,8.0,4.0,50.0,4.0,50.0,891.0,4831.0,2792.0,21.0,13.0,1.0,10.0,3.0,1013.0,5.0,Matches
49,50,Loïc Bade,fr FRA,DF,Sevilla,22,2000,16.1,1030.0,117.0,572.0,431.0,34.0,10.0,1030.0,9.0,6.0,66.7,2.0,22.2,609.0,2716.0,1276.0,7.0,5.0,0.0,6.0,2.0,648.0,2.0,Matches
50,51,Édgar Badía,es ESP,GK,Elche,30,1992,36.0,1189.0,1110.0,1188.0,2.0,0.0,0.0,1189.0,0.0,0.0,,0.0,,599.0,3229.0,1937.0,0.0,0.0,0.0,2.0,0.0,401.0,0.0,Matches
51,52,Alex Baena,es ESP,MFFW,Villarreal,21,2001,21.6,1103.0,28.0,152.0,512.0,454.0,66.0,1103.0,62.0,27.0,43.5,25.0,40.3,752.0,3962.0,1847.0,50.0,42.0,14.0,41.0,34.0,873.0,110.0,Matches
52,53,Alejandro Balde,es ESP,DF,Barcelona,18,2003,27.5,1939.0,40.0,419.0,874.0,672.0,78.0,1939.0,96.0,50.0,52.1,36.0,37.5,1270.0,7276.0,4100.0,96.0,69.0,35.0,41.0,24.0,1348.0,234.0,Matches
53,54,Mikel Balenziaga,es ESP,DF,Athletic Club,34,1988,1.3,77.0,2.0,14.0,39.0,25.0,0.0,77.0,1.0,1.0,100.0,0.0,0.0,29.0,100.0,50.0,0.0,2.0,0.0,0.0,1.0,41.0,6.0,Matches
54,55,Iván Balliu,al ALB,DF,Rayo Vallecano,30,1992,35.9,2116.0,88.0,503.0,925.0,695.0,26.0,2116.0,31.0,11.0,35.5,12.0,38.7,1021.0,5129.0,2879.0,75.0,51.0,4.0,22.0,9.0,1150.0,147.0,Matches
55,56,Léo Baptistão,br BRA,FWMF,Almería,29,1992,19.2,789.0,16.0,158.0,391.0,262.0,61.0,789.0,36.0,14.0,38.9,16.0,44.4,465.0,2611.0,1484.0,38.0,31.0,9.0,56.0,17.0,525.0,83.0,Matches
56,57,Keidi Bare,al ALB,MF,Espanyol,24,1997,5.6,336.0,15.0,67.0,207.0,62.0,5.0,336.0,6.0,2.0,33.3,3.0,50.0,181.0,1012.0,439.0,6.0,13.0,1.0,6.0,3.0,214.0,11.0,Matches
57,58,Kike Barja,es ESP,FWMF,Osasuna,25,1997,14.6,674.0,6.0,65.0,199.0,413.0,55.0,674.0,89.0,39.0,43.8,44.0,49.4,459.0,3154.0,1499.0,61.0,28.0,18.0,44.0,25.0,498.0,185.0,Matches
58,59,Ander Barrenetxea,es ESP,FWDF,Real Sociedad,20,2001,9.8,544.0,14.0,110.0,213.0,232.0,41.0,544.0,63.0,34.0,54.0,25.0,39.7,328.0,2099.0,994.0,36.0,15.0,17.0,36.0,18.0,348.0,72.0,Matches
59,60,Pablo Barrios,es ESP,MF,Atlético Madrid,19,2003,8.0,554.0,12.0,106.0,314.0,140.0,12.0,554.0,30.0,15.0,50.0,12.0,40.0,320.0,1795.0,690.0,16.0,10.0,3.0,15.0,10.0,405.0,27.0,Matches
60,61,Rodrigo Battaglia,ar ARG,MF,Mallorca,31,1991,7.6,310.0,28.0,114.0,170.0,27.0,6.0,310.0,3.0,0.0,0.0,1.0,33.3,136.0,665.0,268.0,3.0,4.0,0.0,5.0,6.0,164.0,3.0,Matches
61,62,Bebé,cv CPV,FW,Rayo Vallecano,32,1990,0.7,52.0,0.0,1.0,19.0,36.0,0.0,52.0,8.0,3.0,37.5,4.0,50.0,37.0,344.0,154.0,5.0,8.0,0.0,6.0,3.0,34.0,10.0,Matches
62,63,Héctor Bellerín,es ESP,DF,Barcelona,27,1995,1.6,107.0,1.0,17.0,50.0,41.0,5.0,107.0,4.0,3.0,75.0,1.0,25.0,54.0,271.0,159.0,2.0,3.0,1.0,1.0,0.0,66.0,6.0,Matches
63,64,Fran Beltrán,es ESP,MF,Celta Vigo,23,1999,31.7,2062.0,62.0,454.0,1253.0,366.0,11.0,2062.0,22.0,16.0,72.7,6.0,27.3,1239.0,6158.0,2685.0,27.0,45.0,4.0,26.0,17.0,1354.0,33.0,Matches
64,65,Iker Benito,es ESP,FWMF,Osasuna,19,2002,2.0,66.0,4.0,19.0,24.0,26.0,3.0,66.0,9.0,3.0,33.3,5.0,55.6,34.0,371.0,245.0,9.0,6.0,2.0,3.0,2.0,35.0,15.0,Matches
65,66,Karim Benzema,fr FRA,FW,Real Madrid,34,1987,22.6,1284.0,7.0,56.0,457.0,776.0,175.0,1276.0,44.0,20.0,45.5,22.0,50.0,796.0,3734.0,1900.0,72.0,43.0,31.0,32.0,28.0,1092.0,157.0,Matches
66,67,Yuri Berchiche,es ESP,DF,Athletic Club,32,1990,26.7,1865.0,92.0,478.0,899.0,506.0,24.0,1865.0,30.0,12.0,40.0,15.0,50.0,966.0,4831.0,2537.0,59.0,45.0,3.0,22.0,14.0,1047.0,95.0,Matches
67,68,Álex Berenguer,es ESP,FW,Athletic Club,27,1995,25.5,1298.0,22.0,135.0,390.0,794.0,117.0,1298.0,85.0,37.0,43.5,44.0,51.8,716.0,4451.0,2024.0,73.0,54.0,35.0,63.0,39.0,848.0,249.0,Matches
68,69,Pedro Bigas,es ESP,DF,Elche,31,1990,22.4,1302.0,174.0,681.0,569.0,63.0,19.0,1302.0,8.0,5.0,62.5,3.0,37.5,722.0,3899.0,2273.0,19.0,13.0,0.0,13.0,4.0,766.0,3.0,Matches
69,70,El Bilal Touré,ml MLI,FW,Almería,20,2001,14.0,407.0,26.0,46.0,196.0,172.0,53.0,407.0,17.0,6.0,35.3,9.0,52.9,201.0,1136.0,519.0,18.0,16.0,9.0,44.0,9.0,261.0,51.0,Matches
70,71,Antonio Blanco,es ESP,MF,Cádiz,22,2000,1.8,82.0,4.0,20.0,46.0,16.0,0.0,82.0,1.0,0.0,0.0,1.0,100.0,40.0,166.0,57.0,1.0,1.0,0.0,2.0,3.0,53.0,2.0,Matches
71,72,Lautaro Blanco,ar ARG,DFMF,Elche,23,1999,9.7,494.0,12.0,127.0,163.0,209.0,6.0,494.0,23.0,10.0,43.5,13.0,56.5,261.0,1869.0,890.0,41.0,20.0,1.0,12.0,3.0,281.0,76.0,Matches
72,73,Theo Bongonda,cd COD,MFFW,Cádiz,26,1995,21.5,766.0,17.0,118.0,282.0,387.0,55.0,765.0,98.0,40.0,40.8,42.0,42.9,480.0,3985.0,2088.0,74.0,47.0,20.0,57.0,26.0,497.0,105.0,Matches
73,74,Yassine Bounou,ma MAR,GK,Sevilla,31,1991,23.9,1011.0,766.0,995.0,17.0,0.0,0.0,1011.0,1.0,1.0,100.0,0.0,0.0,596.0,2682.0,1374.0,0.0,0.0,0.0,4.0,0.0,566.0,0.0,Matches
74,75,Lucas Boyé,ar ARG,FW,Elche,26,1996,27.4,1121.0,50.0,107.0,585.0,456.0,116.0,1120.0,130.0,78.0,60.0,48.0,36.9,720.0,3507.0,1434.0,58.0,33.0,25.0,139.0,85.0,810.0,160.0,Matches
75,76,Martin Braithwaite,dk DEN,FWMF,Espanyol,31,1991,27.3,696.0,10.0,55.0,287.0,362.0,75.0,696.0,53.0,17.0,32.1,26.0,49.1,410.0,2073.0,983.0,32.0,29.0,11.0,52.0,19.0,514.0,126.0,Matches
76,77,Juan Brandáriz,es ESP,DF,Almería,23,1999,16.5,970.0,105.0,519.0,363.0,93.0,8.0,970.0,16.0,7.0,43.8,9.0,56.3,532.0,2429.0,1057.0,13.0,6.0,1.0,11.0,8.0,577.0,10.0,Matches
77,78,Darko Brašanac,rs SRB,MF,Osasuna,30,1992,11.6,489.0,12.0,79.0,245.0,171.0,28.0,489.0,10.0,4.0,40.0,3.0,30.0,246.0,1254.0,668.0,18.0,14.0,0.0,20.0,10.0,292.0,36.0,Matches
78,79,Claudio Bravo,cl CHI,GK,Betis,39,1983,12.0,414.0,333.0,412.0,3.0,0.0,0.0,414.0,0.0,0.0,,0.0,,208.0,1175.0,724.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,Matches
79,80,Ante Budimir,hr CRO,FW,Osasuna,31,1991,20.0,563.0,18.0,36.0,254.0,281.0,118.0,563.0,34.0,16.0,47.1,14.0,41.2,259.0,1199.0,449.0,23.0,16.0,10.0,62.0,27.0,398.0,98.0,Matches
80,81,Santiago Bueno,uy URU,DF,Girona,23,1998,33.4,2098.0,194.0,1016.0,1038.0,54.0,17.0,2098.0,4.0,2.0,50.0,0.0,0.0,1305.0,7395.0,4721.0,30.0,13.0,0.0,6.0,1.0,1447.0,4.0,Matches
