,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,SCA_SCA,SCA_SCA90,SCATypes_PassLive,SCATypes_PassDead,SCATypes_TO,SCATypes_Sh,SCATypes_Fld,SCATypes_Def,GCA_GCA,GCA_GCA90,GCATypes_PassLive,GCATypes_PassDead,GCATypes_TO,GCATypes_Sh,GCATypes_Fld,GCATypes_Def,Matches
0,1,Brenden Aaronson,us USA,MFFW,Leeds United,21,2000,26.4,95,3.6,57,17,7,5,8,1,7,0.27,3,1,0,1,1,1,Matches
1,2,George Abbott,eng ENG,MF,Tottenham,16,2005,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
2,3,Che Adams,sct SCO,FW,Southampton,26,1996,22.1,57,2.57,44,1,2,5,5,0,7,0.32,5,0,0,0,2,0,Matches
3,4,Tyler Adams,us USA,MF,Leeds United,23,1999,24.0,43,1.79,42,0,0,0,1,0,1,0.04,1,0,0,0,0,0,Matches
4,5,Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,23.2,18,0.78,15,0,0,3,0,0,0,0.0,0,0,0,0,0,0,Matches
5,6,Nayef Aguerd,ma MAR,DF,West Ham,26,1996,17.7,14,0.79,12,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
6,7,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,20,2002,1.0,2,1.91,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
7,8,Rayan Aït-Nouri,dz ALG,DF,Wolves,21,2001,12.0,23,1.93,14,2,4,1,2,0,0,0.0,0,0,0,0,0,0,Matches
8,9,Kristoffer Ajer,no NOR,DF,Brentford,24,1998,8.5,4,0.47,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
9,10,Manuel Akanji,ch SUI,DF,Manchester City,27,1995,25.4,23,0.91,22,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
10,11,Nathan Aké,nl NED,DF,Manchester City,27,1995,20.8,24,1.15,20,1,0,2,0,1,2,0.1,2,0,0,0,0,0,Matches
11,12,Marc Albrighton,eng ENG,FWMF,Leicester City,32,1989,2.6,7,2.66,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
12,13,Thiago Alcántara,es ESP,MF,Liverpool,31,1991,13.9,40,2.87,33,0,3,1,1,2,2,0.14,2,0,0,0,0,0,Matches
