,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Min,PlayingTime_Mn/MP,PlayingTime_Min%,PlayingTime_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,TeamSuccess_PPM,TeamSuccess_onG,TeamSuccess_onGA,TeamSuccess_+/-,TeamSuccess_+/-90,TeamSuccess_On-Off,TeamSuccess(xG)_onxG,TeamSuccess(xG)_onxGA,TeamSuccess(xG)_xG+/-,TeamSuccess(xG)_xG+/-90,TeamSuccess(xG)_On-Off,Matches
0,1,Nabil Aberdin,fr FRA,DF,Getafe,20.0,2002.0,2,180.0,90.0,5.3,2.0,2,90.0,2,0,,3,0.0,1.0,3.0,-2.0,-1.0,-0.72,1.2,2.5,-1.3,-0.67,-0.48,Matches
1,2,Abner,br BRA,DF,Betis,23.0,2000.0,23,1400.0,61.0,40.9,15.6,15,82.0,12,8,22.0,10,1.61,20.0,20.0,0.0,0.0,-0.13,17.2,27.2,-9.9,-0.64,-0.8,Matches
2,3,Abdel Abqar,ma MAR,DF,Alavés,24.0,1999.0,27,2312.0,86.0,67.6,25.7,27,86.0,23,0,,4,1.07,21.0,30.0,-9.0,-0.35,-0.27,27.0,30.7,-3.8,-0.15,-0.58,Matches
3,4,Vicent Abril Sanz,es ESP,GK,Valencia,18.0,2005.0,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
4,5,Marcos Acuña,ar ARG,DF,Sevilla,31.0,1991.0,21,1292.0,62.0,37.8,14.4,18,69.0,5,3,19.0,2,1.14,20.0,21.0,-1.0,-0.07,0.14,17.1,21.9,-4.8,-0.34,-0.07,Matches
5,6,Julen Agirrezabala,es ESP,GK,Athletic Club,22.0,2000.0,4,238.0,60.0,7.0,2.6,2,90.0,2,2,29.0,34,1.5,3.0,4.0,-1.0,-0.38,-1.09,2.6,2.8,-0.2,-0.08,-0.41,Matches
6,7,Lucien Agoume,fr FRA,MF,Sevilla,21.0,2002.0,12,777.0,65.0,22.7,8.6,9,79.0,5,3,22.0,1,1.42,11.0,12.0,-1.0,-0.12,0.05,11.5,14.6,-3.1,-0.36,-0.09,Matches
7,8,Joseph Aidoo,gh GHA,DF,Celta Vigo,27.0,1995.0,6,407.0,68.0,11.9,4.5,4,90.0,4,2,24.0,3,0.83,3.0,6.0,-3.0,-0.66,-0.42,5.3,7.0,-1.7,-0.38,-0.31,Matches
8,9,Ilias Akhomach,ma MAR,MFFW,Villarreal,19.0,2004.0,31,1511.0,49.0,44.2,16.8,17,70.0,2,14,23.0,6,1.45,26.0,33.0,-7.0,-0.42,-0.75,25.5,29.0,-3.4,-0.2,-0.22,Matches
9,10,Sergio Akieme,es ESP,DF,Almería,25.0,1997.0,19,1675.0,88.0,49.0,18.6,19,88.0,18,0,,1,0.32,17.0,36.0,-19.0,-1.02,-0.35,24.7,33.0,-8.3,-0.45,-0.22,Matches
10,11,Paul Akouokou,ci CIV,MF,Betis,25.0,1997.0,2,27.0,14.0,0.8,0.3,0,,0,2,14.0,1,1.5,1.0,1.0,0.0,0.0,-0.08,0.5,0.7,-0.2,-0.54,-0.38,Matches
11,12,David Alaba,at AUT,DF,Real Madrid,31.0,1992.0,14,1154.0,82.0,33.7,12.8,14,82.0,12,0,,1,2.36,23.0,10.0,13.0,1.01,-0.89,21.0,12.9,8.1,0.63,-0.38,Matches
12,13,Raúl Albiol,es ESP,DF,Villarreal,37.0,1985.0,26,2031.0,78.0,59.4,22.6,24,82.0,18,2,35.0,4,1.15,34.0,36.0,-2.0,-0.09,-0.22,30.8,37.5,-6.7,-0.3,-0.52,Matches
13,14,Rubén Alcaraz,es ESP,MF,Cádiz,32.0,1991.0,36,3134.0,87.0,91.6,34.8,36,87.0,29,0,,0,0.89,26.0,48.0,-22.0,-0.63,1.57,34.0,46.4,-12.4,-0.36,0.88,Matches
14,15,Omar Alderete,py PAR,DF,Getafe,26.0,1996.0,31,2195.0,71.0,64.2,24.4,24,84.0,20,7,27.0,3,1.06,26.0,34.0,-8.0,-0.33,-0.03,30.4,34.4,-4.0,-0.16,0.14,Matches
15,16,Iván Alejo,es ESP,MF,Cádiz,28.0,1995.0,30,1692.0,56.0,49.5,18.8,21,71.0,3,9,22.0,5,1.0,14.0,26.0,-12.0,-0.64,0.25,17.3,25.7,-8.3,-0.44,-0.03,Matches
16,17,Carles Aleñá,es ESP,MF,Getafe,25.0,1998.0,29,1020.0,35.0,29.8,11.3,10,58.0,0,19,23.0,5,1.1,12.0,22.0,-10.0,-0.88,-0.81,15.3,18.4,-3.1,-0.27,-0.08,Matches
