,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
10,11,Carlos Alcaraz,ar ARG,MF,Juventus,20.0,2002.0,4.2,221.0,7.0,22.0,133.0,69.0,12.0,221.0,9.0,3.0,33.3,5.0,55.6,141.0,766.0,310.0,6.0,13.0,1.0,8.0,4.0,162.0,9.0,Matches
11,12,Pontus Almqvist,se SWE,FWMF,Lecce,24.0,1999.0,23.4,779.0,11.0,105.0,332.0,360.0,80.0,779.0,93.0,37.0,39.8,43.0,46.2,505.0,4048.0,1930.0,72.0,47.0,35.0,59.0,39.0,558.0,137.0,Matches
12,13,Lorenzo Amatucci,it ITA,MF,Fiorentina,19.0,2004.0,0.2,26.0,0.0,1.0,15.0,10.0,1.0,26.0,0.0,0.0,,0.0,,13.0,52.0,17.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,Matches
13,14,Bruno Amione,ar ARG,DF,Hellas Verona,21.0,2002.0,6.4,344.0,22.0,176.0,157.0,15.0,7.0,344.0,2.0,1.0,50.0,1.0,50.0,190.0,918.0,402.0,2.0,3.0,0.0,8.0,1.0,188.0,2.0,Matches
14,15,Felipe Anderson,br BRA,FWMF,Lazio,30.0,1993.0,30.8,1756.0,43.0,252.0,792.0,742.0,93.0,1756.0,107.0,43.0,40.2,54.0,50.5,897.0,5493.0,2896.0,108.0,62.0,26.0,65.0,32.0,1304.0,226.0,Matches
15,16,Angeliño,es ESP,DF,Roma,26.0,1997.0,12.7,830.0,60.0,284.0,351.0,199.0,7.0,830.0,13.0,6.0,46.2,6.0,46.2,414.0,1902.0,864.0,12.0,13.0,0.0,9.0,6.0,502.0,55.0,Matches
16,17,Houssem Aouar,dz ALG,MFFW,Roma,25.0,1998.0,8.4,440.0,3.0,49.0,238.0,157.0,27.0,440.0,21.0,11.0,52.4,7.0,33.3,278.0,1418.0,622.0,17.0,15.0,7.0,16.0,15.0,319.0,59.0,Matches
17,18,Simone Aresti,it ITA,GK,Cagliari,37.0,1986.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,1.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
18,19,Marko Arnautović,at AUT,FW,Inter,34.0,1989.0,8.9,358.0,8.0,25.0,169.0,165.0,41.0,358.0,6.0,1.0,16.7,5.0,83.3,208.0,819.0,272.0,12.0,8.0,4.0,22.0,10.0,281.0,77.0,Matches
19,20,Kristjan Asllani,al ALB,MF,Inter,21.0,2002.0,8.7,813.0,19.0,197.0,483.0,136.0,3.0,813.0,5.0,3.0,60.0,2.0,40.0,547.0,2487.0,1030.0,5.0,7.0,0.0,6.0,3.0,636.0,8.0,Matches
20,21,Emil Audero,it ITA,GK,Inter,26.0,1997.0,3.7,200.0,173.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,,0.0,,147.0,639.0,377.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,Matches
21,22,Tommaso Augello,it ITA,DF,Cagliari,28.0,1994.0,26.9,1544.0,97.0,529.0,625.0,408.0,9.0,1544.0,29.0,15.0,51.7,12.0,41.4,692.0,3963.0,2135.0,62.0,34.0,1.0,21.0,8.0,772.0,99.0,Matches
22,23,Carlos Augusto,br BRA,DF,Inter,24.0,1999.0,19.2,1285.0,96.0,425.0,553.0,317.0,52.0,1285.0,21.0,12.0,57.1,6.0,28.6,733.0,3634.0,1863.0,42.0,32.0,12.0,21.0,14.0,876.0,88.0,Matches
23,24,Yann Aurel Bisseck,de GER,DF,Inter,22.0,2000.0,10.0,737.0,88.0,350.0,306.0,84.0,19.0,737.0,13.0,5.0,38.5,7.0,53.8,497.0,2911.0,1551.0,24.0,24.0,1.0,10.0,4.0,576.0,20.0,Matches
24,25,Sardar Azmoun,ir IRN,FWMF,Roma,28.0,1995.0,6.5,232.0,6.0,24.0,110.0,101.0,29.0,232.0,13.0,4.0,30.8,7.0,53.8,137.0,607.0,206.0,5.0,9.0,1.0,17.0,10.0,171.0,35.0,Matches
25,26,Paulo Azzi,br BRA,DFMF,Cagliari,29.0,1994.0,10.6,620.0,30.0,166.0,249.0,216.0,19.0,620.0,28.0,13.0,46.4,11.0,39.3,295.0,2243.0,1398.0,47.0,39.0,5.0,14.0,5.0,328.0,42.0,Matches
26,27,Oussama El Azzouzi,ma MAR,MF,Bologna,22.0,2001.0,6.1,448.0,19.0,105.0,287.0,58.0,8.0,448.0,3.0,0.0,0.0,3.0,100.0,274.0,1340.0,577.0,4.0,3.0,0.0,5.0,5.0,345.0,8.0,Matches
27,28,Milan Badelj,hr CRO,MF,Genoa,34.0,1989.0,28.2,1696.0,81.0,425.0,1029.0,255.0,18.0,1696.0,33.0,17.0,51.5,13.0,39.4,904.0,3806.0,1728.0,18.0,17.0,1.0,31.0,19.0,1097.0,36.0,Matches
28,29,Jaime Báez,uy URU,FWMF,Frosinone,28.0,1995.0,5.6,248.0,5.0,31.0,110.0,111.0,14.0,248.0,10.0,5.0,50.0,3.0,30.0,143.0,892.0,431.0,12.0,6.0,2.0,11.0,11.0,174.0,39.0,Matches
29,30,Nicola Bagnolini,it ITA,GK,Bologna,19.0,2004.0,0.1,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.0,,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches
30,31,Nedim Bajrami,al ALB,MFFW,Sassuolo,24.0,1999.0,14.6,583.0,9.0,69.0,213.0,318.0,43.0,583.0,31.0,17.0,54.8,13.0,41.9,310.0,2647.0,1390.0,51.0,25.0,11.0,27.0,11.0,355.0,70.0,Matches
31,32,Mitchel Bakker,nl NED,DF,Atalanta,23.0,2000.0,4.2,255.0,6.0,70.0,116.0,77.0,10.0,255.0,12.0,7.0,58.3,4.0,33.3,139.0,807.0,457.0,12.0,8.0,2.0,10.0,3.0,151.0,20.0,Matches
32,33,Tommaso Baldanzi,it ITA,MFFW,Empoli,20.0,2003.0,8.3,347.0,2.0,28.0,151.0,176.0,26.0,347.0,26.0,7.0,26.9,16.0,61.5,230.0,1420.0,641.0,20.0,16.0,6.0,19.0,13.0,260.0,40.0,Matches
33,34,Tommaso Baldanzi,it ITA,FWMF,Roma,20.0,2003.0,5.8,261.0,1.0,26.0,122.0,116.0,19.0,261.0,22.0,8.0,36.4,10.0,45.5,176.0,1068.0,499.0,18.0,16.0,5.0,5.0,7.0,213.0,54.0,Matches
34,35,Lameck Banda,zm ZAM,FW,Lecce,22.0,2001.0,15.0,602.0,2.0,75.0,231.0,315.0,61.0,602.0,99.0,42.0,42.4,50.0,50.5,414.0,3556.0,1752.0,70.0,34.0,34.0,57.0,29.0,404.0,136.0,Matches
35,36,Daniel Bandeira,pt POR,MF,Hellas Verona,23.0,2000.0,5.0,276.0,12.0,47.0,164.0,67.0,2.0,276.0,4.0,3.0,75.0,0.0,0.0,124.0,718.0,392.0,9.0,4.0,1.0,4.0,6.0,160.0,8.0,Matches
36,37,Mattia Bani,it ITA,DF,Genoa,29.0,1993.0,25.6,1418.0,230.0,868.0,517.0,37.0,17.0,1418.0,4.0,1.0,25.0,2.0,50.0,749.0,3417.0,1524.0,5.0,2.0,0.0,10.0,2.0,834.0,4.0,Matches
37,38,Antonín Barák,cz CZE,MFFW,Fiorentina,28.0,1994.0,9.0,473.0,6.0,38.0,218.0,219.0,40.0,473.0,13.0,4.0,30.8,8.0,61.5,310.0,1648.0,634.0,17.0,23.0,1.0,15.0,16.0,372.0,64.0,Matches
38,39,Nicolò Barella,it ITA,MF,Inter,26.0,1997.0,31.6,2425.0,43.0,424.0,1281.0,739.0,58.0,2425.0,59.0,29.0,49.2,24.0,40.7,1556.0,7283.0,3389.0,68.0,73.0,9.0,39.0,29.0,1941.0,144.0,Matches
39,40,Enzo Barrenechea,ar ARG,MF,Frosinone,22.0,2001.0,31.2,2213.0,104.0,622.0,1408.0,205.0,13.0,2213.0,18.0,8.0,44.4,8.0,44.4,1005.0,4013.0,1526.0,10.0,12.0,0.0,20.0,16.0,1385.0,24.0,Matches
40,41,Davide Bartesaghi,it ITA,DFMF,Milan,17.0,2005.0,0.9,51.0,8.0,25.0,18.0,8.0,0.0,51.0,1.0,0.0,0.0,1.0,100.0,23.0,157.0,53.0,1.0,3.0,0.0,1.0,2.0,29.0,4.0,Matches
41,42,Federico Baschirotto,it ITA,DF,Lecce,26.0,1996.0,36.6,2092.0,322.0,1171.0,876.0,53.0,24.0,2092.0,0.0,0.0,,0.0,,1138.0,6160.0,3312.0,28.0,9.0,0.0,12.0,4.0,1290.0,3.0,Matches
42,43,Toma Bašić,hr CRO,MF,Salernitana,26.0,1996.0,12.9,679.0,43.0,175.0,394.0,121.0,6.0,679.0,15.0,10.0,66.7,5.0,33.3,366.0,1843.0,758.0,11.0,15.0,0.0,23.0,3.0,439.0,16.0,Matches
43,44,Alessandro Bastoni,it ITA,DF,Inter,24.0,1999.0,25.2,2127.0,209.0,769.0,986.0,388.0,35.0,2127.0,19.0,10.0,52.6,8.0,42.1,1434.0,7294.0,4361.0,63.0,66.0,6.0,12.0,10.0,1612.0,77.0,Matches
44,45,Simone Bastoni,it ITA,MFDF,Empoli,26.0,1996.0,8.3,464.0,29.0,123.0,216.0,132.0,12.0,464.0,9.0,4.0,44.4,5.0,55.6,206.0,995.0,465.0,12.0,11.0,0.0,12.0,9.0,240.0,26.0,Matches
45,46,Reda Belahyane,fr FRA,MF,Hellas Verona,19.0,2004.0,1.0,35.0,2.0,10.0,20.0,6.0,0.0,35.0,0.0,0.0,,0.0,,20.0,92.0,27.0,1.0,1.0,0.0,1.0,1.0,22.0,2.0,Matches
46,47,Raoul Bellanova,it ITA,DF,Torino,23.0,2000.0,33.8,1871.0,57.0,403.0,812.0,678.0,60.0,1871.0,98.0,43.0,43.9,35.0,35.7,1106.0,7714.0,3913.0,141.0,57.0,17.0,45.0,23.0,1217.0,202.0,Matches
47,48,Andrea Belotti,it ITA,FW,Fiorentina,29.0,1993.0,10.5,302.0,6.0,14.0,135.0,156.0,47.0,302.0,6.0,1.0,16.7,3.0,50.0,158.0,753.0,237.0,10.0,4.0,4.0,23.0,13.0,221.0,60.0,Matches
48,49,Andrea Belotti,it ITA,FW,Roma,29.0,1993.0,7.5,238.0,3.0,17.0,116.0,107.0,34.0,238.0,15.0,7.0,46.7,6.0,40.0,160.0,850.0,350.0,15.0,9.0,6.0,21.0,12.0,186.0,49.0,Matches
49,50,Lucas Beltrán,ar ARG,FWMF,Fiorentina,22.0,2001.0,18.8,668.0,16.0,49.0,280.0,342.0,88.0,667.0,31.0,12.0,38.7,17.0,54.8,384.0,1500.0,542.0,12.0,10.0,6.0,56.0,31.0,478.0,113.0,Matches
50,51,Ismaël Bennacer,dz ALG,MF,Milan,25.0,1997.0,12.8,943.0,20.0,158.0,556.0,240.0,15.0,942.0,30.0,17.0,56.7,10.0,33.3,554.0,2959.0,1211.0,24.0,21.0,3.0,17.0,18.0,687.0,33.0,Matches
51,52,Domenico Berardi,it ITA,FW,Sassuolo,28.0,1994.0,15.9,829.0,9.0,67.0,340.0,430.0,63.0,824.0,28.0,11.0,39.3,14.0,50.0,496.0,2734.0,1220.0,38.0,26.0,14.0,31.0,24.0,607.0,123.0,Matches
52,53,Bartosz Bereszyński,pl POL,DF,Empoli,31.0,1992.0,19.6,1048.0,74.0,374.0,537.0,147.0,3.0,1048.0,27.0,13.0,48.1,11.0,40.7,485.0,2551.0,1219.0,15.0,10.0,3.0,19.0,6.0,539.0,18.0,Matches
53,54,Etrit Berisha,al ALB,GK,Empoli,34.0,1989.0,14.0,532.0,456.0,530.0,2.0,0.0,0.0,532.0,0.0,0.0,,0.0,,314.0,1627.0,997.0,0.0,0.0,0.0,1.0,0.0,245.0,0.0,Matches
54,55,Medon Berisha,al ALB,FWMF,Lecce,19.0,2003.0,2.3,111.0,3.0,23.0,72.0,19.0,3.0,111.0,5.0,1.0,20.0,2.0,40.0,71.0,374.0,123.0,3.0,2.0,0.0,2.0,2.0,86.0,3.0,Matches
55,56,Victor Bernth Kristiansen,dk DEN,DF,Bologna,20.0,2002.0,25.6,1890.0,89.0,667.0,918.0,320.0,13.0,1890.0,23.0,11.0,47.8,8.0,34.8,1125.0,5209.0,2280.0,23.0,15.0,2.0,14.0,7.0,1274.0,74.0,Matches
56,57,Beto,gw GNB,FW,Udinese,25.0,1998.0,0.8,17.0,0.0,0.0,7.0,10.0,1.0,17.0,3.0,2.0,66.7,1.0,33.3,15.0,51.0,18.0,0.0,0.0,0.0,3.0,0.0,14.0,5.0,Matches
57,58,Davide Bettella,it ITA,MF,Monza,23.0,2000.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,,0.0,,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,Matches
58,59,Sam Beukema,nl NED,DF,Bologna,24.0,1998.0,28.3,2283.0,291.0,1170.0,1060.0,61.0,14.0,2283.0,8.0,4.0,50.0,2.0,25.0,1457.0,8540.0,4162.0,14.0,10.0,1.0,6.0,3.0,1679.0,5.0,Matches
59,60,Jaka Bijol,si SVN,DF,Udinese,24.0,1999.0,23.2,1099.0,212.0,669.0,395.0,38.0,29.0,1099.0,0.0,0.0,,0.0,,528.0,2641.0,1564.0,5.0,2.0,0.0,3.0,4.0,560.0,1.0,Matches
60,61,El Bilal Touré,ml MLI,FW,Atalanta,21.0,2001.0,4.4,179.0,2.0,6.0,56.0,117.0,21.0,179.0,14.0,3.0,21.4,9.0,64.3,128.0,1009.0,417.0,16.0,15.0,2.0,18.0,16.0,160.0,39.0,Matches
61,62,Cristiano Biraghi,it ITA,DF,Fiorentina,30.0,1992.0,26.2,2027.0,62.0,461.0,893.0,688.0,14.0,2026.0,14.0,4.0,28.6,9.0,64.3,958.0,4317.0,2283.0,55.0,55.0,3.0,15.0,6.0,1132.0,109.0,Matches
62,63,Davide Biraschi,it ITA,DF,Genoa,29.0,1994.0,1.0,48.0,5.0,20.0,21.0,7.0,1.0,48.0,1.0,1.0,100.0,0.0,0.0,19.0,76.0,46.0,0.0,2.0,0.0,0.0,0.0,21.0,4.0,Matches
63,64,Samuele Birindelli,it ITA,DF,Monza,24.0,1999.0,22.4,1320.0,63.0,412.0,557.0,364.0,43.0,1320.0,30.0,12.0,40.0,15.0,50.0,766.0,4352.0,2314.0,63.0,40.0,11.0,35.0,9.0,885.0,122.0,Matches
64,65,Alexis Blin,fr FRA,MF,Lecce,26.0,1996.0,18.2,947.0,53.0,260.0,581.0,112.0,16.0,947.0,10.0,5.0,50.0,5.0,50.0,496.0,2053.0,971.0,7.0,8.0,0.0,5.0,11.0,547.0,11.0,Matches
65,66,Jérôme Boateng,de GER,DF,Salernitana,34.0,1988.0,2.6,161.0,31.0,83.0,73.0,6.0,0.0,161.0,0.0,0.0,,0.0,,85.0,411.0,234.0,0.0,1.0,0.0,1.0,0.0,101.0,1.0,Matches
66,67,Emil Bohinen,no NOR,MF,Genoa,24.0,1999.0,0.6,47.0,6.0,17.0,21.0,10.0,0.0,47.0,1.0,0.0,0.0,1.0,100.0,23.0,127.0,83.0,1.0,1.0,0.0,3.0,1.0,18.0,1.0,Matches
67,68,Emil Bohinen,no NOR,MF,Salernitana,24.0,1999.0,5.9,406.0,13.0,101.0,237.0,74.0,4.0,406.0,12.0,5.0,41.7,7.0,58.3,208.0,1122.0,500.0,7.0,8.0,0.0,10.0,5.0,262.0,10.0,Matches
68,69,Daniel Boloca,ro ROU,MF,Sassuolo,24.0,1998.0,22.5,1252.0,75.0,313.0,747.0,211.0,8.0,1252.0,35.0,28.0,80.0,7.0,20.0,705.0,4318.0,2034.0,27.0,33.0,0.0,21.0,17.0,834.0,17.0,Matches
69,70,Giacomo Bonaventura,it ITA,MF,Fiorentina,33.0,1989.0,25.3,1340.0,16.0,118.0,697.0,541.0,69.0,1339.0,51.0,30.0,58.8,16.0,31.4,913.0,4921.0,2134.0,60.0,67.0,14.0,46.0,29.0,1025.0,107.0,Matches
70,71,Federico Bonazzoli,it ITA,FWMF,Hellas Verona,26.0,1997.0,11.3,410.0,2.0,20.0,216.0,178.0,41.0,410.0,12.0,6.0,50.0,5.0,41.7,262.0,1299.0,371.0,13.0,10.0,3.0,27.0,12.0,317.0,73.0,Matches
71,72,Warren Bondo,fr FRA,MF,Monza,19.0,2003.0,16.4,750.0,28.0,174.0,458.0,125.0,13.0,750.0,18.0,13.0,72.2,4.0,22.2,492.0,2905.0,1435.0,31.0,20.0,5.0,16.0,19.0,541.0,13.0,Matches
72,73,Giovanni Bonfanti,it ITA,DF,Atalanta,20.0,2003.0,1.0,67.0,4.0,27.0,34.0,6.0,1.0,67.0,1.0,1.0,100.0,0.0,0.0,28.0,112.0,60.0,0.0,0.0,0.0,1.0,0.0,42.0,2.0,Matches
73,74,Kevin Bonifazi,it ITA,DF,Bologna,27.0,1996.0,1.0,95.0,21.0,62.0,34.0,0.0,0.0,95.0,1.0,0.0,0.0,1.0,100.0,72.0,273.0,120.0,0.0,0.0,0.0,2.0,0.0,76.0,1.0,Matches
74,75,Kevin Bonifazi,it ITA,DF,Frosinone,27.0,1996.0,3.4,172.0,21.0,87.0,76.0,9.0,1.0,172.0,2.0,1.0,50.0,0.0,0.0,92.0,485.0,236.0,2.0,1.0,0.0,1.0,2.0,112.0,1.0,Matches
75,76,Gennaro Borrelli,it ITA,FW,Frosinone,23.0,2000.0,0.3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Matches
76,77,Erik Botheim,no NOR,FWMF,Salernitana,23.0,2000.0,3.5,86.0,2.0,11.0,49.0,27.0,7.0,86.0,4.0,1.0,25.0,2.0,50.0,47.0,189.0,52.0,3.0,1.0,2.0,3.0,0.0,57.0,9.0,Matches
77,78,Mehdi Bourabia,ma MAR,MF,Frosinone,31.0,1991.0,2.2,129.0,5.0,34.0,70.0,26.0,2.0,129.0,1.0,0.0,0.0,1.0,100.0,66.0,250.0,78.0,1.0,1.0,0.0,8.0,0.0,80.0,8.0,Matches
78,79,Edoardo Bove,it ITA,MF,Roma,21.0,2002.0,19.8,980.0,20.0,165.0,557.0,265.0,36.0,980.0,18.0,9.0,50.0,7.0,38.9,558.0,2442.0,1095.0,21.0,24.0,2.0,27.0,27.0,662.0,47.0,Matches
79,80,Domagoj Bradarić,hr CRO,DF,Salernitana,23.0,1999.0,30.5,1792.0,85.0,529.0,817.0,461.0,23.0,1792.0,49.0,20.0,40.8,24.0,49.0,925.0,5175.0,2622.0,57.0,38.0,8.0,32.0,17.0,1046.0,120.0,Matches
80,81,Josip Brekalo,hr CRO,FW,Fiorentina,25.0,1998.0,7.2,346.0,2.0,37.0,147.0,168.0,18.0,346.0,18.0,8.0,44.4,9.0,50.0,231.0,1320.0,542.0,14.0,11.0,7.0,10.0,3.0,264.0,69.0,Matches
81,82,Gleison Bremer,br BRA,DF,Juventus,26.0,1997.0,35.9,2304.0,285.0,1098.0,1123.0,97.0,35.0,2304.0,13.0,10.0,76.9,3.0,23.1,1287.0,6500.0,3428.0,7.0,8.0,1.0,18.0,8.0,1432.0,4.0,Matches
82,83,Brenner,br BRA,MFFW,Udinese,23.0,2000.0,2.1,88.0,0.0,10.0,34.0,47.0,7.0,88.0,6.0,2.0,33.3,3.0,50.0,47.0,290.0,158.0,6.0,4.0,1.0,9.0,2.0,53.0,10.0,Matches
83,84,Marco Brescianini,it ITA,MF,Frosinone,23.0,2000.0,25.8,1056.0,46.0,239.0,533.0,294.0,57.0,1056.0,43.0,22.0,51.2,19.0,44.2,575.0,3132.0,1453.0,46.0,32.0,15.0,39.0,44.0,722.0,100.0,Matches
84,85,Dylan Bronn,tn TUN,DFMF,Salernitana,28.0,1995.0,0.6,20.0,4.0,9.0,9.0,2.0,2.0,20.0,0.0,0.0,,0.0,,9.0,36.0,20.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,Matches
85,86,Tajon Buchanan,ca CAN,DF,Inter,24.0,1999.0,1.8,100.0,5.0,14.0,23.0,65.0,9.0,100.0,11.0,4.0,36.4,4.0,36.4,74.0,545.0,336.0,12.0,4.0,3.0,6.0,1.0,76.0,22.0,Matches
86,87,Alessandro Buongiorno,it ITA,DF,Torino,24.0,1999.0,28.1,1539.0,153.0,739.0,748.0,64.0,19.0,1539.0,4.0,0.0,0.0,4.0,100.0,740.0,3702.0,1363.0,14.0,10.0,2.0,26.0,4.0,809.0,10.0,Matches
87,88,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,19.0,2004.0,0.1,4.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,,0.0,,2.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,Matches
88,89,Jovane Cabral,cv CPV,MFFW,Salernitana,25.0,1998.0,7.5,346.0,4.0,43.0,163.0,147.0,24.0,346.0,36.0,21.0,58.3,13.0,36.1,229.0,1569.0,731.0,22.0,10.0,7.0,23.0,14.0,251.0,39.0,Matches
89,90,Liberato Cacace,nz NZL,DF,Empoli,22.0,2000.0,21.2,1341.0,74.0,442.0,614.0,306.0,17.0,1341.0,53.0,23.0,43.4,26.0,49.1,690.0,3935.0,2109.0,34.0,29.0,4.0,23.0,20.0,703.0,55.0,Matches
90,91,Jens Cajuste,se SWE,MF,Napoli,23.0,1999.0,11.3,577.0,22.0,83.0,323.0,180.0,23.0,577.0,28.0,17.0,60.7,10.0,35.7,283.0,1506.0,728.0,19.0,18.0,2.0,19.0,10.0,391.0,53.0,Matches
91,92,Davide Calabria,it ITA,DF,Milan,26.0,1996.0,24.3,1784.0,74.0,512.0,953.0,325.0,26.0,1784.0,20.0,6.0,30.0,14.0,70.0,932.0,4458.0,2474.0,31.0,31.0,2.0,19.0,9.0,1135.0,66.0,Matches
92,93,Riccardo Calafiori,it ITA,DF,Bologna,21.0,2002.0,26.1,2102.0,235.0,955.0,1018.0,152.0,23.0,2102.0,21.0,13.0,61.9,7.0,33.3,1291.0,7277.0,4024.0,28.0,28.0,1.0,31.0,12.0,1408.0,23.0,Matches
93,94,Mattia Caldara,it ITA,DF,Milan,29.0,1994.0,0.4,29.0,4.0,10.0,18.0,1.0,1.0,29.0,0.0,0.0,,0.0,,14.0,63.0,43.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,Matches
94,95,Luca Caldirola,it ITA,DF,Monza,32.0,1991.0,23.8,1546.0,203.0,809.0,678.0,61.0,16.0,1546.0,2.0,1.0,50.0,0.0,0.0,966.0,4882.0,2482.0,10.0,5.0,0.0,6.0,1.0,1146.0,9.0,Matches
95,96,Hakan Çalhanoğlu,tr TUR,MF,Inter,29.0,1994.0,28.4,2591.0,81.0,632.0,1389.0,586.0,26.0,2581.0,15.0,7.0,46.7,7.0,46.7,1604.0,7646.0,3868.0,45.0,65.0,1.0,27.0,7.0,1878.0,34.0,Matches
96,97,Francesco Camarda,it ITA,FW,Milan,15.0,2008.0,0.2,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,100.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,Matches
97,98,Nicolò Cambiaghi,it ITA,FWMF,Empoli,22.0,2000.0,28.4,1010.0,7.0,86.0,357.0,587.0,115.0,1010.0,86.0,29.0,33.7,41.0,47.7,705.0,6203.0,2858.0,128.0,51.0,48.0,59.0,36.0,744.0,197.0,Matches
98,99,Andrea Cambiaso,it ITA,DFFW,Juventus,23.0,2000.0,26.4,1449.0,48.0,317.0,631.0,521.0,60.0,1449.0,61.0,26.0,42.6,27.0,44.3,857.0,5413.0,2832.0,87.0,53.0,23.0,38.0,21.0,993.0,172.0,Matches
99,100,Matteo Cancellieri,it ITA,FWMF,Empoli,21.0,2002.0,19.9,673.0,20.0,100.0,253.0,339.0,78.0,673.0,100.0,37.0,37.0,46.0,46.0,426.0,3168.0,1381.0,48.0,36.0,28.0,56.0,35.0,466.0,138.0,Matches
