,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
0,1,Tammy Abraham,eng ENG,FW,Roma,25.0,1997.0,2.7,69.0,4.0,4.0,31.0,34.0,9.0,69.0,6.0,2.0,33.3,4.0,66.7,37.0,208.0,111.0,6.0,2.0,2.0,9.0,2.0,53.0,15.0,Matches
1,2,Francesco Acerbi,it ITA,DF,Inter,35.0,1988.0,26.5,1977.0,219.0,941.0,946.0,98.0,25.0,1977.0,3.0,2.0,66.7,1.0,33.3,1211.0,5779.0,3081.0,21.0,11.0,0.0,4.0,1.0,1446.0,24.0,Matches
2,3,Yacine Adli,fr FRA,MF,Milan,23.0,2000.0,15.6,1439.0,38.0,262.0,913.0,281.0,8.0,1439.0,32.0,22.0,68.8,8.0,25.0,873.0,4728.0,2144.0,30.0,27.0,3.0,18.0,10.0,1053.0,26.0,Matches
3,4,Michel Aebischer,ch SUI,MF,Bologna,26.0,1997.0,24.8,1694.0,51.0,405.0,1032.0,270.0,23.0,1694.0,25.0,14.0,56.0,9.0,36.0,1040.0,4507.0,2248.0,26.0,23.0,3.0,27.0,19.0,1308.0,55.0,Matches
4,5,Lucien Agoume,fr FRA,MF,Inter,21.0,2002.0,0.1,6.0,0.0,1.0,4.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,100.0,2.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,Matches
5,6,Marley Aké,fr FRA,FW,Udinese,22.0,2001.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Matches
6,7,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18.0,2004.0,0.2,9.0,0.0,3.0,6.0,1.0,0.0,9.0,0.0,0.0,,0.0,,9.0,83.0,11.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,Matches
7,8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,30.0,1992.0,7.8,348.0,22.0,111.0,187.0,58.0,5.0,348.0,10.0,3.0,30.0,3.0,30.0,189.0,1226.0,591.0,11.0,9.0,1.0,13.0,7.0,215.0,12.0,Matches
8,9,David Akpan Ankeye,ng NGA,FW,Genoa,21.0,2002.0,0.6,17.0,0.0,2.0,6.0,10.0,1.0,17.0,5.0,2.0,40.0,3.0,60.0,12.0,109.0,61.0,3.0,1.0,1.0,2.0,0.0,10.0,2.0,Matches
9,10,Luis Alberto,es ESP,MF,Lazio,30.0,1992.0,25.7,1904.0,23.0,231.0,1004.0,690.0,61.0,1904.0,45.0,25.0,55.6,16.0,35.6,1018.0,5303.0,3192.0,83.0,62.0,10.0,33.0,24.0,1383.0,124.0,Matches
