,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
0,1,Tammy Abraham,eng ENG,FW,Roma,25.0,1997.0,2.7,1,4,2,50.0,1.49,0.74,0.25,0.5,11.9,0.0,0,0,0.6,0.6,0.15,0.4,0.4,Matches
1,2,Francesco Acerbi,it ITA,DF,Inter,35.0,1988.0,26.5,3,15,6,40.0,0.57,0.23,0.2,0.5,12.0,0.0,0,0,1.6,1.6,0.11,1.4,1.4,Matches
2,3,Yacine Adli,fr FRA,MF,Milan,23.0,2000.0,15.6,1,4,1,25.0,0.26,0.06,0.25,1.0,19.8,0.0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
3,4,Michel Aebischer,ch SUI,MF,Bologna,26.0,1997.0,24.8,0,18,5,27.8,0.73,0.2,0.0,0.0,22.4,0.0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
4,5,Lucien Agoume,fr FRA,MF,Inter,21.0,2002.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
5,6,Marley Aké,fr FRA,FW,Udinese,22.0,2001.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
6,7,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18.0,2004.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
7,8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,30.0,1992.0,7.8,0,7,3,42.9,0.89,0.38,0.0,0.0,26.6,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
8,9,David Akpan Ankeye,ng NGA,FW,Genoa,21.0,2002.0,0.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
9,10,Luis Alberto,es ESP,MF,Lazio,30.0,1992.0,25.7,5,56,15,26.8,2.18,0.58,0.09,0.33,22.0,4.0,0,0,4.7,4.7,0.08,0.3,0.3,Matches
