,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,SCA_SCA,SCA_SCA90,SCATypes_PassLive,SCATypes_PassDead,SCATypes_TO,SCATypes_Sh,SCATypes_Fld,SCATypes_Def,GCA_GCA,GCA_GCA90,GCATypes_PassLive,GCATypes_PassDead,GCATypes_TO,GCATypes_Sh,GCATypes_Fld,GCATypes_Def,Matches
0,1,Brenden Aaronson,us USA,MFFW,Union Berlin,22.0,2000.0,14.1,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0,Matches
1,2,Paxten Aaronson,us USA,MF,Eint Frankfurt,19.0,2003.0,1.1,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0,Matches
2,3,Junior Adamu,at AUT,FWMF,Freiburg,22.0,2001.0,1.2,2,1.73,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
3,4,Sargis Adamyan,am ARM,FWMF,Köln,30.0,1993.0,8.9,31,3.48,22,0,1,1,6,1,3,0.34,1,0,0,1,1,0,Matches
4,5,Karim Adeyemi,de GER,FWMF,Dortmund,21.0,2002.0,10.1,25,2.46,13,1,3,2,6,0,2,0.2,2,0,0,0,0,0,Matches
5,6,Amine Adli,ma MAR,MFFW,Leverkusen,23.0,2000.0,10.0,52,5.22,39,0,6,3,4,0,9,0.9,5,0,2,1,1,0,Matches
6,7,Felix Agu,de GER,DFMF,Werder Bremen,23.0,1999.0,17.9,24,1.34,16,1,0,0,7,0,3,0.17,0,0,0,0,3,0,Matches
7,8,Ludovic Ajorque,fr FRA,FW,Mainz 05,29.0,1994.0,15.1,37,2.45,29,1,0,1,5,1,0,0.0,0,0,0,0,0,0,Matches
8,9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28.0,1995.0,12.2,16,1.31,13,0,2,0,1,0,3,0.25,3,0,0,0,0,0,Matches
9,10,Faride Alidou,de GER,FWMF,Köln,22.0,2001.0,14.2,34,2.39,23,0,5,1,5,0,3,0.21,1,0,1,0,1,0,Matches
10,11,Skelly Alvero,fr FRA,MF,Werder Bremen,21.0,2002.0,1.4,4,2.9,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
11,12,Nadiem Amiri,de GER,MF,Mainz 05,26.0,1996.0,14.6,91,6.23,34,43,6,1,4,3,11,0.75,6,4,1,0,0,0,Matches
12,13,Nadiem Amiri,de GER,MF,Leverkusen,26.0,1996.0,1.0,1,1.02,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
13,14,Kofi Amoako,de GER,MF,Wolfsburg,18.0,2005.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
14,15,Robert Andrich,de GER,MFDF,Leverkusen,28.0,1994.0,18.8,54,2.88,47,0,0,4,2,1,6,0.32,6,0,0,0,0,0,Matches
15,16,Waldemar Anton,de GER,DF,Stuttgart,27.0,1996.0,32.1,39,1.22,33,0,0,4,1,1,9,0.28,8,0,0,1,0,0,Matches
16,17,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,29.0,1994.0,13.5,48,3.55,31,9,2,3,3,0,4,0.3,4,0,0,0,0,0,Matches
17,18,Asaf Arania,il ISR,MF,Darmstadt 98,17.0,2005.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
18,19,Maximilian Arnold,de GER,MF,Wolfsburg,29.0,1994.0,27.8,82,2.94,47,28,1,3,2,1,3,0.11,1,0,0,2,0,0,Matches
19,20,Arthur,br BRA,DF,Leverkusen,20.0,2003.0,2.0,7,3.41,5,1,0,0,0,1,2,0.97,2,0,0,0,0,0,Matches
20,21,Takuma Asano,jp JPN,FWMF,Bochum,28.0,1994.0,22.1,65,2.95,44,1,5,8,6,1,5,0.23,3,0,0,2,0,0,Matches
21,22,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,17.0,2006.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
22,23,Noah Atubolu,de GER,GK,Freiburg,21.0,2002.0,34.0,4,0.12,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
23,24,Matthias Bader,de GER,DFMF,Darmstadt 98,26.0,1997.0,20.0,49,2.45,37,2,3,3,2,2,4,0.2,3,0,0,0,0,1,Matches
24,25,Ridle Baku,de GER,DFMF,Wolfsburg,25.0,1998.0,22.4,59,2.64,50,0,0,5,4,0,1,0.04,1,0,0,0,0,0,Matches
25,26,Samuel Bamba,de GER,FW,Dortmund,19.0,2004.0,0.5,2,3.83,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
26,27,Aymen Barkok,ma MAR,MFFW,Mainz 05,25.0,1998.0,3.6,15,4.21,10,2,1,1,1,0,1,0.28,1,0,0,0,0,0,Matches
27,28,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23.0,2000.0,29.0,58,2.0,40,1,1,6,8,2,5,0.17,5,0,0,0,0,0,Matches
28,29,Daniel Batz,de GER,GK,Mainz 05,32.0,1991.0,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
29,30,Maximilian Bauer,de GER,DF,Augsburg,23.0,2000.0,9.0,4,0.44,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
30,31,Elias Baum,de GER,DFMF,Eint Frankfurt,17.0,2005.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
31,32,Oliver Baumann,de GER,GK,Hoffenheim,33.0,1990.0,34.0,6,0.18,3,3,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches
32,33,Christoph Baumgartner,at AUT,MFFW,RB Leipzig,23.0,1999.0,12.9,45,3.5,31,0,3,5,5,1,5,0.39,3,0,0,1,1,0,Matches
33,34,Ihlas Bebou,tg TOG,FWDF,Hoffenheim,29.0,1994.0,18.2,48,2.64,31,0,7,7,2,1,14,0.77,6,0,5,1,1,1,Matches
34,35,Adrian Beck,de GER,MFFW,Heidenheim,26.0,1997.0,10.8,29,2.68,22,0,3,3,0,1,4,0.37,3,0,0,1,0,0,Matches
35,36,Sheraldo Becker,sr SUR,FWMF,Union Berlin,28.0,1995.0,7.2,28,3.91,22,0,2,2,2,0,4,0.56,2,0,0,1,1,0,Matches
36,37,Chris Bedia,ci CIV,FWMF,Union Berlin,27.0,1996.0,1.6,4,2.48,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
37,38,Donny van de Beek,nl NED,MFFW,Eint Frankfurt,26.0,1997.0,4.0,7,1.76,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
38,39,Kevin Behrens,de GER,FW,Wolfsburg,32.0,1991.0,6.8,18,2.63,15,0,1,2,0,0,2,0.29,2,0,0,0,0,0,Matches
39,40,Kevin Behrens,de GER,FW,Union Berlin,32.0,1991.0,14.0,35,2.5,25,0,0,2,7,1,2,0.14,1,0,0,0,1,0,Matches
40,41,Maximilian Beier,de GER,FWMF,Hoffenheim,20.0,2002.0,26.9,76,2.83,47,0,11,7,11,0,10,0.37,2,0,3,3,2,0,Matches
41,42,Stefan Bell,de GER,DF,Mainz 05,31.0,1991.0,7.4,5,0.68,5,0,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
42,43,Ramy Bensebaini,dz ALG,DF,Dortmund,28.0,1995.0,11.5,26,2.27,16,2,2,2,4,0,3,0.26,3,0,0,0,0,0,Matches
43,44,Mergim Berisha,de GER,FW,Hoffenheim,25.0,1998.0,1.6,4,2.48,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
44,45,Mergim Berisha,de GER,FW,Augsburg,25.0,1998.0,1.4,5,3.69,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
45,46,Bernardo,br BRA,DF,Bochum,28.0,1995.0,32.5,46,1.42,32,3,1,4,4,2,4,0.12,2,0,0,2,0,0,Matches
