,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Min,PlayingTime_Mn/MP,PlayingTime_Min%,PlayingTime_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,TeamSuccess_PPM,TeamSuccess_onG,TeamSuccess_onGA,TeamSuccess_+/-,TeamSuccess_+/-90,TeamSuccess_On-Off,TeamSuccess(xG)_onxG,TeamSuccess(xG)_onxGA,TeamSuccess(xG)_xG+/-,TeamSuccess(xG)_xG+/-90,TeamSuccess(xG)_On-Off,Matches
0,1,Abner,br BRA,DF,Betis,22,2000,13,607.0,47.0,17.7,6.7,7,74.0,3,6,15.0,8,1.08,7.0,10.0,-3.0,-0.44,-0.7,10.3,10.9,-0.6,-0.09,-0.15,Matches
1,2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,1,13.0,13.0,0.4,0.1,0,,0,1,13.0,13,0.0,0.0,0.0,0.0,0.0,0.79,0.3,0.2,0.1,0.73,1.43,Matches
2,3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,30,1912.0,64.0,55.9,21.2,21,79.0,10,9,28.0,0,1.33,27.0,34.0,-7.0,-0.33,-0.33,27.1,29.5,-2.5,-0.12,0.21,Matches
3,4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,8,675.0,84.0,19.7,7.5,7,90.0,7,1,45.0,26,0.75,5.0,6.0,-1.0,-0.13,-0.3,10.2,6.9,3.3,0.43,-0.03,Matches
4,5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,34,1888.0,56.0,55.2,21.0,18,78.0,11,16,31.0,4,1.15,19.0,36.0,-17.0,-0.81,-0.05,21.7,36.1,-14.4,-0.68,0.04,Matches
5,6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,35,3119.0,89.0,91.2,34.7,35,89.0,33,0,,0,1.14,40.0,48.0,-8.0,-0.23,0.37,40.1,40.6,-0.5,-0.02,0.66,Matches
6,7,Sergio Akieme,es ESP,DF,Almería,24,1997,29,2297.0,79.0,67.2,25.5,27,84.0,23,2,9.0,4,0.93,31.0,45.0,-14.0,-0.55,-0.39,29.6,42.8,-13.3,-0.52,-0.22,Matches
7,8,Babatunde Akinsola,ng NGA,FW,Valladolid,19,2003,1,11.0,11.0,0.3,0.1,0,,0,1,11.0,4,0.0,0.0,1.0,-1.0,-8.18,-7.42,0.2,0.5,-0.3,-2.22,-1.52,Matches
8,9,Paul Akouokou,ci CIV,MFDF,Betis,24,1997,12,447.0,37.0,13.1,5.0,3,89.0,2,9,20.0,19,1.67,2.0,6.0,-4.0,-0.81,-1.08,3.5,8.9,-5.4,-1.08,-1.28,Matches
9,10,David Alaba,at AUT,DF,Real Madrid,30,1992,23,1838.0,80.0,53.7,20.4,21,86.0,16,2,19.0,3,2.3,49.0,18.0,31.0,1.52,1.06,43.8,21.5,22.3,1.09,0.28,Matches
10,11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,4,25.0,6.0,0.7,0.3,0,,0,4,6.0,10,2.25,0.0,0.0,0.0,0.0,-1.33,,,,,,Matches
11,12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,4,223.0,56.0,6.5,2.5,2,83.0,1,2,29.0,4,0.0,0.0,7.0,-7.0,-2.83,-2.37,1.2,5.3,-4.1,-1.67,-1.22,Matches
12,13,Jordi Alba,es ESP,DF,Barcelona,33,1989,24,1419.0,59.0,41.5,15.8,14,83.0,6,10,26.0,12,2.17,27.0,8.0,19.0,1.21,-0.19,30.7,13.3,17.5,1.11,-0.01,Matches
13,14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,25,2119.0,85.0,62.0,23.5,24,88.0,22,1,15.0,2,1.52,29.0,23.0,6.0,0.25,-0.64,33.8,27.7,6.0,0.26,-0.14,Matches
14,15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,31,2043.0,66.0,59.7,22.7,22,80.0,10,9,31.0,0,1.29,18.0,26.0,-8.0,-0.35,0.63,24.5,34.4,-9.8,-0.43,0.24,Matches
15,16,Omar Alderete,py PAR,DF,Getafe,25,1996,25,2047.0,82.0,59.9,22.7,23,87.0,19,2,23.0,6,1.04,19.0,24.0,-5.0,-0.22,0.17,23.2,27.7,-4.5,-0.2,0.12,Matches
16,17,Iván Alejo,es ESP,MFFW,Cádiz,27,1995,31,1311.0,42.0,38.3,14.6,13,69.0,2,18,23.0,2,1.06,8.0,26.0,-18.0,-1.24,-1.02,17.1,25.8,-8.7,-0.6,-0.11,Matches
17,18,Carles Aleñá,es ESP,MFFW,Getafe,24,1998,35,2119.0,61.0,62.0,23.5,26,75.0,7,9,20.0,0,1.0,17.0,27.0,-10.0,-0.42,-0.36,21.3,25.1,-3.8,-0.16,0.22,Matches
18,19,Alejandro Alfaro,es ESP,MF,Elche,20,2002,1,15.0,15.0,0.4,0.2,0,,0,1,15.0,1,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.4,-0.4,-2.24,-1.39,Matches
19,20,Ángel Algobia,es ESP,MF,Getafe,23,1999,26,1138.0,44.0,33.3,12.6,11,71.0,3,15,24.0,10,1.19,17.0,15.0,2.0,0.16,0.67,15.6,14.6,1.1,0.09,0.5,Matches
20,21,Mohamed Ali Cho,fr FRA,FWMF,Real Sociedad,18,2004,19,587.0,31.0,17.2,6.5,5,61.0,0,14,20.0,5,1.89,11.0,9.0,2.0,0.31,-0.14,10.1,6.6,3.5,0.53,0.01,Matches
21,22,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,22,2000,34,2539.0,75.0,74.2,28.2,29,84.0,14,5,23.0,2,1.15,30.0,32.0,-2.0,-0.07,0.03,37.4,32.4,5.0,0.18,0.09,Matches
22,23,Nando Almodóvar,es ESP,GK,Cádiz,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
23,24,José Alonso Lara,es ESP,MF,Betis,22,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
24,25,Marcos Alonso,es ESP,DF,Barcelona,31,1990,24,1172.0,49.0,34.3,13.0,11,80.0,8,13,22.0,10,2.29,22.0,11.0,11.0,0.84,-0.72,23.2,14.0,9.2,0.71,-0.62,Matches
25,26,Carlos Álvarez,es ESP,MF,Sevilla,18,2003,1,10.0,10.0,0.3,0.1,0,,0,1,10.0,7,3.0,0.0,1.0,-1.0,-9.0,-8.84,0.1,0.2,-0.1,-0.67,-0.46,Matches
26,27,Gastón Álvarez,uy URU,DF,Getafe,22,2000,22,1501.0,68.0,43.9,16.7,16,86.0,10,6,22.0,14,1.41,17.0,15.0,2.0,0.12,0.73,20.6,19.7,0.9,0.05,0.54,Matches
27,28,Hugo Álvarez,es ESP,DF,Celta Vigo,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
28,29,Iker Álvarez,ad AND,GK,Villarreal,21,2001,0,,,,,0,,0,0,,17,,,,,,,,,,,,Matches
29,30,Yeray Álvarez,es ESP,DF,Athletic Club,27,1995,28,2332.0,83.0,68.2,25.9,27,86.0,21,1,12.0,2,1.5,33.0,30.0,3.0,0.12,0.03,33.0,25.1,7.9,0.3,-0.48,Matches
30,31,Diego Alves,br BRA,GK,Celta Vigo,37,1985,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
31,32,Selim Amallah,ma MAR,MFFW,Valladolid,25,1996,7,267.0,38.0,7.8,3.0,3,56.0,0,4,25.0,2,1.14,6.0,4.0,2.0,0.67,1.59,4.0,5.4,-1.5,-0.5,0.22,Matches
32,33,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,20,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
33,34,Amath,sn SEN,MFFW,Mallorca,26,1996,28,1227.0,44.0,35.9,13.6,12,68.0,3,16,26.0,3,1.25,13.0,14.0,-1.0,-0.07,0.13,14.7,15.1,-0.4,-0.03,0.42,Matches
34,35,Jordan Amavi,fr FRA,DF,Getafe,28,1994,5,200.0,40.0,5.8,2.2,1,58.0,0,4,36.0,23,0.8,2.0,2.0,0.0,0.0,0.31,0.6,1.5,-0.9,-0.39,-0.16,Matches
35,36,Marcos André,br BRA,FWMF,Valencia,25,1996,17,447.0,26.0,13.1,5.0,3,52.0,0,14,21.0,5,0.76,9.0,7.0,2.0,0.4,0.55,7.3,7.6,-0.3,-0.06,-0.24,Matches
36,37,Fabrizio Angileri,ar ARG,DF,Getafe,28,1994,15,585.0,39.0,17.1,6.5,7,70.0,2,8,12.0,15,1.13,7.0,15.0,-8.0,-1.23,-1.14,5.2,10.1,-4.9,-0.75,-0.61,Matches
37,38,Josep Antoni Gayá,es ESP,DFMF,Mallorca,22,2000,2,98.0,49.0,2.9,1.1,1,90.0,1,1,8.0,19,1.5,0.0,2.0,-2.0,-1.84,-1.73,0.0,2.3,-2.3,-3.86,-3.62,Matches
38,39,José Antonio,es ESP,MFDF,Cádiz,18,2004,2,46.0,23.0,1.3,0.5,0,,0,2,23.0,4,0.0,1.0,1.0,0.0,0.0,0.61,1.1,0.7,0.4,0.76,1.31,Matches
39,40,Anuar,ma MAR,MFFW,Valladolid,27,1995,3,210.0,70.0,6.1,2.3,3,70.0,1,0,,3,0.33,2.0,5.0,-3.0,-1.29,-0.53,1.5,4.6,-3.1,-1.33,-0.67,Matches
40,41,Arvin Appiah,eng ENG,FWMF,Almería,21,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
41,42,Mauro Arambarri,uy URU,MF,Getafe,26,1995,13,992.0,76.0,29.0,11.0,13,76.0,5,0,,0,1.08,11.0,18.0,-7.0,-0.64,-0.49,11.5,13.2,-1.7,-0.16,0.13,Matches
42,43,Egoitz Arana,es ESP,GK,Real Sociedad,20,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
43,44,Ronald Araújo,uy URU,DF,Barcelona,23,1999,22,1800.0,82.0,52.6,20.0,21,85.0,16,1,24.0,2,2.45,42.0,5.0,37.0,1.85,1.13,44.4,14.0,30.4,1.52,0.86,Matches
44,45,Matías Árbol,es ESP,GK,Sevilla,19,2002,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
45,46,Adu Ares,es ESP,FWMF,Athletic Club,20,2001,8,84.0,11.0,2.5,0.9,0,,0,8,11.0,7,0.63,1.0,3.0,-2.0,-2.14,-2.3,2.5,1.9,0.5,0.56,0.11,Matches
46,47,Sergio Arribas,es ESP,MFFW,Real Madrid,20,2001,2,19.0,10.0,0.6,0.2,0,,0,2,10.0,1,1.5,0.0,1.0,-1.0,-4.74,-5.8,0.9,0.1,0.8,3.81,2.86,Matches
47,48,Roberto Arroyo,es ESP,MF,Valladolid,18,2003,1,15.0,15.0,0.4,0.2,0,,0,1,15.0,3,0.0,0.0,1.0,-1.0,-6.0,-5.23,0.0,0.8,-0.8,-4.79,-4.11,Matches
48,49,Ricard Artero,es ESP,MFFW,Girona,19,2003,7,133.0,19.0,3.9,1.5,0,,0,7,19.0,19,2.0,2.0,2.0,0.0,0.0,-0.08,2.6,3.0,-0.5,-0.31,-0.21,Matches
49,50,Santiago Arzamendia,py PAR,DFMF,Cádiz,24,1998,12,483.0,40.0,14.1,5.4,5,81.0,3,7,11.0,26,0.92,1.0,15.0,-14.0,-2.61,-2.33,3.7,12.2,-8.5,-1.59,-1.23,Matches
50,51,Sergio Asenjo,es ESP,GK,Valladolid,33,1989,10,900.0,90.0,26.3,10.0,10,90.0,10,0,,20,0.8,7.0,21.0,-14.0,-1.4,-0.83,8.7,18.4,-9.7,-0.97,-0.36,Matches
51,52,Marco Asensio,es ESP,FWMF,Real Madrid,26,1996,31,1442.0,47.0,42.2,16.0,15,80.0,7,16,16.0,6,1.9,34.0,16.0,18.0,1.12,0.17,38.7,16.0,22.7,1.42,0.79,Matches
52,53,Iago Aspas,es ESP,FW,Celta Vigo,34,1987,37,2868.0,78.0,83.9,31.9,31,89.0,27,6,20.0,0,1.16,36.0,46.0,-10.0,-0.31,-0.31,37.7,37.4,0.3,0.01,0.52,Matches
53,54,Ander Astralaga,es ESP,GK,Barcelona,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
54,55,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,33,1989,1,9.0,9.0,0.3,0.1,0,,0,1,9.0,2,1.0,0.0,0.0,0.0,0.0,-1.32,0.4,0.1,0.3,2.87,1.76,Matches
