,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,_Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
20,21,Emil Audero,it ITA,GK,Inter,26.0,1997.0,3.7,197.0,174.0,21.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,166.0,2.0,1.0,Matches
21,22,Tommaso Augello,it ITA,DF,Cagliari,28.0,1994.0,26.9,1329.0,1008.0,317.0,42.0,1.0,2.0,153,241.0,34.0,7.0,25.0,0.0,919.0,4.0,42.0,Matches
22,23,Carlos Augusto,br BRA,DF,Inter,24.0,1999.0,19.2,1099.0,977.0,112.0,14.0,0.0,3.0,40,92.0,0.0,0.0,0.0,0.0,921.0,10.0,25.0,Matches
23,24,Yann Aurel Bisseck,de GER,DF,Inter,22.0,2000.0,10.0,641.0,614.0,27.0,20.0,1.0,2.0,5,7.0,0.0,0.0,0.0,0.0,590.0,0.0,9.0,Matches
24,25,Sardar Azmoun,ir IRN,FWMF,Roma,28.0,1995.0,6.5,156.0,152.0,4.0,1.0,1.0,1.0,2,1.0,0.0,0.0,0.0,0.0,108.0,0.0,8.0,Matches
25,26,Paulo Azzi,br BRA,DFMF,Cagliari,29.0,1994.0,10.6,487.0,394.0,91.0,6.0,0.0,1.0,48,84.0,1.0,0.0,0.0,0.0,322.0,2.0,13.0,Matches
26,27,Oussama El Azzouzi,ma MAR,MF,Bologna,22.0,2001.0,6.1,390.0,383.0,7.0,6.0,0.0,2.0,2,0.0,1.0,1.0,0.0,0.0,352.0,0.0,2.0,Matches
27,28,Milan Badelj,hr CRO,MF,Genoa,34.0,1989.0,28.2,1407.0,1344.0,59.0,39.0,5.0,14.0,14,9.0,0.0,0.0,0.0,0.0,1136.0,4.0,20.0,Matches
28,29,Jaime Báez,uy URU,FWMF,Frosinone,28.0,1995.0,5.6,202.0,182.0,20.0,4.0,0.0,1.0,24,2.0,14.0,2.0,10.0,0.0,141.0,0.0,7.0,Matches
29,30,Nicola Bagnolini,it ITA,GK,Bologna,19.0,2004.0,0.1,3.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Matches
30,31,Nedim Bajrami,al ALB,MFFW,Sassuolo,24.0,1999.0,14.6,460.0,376.0,83.0,20.0,2.0,1.0,78,10.0,44.0,17.0,22.0,0.0,330.0,1.0,12.0,Matches
31,32,Mitchel Bakker,nl NED,DF,Atalanta,23.0,2000.0,4.2,212.0,168.0,42.0,3.0,0.0,0.0,13,36.0,3.0,0.0,3.0,0.0,167.0,2.0,8.0,Matches
