,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,_Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
0,1,Brenden Aaronson,us USA,MFFW,Union Berlin,22.0,2000.0,14.1,472,439,29,3,5,1,22,12,6,2,3,0,365,4,21,Matches
1,2,Paxten Aaronson,us USA,MF,Eint Frankfurt,19.0,2003.0,1.1,50,48,2,1,0,0,0,1,0,0,0,0,41,0,0,Matches
2,3,Junior Adamu,at AUT,FWMF,Freiburg,22.0,2001.0,1.2,30,29,1,0,0,0,1,0,0,0,0,0,18,0,0,Matches
3,4,Sargis Adamyan,am ARM,FWMF,Köln,30.0,1993.0,8.9,189,166,22,1,0,2,4,2,0,0,0,0,132,1,6,Matches
4,5,Karim Adeyemi,de GER,FWMF,Dortmund,21.0,2002.0,10.1,299,280,19,3,0,1,25,11,4,1,2,0,218,0,16,Matches
5,6,Amine Adli,ma MAR,MFFW,Leverkusen,23.0,2000.0,10.0,459,447,11,2,2,1,23,7,0,0,0,0,367,1,10,Matches
6,7,Felix Agu,de GER,DFMF,Werder Bremen,23.0,1999.0,17.9,669,538,128,3,0,2,46,124,1,0,0,0,488,3,30,Matches
7,8,Ludovic Ajorque,fr FRA,FW,Mainz 05,29.0,1994.0,15.1,453,423,28,2,2,4,3,0,0,0,0,0,318,2,6,Matches
8,9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28.0,1995.0,12.2,711,680,30,17,0,2,4,13,0,0,0,0,611,1,6,Matches
9,10,Faride Alidou,de GER,FWMF,Köln,22.0,2001.0,14.2,305,293,12,0,0,2,39,7,1,0,1,0,196,0,17,Matches
10,11,Skelly Alvero,fr FRA,MF,Werder Bremen,21.0,2002.0,1.4,76,75,1,1,0,1,0,0,0,0,0,0,59,0,2,Matches
11,12,Nadiem Amiri,de GER,MF,Mainz 05,26.0,1996.0,14.6,798,612,181,80,2,3,126,9,88,32,44,0,567,5,11,Matches
12,13,Nadiem Amiri,de GER,MF,Leverkusen,26.0,1996.0,1.0,100,98,2,1,0,0,1,0,1,0,0,0,92,0,2,Matches
13,14,Kofi Amoako,de GER,MF,Wolfsburg,18.0,2005.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,15,Robert Andrich,de GER,MFDF,Leverkusen,28.0,1994.0,18.8,1494,1458,34,32,5,4,14,2,0,0,0,0,1346,2,10,Matches
15,16,Waldemar Anton,de GER,DF,Stuttgart,27.0,1996.0,32.1,2624,2511,109,51,6,9,14,29,0,0,0,0,2330,4,16,Matches
16,17,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,29.0,1994.0,13.5,454,343,108,1,1,1,55,106,0,0,0,0,274,3,21,Matches
17,18,Asaf Arania,il ISR,MF,Darmstadt 98,17.0,2005.0,0.1,4,3,1,0,0,0,0,1,0,0,0,0,4,0,0,Matches
18,19,Maximilian Arnold,de GER,MF,Wolfsburg,29.0,1994.0,27.8,1582,1404,171,87,4,17,110,1,58,39,13,2,1285,7,19,Matches
19,20,Arthur,br BRA,DF,Leverkusen,20.0,2003.0,2.0,109,96,13,0,0,0,7,12,1,0,0,0,88,0,3,Matches
20,21,Takuma Asano,jp JPN,FWMF,Bochum,28.0,1994.0,22.1,397,383,12,1,1,0,37,2,1,0,0,0,262,2,26,Matches
21,22,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,17.0,2006.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,23,Noah Atubolu,de GER,GK,Freiburg,21.0,2002.0,34.0,1392,1060,329,88,0,4,0,0,0,0,0,0,982,3,1,Matches
23,24,Matthias Bader,de GER,DFMF,Darmstadt 98,26.0,1997.0,20.0,912,747,160,5,1,10,32,155,0,0,0,0,687,5,31,Matches
24,25,Ridle Baku,de GER,DFMF,Wolfsburg,25.0,1998.0,22.4,1048,896,150,16,5,4,54,124,10,9,0,0,789,2,20,Matches
25,26,Samuel Bamba,de GER,FW,Dortmund,19.0,2004.0,0.5,20,19,1,0,0,0,4,1,0,0,0,0,14,0,1,Matches
26,27,Aymen Barkok,ma MAR,MFFW,Mainz 05,25.0,1998.0,3.6,184,171,13,0,1,0,13,8,4,2,2,0,118,0,4,Matches
27,28,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23.0,2000.0,29.0,925,900,20,18,0,3,5,2,0,0,0,0,679,5,24,Matches
28,29,Daniel Batz,de GER,GK,Mainz 05,32.0,1991.0,4.0,153,120,33,12,0,0,0,0,0,0,0,0,104,0,0,Matches
29,30,Maximilian Bauer,de GER,DF,Augsburg,23.0,2000.0,9.0,491,452,39,17,0,0,1,15,0,0,0,0,423,0,3,Matches
