,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,_Ast,_xAG,Expected_xA,Expected_A-xAG,_KP,_1/3,_PPA,_CrsPA,_PrgP,Matches
27,28,Milan Badelj,hr CRO,MF,Genoa,34.0,1989.0,28.2,1136.0,1407.0,80.7,19451.0,6788.0,504.0,579.0,87.0,474.0,547.0,86.7,110.0,189.0,58.2,3,1.1,1.4,1.9,18.0,140.0,23.0,4.0,151.0,Matches
28,29,Jaime Báez,uy URU,FWMF,Frosinone,28.0,1995.0,5.6,141.0,202.0,69.8,2309.0,920.0,68.0,87.0,78.2,50.0,64.0,78.1,16.0,33.0,48.5,0,0.5,0.8,-0.5,8.0,12.0,9.0,0.0,29.0,Matches
29,30,Nicola Bagnolini,it ITA,GK,Bologna,19.0,2004.0,0.1,2.0,3.0,66.7,106.0,82.0,1.0,1.0,100.0,0.0,0.0,,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
30,31,Nedim Bajrami,al ALB,MFFW,Sassuolo,24.0,1999.0,14.6,330.0,460.0,71.7,5347.0,1538.0,154.0,186.0,82.8,134.0,174.0,77.0,25.0,63.0,39.7,2,2.2,1.6,-0.2,22.0,16.0,15.0,2.0,49.0,Matches
31,32,Mitchel Bakker,nl NED,DF,Atalanta,23.0,2000.0,4.2,167.0,212.0,78.8,2347.0,433.0,105.0,117.0,89.7,51.0,62.0,82.3,6.0,16.0,37.5,0,0.1,0.1,-0.1,3.0,9.0,0.0,0.0,10.0,Matches
32,33,Tommaso Baldanzi,it ITA,MFFW,Empoli,20.0,2003.0,8.3,201.0,257.0,78.2,3075.0,751.0,102.0,119.0,85.7,70.0,86.0,81.4,15.0,22.0,68.2,0,1.0,0.8,-1.0,13.0,12.0,11.0,3.0,30.0,Matches
33,34,Tommaso Baldanzi,it ITA,FWMF,Roma,20.0,2003.0,5.8,175.0,205.0,85.4,2356.0,434.0,111.0,124.0,89.5,57.0,66.0,86.4,3.0,7.0,42.9,0,0.7,0.7,-0.7,4.0,16.0,6.0,3.0,14.0,Matches
34,35,Lameck Banda,zm ZAM,FW,Lecce,22.0,2001.0,15.0,250.0,342.0,73.1,3877.0,745.0,137.0,160.0,85.6,88.0,113.0,77.9,15.0,41.0,36.6,4,1.9,1.2,2.1,24.0,12.0,17.0,9.0,22.0,Matches
35,36,Daniel Bandeira,pt POR,MF,Hellas Verona,23.0,2000.0,5.0,187.0,233.0,80.3,3306.0,1112.0,82.0,93.0,88.2,77.0,91.0,84.6,22.0,36.0,61.1,0,0.2,0.3,-0.2,3.0,30.0,5.0,0.0,34.0,Matches
36,37,Mattia Bani,it ITA,DF,Genoa,29.0,1993.0,25.6,962.0,1152.0,83.5,18643.0,6794.0,325.0,356.0,91.3,533.0,586.0,91.0,95.0,181.0,52.5,0,0.1,0.1,-0.1,2.0,36.0,1.0,0.0,37.0,Matches
37,38,Antonín Barák,cz CZE,MFFW,Fiorentina,28.0,1994.0,9.0,338.0,392.0,86.2,5238.0,1035.0,191.0,208.0,91.8,115.0,133.0,86.5,22.0,25.0,88.0,3,2.2,1.5,0.8,14.0,30.0,9.0,3.0,33.0,Matches
38,39,Nicolò Barella,it ITA,MF,Inter,26.0,1997.0,31.6,1835.0,2168.0,84.6,30143.0,9590.0,958.0,1045.0,91.7,678.0,762.0,89.0,155.0,246.0,63.0,3,3.4,4.5,-0.4,42.0,212.0,78.0,11.0,278.0,Matches
