,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Min,PlayingTime_Mn/MP,PlayingTime_Min%,PlayingTime_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,TeamSuccess_PPM,TeamSuccess_onG,TeamSuccess_onGA,TeamSuccess_+/-,TeamSuccess_+/-90,TeamSuccess_On-Off,TeamSuccess(xG)_onxG,TeamSuccess(xG)_onxGA,TeamSuccess(xG)_xG+/-,TeamSuccess(xG)_xG+/-90,TeamSuccess(xG)_On-Off,Matches
0,1,James Abankwah,ie IRL,DF,Udinese,19.0,2004.0,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
1,2,Tammy Abraham,eng ENG,FW,Roma,25.0,1997.0,8,242.0,30.0,7.1,2.7,2,60.0,0,6,20.0,1,1.38,4.0,4.0,0.0,0.0,-0.54,3.6,5.1,-1.5,-0.57,-0.89,Matches
2,3,Salim Abubakar,ne NIG,MF,Sassuolo,20.0,2003.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
3,4,Francesco Acerbi,it ITA,DF,Inter,35.0,1988.0,29,2388.0,82.0,69.8,26.5,26,89.0,25,3,25.0,2,2.41,55.0,19.0,36.0,1.36,-1.35,52.2,23.3,28.9,1.09,-0.5,Matches
4,5,Marius Adamonis,lt LTU,GK,Lazio,26.0,1997.0,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
5,6,Yacine Adli,fr FRA,MF,Milan,23.0,2000.0,24,1407.0,59.0,41.1,15.6,17,74.0,6,7,21.0,14,1.88,25.0,22.0,3.0,0.19,-0.88,23.3,17.7,5.6,0.36,-0.32,Matches
6,7,Michel Aebischer,ch SUI,MF,Bologna,26.0,1997.0,36,2230.0,62.0,65.2,24.8,26,79.0,13,10,17.0,1,1.81,29.0,20.0,9.0,0.36,-0.62,27.6,23.8,3.7,0.15,-0.39,Matches
7,8,Lucien Agoume,fr FRA,MF,Inter,21.0,2002.0,1,5.0,5.0,0.1,0.1,0,,0,1,5.0,16,3.0,1.0,0.0,1.0,18.0,16.26,0.3,0.0,0.3,5.27,4.04,Matches
8,9,Junior Ajayi,ci CIV,FW,Hellas Verona,18.0,2004.0,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
9,10,Marley Aké,fr FRA,FW,Udinese,22.0,2001.0,1,10.0,10.0,0.3,0.1,0,,0,1,10.0,14,1.0,0.0,0.0,0.0,0.0,0.42,0.0,0.5,-0.5,-4.4,-4.14,Matches
