,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,_Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
0,1,Nabil Aberdin,fr FRA,DF,Getafe,20.0,2002.0,2.0,79,75,4,4,0,1,0,0,0,0,0,0,60,0,0,Matches
1,2,Abner,br BRA,DF,Betis,23.0,2000.0,15.6,797,628,165,7,0,3,26,158,0,0,0,0,615,4,23,Matches
2,3,Abdel Abqar,ma MAR,DF,Alavés,24.0,1999.0,25.7,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10,Matches
3,4,Marcos Acuña,ar ARG,DF,Sevilla,31.0,1991.0,14.4,847,672,173,32,1,11,82,122,19,7,12,0,628,2,16,Matches
4,5,Julen Agirrezabala,es ESP,GK,Athletic Club,22.0,2000.0,2.6,100,72,28,6,0,0,0,0,0,0,0,0,67,0,1,Matches
5,6,Lucien Agoume,fr FRA,MF,Sevilla,21.0,2002.0,8.6,360,356,4,4,1,2,2,0,0,0,0,0,301,0,6,Matches
6,7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27.0,1995.0,4.5,185,175,10,6,1,0,0,4,0,0,0,0,145,0,0,Matches
7,8,Ilias Akhomach,ma MAR,MFFW,Villarreal,19.0,2004.0,16.8,481,464,14,5,4,2,29,5,4,1,1,0,372,3,14,Matches
8,9,Sergio Akieme,es ESP,DF,Almería,25.0,1997.0,18.6,801,630,169,19,1,5,57,148,2,0,1,0,620,2,22,Matches
9,10,Paul Akouokou,ci CIV,MF,Betis,25.0,1997.0,0.3,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
10,11,David Alaba,at AUT,DF,Real Madrid,31.0,1992.0,12.8,904,835,65,23,4,7,17,5,12,7,3,0,810,4,2,Matches
11,12,Raúl Albiol,es ESP,DF,Villarreal,37.0,1985.0,22.6,1272,1207,61,45,0,6,0,3,0,0,0,0,1095,4,8,Matches
12,13,Rubén Alcaraz,es ESP,MF,Cádiz,32.0,1991.0,34.8,1582,1462,106,85,1,42,36,7,8,1,7,0,1271,14,17,Matches
13,14,Omar Alderete,py PAR,DF,Getafe,26.0,1996.0,24.4,1056,985,58,54,0,37,5,3,0,0,0,0,678,13,11,Matches
14,15,Iván Alejo,es ESP,MF,Cádiz,28.0,1995.0,18.8,481,433,46,10,1,2,151,24,12,0,11,0,245,2,32,Matches
15,16,Carles Aleñá,es ESP,MF,Getafe,25.0,1998.0,11.3,396,359,36,17,1,4,33,5,14,13,1,0,308,1,12,Matches
16,17,Mohamed Ali Cho,fr FRA,FWMF,Real Sociedad,19.0,2004.0,2.8,66,66,0,0,0,0,11,0,0,0,0,0,38,0,1,Matches
17,18,Tadeo Allende,ar ARG,MFFW,Celta Vigo,24.0,1999.0,3.7,98,97,1,0,1,1,10,0,0,0,0,0,60,0,6,Matches
18,19,Domingos André Ribeiro Almeida,pt POR,FWMF,Valencia,23.0,2000.0,10.7,399,375,24,12,0,4,18,2,7,0,5,0,315,0,18,Matches
19,20,Marcos Alonso,es ESP,DF,Barcelona,32.0,1990.0,2.8,214,171,43,10,0,3,15,27,6,2,2,0,180,0,5,Matches
20,21,Adrià Altimira,es ESP,DFMF,Villarreal,22.0,2001.0,8.6,465,400,65,5,0,1,5,60,0,0,0,0,389,0,10,Matches
21,22,Sergi Altimira,es ESP,MF,Betis,21.0,2001.0,6.3,320,315,3,1,0,4,1,1,1,1,0,0,289,2,3,Matches
22,23,Gastón Álvarez,uy URU,DF,Getafe,23.0,2000.0,28.2,1017,878,138,35,0,10,25,101,0,0,0,0,754,1,17,Matches
23,24,Hugo Álvarez,es ESP,MFDF,Celta Vigo,20.0,2003.0,8.5,455,379,73,8,4,1,22,58,7,1,5,1,380,3,10,Matches
