,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,_Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
24,25,Yeray Álvarez,es ESP,DF,Athletic Club,28.0,1995.0,12.8,710,674,32,30,2,8,1,1,0,0,0,0,572,4,7,Matches
25,26,Selim Amallah,ma MAR,FWMF,Valencia,26.0,1996.0,6.7,164,162,2,0,2,0,4,0,0,0,0,0,120,0,5,Matches
26,27,Amath,sn SEN,FWMF,Mallorca,27.0,1996.0,4.4,113,110,2,1,2,0,7,1,0,0,0,0,76,1,4,Matches
27,28,Miguel Ángel Rubio,es ESP,DF,Granada,25.0,1998.0,17.3,775,745,29,24,1,4,0,1,0,0,0,0,622,1,11,Matches
28,29,Fabrizio Angileri,ar ARG,DFMF,Getafe,29.0,1994.0,1.8,103,96,7,1,0,2,8,6,0,0,0,0,68,0,5,Matches
29,30,Mauro Arambarri,uy URU,MF,Getafe,27.0,1995.0,3.8,142,138,4,2,0,2,6,1,1,1,0,0,114,0,2,Matches
30,31,Jon Aramburu,ve VEN,DF,Real Sociedad,21.0,2002.0,6.0,321,256,62,7,0,0,7,55,0,0,0,0,254,3,7,Matches
31,32,Julian Araujo,mx MEX,DF,Las Palmas,21.0,2001.0,16.2,831,694,135,19,0,2,23,116,0,0,0,0,680,2,14,Matches
32,33,Ronald Araújo,uy URU,DF,Barcelona,24.0,1999.0,22.2,1641,1540,93,45,3,14,8,37,0,0,0,0,1458,8,6,Matches
33,34,Adu Ares,es ESP,FW,Athletic Club,21.0,2001.0,2.9,104,103,1,0,0,1,11,0,1,1,0,0,79,0,5,Matches
34,35,Jesús Areso,es ESP,DF,Osasuna,24.0,1999.0,29.6,1368,1033,332,20,1,6,110,311,0,0,0,0,1021,3,48,Matches
35,36,Matias Arezo,uy URU,FW,Granada,20.0,2002.0,4.1,82,75,7,0,1,0,4,1,0,0,0,0,52,0,0,Matches
36,37,Iñigo Arguibide,es ESP,DF,Osasuna,18.0,2005.0,0.2,4,3,1,0,0,0,0,1,0,0,0,0,1,0,1,Matches
37,38,José Arnaiz,es ESP,FWMF,Osasuna,28.0,1995.0,10.3,318,260,58,18,0,3,46,3,25,13,8,0,233,0,8,Matches
38,39,Sergio Arribas,es ESP,MFFW,Almería,21.0,2001.0,22.7,751,661,86,32,4,4,60,7,28,13,9,0,588,4,20,Matches
39,40,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28.0,1994.0,13.3,456,374,82,12,0,1,0,0,0,0,0,0,386,0,1,Matches
40,41,Iago Aspas,es ESP,FW,Celta Vigo,35.0,1987.0,30.1,1305,1112,190,51,20,15,149,8,94,39,35,0,949,3,30,Matches
41,42,Ezequiel Ávila,ar ARG,FWMF,Osasuna,29.0,1994.0,9.6,371,312,56,13,4,6,79,10,32,17,12,0,232,3,9,Matches
42,43,Ezequiel Ávila,ar ARG,FW,Betis,29.0,1994.0,3.3,91,89,2,1,0,3,12,1,0,0,0,0,55,0,6,Matches
43,44,César Azpilicueta,es ESP,DF,Atlético Madrid,33.0,1989.0,15.8,1035,899,130,19,1,2,11,111,0,0,0,0,867,6,8,Matches
44,45,Iddrisu Baba,gh GHA,MF,Almería,27.0,1996.0,15.9,654,636,15,15,2,2,4,0,0,0,0,0,543,3,10,Matches
45,46,Srđan Babić,rs SRB,DF,Almería,27.0,1996.0,1.0,62,60,2,2,0,1,0,0,0,0,0,0,58,0,0,Matches
46,47,Loïc Bade,fr FRA,DF,Sevilla,23.0,2000.0,25.3,1346,1308,34,30,1,18,2,4,0,0,0,0,1113,4,12,Matches
47,48,Alex Baena,es ESP,MFFW,Villarreal,22.0,2001.0,28.7,1255,1087,153,38,28,15,175,15,95,44,37,1,893,15,32,Matches
48,49,Eric Bailly,ci CIV,DF,Villarreal,29.0,1994.0,9.3,385,359,24,12,0,1,0,0,0,0,0,0,337,2,2,Matches
49,50,Cédric Bakambu,cd COD,FW,Betis,32.0,1991.0,2.2,39,35,4,0,0,0,0,0,0,0,0,0,26,0,2,Matches
50,51,Alejandro Balde,es ESP,DF,Barcelona,19.0,2003.0,15.3,817,694,122,12,1,3,37,110,0,0,0,0,694,1,16,Matches
51,52,Iván Balliu,al ALB,DF,Rayo Vallecano,31.0,1992.0,31.9,1487,1082,395,24,2,6,68,371,0,0,0,0,1116,10,43,Matches
52,53,Jonathan Bamba,ci CIV,MFFW,Celta Vigo,27.0,1996.0,22.0,769,745,19,4,8,2,50,11,1,1,0,0,590,5,31,Matches
53,54,Léo Baptistão,br BRA,FW,Almería,30.0,1992.0,20.4,568,534,31,0,1,3,27,8,0,0,0,0,366,3,30,Matches
54,55,Kike Barja,es ESP,FWMF,Osasuna,26.0,1997.0,3.4,114,110,4,1,0,0,23,1,2,2,0,0,83,0,3,Matches
55,56,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,21.0,2001.0,15.9,555,545,5,0,1,9,47,4,1,0,0,0,372,5,27,Matches
56,57,Pablo Barrios,es ESP,MF,Atlético Madrid,20.0,2003.0,17.3,873,847,16,11,3,3,16,4,1,0,0,0,728,10,10,Matches
57,58,Marc Bartra,es ESP,DF,Betis,32.0,1991.0,2.5,118,107,9,9,0,1,0,0,0,0,0,0,101,2,0,Matches
58,59,Augusto Batalla,ar ARG,GK,Granada,27.0,1996.0,17.0,689,483,205,83,0,1,0,0,0,0,0,0,445,1,1,Matches
59,60,Bebé,cv CPV,MFFW,Rayo Vallecano,33.0,1990.0,2.4,104,83,21,3,0,2,28,8,10,6,3,0,63,0,4,Matches
60,61,Sheraldo Becker,sr SUR,FWMF,Real Sociedad,28.0,1995.0,8.6,243,236,6,0,0,0,46,1,2,0,1,0,154,1,17,Matches
61,62,Héctor Bellerín,es ESP,DF,Betis,28.0,1995.0,19.0,979,791,185,17,0,8,40,168,0,0,0,0,756,3,20,Matches
62,63,Jude Bellingham,eng ENG,MF,Real Madrid,20.0,2003.0,25.7,1543,1490,43,18,18,14,21,12,1,1,0,0,1363,10,25,Matches
63,64,Fran Beltrán,es ESP,MF,Celta Vigo,24.0,1999.0,27.0,1364,1309,53,46,4,4,19,1,6,2,3,0,1180,2,19,Matches
64,65,Carlos Benavídez,uy URU,MF,Alavés,25.0,1998.0,12.6,459,447,11,7,1,6,4,3,1,0,0,0,321,1,3,Matches
65,66,Yuri Berchiche,es ESP,DF,Athletic Club,33.0,1990.0,21.4,1304,1050,249,43,0,8,44,206,0,0,0,0,1078,5,26,Matches
66,67,Álex Berenguer,es ESP,FW,Athletic Club,28.0,1995.0,17.7,596,478,117,38,4,5,138,13,65,22,30,0,373,1,23,Matches
67,68,Isaac Bernal,es ESP,FW,Sevilla,23.0,2000.0,11.5,209,187,17,0,1,1,12,0,0,0,0,0,146,5,11,Matches
68,69,Antonio Blanco,es ESP,MF,Alavés,23.0,2000.0,27.0,1053,1018,30,25,4,21,15,2,3,1,0,0,811,5,27,Matches
69,70,Daley Blind,nl NED,DF,Girona,33.0,1990.0,33.0,2585,2465,97,69,0,18,17,21,2,0,1,0,2304,23,27,Matches
70,71,Adri Bosch,es ESP,DF,Granada,22.0,2001.0,0.3,14,13,1,1,0,0,0,0,0,0,0,0,11,0,0,Matches
71,72,Yassine Bounou,ma MAR,GK,Sevilla,32.0,1991.0,1.0,31,21,10,3,0,0,0,0,0,0,0,0,20,0,0,Matches
72,73,Lucas Boyé,ar ARG,FW,Granada,27.0,1996.0,28.2,631,564,60,1,2,5,14,1,0,0,0,0,454,7,25,Matches
73,74,Juan Brandáriz,es ESP,DF,Almería,24.0,1999.0,27.0,1208,1139,64,21,0,4,2,25,0,0,0,0,1044,5,11,Matches
74,75,Darko Brašanac,rs SRB,MF,Osasuna,31.0,1992.0,0.5,15,15,0,0,0,0,1,0,0,0,0,0,9,0,0,Matches
75,76,Brau,es ESP,DF,Granada,21.0,2001.0,0.3,10,9,1,0,0,0,1,1,0,0,0,0,7,0,0,Matches
76,77,Claudio Bravo,cl CHI,GK,Betis,40.0,1983.0,7.0,230,153,76,16,1,1,0,0,0,0,0,0,186,1,0,Matches
77,78,Ben Brereton,cl CHI,FWMF,Villarreal,24.0,1999.0,3.0,74,73,1,0,1,0,4,1,0,0,0,0,55,0,4,Matches
78,79,Ante Budimir,hr CRO,FW,Osasuna,32.0,1991.0,27.1,441,421,20,0,1,1,10,4,0,0,0,0,241,0,19,Matches
79,80,Pablo Busto,es ESP,DF,Betis,17.0,2005.0,0.5,26,22,4,0,1,0,1,4,0,0,0,0,18,0,0,Matches
80,81,José Callejón,es ESP,MFFW,Granada,36.0,1987.0,8.9,368,320,46,15,0,6,34,13,16,10,5,0,286,2,3,Matches
81,82,Eduardo Camavinga,fr FRA,MFDF,Real Madrid,20.0,2002.0,20.2,1328,1278,44,24,4,9,4,20,0,0,0,0,1205,6,12,Matches
82,83,Sergio Camello,es ESP,FW,Rayo Vallecano,22.0,2001.0,18.5,380,350,23,0,6,3,2,0,0,0,0,0,273,7,10,Matches
83,84,José Campaña,es ESP,MF,Las Palmas,30.0,1993.0,1.9,162,149,11,9,0,0,4,0,2,2,0,0,135,2,4,Matches
84,85,João Cancelo,pt POR,DF,Barcelona,29.0,1994.0,27.8,1852,1602,238,37,6,24,82,201,0,0,0,0,1533,12,42,Matches
85,86,Sergi Canós,es ESP,MFFW,Valencia,26.0,1997.0,13.7,405,392,8,1,6,2,35,5,2,1,0,0,260,5,21,Matches
86,87,Étienne Capoue,fr FRA,MF,Villarreal,35.0,1988.0,16.2,813,790,20,13,3,14,7,5,0,0,0,0,699,3,10,Matches
87,88,Isaac Carcelen,es ESP,DF,Cádiz,30.0,1993.0,29.0,1163,894,263,24,0,7,67,234,5,0,5,0,851,6,25,Matches
88,89,Cárdenas,es ESP,GK,Rayo Vallecano,26.0,1997.0,1.0,40,33,7,3,0,0,0,0,0,0,0,0,26,0,0,Matches
89,90,Marc Cardona,es ESP,FW,Las Palmas,28.0,1995.0,8.0,227,215,12,1,2,1,5,0,0,0,0,0,170,0,7,Matches
90,91,Sergi Cardona,es ESP,DF,Las Palmas,24.0,1999.0,31.3,2150,1785,354,37,3,4,89,317,0,0,0,0,1727,11,53,Matches
91,92,Johnny Cardoso,us USA,MF,Betis,21.0,2001.0,14.8,640,627,11,10,1,5,3,1,0,0,0,0,539,2,13,Matches
92,93,Carmona,es ESP,DFMF,Getafe,21.0,2002.0,14.6,570,489,79,6,0,3,29,73,0,0,0,0,419,2,20,Matches
93,94,Yannick Carrasco,be BEL,DF,Atlético Madrid,29.0,1993.0,2.5,88,77,10,3,0,1,8,4,3,0,2,0,65,1,2,Matches
94,95,Álvaro Carreras,es ESP,MFFW,Granada,20.0,2003.0,5.3,222,195,27,8,1,4,14,17,2,0,1,0,169,0,7,Matches
95,96,Dani Carvajal,es ESP,DF,Real Madrid,31.0,1992.0,24.1,1475,1284,190,37,3,3,49,153,0,0,0,0,1265,1,34,Matches
96,97,William Carvalho,pt POR,MF,Betis,31.0,1992.0,7.6,634,612,20,19,0,1,4,1,0,0,0,0,560,2,6,Matches
97,98,Marc Casado,es ESP,MF,Barcelona,19.0,2003.0,0.2,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
98,99,Catena,es ESP,DF,Osasuna,28.0,1994.0,28.2,1341,1242,94,72,1,19,0,3,0,0,0,0,1095,5,6,Matches
99,100,Dani Ceballos,es ESP,MFFW,Real Madrid,26.0,1996.0,6.6,542,519,22,11,5,5,8,5,6,1,2,0,486,1,10,Matches
100,101,Álex Centelles,es ESP,DF,Almería,25.0,1997.0,10.9,544,430,112,24,1,5,44,88,0,0,0,0,400,2,19,Matches
101,102,Franco Cervi,ar ARG,MFDF,Celta Vigo,29.0,1994.0,6.1,284,249,34,4,0,1,18,25,5,0,4,0,225,1,15,Matches
102,103,Pep Chavarría,es ESP,DFMF,Rayo Vallecano,25.0,1998.0,13.0,812,710,101,4,1,3,70,97,0,0,0,0,618,1,24,Matches
103,104,Andreas Christensen,dk DEN,DFMF,Barcelona,27.0,1996.0,22.0,1569,1514,55,41,0,5,0,5,0,0,0,0,1480,0,11,Matches
104,105,Víctor Chust,es ESP,DF,Cádiz,23.0,2000.0,20.7,1040,994,38,30,0,12,2,3,0,0,0,0,831,8,12,Matches
105,106,Pathé Ciss,sn SEN,MF,Rayo Vallecano,29.0,1994.0,18.5,890,842,41,35,2,14,3,2,0,0,0,0,738,7,10,Matches
106,107,Silvi Clúa,es ESP,MF,Girona,18.0,2005.0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
107,108,Saúl Coco,gq EQG,DF,Las Palmas,24.0,1999.0,25.5,1422,1361,54,48,1,3,1,2,0,0,0,0,1257,7,8,Matches
108,109,Santi Comesaña,es ESP,MF,Villarreal,26.0,1996.0,18.4,868,842,24,23,2,7,5,1,0,0,0,0,752,2,8,Matches
109,110,Copete,es ESP,DF,Mallorca,23.0,1999.0,14.8,584,560,22,21,1,14,10,1,0,0,0,0,449,2,8,Matches
110,111,Francis Coquelin,fr FRA,MF,Villarreal,32.0,1991.0,10.1,431,421,10,10,1,7,2,0,0,0,0,0,379,0,4,Matches
111,112,Theo Corbeanu,ca CAN,MFFW,Granada,21.0,2002.0,2.0,60,59,1,0,1,0,12,0,1,0,0,0,37,0,1,Matches
112,113,Jesús Corona,mx MEX,MFDF,Sevilla,30.0,1993.0,0.2,14,14,0,0,1,0,2,0,0,0,0,0,9,0,0,Matches
113,114,Ángel Correa,ar ARG,FWMF,Atlético Madrid,28.0,1995.0,17.0,516,471,37,3,1,2,40,0,21,11,8,0,379,8,11,Matches
114,115,Thierry Correia,pt POR,DF,Valencia,24.0,1999.0,23.9,1340,1033,300,31,2,4,48,268,1,0,0,0,1017,7,19,Matches
115,116,Jaume Costa,es ESP,DF,Mallorca,35.0,1988.0,18.7,834,645,178,3,0,2,63,175,0,0,0,0,615,11,16,Matches
116,117,Samu Costa,pt POR,MF,Mallorca,22.0,2000.0,25.6,1087,1063,21,14,1,14,24,2,2,1,1,0,830,3,36,Matches
117,118,Thibaut Courtois,be BEL,GK,Real Madrid,31.0,1992.0,3.7,123,103,20,2,0,1,0,0,0,0,0,0,113,0,0,Matches
118,119,Yan Couto,br BRA,DFFW,Girona,21.0,2002.0,24.9,1354,1181,170,24,5,4,111,145,1,0,0,0,1057,3,47,Matches
119,120,Crespo,pt POR,MF,Rayo Vallecano,26.0,1996.0,5.9,273,262,10,7,1,1,3,0,0,0,0,0,230,1,3,Matches
120,121,Cristian,es ESP,GK,Valencia,25.0,1998.0,0.6,18,13,5,2,0,0,0,0,0,0,0,0,13,0,0,Matches
121,122,Juan Cruz Armada,es ESP,DF,Osasuna,31.0,1992.0,18.5,941,759,178,11,0,0,21,165,0,0,0,0,712,4,15,Matches
122,123,Juan Cruz,es ESP,FW,Betis,23.0,2000.0,0.8,20,20,0,0,0,0,0,0,0,0,0,0,15,0,0,Matches
123,124,Pau Cubarsí,es ESP,DF,Barcelona,16.0,2007.0,17.3,1487,1441,43,32,2,11,1,3,0,0,0,0,1360,3,6,Matches
124,125,Iván Cuéllar,es ESP,GK,Mallorca,39.0,1984.0,1.0,35,32,3,0,0,0,0,0,0,0,0,0,24,0,0,Matches
125,126,Jorge Cuenca,es ESP,DF,Villarreal,23.0,1999.0,21.8,1150,1035,111,36,0,16,13,41,0,0,0,0,957,4,9,Matches
126,127,Eric Curbelo,es ESP,DFMF,Las Palmas,29.0,1994.0,1.1,59,52,7,3,0,1,0,1,0,0,0,0,57,0,0,Matches
127,128,Alberto Dadie,es ESP,MF,Real Sociedad,21.0,2002.0,0.3,7,7,0,0,0,0,1,0,0,0,0,0,3,0,1,Matches
128,129,Sergi Darder,es ESP,MF,Mallorca,29.0,1993.0,24.0,1002,841,150,55,10,19,149,13,63,23,36,2,725,11,25,Matches
129,130,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,29.0,1994.0,23.1,1553,1461,75,51,23,16,46,12,12,3,4,0,1291,17,23,Matches
130,131,Mouctar Diakhaby,gn GUI,DFMF,Valencia,26.0,1996.0,11.9,546,530,15,13,0,3,0,0,0,0,0,0,475,1,4,Matches
131,132,Moussa Diakité,ml MLI,MF,Cádiz,19.0,2003.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
132,133,Assane Diao,es ESP,FW,Betis,17.0,2005.0,11.6,264,261,2,0,0,0,9,0,0,0,0,0,200,1,12,Matches
133,134,Brahim Díaz,ma MAR,FWMF,Real Madrid,23.0,1999.0,17.2,740,705,29,8,7,2,31,6,7,3,2,0,624,6,12,Matches
134,135,Víctor Díaz,es ESP,DFMF,Granada,35.0,1988.0,1.8,74,63,9,6,0,0,0,3,0,0,0,0,47,2,4,Matches
135,136,Famara Diedhiou,sn SEN,FWMF,Granada,30.0,1992.0,1.0,41,40,1,0,0,0,2,1,0,0,0,0,20,0,4,Matches
136,137,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,29.0,1993.0,37.0,1198,794,401,134,0,5,0,0,0,0,0,0,732,3,0,Matches
137,138,Djené,tg TOG,DFMF,Getafe,31.0,1991.0,27.6,1121,1049,69,21,0,4,30,48,0,0,0,0,861,3,14,Matches
138,139,Marko Dmitrović,rs SRB,GK,Sevilla,31.0,1992.0,13.0,394,291,102,23,0,0,0,0,0,0,0,0,292,1,0,Matches
139,140,Jaume Doménech,es ESP,GK,Valencia,32.0,1990.0,0.9,31,18,13,6,0,0,0,0,0,0,0,0,13,0,0,Matches
140,141,Carlos Dominguez,es ESP,DF,Celta Vigo,22.0,2001.0,17.6,864,831,30,27,0,12,3,3,0,0,0,0,681,3,10,Matches
141,142,Mario Dominguez,es ESP,FW,Valencia,19.0,2004.0,0.3,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
142,143,Carlos Dotor,es ESP,MF,Celta Vigo,22.0,2001.0,7.9,350,339,10,2,1,0,9,4,3,3,0,0,289,1,7,Matches
143,144,Anastasios Douvikas,gr GRE,FW,Celta Vigo,23.0,1999.0,10.1,166,154,12,0,1,1,2,0,0,0,0,0,105,0,4,Matches
144,145,Artem Dovbyk,ua UKR,FW,Girona,26.0,1997.0,28.7,392,359,28,0,2,2,1,0,0,0,0,0,277,5,16,Matches
145,146,Domingos Duarte,pt POR,DF,Getafe,28.0,1995.0,10.1,380,365,13,11,1,3,1,1,0,0,0,0,294,2,4,Matches
146,147,Rubén Duarte,es ESP,DF,Alavés,27.0,1995.0,20.9,827,658,160,55,0,8,70,104,1,0,0,0,566,9,10,Matches
147,148,Hugo Duro,es ESP,FW,Valencia,23.0,1999.0,33.1,570,522,45,1,0,0,7,4,0,0,0,0,406,3,16,Matches
148,149,Aritz Elustondo,es ESP,DF,Real Sociedad,29.0,1994.0,9.0,468,417,51,14,0,1,1,37,0,0,0,0,402,0,3,Matches
149,150,Adri Embarba,es ESP,FWMF,Almería,31.0,1992.0,27.5,928,770,150,35,0,16,171,16,94,36,31,0,609,8,43,Matches
150,151,Youssef En-Nesyri,ma MAR,FW,Sevilla,26.0,1997.0,28.6,318,271,47,0,2,2,4,3,0,0,0,0,205,0,13,Matches
151,152,Gonzalo Escalante,ar ARG,MF,Cádiz,30.0,1993.0,18.9,711,689,15,7,2,2,5,1,0,0,0,0,537,7,12,Matches
152,153,Aarón Escandell,es ESP,GK,Las Palmas,27.0,1995.0,1.7,86,65,20,8,0,0,0,0,0,0,0,0,64,1,0,Matches
153,154,Alfonso Espino,uy URU,DF,Rayo Vallecano,31.0,1992.0,27.9,1423,1132,288,28,2,5,50,260,0,0,0,0,1061,3,41,Matches
154,155,Bernardo Espinosa,co COL,DF,Girona,34.0,1989.0,0.0,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
155,156,Karl Etta,cm CMR,FW,Cádiz,19.0,2004.0,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
156,157,Abdessamad Ezzalzouli,ma MAR,FWMF,Barcelona,21.0,2001.0,0.8,37,32,5,0,0,0,7,4,1,1,0,0,23,0,1,Matches
157,158,Abdessamad Ezzalzouli,ma MAR,FW,Betis,21.0,2001.0,9.6,353,340,11,3,3,2,33,5,3,1,1,0,232,2,20,Matches
158,159,Radamel Falcao,co COL,FWDF,Rayo Vallecano,37.0,1986.0,4.5,110,103,7,1,1,0,1,2,0,0,0,0,92,0,1,Matches
159,160,Fali,es ESP,DF,Cádiz,29.0,1993.0,28.3,1050,989,54,49,5,21,10,0,0,0,0,0,799,7,7,Matches
160,161,Ansu Fati,es ESP,MFFW,Barcelona,20.0,2002.0,0.6,28,25,3,1,0,0,0,1,1,0,0,0,24,0,0,Matches
161,162,Nabil Fekir,fr FRA,MFFW,Betis,30.0,1993.0,11.7,611,534,73,29,3,5,56,3,34,13,17,0,482,4,16,Matches
162,163,Luiz Felipe,it ITA,DF,Betis,26.0,1997.0,4.0,169,163,4,4,0,0,0,0,0,0,0,0,151,2,0,Matches
163,164,João Félix,pt POR,FW,Barcelona,23.0,1999.0,17.1,663,631,25,5,8,7,17,12,8,4,0,0,538,7,13,Matches
164,165,Kiko Femenía,es ESP,DF,Villarreal,32.0,1991.0,17.6,1121,939,179,26,0,4,28,153,0,0,0,0,939,3,19,Matches
165,166,Aitor Fernández,es ESP,GK,Osasuna,32.0,1991.0,6.1,198,147,49,27,0,0,0,0,0,0,0,0,127,2,0,Matches
166,167,Álex Fernández,es ESP,MF,Cádiz,30.0,1992.0,14.3,649,578,67,29,0,6,35,6,20,6,10,0,539,4,11,Matches
167,168,Carlos Fernández,es ESP,FW,Real Sociedad,27.0,1996.0,4.5,83,78,5,1,1,0,1,0,0,0,0,0,44,0,4,Matches
168,169,Raúl Fernández,es ESP,GK,Granada,35.0,1988.0,3.1,107,73,32,15,0,0,0,0,0,0,0,0,69,2,0,Matches
169,170,Valery Fernández,es ESP,MFFW,Girona,23.0,1999.0,5.6,221,211,10,0,1,0,13,10,0,0,0,0,188,0,4,Matches
170,171,Fernando,es ESP,GK,Almería,33.0,1990.0,4.0,160,123,36,10,0,0,0,0,0,0,0,0,110,1,0,Matches
171,172,Fernando,br BRA,MF,Sevilla,36.0,1987.0,5.1,242,233,8,8,1,3,4,0,0,0,0,0,209,1,2,Matches
172,173,André Ferreira,pt POR,GK,Granada,27.0,1996.0,14.9,498,331,167,57,0,0,0,0,0,0,0,0,359,0,1,Matches
173,174,Rachad Fettal,ma MAR,FW,Almería,18.0,2005.0,0.2,6,5,0,0,0,0,0,0,0,0,0,0,4,1,0,Matches
174,175,Pablo Fornals,es ESP,FWMF,Betis,27.0,1996.0,12.8,672,625,43,5,3,5,51,12,26,12,11,0,500,4,28,Matches
175,176,Héctor Fort,es ESP,DF,Barcelona,16.0,2006.0,3.5,230,203,27,6,0,2,6,21,0,0,0,0,200,0,2,Matches
176,177,Dimitri Foulquier,fr FRA,DFMF,Valencia,30.0,1993.0,20.5,1042,791,245,22,1,4,42,223,0,0,0,0,766,6,43,Matches
177,178,Juan Foyth,ar ARG,DF,Villarreal,25.0,1998.0,11.8,690,579,109,15,1,5,18,94,0,0,0,0,565,2,16,Matches
178,179,Jorge de Frutos,es ESP,FWMF,Rayo Vallecano,26.0,1997.0,17.2,483,463,17,2,0,1,53,8,7,3,4,0,344,3,24,Matches
179,180,Daniel Fuzato,br BRA,GK,Getafe,26.0,1997.0,0.1,10,6,4,0,0,0,0,0,0,0,0,0,5,0,0,Matches
180,181,Matteo Gabbia,it ITA,DF,Villarreal,23.0,1999.0,5.3,299,283,15,9,0,5,0,0,0,0,0,0,267,1,0,Matches
