,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
0,1,Nabil Aberdin,fr FRA,DF,Getafe,20.0,2002.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1,2,Abner,br BRA,DF,Betis,23.0,2000.0,15.6,0,4,0,0.0,0.26,0.0,0.0,,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
2,3,Abdel Abqar,ma MAR,DF,Alavés,24.0,1999.0,25.7,0,10,3,30.0,0.39,0.12,0.0,0.0,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
3,4,Marcos Acuña,ar ARG,DF,Sevilla,31.0,1991.0,14.4,1,9,4,44.4,0.63,0.28,0.11,0.25,27.9,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches
4,5,Julen Agirrezabala,es ESP,GK,Athletic Club,22.0,2000.0,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,6,Lucien Agoume,fr FRA,MF,Sevilla,21.0,2002.0,8.6,0,6,2,33.3,0.69,0.23,0.0,0.0,13.2,0,0,0,0.9,0.9,0.14,-0.9,-0.9,Matches
6,7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27.0,1995.0,4.5,0,3,0,0.0,0.66,0.0,0.0,,15.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
7,8,Ilias Akhomach,ma MAR,MFFW,Villarreal,19.0,2004.0,16.8,2,30,7,23.3,1.79,0.42,0.07,0.29,18.1,0,0,0,3.2,3.2,0.11,-1.2,-1.2,Matches
8,9,Sergio Akieme,es ESP,DF,Almería,25.0,1997.0,18.6,2,9,5,55.6,0.48,0.27,0.22,0.4,17.4,0,0,0,1.2,1.2,0.13,0.8,0.8,Matches
9,10,Paul Akouokou,ci CIV,MF,Betis,25.0,1997.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,11,David Alaba,at AUT,DF,Real Madrid,31.0,1992.0,12.8,0,14,3,21.4,1.09,0.23,0.0,0.0,19.8,6,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
11,12,Raúl Albiol,es ESP,DF,Villarreal,37.0,1985.0,22.6,0,6,1,16.7,0.27,0.04,0.0,0.0,9.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
12,13,Rubén Alcaraz,es ESP,MF,Cádiz,32.0,1991.0,34.8,3,46,10,21.7,1.32,0.29,0.02,0.1,24.9,8,2,2,3.3,1.7,0.04,-0.3,-0.7,Matches
13,14,Omar Alderete,py PAR,DF,Getafe,26.0,1996.0,24.4,0,24,5,20.8,0.98,0.21,0.0,0.0,19.7,3,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
14,15,Iván Alejo,es ESP,MF,Cádiz,28.0,1995.0,18.8,0,11,2,18.2,0.59,0.11,0.0,0.0,21.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
