,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Min,PlayingTime_Mn/MP,PlayingTime_Min%,PlayingTime_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,TeamSuccess_PPM,TeamSuccess_onG,TeamSuccess_onGA,TeamSuccess_+/-,TeamSuccess_+/-90,TeamSuccess_On-Off,TeamSuccess(xG)_onxG,TeamSuccess(xG)_onxGA,TeamSuccess(xG)_xG+/-,TeamSuccess(xG)_xG+/-90,TeamSuccess(xG)_On-Off,Matches
0,1,Keyliane Abdallah,fr FRA,FW,Marseille,17,2006,1,4.0,4.0,0.1,0.0,0,,0,1,4.0,1,1.0,1.0,0.0,1.0,22.5,22.21,0.2,0.0,0.2,4.03,3.46,Matches
1,2,Yunis Abdelhamid,ma MAR,DF,Reims,35,1987,31,2781.0,90.0,90.9,30.9,31,90.0,30,0,,0,1.29,37.0,46.0,-9.0,-0.29,-1.58,39.2,43.7,-4.5,-0.14,-0.97,Matches
2,3,Salis Abdul Samed,gh GHA,MF,Lens,23,2000,27,1519.0,56.0,49.6,16.9,17,81.0,11,10,15.0,4,1.74,20.0,18.0,2.0,0.12,-0.23,24.6,24.2,0.4,0.02,-0.39,Matches
3,4,Adam Abeddou,fr FRA,MF,Lens,26,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
4,5,Laurent Abergel,fr FRA,MF,Lorient,30,1993,33,2860.0,87.0,93.5,31.8,32,89.0,29,1,23.0,0,0.88,41.0,59.0,-18.0,-0.57,1.68,34.8,50.1,-15.3,-0.48,0.37,Matches
5,6,Matthis Abline,fr FRA,FW,Rennes,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
6,7,Matthis Abline,fr FRA,FW,Nantes,20,2003,22,1044.0,47.0,34.1,11.6,12,72.0,1,10,18.0,5,0.95,11.0,17.0,-6.0,-0.52,0.33,14.9,15.5,-0.6,-0.05,0.61,Matches
7,8,Zakaria Aboukhlal,ma MAR,MFFW,Toulouse,23,2000,13,754.0,58.0,24.6,8.4,9,74.0,1,4,21.0,0,1.54,11.0,10.0,1.0,0.12,0.31,8.1,13.4,-5.3,-0.64,-0.54,Matches
8,9,Mohamed Achi,fr FRA,MF,Nantes,21,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
9,10,Bénie Adama Traore,ci CIV,FWMF,Nantes,20,2002,14,504.0,36.0,16.5,5.6,4,67.0,0,10,24.0,1,0.79,5.0,12.0,-7.0,-1.25,-0.62,6.5,9.4,-2.9,-0.51,-0.07,Matches
10,11,Akor Adams,ng NGA,FW,Montpellier,23,2000,32,2252.0,70.0,73.6,25.0,27,80.0,10,5,21.0,1,1.22,29.0,32.0,-3.0,-0.12,0.1,32.6,35.3,-2.7,-0.11,0.13,Matches
11,12,Nathaniel Adjei,gh GHA,DF,Lorient,20,2002,15,1243.0,83.0,40.6,13.8,14,88.0,13,1,12.0,0,0.93,15.0,27.0,-12.0,-0.87,-0.32,15.9,23.5,-7.6,-0.55,-0.08,Matches
12,13,Adryelson,br BRA,DFFW,Lyon,25,1998,2,6.0,3.0,0.2,0.1,0,,0,2,3.0,12,1.5,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.07,Matches
13,14,Adson,br BRA,MFFW,Nantes,22,2000,8,238.0,30.0,7.8,2.6,2,61.0,0,6,20.0,0,1.0,2.0,6.0,-4.0,-1.51,-0.84,3.3,5.4,-2.1,-0.79,-0.37,Matches
14,15,Loïc Affamah,fr FRA,FW,Nantes,21,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
15,16,Emmanuel Agbadou,ci CIV,DF,Reims,26,1997,32,2596.0,81.0,84.8,28.8,29,89.0,27,3,8.0,1,1.47,36.0,39.0,-3.0,-0.1,0.28,38.8,40.9,-2.0,-0.07,-0.1,Matches
16,17,Ruben Aguilar,fr FRA,DF,Lens,30,1993,25,1922.0,77.0,62.8,21.4,22,86.0,16,3,13.0,3,1.8,33.0,19.0,14.0,0.66,1.13,37.1,30.6,6.5,0.31,0.24,Matches
17,18,Ruben Aguilar,fr FRA,DFMF,Monaco,30,1993,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
18,19,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,29,1994,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
19,20,Tosin Aiyegun,bj BEN,MFFW,Lorient,25,1998,19,902.0,47.0,29.5,10.0,10,73.0,2,9,20.0,3,0.79,15.0,25.0,-10.0,-1.0,-0.46,10.6,16.3,-5.6,-0.56,-0.08,Matches
20,21,Sergio Akieme,es ESP,DF,Reims,25,1997,13,818.0,63.0,26.7,9.1,8,82.0,3,5,33.0,2,1.08,10.0,7.0,3.0,0.33,0.65,10.6,12.4,-1.9,-0.2,-0.2,Matches
21,22,Maghnes Akliouche,fr FRA,MFFW,Monaco,21,2002,28,1613.0,58.0,52.7,17.9,18,78.0,3,10,20.0,3,1.93,32.0,17.0,15.0,0.84,0.15,32.4,20.9,11.5,0.64,0.64,Matches
22,23,Paul Akouokou,ci CIV,MF,Lyon,25,1997,8,307.0,38.0,10.0,3.4,4,56.0,0,4,21.0,7,0.88,1.0,5.0,-4.0,-1.17,-1.11,4.8,5.8,-1.0,-0.28,-0.23,Matches
23,24,Sofiane Alakouch,ma MAR,DFMF,Metz,25,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
