,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,_Int,_Tkl+Int,_Clr,_Err,Matches
0,1,Yunis Abdelhamid,ma MAR,DF,Reims,34,1987,37.0,82,50,47,33,2,39,52,75.0,13,65,27,38,64,146,116,1,Matches
1,2,Himad Abdelli,dz ALG,MFFW,Angers,22,1999,23.7,64,38,22,32,10,31,67,46.3,36,30,1,29,28,92,15,0,Matches
2,3,Salis Abdul Samed,gh GHA,MF,Lens,22,2000,32.2,46,26,18,23,5,29,52,55.8,23,38,9,29,36,82,26,0,Matches
3,4,Laurent Abergel,fr FRA,MF,Lorient,29,1993,26.0,92,52,59,30,3,39,92,42.4,53,47,8,39,34,126,39,0,Matches
4,5,Matthis Abline,fr FRA,FWMF,Auxerre,19,2003,9.0,4,2,0,3,1,0,5,0.0,5,6,1,5,1,5,1,0,Matches
5,6,Matthis Abline,fr FRA,FWMF,Rennes,19,2003,1.2,1,1,0,0,1,1,1,100.0,0,1,0,1,2,3,1,0,Matches
6,7,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,22,2000,27.5,33,23,13,9,11,14,45,31.1,31,18,1,17,22,55,23,0,Matches
7,8,Mohamed Achi,fr FRA,FW,Nantes,20,2002,0.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
8,9,Martin Adeline,fr FRA,MFFW,Reims,18,2003,1.2,3,3,2,1,0,3,4,75.0,1,3,1,2,3,6,3,0,Matches
9,10,Emmanuel Agbadou,ci CIV,DF,Reims,25,1997,26.5,71,49,53,16,2,42,65,64.6,23,30,14,16,32,103,107,3,Matches
10,11,Lucien Agoume,fr FRA,MF,Troyes,20,2002,12.2,42,25,18,15,9,17,33,51.5,16,14,5,9,27,69,24,0,Matches
11,12,Ruben Aguilar,fr FRA,DF,Monaco,29,1993,13.0,19,9,7,7,5,8,22,36.4,14,13,1,12,18,37,28,1,Matches
12,13,Amar Ahmed,se SWE,FW,Troyes,18,2004,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches
13,14,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28,1994,14.4,34,20,10,20,4,12,31,38.7,19,25,0,25,24,58,15,0,Matches
14,15,Ludovic Ajorque,fr FRA,FW,Strasbourg,28,1994,8.6,5,4,1,4,0,3,9,33.3,6,3,1,2,2,7,7,0,Matches
15,16,Maghnes Akliouche,fr FRA,MFFW,Monaco,20,2002,4.5,7,4,4,3,0,2,8,25.0,6,2,0,2,3,10,2,0,Matches
16,17,Doğan Alemdar,tr TUR,GK,Rennes,19,2002,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
17,18,Jim Allevinah,ga GAB,DFFW,Clermont Foot,27,1995,24.9,39,24,24,11,4,19,62,30.6,43,24,2,22,24,63,26,1,Matches
18,19,Mickaël Alphonse,gp GLP,DF,Ajaccio,33,1989,15.1,35,23,20,11,4,20,33,60.6,13,17,5,12,35,70,44,1,Matches
19,20,Ibrahim Amadou,fr FRA,DFMF,Angers,29,1993,4.7,10,7,6,3,1,7,11,63.6,4,7,3,4,10,20,20,0,Matches
20,21,Ayoub Amraoui,ma MAR,DFFW,Nice,18,2004,3.3,6,5,3,3,0,2,5,40.0,3,1,0,1,4,10,4,0,Matches
21,22,Benjamin André,fr FRA,MF,Lille,31,1990,32.4,128,74,51,60,17,65,121,53.7,56,50,8,42,47,175,60,0,Matches
22,23,Komnen Andrić,rs SRB,FW,Clermont Foot,27,1995,16.1,13,5,2,7,4,2,15,13.3,13,8,1,7,8,21,13,0,Matches
23,24,Houssem Aouar,dz ALG,MF,Lyon,24,1998,5.8,12,5,5,5,2,3,9,33.3,6,12,2,10,8,20,3,0,Matches
24,25,Adil Aouchiche,fr FRA,MF,Lorient,20,2002,2.8,5,2,3,1,1,1,9,11.1,8,1,0,1,4,9,1,0,Matches
25,26,Dennis Appiah,fr FRA,DFMF,Nantes,30,1992,8.8,21,11,14,7,0,10,27,37.0,17,13,5,8,10,31,16,0,Matches
26,27,Stredair Appuah,fr FRA,DFMF,Nantes,18,2004,0.7,2,1,0,2,0,0,0,,0,2,0,2,1,3,0,0,Matches
27,28,Taïryk Arconte,fr FRA,FW,Brest,18,2003,1.4,1,1,0,0,1,0,3,0.0,3,1,0,1,0,1,2,0,Matches
28,29,Mohamed El Arouch,fr FRA,MF,Lyon,18,2004,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
29,30,Lorenz Assignon,tg TOG,DF,Rennes,22,2000,2.9,6,2,4,2,0,2,4,50.0,2,6,0,6,2,8,9,0,Matches
30,31,Youcef Atal,dz ALG,DFMF,Nice,26,1996,8.7,38,22,18,15,5,23,32,71.9,9,9,0,9,14,52,13,0,Matches
31,32,Valentin Atangana Edoa,fr FRA,MF,Reims,16,2005,1.9,8,3,4,2,2,3,6,50.0,3,2,1,1,0,8,1,0,Matches
32,33,Mathias Autret,fr FRA,MFFW,Auxerre,31,1991,14.3,22,10,10,10,2,7,16,43.8,9,14,2,12,12,34,13,0,Matches
33,34,Cédric Avinel,gp GLP,DF,Ajaccio,35,1986,19.9,13,7,8,5,0,8,12,66.7,4,20,13,7,15,28,91,1,Matches
34,35,Loïc Bade,fr FRA,DF,Rennes,22,2000,1.0,1,1,1,0,0,0,0,,0,0,0,0,1,2,3,0,Matches
35,36,Benoît Badiashile,fr FRA,DF,Monaco,21,2001,9.3,10,8,6,4,0,5,10,50.0,5,9,6,3,17,27,40,1,Matches
36,37,Eric Bailly,ci CIV,DF,Marseille,28,1994,6.0,13,10,6,6,1,7,7,100.0,0,15,12,3,12,25,18,1,Matches
37,38,Dénys Bain,fr FRA,DF,Auxerre,29,1993,1.4,4,3,3,1,0,1,2,50.0,1,2,1,1,2,6,4,0,Matches
38,39,Brandon Baiye,be BEL,MF,Clermont Foot,21,2000,0.6,3,2,2,1,0,2,3,66.7,1,1,0,1,1,4,3,0,Matches
39,40,Cédric Bakambu,cd COD,MF,Marseille,31,1991,0.7,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches
40,41,Thierno Balde,fr FRA,DFMF,Troyes,20,2002,23.9,27,14,19,4,4,18,30,60.0,12,15,3,12,23,50,39,0,Matches
41,42,Carlos Baleba,cm CMR,MF,Lille,18,2004,5.3,13,11,2,9,2,9,14,64.3,5,13,3,10,1,14,3,2,Matches
42,43,Leonardo Balerdi,ar ARG,DF,Marseille,23,1999,29.3,57,37,43,12,2,32,45,71.1,13,48,29,19,63,120,91,1,Matches
43,44,Folarin Balogun,us USA,FW,Reims,21,2001,33.3,9,5,1,5,3,2,20,10.0,18,20,1,19,3,12,15,0,Matches
44,45,Abdoulaye Bamba,ci CIV,DF,Angers,32,1990,15.2,22,12,15,5,2,16,19,84.2,3,7,3,4,18,40,38,0,Matches
45,46,Jonathan Bamba,ci CIV,FW,Lille,26,1996,30.9,37,17,12,14,11,14,45,31.1,31,36,1,35,22,59,14,0,Matches
46,47,Bradley Barcola,fr FRA,FWMF,Lyon,19,2002,16.0,25,16,8,10,7,8,39,20.5,31,29,0,29,19,44,10,0,Matches
47,48,Melvin Bard,fr FRA,DF,Nice,21,2000,27.3,96,60,61,29,6,59,89,66.3,30,35,4,31,64,160,40,1,Matches
48,49,Ross Barkley,eng ENG,MFFW,Nice,28,1993,10.7,16,9,7,4,5,7,13,53.8,6,7,2,5,8,24,6,0,Matches
49,50,Mickaël Barreto,fr FRA,MF,Ajaccio,31,1991,14.7,32,20,12,17,3,8,45,17.8,37,17,0,17,18,50,11,0,Matches
50,51,Cyrille Bayala,bf BFA,MF,Ajaccio,26,1996,22.3,53,37,16,20,17,23,47,48.9,24,20,3,17,25,78,21,0,Matches
51,52,Yanis Begraoui,ma MAR,FWMF,Toulouse,21,2001,0.7,2,0,1,0,1,1,2,50.0,1,0,0,0,1,3,0,0,Matches
52,53,Alexis Beka Beka,fr FRA,MFDF,Nice,21,2001,6.1,16,5,6,9,1,4,15,26.7,11,9,1,8,12,28,6,0,Matches
53,54,Jérémie Bela,ao ANG,DFMF,Clermont Foot,29,1993,8.3,6,4,2,1,3,3,4,75.0,1,10,1,9,9,15,8,0,Matches
54,55,Reda Belahyane,fr FRA,MF,Nice,18,2004,2.0,8,6,5,3,0,3,5,60.0,2,5,1,4,2,10,0,0,Matches
55,56,Youcef Belaïli,dz ALG,MFFW,Ajaccio,30,1992,12.8,18,10,3,9,6,8,20,40.0,12,10,1,9,5,23,4,0,Matches
56,57,Youcef Belaïli,dz ALG,FWMF,Brest,30,1992,4.0,5,2,3,2,0,2,7,28.6,5,2,0,2,1,6,1,0,Matches
57,58,Haris Belkebla,dz ALG,MF,Brest,28,1994,29.5,80,48,35,40,5,44,85,51.8,41,32,6,26,52,132,21,3,Matches
58,59,Jean-Ricner Bellegarde,fr FRA,MFFW,Strasbourg,24,1998,26.9,47,25,15,21,11,11,25,44.0,14,26,3,23,26,73,22,0,Matches
59,60,Jeanuël Belocian,fr FRA,DF,Rennes,17,2005,5.6,10,7,3,5,2,5,9,55.6,4,6,3,3,6,16,11,0,Matches
60,61,Eliesse Ben Seghir,ma MAR,FWMF,Monaco,17,2005,11.7,18,10,4,12,2,4,12,33.3,8,18,1,17,4,22,1,0,Matches
61,62,Salim Ben Seghir,fr FRA,MF,Marseille,19,2003,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
62,63,Wissam Ben Yedder,fr FRA,FW,Monaco,31,1990,23.5,16,9,2,5,9,4,13,30.8,9,15,0,15,4,20,0,0,Matches
63,64,Nabil Bentaleb,dz ALG,MF,Angers,27,1994,27.7,74,40,31,35,8,36,61,59.0,25,33,11,22,44,118,29,3,Matches
64,65,Patrick Berg,no NOR,MFFW,Lens,24,1997,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
65,66,Mitchell van Bergen,nl NED,FWDF,Reims,22,1999,10.1,18,8,6,7,5,8,20,40.0,12,8,2,6,6,24,11,0,Matches
66,67,Quentin Bernard,fr FRA,DF,Auxerre,33,1989,7.0,9,7,4,2,3,7,15,46.7,8,9,1,8,15,24,17,0,Matches
67,68,Paul Bernardoni,fr FRA,GK,Angers,25,1997,27.0,2,0,2,0,0,2,3,66.7,1,1,0,1,1,3,12,1,Matches
68,69,Juan Bernat,es ESP,DFMF,Paris S-G,29,1993,18.3,32,16,18,9,5,21,39,53.8,18,11,2,9,9,41,22,1,Matches
69,70,Jason Berthomier,fr FRA,MF,Clermont Foot,32,1990,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
70,71,El Bilal Touré,ml MLI,FW,Reims,20,2001,1.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Matches
71,72,Jean-Claude Billong,cm CMR,MF,Clermont Foot,28,1993,0.3,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,Matches
72,73,Veljko Birmančević,rs SRB,FWMF,Toulouse,24,1998,4.9,13,7,5,4,4,7,21,33.3,14,12,2,10,7,20,1,0,Matches
73,74,Marco Bizot,nl NED,GK,Brest,31,1991,37.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,24,4,Matches
74,75,Rubén Blanco,es ESP,GK,Marseille,27,1995,5.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
75,76,Ludovic Blas,fr FRA,MFFW,Nantes,24,1997,31.3,47,30,17,19,11,17,49,34.7,32,26,1,25,19,66,8,0,Matches
76,77,Miha Blažič,si SVN,DF,Angers,29,1993,22.0,8,6,8,0,0,7,15,46.7,8,25,19,6,22,30,80,1,Matches
77,78,Joaquín Blázquez,ar ARG,GK,Brest,21,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
78,79,Myron Boadu,nl NED,FW,Monaco,21,2001,3.3,3,3,0,2,1,1,7,14.3,6,1,0,1,0,3,1,0,Matches
79,80,Jérôme Boateng,de GER,DF,Lyon,33,1988,4.8,3,0,2,1,0,2,6,33.3,4,8,5,3,6,9,16,0,Matches
80,81,Antonin Bobichon,fr FRA,MF,Angers,26,1995,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
81,82,Quentin Boisgard,fr FRA,MF,Lorient,25,1997,2.0,6,2,1,4,1,3,4,75.0,1,3,1,2,4,10,2,0,Matches
82,83,Neto Borges,br BRA,DF,Clermont Foot,25,1996,31.5,75,45,45,20,10,46,75,61.3,29,45,11,34,41,116,62,1,Matches
83,84,Kenji-Van Boto,mg MAD,DF,Auxerre,26,1996,2.0,3,2,2,0,1,2,4,50.0,2,0,0,0,1,4,3,0,Matches
84,85,Kouamé Botué,bf BFA,FWMF,Ajaccio,19,2002,2.5,4,2,2,1,1,0,2,0.0,2,1,0,1,0,4,1,0,Matches
85,86,Badredine Bouanani,dz ALG,FWMF,Nice,17,2004,9.6,13,9,2,7,4,7,14,50.0,7,4,0,4,1,14,2,0,Matches
86,87,Hicham Boudaoui,dz ALG,MF,Nice,22,1999,20.8,67,32,31,30,6,35,53,66.0,18,34,5,29,36,103,16,0,Matches
87,88,Franci Bouebari,fr FRA,DF,Strasbourg,18,2003,0.8,3,0,1,2,0,3,5,60.0,2,0,0,0,2,5,2,0,Matches
88,89,Sofiane Boufal,ma MAR,FWMF,Angers,28,1993,9.3,14,9,7,4,3,3,14,21.4,11,6,0,6,5,19,1,0,Matches
89,90,Ismaëlben Boura,km COM,DFFW,Lens,21,2000,1.0,6,4,4,2,0,5,6,83.3,1,2,1,1,2,8,3,0,Matches
90,91,Benjamin Bourigeaud,fr FRA,MFFW,Rennes,28,1994,34.1,45,29,16,23,6,21,65,32.3,44,38,3,35,31,76,32,0,Matches
91,92,Bilal Brahimi,dz ALG,FWMF,Nice,22,2000,8.9,8,5,2,5,1,1,7,14.3,6,4,0,4,4,12,0,0,Matches
92,93,Lilian Brassier,fr FRA,DF,Brest,22,1999,34.4,42,30,31,8,3,23,32,71.9,9,42,19,23,53,95,132,1,Matches
93,94,Andreas Bruus,dk DEN,DFFW,Troyes,23,1999,18.1,12,6,9,3,0,8,20,40.0,12,13,2,11,17,29,24,0,Matches
94,95,Joe Bryan,eng ENG,MFDF,Nice,28,1993,2.0,5,4,3,2,0,4,4,100.0,0,2,0,2,1,6,1,0,Matches
