,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,_Int,_Tkl+Int,_Clr,_Err,Matches
95,96,Adam Buksa,pl POL,FWMF,Lens,26,1996,1.1,1,0,0,0,1,0,3,0.0,3,0,0,0,0,1,0,0,Matches
96,97,Maxime Busi,be BEL,DF,Reims,22,1999,11.6,21,16,9,11,1,13,29,44.8,16,14,6,8,14,35,24,0,Matches
97,98,Marcin Bułka,pl POL,GK,Nice,22,1999,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
98,99,Rémy Cabella,fr FRA,MFFW,Lille,32,1990,28.1,64,37,21,28,15,29,64,45.3,35,41,5,36,17,81,7,1,Matches
99,100,Jimmy Cabot,fr FRA,DFMF,Lens,28,1994,5.7,20,12,10,8,2,12,26,46.2,14,5,0,5,4,24,12,0,Matches
100,101,Jens Cajuste,se SWE,MF,Reims,22,1999,17.0,46,25,25,14,7,25,48,52.1,23,30,6,24,18,64,22,0,Matches
101,102,Duje Ćaleta-Car,hr CRO,DF,Marseille,25,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
102,103,Mahdi Camara,fr FRA,MF,Brest,24,1998,20.2,63,36,18,38,7,25,43,58.1,18,35,4,31,40,103,16,0,Matches
103,104,Mohamed Camara,ml MLI,MF,Monaco,22,2000,24.4,83,45,38,39,6,48,92,52.2,44,45,6,39,27,110,14,1,Matches
104,105,Ousmane Camara,gn GUI,FWMF,Auxerre,20,2001,0.3,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
105,106,Ousmane Camara,fr FRA,DF,Angers,19,2003,5.8,10,6,5,5,0,5,12,41.7,7,4,2,2,11,21,15,0,Matches
106,107,Axel Camblan,fr FRA,FWMF,Brest,18,2003,0.8,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,0,0,Matches
107,108,Pierrick Capelle,fr FRA,MFDF,Angers,35,1987,15.9,36,21,17,15,4,22,55,40.0,33,24,3,21,15,51,24,0,Matches
108,109,Maxence Caqueret,fr FRA,MF,Lyon,22,2000,30.7,87,54,27,38,22,43,109,39.4,66,45,3,42,39,126,27,0,Matches
109,110,Irvin Cardona,fr FRA,FWMF,Brest,24,1997,2.6,2,0,1,1,0,0,3,0.0,3,3,0,3,2,4,2,0,Matches
110,111,Igor Carioca,br BRA,DF,Lorient,25,1996,5.1,18,11,12,2,4,12,21,57.1,9,7,0,7,5,23,17,0,Matches
111,112,Matis Carvalho,pt POR,GK,Montpellier,23,1999,1.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
112,113,Jean-Charles Castelletto,cm CMR,DF,Nantes,27,1995,28.5,43,26,29,12,2,22,36,61.1,14,35,22,13,58,101,90,0,Matches
113,114,Yoann Cathline,fr FRA,FWMF,Lorient,20,2002,12.1,19,12,7,6,6,5,12,41.7,7,10,1,9,8,27,16,1,Matches
114,115,Maximiliano Caufriez,be BEL,DF,Clermont Foot,25,1997,24.7,40,24,31,8,1,20,28,71.4,8,33,18,15,34,74,70,0,Matches
115,116,Fabien Centonze,fr FRA,DF,Nantes,26,1996,18.8,58,37,30,22,6,30,42,71.4,12,24,7,17,44,102,55,1,Matches
116,117,Florian Chabrolle,fr FRA,MF,Ajaccio,24,1998,3.7,6,4,1,5,0,2,4,50.0,2,3,0,3,7,13,2,0,Matches
117,118,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,17,2005,6.5,10,7,7,2,1,3,12,25.0,9,9,7,2,9,19,13,3,Matches
118,119,Fares Chaïbi,dz ALG,FWMF,Toulouse,19,2002,26.0,31,18,8,15,8,17,50,34.0,33,38,5,33,19,50,36,1,Matches
119,120,Muhammed Cham,at AUT,MF,Clermont Foot,21,2000,21.9,30,15,15,4,11,13,35,37.1,22,13,0,13,7,37,5,0,Matches
120,121,Gaëtan Charbonnier,fr FRA,FWMF,Auxerre,33,1988,2.8,2,1,0,2,0,0,4,0.0,4,2,0,2,0,2,5,0,Matches
121,122,Brendan Chardonnet,fr FRA,DF,Brest,27,1994,27.7,45,27,27,18,0,20,38,52.6,18,40,19,21,63,108,86,1,Matches
122,123,Xavier Chavalerin,fr FRA,MF,Troyes,31,1991,27.0,82,50,39,30,13,27,71,38.0,44,31,8,23,41,123,24,0,Matches
123,124,Ivane Chegra,fr FRA,MFFW,Ajaccio,18,2004,2.1,8,3,6,1,1,4,11,36.4,7,0,0,0,1,9,0,0,Matches
124,125,Rayan Cherki,fr FRA,MFFW,Lyon,18,2003,20.8,14,8,2,5,7,8,23,34.8,15,6,0,6,5,19,1,0,Matches
125,126,Ilyes Cheti,dz ALG,DF,Angers,27,1995,2.3,6,4,4,0,2,5,8,62.5,3,5,1,4,4,10,7,0,Matches
126,127,Lucas Chevalier,fr FRA,GK,Lille,20,2001,32.0,2,1,2,0,0,2,2,100.0,0,1,0,1,2,4,7,2,Matches
127,128,Pedro Chirivella,es ESP,MF,Nantes,25,1997,22.5,33,22,12,15,6,17,44,38.6,27,24,1,23,20,53,7,0,Matches
128,129,Joris Chotard,fr FRA,MF,Montpellier,20,2001,27.3,64,34,37,23,4,40,78,51.3,38,40,11,29,40,104,42,1,Matches
129,130,Yanis Cimignani,fr FRA,MFDF,Ajaccio,20,2002,3.1,11,5,3,7,1,4,5,80.0,1,5,1,4,2,13,2,0,Matches
130,131,Souleymane Cissé,fr FRA,DF,Clermont Foot,19,2002,0.4,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,2,0,Matches
131,132,Alexis Claude-Maurice,fr FRA,FW,Nice,24,1998,0.7,3,2,2,1,0,3,3,100.0,0,0,0,0,2,5,1,0,Matches
132,133,Alexis Claude-Maurice,fr FRA,MFFW,Lens,24,1998,6.7,14,9,5,8,1,6,16,37.5,10,6,0,6,2,16,1,0,Matches
133,134,Jonathan Clauss,fr FRA,DF,Marseille,29,1992,28.8,46,28,21,16,9,23,52,44.2,29,29,4,25,31,77,40,2,Matches
134,135,Marcus Coco,fr FRA,FWMF,Nantes,26,1996,7.1,24,15,11,9,4,11,23,47.8,12,13,3,10,14,38,7,0,Matches
135,136,Alexandre Coeff,fr FRA,DF,Auxerre,30,1992,6.5,10,5,6,4,0,4,9,44.4,5,9,4,5,8,18,35,1,Matches
136,137,Abdu Conté,pt POR,DF,Troyes,24,1998,14.6,25,17,14,8,3,12,22,54.5,10,13,6,7,6,31,25,0,Matches
137,138,Sébastien Corchia,fr FRA,DF,Nantes,31,1990,8.7,16,6,10,2,4,11,22,50.0,11,9,3,6,14,30,21,0,Matches
138,139,David Pereira da Costa,pt POR,MFFW,Lens,21,2001,15.6,13,7,1,10,2,7,19,36.8,12,19,1,18,11,24,6,0,Matches
139,140,Logan Costa,cv CPV,DF,Toulouse,21,2001,4.6,9,4,7,1,1,6,9,66.7,3,6,3,3,4,13,12,0,Matches
140,141,Nuno da Costa,cv CPV,FWMF,Auxerre,31,1991,22.3,45,23,14,23,8,11,46,23.9,35,21,1,20,20,65,15,0,Matches
141,142,Benoît Costil,fr FRA,GK,Auxerre,35,1987,19.0,2,0,2,0,0,2,4,50.0,2,0,0,0,0,2,5,0,Matches
142,143,Mathieu Coutadeur,fr FRA,MF,Ajaccio,36,1986,21.6,23,13,13,10,0,8,28,28.6,20,19,3,16,19,42,21,0,Matches
143,144,Nicolas Cozza,fr FRA,DF,Montpellier,23,1999,14.2,38,21,27,9,2,26,38,68.4,12,11,5,6,21,59,35,1,Matches
144,145,Damien Da Silva,fr FRA,DF,Lyon,34,1988,3.8,8,7,5,3,0,3,3,100.0,0,4,3,1,5,13,12,0,Matches
145,146,Andréa Dacourt,fr FRA,MF,Nice,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
146,147,Colin Dagba,fr FRA,DFMF,Strasbourg,23,1998,10.6,32,20,17,10,5,19,26,73.1,7,18,2,16,17,49,19,0,Matches
147,148,Thijs Dallinga,nl NED,FW,Toulouse,21,2000,26.1,8,6,2,2,4,1,13,7.7,12,17,3,14,3,11,20,0,Matches
148,149,Flavius Daniliuc,at AUT,DF,Nice,21,2001,1.0,2,0,2,0,0,1,1,100.0,0,4,1,3,0,2,1,0,Matches
149,150,Kévin Danois,fr FRA,MF,Auxerre,18,2004,0.0,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,Matches
150,151,Kevin Danso,at AUT,DF,Lens,23,1998,35.9,37,19,25,11,1,19,30,63.3,11,48,34,14,33,70,124,0,Matches
151,152,Dante,br BRA,DF,Nice,38,1983,36.7,70,40,45,21,4,36,59,61.0,23,52,31,21,47,117,125,2,Matches
152,153,Achraf Dari,ma MAR,DF,Brest,23,1999,14.6,21,14,15,5,1,14,20,70.0,6,16,10,6,19,40,65,2,Matches
153,154,Jonathan David,ca CAN,FW,Lille,22,2000,35.2,24,17,6,11,7,10,27,37.0,17,20,2,18,8,32,13,0,Matches
154,155,Thibault De Smet,be BEL,DF,Reims,24,1998,19.5,24,17,10,14,0,11,37,29.7,26,28,5,23,20,44,40,1,Matches
155,156,Brecht Dejaegere,be BEL,MF,Toulouse,31,1991,20.1,40,23,10,20,10,15,51,29.4,36,25,5,20,14,54,11,0,Matches
156,157,Romain Del Castillo,fr FRA,MFFW,Brest,26,1996,15.8,39,24,13,17,9,16,36,44.4,20,14,1,13,11,50,5,0,Matches
157,158,Thomas Delaine,fr FRA,DFMF,Strasbourg,30,1992,11.9,28,14,16,6,6,13,26,50.0,13,8,3,5,16,44,9,0,Matches
158,159,Sacha Delaye,fr FRA,FWMF,Montpellier,20,2002,0.2,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches
159,160,Andy Delort,dz ALG,FW,Nice,30,1991,8.7,2,0,1,1,0,1,2,50.0,1,0,0,0,1,3,7,0,Matches
160,161,Andy Delort,dz ALG,FW,Nantes,30,1991,5.2,5,4,1,2,2,2,6,33.3,4,3,0,3,0,5,2,0,Matches
161,162,Karamoko Dembele,sct SCO,FWMF,Brest,19,2003,2.0,2,0,1,1,0,2,2,100.0,0,1,0,1,1,3,0,0,Matches
162,163,Moussa Dembélé,fr FRA,FWMF,Lyon,26,1996,9.7,8,4,3,3,2,4,7,57.1,3,5,0,5,2,10,6,0,Matches
163,164,Siriki Dembélé,ci CIV,MFFW,Auxerre,25,1996,4.1,10,6,4,3,3,4,12,33.3,8,2,0,2,1,11,2,0,Matches
164,165,Branco van den Boomen,nl NED,MF,Toulouse,27,1995,32.1,71,36,26,32,13,36,89,40.4,53,27,4,23,10,81,27,2,Matches
165,166,Rémy Descamps,fr FRA,GK,Nantes,26,1996,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
166,167,Mikkel Desler,dk DEN,DF,Toulouse,27,1995,25.1,71,38,36,27,8,43,67,64.2,24,35,6,29,36,107,48,2,Matches
167,168,Mamadou Diakhon,fr FRA,FW,Reims,16,2005,0.2,2,0,2,0,0,0,1,0.0,1,1,0,1,1,3,0,0,Matches
168,169,Bafodé Diakité,fr FRA,DF,Lille,21,2001,29.5,54,35,23,24,7,32,57,56.1,25,37,8,29,17,71,58,0,Matches
169,170,Ibrahim Diakité,gn GUI,DF,Reims,18,2003,1.5,3,3,3,0,0,2,3,66.7,1,0,0,0,5,8,6,0,Matches
170,171,Baila Diallo,fr FRA,DFMF,Clermont Foot,21,2001,1.0,1,0,1,0,0,0,0,,0,1,1,0,0,1,1,0,Matches
171,172,Habib Diallo,sn SEN,FW,Strasbourg,27,1995,32.0,18,10,8,7,3,6,16,37.5,10,19,4,15,12,30,26,0,Matches
172,173,Ismael Diallo,ci CIV,DF,Ajaccio,25,1997,24.2,46,33,35,9,2,35,63,55.6,28,26,12,14,30,76,46,1,Matches
173,174,Habib Diarra,sn SEN,MFFW,Strasbourg,18,2004,18.1,24,16,10,11,3,15,29,51.7,14,17,1,16,11,35,13,0,Matches
174,175,Moussa Diarra,ml MLI,DF,Toulouse,21,2000,13.6,20,9,9,9,2,9,15,60.0,6,25,10,15,19,39,27,1,Matches
175,176,Stéphane Diarra,fr FRA,FWMF,Lorient,23,1998,11.8,25,17,14,9,2,11,29,37.9,18,13,1,12,22,47,9,0,Matches
176,177,Krépin Diatta,sn SEN,MFFW,Monaco,23,1999,23.0,30,21,4,17,9,13,32,40.6,19,29,1,28,17,47,12,0,Matches
177,178,Mory Diaw,sn SEN,GK,Clermont Foot,29,1993,37.0,0,0,0,0,0,0,4,0.0,4,0,0,0,2,2,13,5,Matches
178,179,Bamba Dieng,sn SEN,FWMF,Marseille,22,2000,2.2,4,4,2,1,1,3,4,75.0,1,5,1,4,0,4,0,0,Matches
179,180,Bamba Dieng,sn SEN,FW,Lorient,22,2000,8.3,19,10,5,12,2,3,11,27.3,8,6,0,6,2,21,6,0,Matches
180,181,Tristan Dingomé,cm CMR,MF,Troyes,31,1991,1.1,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0,Matches
