,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,GoalKicks_Att,GoalKicks_Launch%,GoalKicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
11,12,Jaume Doménech,es ESP,GK,Valencia,32,1990,0.9,3,0,1,2,0,1.7,0.14,-1.3,-1.52,4,20,20.0,24,2,62.5,40.5,7,71.4,51.4,19,1,5.3,1,1.14,11.4,Matches
12,13,Aarón Escandell,es ESP,GK,Las Palmas,27,1995,1.7,3,0,0,0,0,2.5,0.62,-0.5,-0.3,9,26,34.6,73,10,27.4,30.4,12,50.0,41.3,24,1,4.2,4,2.35,18.0,Matches
13,14,Aitor Fernández,es ESP,GK,Osasuna,32,1991,6.1,9,1,0,2,0,6.1,0.26,-2.9,-0.47,47,113,41.6,174,19,56.3,42.5,22,68.2,49.7,69,1,1.4,15,2.45,24.8,Matches
14,15,Raúl Fernández,es ESP,GK,Granada,35,1988,3.1,11,0,0,1,1,7.8,0.46,-2.2,-0.71,14,47,29.8,88,10,37.5,35.7,17,82.4,62.1,36,4,11.1,11,3.54,17.3,Matches
15,16,Fernando,es ESP,GK,Almería,33,1990,4.0,10,0,0,1,0,8.5,0.37,-1.5,-0.36,22,67,32.8,133,28,39.8,35.6,26,53.8,44.0,72,4,5.6,7,1.75,14.5,Matches
16,17,André Ferreira,pt POR,GK,Granada,27,1996,14.9,29,3,0,2,1,27.8,0.33,-0.2,-0.01,73,186,39.2,388,88,31.4,32.2,110,58.2,44.3,195,6,3.1,13,0.87,12.6,Matches
17,18,Daniel Fuzato,br BRA,GK,Getafe,26,1997,0.1,2,0,0,1,0,1.3,0.63,-0.7,-9.63,2,7,28.6,6,1,50.0,39.2,4,100.0,71.8,5,1,20.0,0,0.0,10.7,Matches
18,19,Paulo Gazzaniga,ar ARG,GK,Girona,31,1992,38.0,46,5,0,8,0,51.1,0.28,5.1,0.13,155,420,36.9,1140,178,25.6,30.0,246,52.0,44.8,534,41,7.7,33,0.87,13.2,Matches
19,20,David Gil,es ESP,GK,Cádiz,29,1994,4.1,8,0,0,0,1,5.3,0.26,-1.7,-0.4,51,125,40.8,104,8,76.9,49.3,48,93.8,63.5,91,7,7.7,0,0.0,7.0,Matches
20,21,Dominik Greif,sk SVK,GK,Mallorca,26,1997,1.0,0,0,0,0,0,0.7,0.16,0.7,0.66,10,18,55.6,23,3,52.2,42.0,9,66.7,54.2,12,0,0.0,1,1.0,23.0,Matches
21,22,Vicente Guaita,es ESP,GK,Celta Vigo,36,1987,26.7,39,4,0,5,2,39.7,0.31,2.7,0.1,137,356,38.5,589,134,39.4,35.5,213,58.2,45.3,420,23,5.5,27,1.01,13.3,Matches
22,23,Sergio Herrera,es ESP,GK,Osasuna,30,1993,31.9,47,0,0,6,0,45.6,0.34,-1.4,-0.04,282,658,42.9,961,100,52.0,40.4,222,71.2,51.2,468,29,6.2,43,1.35,16.4,Matches
23,24,Filip Jørgensen,dk DEN,GK,Villarreal,21,2002,36.0,63,6,1,9,1,59.8,0.27,-2.2,-0.06,144,360,40.0,1055,178,24.5,29.7,245,41.6,37.8,650,34,5.2,36,1.0,13.4,Matches
24,25,Jeremías Ledesma,ar ARG,GK,Cádiz,30,1993,33.9,47,2,0,6,0,46.4,0.3,-0.6,-0.02,313,785,39.9,897,115,60.4,44.0,284,85.6,62.1,526,53,10.1,45,1.33,12.9,Matches
25,26,Andriy Lunin,ua UKR,GK,Real Madrid,24,1999,21.0,17,1,0,2,0,21.2,0.31,4.2,0.2,35,99,35.4,548,95,13.7,25.2,116,20.7,28.7,283,27,9.5,23,1.1,12.2,Matches
26,27,Giorgi Mamardashvili,ge GEO,GK,Valencia,22,2000,36.5,41,3,0,4,2,49.2,0.31,10.2,0.28,185,671,27.6,864,142,57.3,41.4,245,71.8,53.4,530,45,8.5,31,0.85,12.3,Matches
27,28,Diego Mariño,es ESP,GK,Almería,33,1990,1.0,2,2,0,0,0,2.1,0.02,0.1,0.05,1,5,20.0,25,6,20.0,24.1,2,0.0,16.5,6,0,0.0,2,2.0,22.7,Matches
28,29,Unai Marrero,es ESP,GK,Real Sociedad,21,2001,1.6,3,1,0,0,0,2.9,0.37,-0.1,-0.09,10,25,40.0,37,5,45.9,37.0,8,100.0,63.4,27,1,3.7,4,2.54,20.1,Matches
29,30,Marc Martínez,es ESP,GK,Granada,33,1990,3.0,11,2,0,3,0,12.1,0.46,1.1,0.37,17,39,43.6,74,9,33.8,33.3,24,58.3,46.3,30,0,0.0,10,3.33,23.0,Matches
30,31,Luís Maximiano,pt POR,GK,Almería,24,1999,33.0,63,4,0,7,0,59.7,0.32,-3.3,-0.1,158,543,29.1,995,146,38.4,35.5,264,61.0,46.3,551,25,4.5,38,1.15,14.5,Matches
31,32,Ørjan Nyland,no NOR,GK,Sevilla,32,1990,24.0,27,3,1,1,1,29.8,0.26,3.8,0.16,166,449,37.0,583,108,49.9,39.4,201,78.6,56.4,359,20,5.6,17,0.71,13.5,Matches
32,33,Jan Oblak,si SVN,GK,Atlético Madrid,30,1993,38.0,43,1,0,3,0,39.8,0.28,-3.2,-0.08,114,336,33.9,740,180,27.6,31.5,283,46.6,38.7,579,36,6.2,22,0.58,11.8,Matches
33,34,Jesús Owono,gq EQG,GK,Alavés,22,2001,4.0,8,0,0,1,0,6.4,0.27,-1.6,-0.4,36,77,46.8,88,9,54.5,41.7,31,93.5,66.8,29,4,13.8,8,2.0,15.2,Matches
34,35,Iñaki Peña ,es ESP,GK,Barcelona,24,1999,10.0,17,0,0,0,0,13.9,0.36,-3.1,-0.31,21,49,42.9,249,46,13.3,23.7,48,33.3,35.5,116,2,1.7,5,0.5,10.6,Matches
35,36,Predrag Rajković,rs SRB,GK,Mallorca,27,1995,36.0,43,4,1,4,1,41.8,0.27,-0.2,-0.01,322,795,40.5,946,117,60.9,44.7,300,73.0,54.3,502,33,6.6,28,0.78,13.7,Matches
36,37,Pepe Reina,es ESP,GK,Villarreal,40,1982,2.0,2,0,0,0,0,1.9,0.21,-0.1,-0.05,6,18,33.3,58,12,24.1,30.2,11,36.4,38.8,38,1,2.6,0,0.0,5.3,Matches
37,38,Álex Remiro,es ESP,GK,Real Sociedad,28,1995,36.4,36,5,0,5,1,37.9,0.26,2.9,0.08,182,440,41.4,1090,111,30.6,32.0,163,65.6,50.9,383,18,4.7,54,1.48,16.9,Matches
38,39,Rui Silva,pt POR,GK,Betis,29,1994,27.5,36,7,2,3,2,37.5,0.26,3.5,0.13,129,380,33.9,772,119,36.0,33.5,183,55.7,43.0,375,31,8.3,34,1.24,14.9,Matches
39,40,Unai Simón,es ESP,GK,Athletic Club,26,1997,35.4,33,1,0,2,4,38.0,0.28,9.0,0.26,220,679,32.4,982,144,48.5,38.7,240,84.6,60.9,450,31,6.9,46,1.3,16.3,Matches
40,41,Antonio Sivera,es ESP,GK,Alavés,26,1996,34.0,38,8,0,3,2,38.4,0.25,2.4,0.07,279,701,39.8,807,116,62.3,44.6,295,67.1,47.8,501,25,5.0,29,0.85,13.1,Matches
41,42,David Soria,es ESP,GK,Getafe,30,1993,37.9,52,5,0,6,0,53.9,0.29,1.9,0.05,339,908,37.3,979,123,66.2,45.8,310,83.9,57.3,458,17,3.7,62,1.63,17.3,Matches
42,43,Marc-André ter Stegen,de GER,GK,Barcelona,31,1992,28.0,27,2,0,1,0,27.7,0.25,0.7,0.03,92,167,55.1,871,115,14.4,26.3,163,25.8,30.9,334,13,3.9,31,1.11,15.6,Matches
43,44,Álvaro Vallés,es ESP,GK,Las Palmas,26,1997,36.3,44,5,0,5,3,48.7,0.28,7.7,0.21,137,447,30.6,1762,194,21.7,27.3,151,42.4,39.1,521,29,5.6,96,2.65,17.8,Matches
44,45,Fran Vieites,es ESP,GK,Betis,24,1999,3.5,4,0,1,0,0,4.5,0.25,0.5,0.15,13,50,26.0,82,18,37.8,36.5,35,54.3,46.4,65,3,4.6,2,0.57,10.5,Matches
45,46,Iván Villar,es ESP,GK,Celta Vigo,26,1997,11.3,18,2,0,2,1,16.3,0.31,-0.7,-0.07,39,138,28.3,223,48,35.4,34.4,98,60.2,45.7,136,5,3.7,9,0.8,13.2,Matches
