,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
0,1,Brenden Aaronson,us USA,MFFW,Union Berlin,22.0,2000.0,14.1,2,18,7,38.9,1.28,0.5,0.11,0.29,18.4,0,0,0,2.0,2.0,0.11,0.0,0.0,Matches
1,2,Paxten Aaronson,us USA,MF,Eint Frankfurt,19.0,2003.0,1.1,0,2,2,100.0,1.78,1.78,0.0,0.0,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
2,3,Junior Adamu,at AUT,FWMF,Freiburg,22.0,2001.0,1.2,0,2,1,50.0,1.71,0.86,0.0,0.0,12.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
3,4,Sargis Adamyan,am ARM,FWMF,Köln,30.0,1993.0,8.9,1,31,13,41.9,3.48,1.46,0.03,0.08,12.4,0,0,0,4.1,4.1,0.13,-3.1,-3.1,Matches
4,5,Karim Adeyemi,de GER,FWMF,Dortmund,21.0,2002.0,10.1,3,23,10,43.5,2.27,0.99,0.13,0.3,14.6,0,0,0,3.5,3.5,0.15,-0.5,-0.5,Matches
5,6,Amine Adli,ma MAR,MFFW,Leverkusen,23.0,2000.0,10.0,4,27,15,55.6,2.71,1.5,0.15,0.27,13.7,0,0,0,3.3,3.3,0.12,0.7,0.7,Matches
6,7,Felix Agu,de GER,DFMF,Werder Bremen,23.0,1999.0,17.9,0,11,0,0.0,0.61,0.0,0.0,,19.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
7,8,Ludovic Ajorque,fr FRA,FW,Mainz 05,29.0,1994.0,15.1,2,27,6,22.2,1.79,0.4,0.07,0.33,13.1,0,0,2,5.3,3.7,0.14,-3.3,-1.7,Matches
8,9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28.0,1995.0,12.2,0,2,0,0.0,0.16,0.0,0.0,,6.8,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
9,10,Faride Alidou,de GER,FWMF,Köln,22.0,2001.0,14.2,4,33,11,33.3,2.32,0.77,0.12,0.36,14.5,0,0,0,3.0,3.0,0.09,1.0,1.0,Matches
