,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
0,1,Yunis Abdelhamid,ma MAR,DF,Reims,34,1987,37.0,1,32,3,9.4,0.86,0.08,0.03,0.33,15.0,0,0,0,2.4,2.4,0.07,-1.4,-1.4,Matches
1,2,Himad Abdelli,dz ALG,MFFW,Angers,22,1999,23.7,2,24,7,29.2,1.01,0.29,0.08,0.29,22.4,2,0,0,1.4,1.4,0.06,0.6,0.6,Matches
2,3,Salis Abdul Samed,gh GHA,MF,Lens,22,2000,32.2,1,13,4,30.8,0.4,0.12,0.08,0.25,19.1,0,0,0,0.9,0.9,0.07,0.1,0.1,Matches
3,4,Laurent Abergel,fr FRA,MF,Lorient,29,1993,26.0,0,13,2,15.4,0.5,0.08,0.0,0.0,24.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
4,5,Matthis Abline,fr FRA,FWMF,Auxerre,19,2003,9.0,2,24,8,33.3,2.68,0.89,0.04,0.13,20.6,0,1,2,3.6,2.0,0.08,-1.6,-1.0,Matches
5,6,Matthis Abline,fr FRA,FWMF,Rennes,19,2003,1.2,1,6,2,33.3,5.05,1.68,0.17,0.5,12.2,0,0,0,0.8,0.8,0.13,0.2,0.2,Matches
6,7,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,22,2000,27.5,10,83,30,36.1,3.02,1.09,0.12,0.33,15.9,0,0,0,11.5,11.5,0.14,-1.5,-1.5,Matches
7,8,Mohamed Achi,fr FRA,FW,Nantes,20,2002,0.4,0,1,0,0.0,2.5,0.0,0.0,,26.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
8,9,Martin Adeline,fr FRA,MFFW,Reims,18,2003,1.2,0,1,0,0.0,0.84,0.0,0.0,,25.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
9,10,Emmanuel Agbadou,ci CIV,DF,Reims,25,1997,26.5,0,22,3,13.6,0.83,0.11,0.0,0.0,15.8,0,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches
10,11,Lucien Agoume,fr FRA,MF,Troyes,20,2002,12.2,0,9,3,33.3,0.74,0.25,0.0,0.0,15.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
11,12,Ruben Aguilar,fr FRA,DF,Monaco,29,1993,13.0,0,4,2,50.0,0.31,0.15,0.0,0.0,17.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
12,13,Amar Ahmed,se SWE,FW,Troyes,18,2004,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,14,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28,1994,14.4,3,21,8,38.1,1.45,0.55,0.14,0.38,25.0,0,0,0,1.2,1.2,0.06,1.8,1.8,Matches
14,15,Ludovic Ajorque,fr FRA,FW,Strasbourg,28,1994,8.6,1,22,7,31.8,2.57,0.82,0.0,0.0,15.1,1,1,1,3.4,2.6,0.12,-2.4,-2.6,Matches
15,16,Maghnes Akliouche,fr FRA,MFFW,Monaco,20,2002,4.5,0,5,2,40.0,1.12,0.45,0.0,0.0,14.9,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
16,17,Doğan Alemdar,tr TUR,GK,Rennes,19,2002,4.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
17,18,Jim Allevinah,ga GAB,DFFW,Clermont Foot,27,1995,24.9,1,30,8,26.7,1.2,0.32,0.03,0.13,16.9,0,0,0,2.5,2.5,0.08,-1.5,-1.5,Matches
18,19,Mickaël Alphonse,gp GLP,DF,Ajaccio,33,1989,15.1,0,10,2,20.0,0.66,0.13,0.0,0.0,16.3,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
19,20,Ibrahim Amadou,fr FRA,DFMF,Angers,29,1993,4.7,0,2,0,0.0,0.42,0.0,0.0,,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
20,21,Ayoub Amraoui,ma MAR,DFFW,Nice,18,2004,3.3,0,1,0,0.0,0.31,0.0,0.0,,20.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
21,22,Benjamin André,fr FRA,MF,Lille,31,1990,32.4,1,24,4,16.7,0.74,0.12,0.04,0.25,16.9,0,0,0,1.6,1.6,0.07,-0.6,-0.6,Matches
22,23,Komnen Andrić,rs SRB,FW,Clermont Foot,27,1995,16.1,4,28,11,39.3,1.74,0.68,0.11,0.27,14.4,0,1,2,5.5,3.9,0.14,-1.5,-0.9,Matches
23,24,Houssem Aouar,dz ALG,MF,Lyon,24,1998,5.8,1,14,6,42.9,2.4,1.03,0.07,0.17,15.1,0,0,0,1.4,1.4,0.11,-0.4,-0.4,Matches
24,25,Adil Aouchiche,fr FRA,MF,Lorient,20,2002,2.8,0,8,3,37.5,2.88,1.08,0.0,0.0,17.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
25,26,Dennis Appiah,fr FRA,DFMF,Nantes,30,1992,8.8,0,5,1,20.0,0.57,0.11,0.0,0.0,19.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
26,27,Stredair Appuah,fr FRA,DFMF,Nantes,18,2004,0.7,0,3,0,0.0,4.09,0.0,0.0,,26.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
27,28,Taïryk Arconte,fr FRA,FW,Brest,18,2003,1.4,0,2,1,50.0,1.41,0.7,0.0,0.0,12.5,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
28,29,Mohamed El Arouch,fr FRA,MF,Lyon,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
29,30,Lorenz Assignon,tg TOG,DF,Rennes,22,2000,2.9,0,3,1,33.3,1.03,0.34,0.0,0.0,14.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
30,31,Youcef Atal,dz ALG,DFMF,Nice,26,1996,8.7,1,12,5,41.7,1.39,0.58,0.08,0.2,17.3,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches
31,32,Valentin Atangana Edoa,fr FRA,MF,Reims,16,2005,1.9,0,1,0,0.0,0.52,0.0,0.0,,15.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
32,33,Mathias Autret,fr FRA,MFFW,Auxerre,31,1991,14.3,2,23,11,47.8,1.6,0.77,0.04,0.09,25.4,1,1,1,2.5,1.7,0.07,-0.5,-0.7,Matches
33,34,Cédric Avinel,gp GLP,DF,Ajaccio,35,1986,19.9,1,3,1,33.3,0.15,0.05,0.33,1.0,4.1,0,0,0,1.0,1.0,0.41,0.0,0.0,Matches
34,35,Loïc Bade,fr FRA,DF,Rennes,22,2000,1.0,0,2,0,0.0,2.0,0.0,0.0,,8.7,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
35,36,Benoît Badiashile,fr FRA,DF,Monaco,21,2001,9.3,2,5,3,60.0,0.54,0.32,0.4,0.67,16.0,0,0,0,0.6,0.6,0.13,1.4,1.4,Matches
36,37,Eric Bailly,ci CIV,DF,Marseille,28,1994,6.0,0,3,0,0.0,0.5,0.0,0.0,,13.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
37,38,Dénys Bain,fr FRA,DF,Auxerre,29,1993,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
38,39,Brandon Baiye,be BEL,MF,Clermont Foot,21,2000,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
39,40,Cédric Bakambu,cd COD,MF,Marseille,31,1991,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,41,Thierno Balde,fr FRA,DFMF,Troyes,20,2002,23.9,0,7,1,14.3,0.29,0.04,0.0,0.0,17.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
41,42,Carlos Baleba,cm CMR,MF,Lille,18,2004,5.3,0,12,2,16.7,2.26,0.38,0.0,0.0,24.3,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
42,43,Leonardo Balerdi,ar ARG,DF,Marseille,23,1999,29.3,0,11,0,0.0,0.38,0.0,0.0,,10.2,0,0,0,1.3,1.3,0.12,-1.3,-1.3,Matches
43,44,Folarin Balogun,us USA,FW,Reims,21,2001,33.3,21,121,50,41.3,3.63,1.5,0.12,0.3,15.2,2,6,7,26.6,21.0,0.18,-5.6,-6.0,Matches
44,45,Abdoulaye Bamba,ci CIV,DF,Angers,32,1990,15.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,46,Jonathan Bamba,ci CIV,FW,Lille,26,1996,30.9,6,71,28,39.4,2.3,0.91,0.08,0.21,15.5,0,0,0,8.2,8.2,0.12,-2.2,-2.2,Matches
46,47,Bradley Barcola,fr FRA,FWMF,Lyon,19,2002,16.0,5,27,13,48.1,1.69,0.81,0.19,0.38,13.6,0,0,0,3.4,3.4,0.13,1.6,1.6,Matches
47,48,Melvin Bard,fr FRA,DF,Nice,21,2000,27.3,0,7,2,28.6,0.26,0.07,0.0,0.0,15.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
