,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Min,PlayingTime_Mn/MP,PlayingTime_Min%,PlayingTime_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,TeamSuccess_PPM,TeamSuccess_onG,TeamSuccess_onGA,TeamSuccess_+/-,TeamSuccess_+/-90,TeamSuccess_On-Off,TeamSuccess(xG)_onxG,TeamSuccess(xG)_onxGA,TeamSuccess(xG)_xG+/-,TeamSuccess(xG)_xG+/-90,TeamSuccess(xG)_On-Off,Matches
0,1,Brenden Aaronson,us USA,MFFW,Leeds United,21,2000,36,2372.0,66.0,69.4,26.4,28,78.0,8,8,22.0,2,0.86,35.0,58.0,-23.0,-0.87,-0.27,33.3,49.8,-16.6,-0.63,-0.35,Matches
1,2,George Abbott,eng ENG,MF,Tottenham,16,2005,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,1,3.0,1.0,0.0,1.0,90.0,89.84,0.3,0.0,0.3,28.39,28.2,Matches
2,3,Terry Ablade,fi FIN,FW,Fulham,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
3,4,Che Adams,sct SCO,FW,Southampton,26,1996,28,1992.0,71.0,58.2,22.1,23,82.0,13,5,22.0,1,0.71,18.0,41.0,-23.0,-1.04,-0.16,24.1,33.2,-9.2,-0.41,0.48,Matches
4,5,Tyler Adams,us USA,MF,Leeds United,23,1999,24,2156.0,90.0,63.0,24.0,24,90.0,23,0,,0,0.96,28.0,36.0,-8.0,-0.33,1.23,30.2,33.1,-2.9,-0.12,1.08,Matches
5,6,Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,25,2085.0,83.0,61.0,23.2,23,90.0,23,2,8.0,13,1.44,36.0,39.0,-3.0,-0.13,-0.47,26.5,42.8,-16.3,-0.7,-0.63,Matches
6,7,Tayo Adaramola,ie IRL,DF,Crystal Palace,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
7,8,Adrián,es ESP,GK,Liverpool,35,1987,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
8,9,Daniel Adu-Adjei,eng ENG,FW,Bournemouth,17,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
9,10,Nayef Aguerd,ma MAR,DF,West Ham,26,1996,18,1595.0,89.0,46.6,17.7,17,89.0,16,1,76.0,3,1.06,23.0,28.0,-5.0,-0.28,0.11,24.2,28.6,-4.5,-0.25,-0.28,Matches
10,11,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,20,2002,8,94.0,12.0,2.7,1.0,0,,0,8,12.0,3,0.38,0.0,2.0,-2.0,-1.91,-1.73,1.1,1.8,-0.7,-0.69,-0.47,Matches
11,12,Rayan Aït-Nouri,dz ALG,DF,Wolves,21,2001,21,1076.0,51.0,31.5,12.0,9,81.0,4,12,29.0,7,1.0,8.0,18.0,-10.0,-0.84,-0.18,11.6,18.7,-7.1,-0.6,0.01,Matches
12,13,Kristoffer Ajer,no NOR,DF,Brentford,24,1998,9,763.0,85.0,22.3,8.5,9,85.0,6,0,,10,1.11,7.0,14.0,-7.0,-0.83,-1.47,9.4,11.1,-1.6,-0.19,-0.48,Matches
13,14,Manuel Akanji,ch SUI,DF,Manchester City,27,1995,29,2287.0,79.0,66.9,25.4,24,88.0,22,5,36.0,1,2.52,63.0,23.0,40.0,1.57,-0.09,51.6,21.1,30.6,1.2,-0.06,Matches
14,15,Nathan Aké,nl NED,DF,Manchester City,27,1995,26,1873.0,72.0,54.8,20.8,22,82.0,16,4,16.0,4,2.23,53.0,15.0,38.0,1.83,0.49,44.8,16.2,28.5,1.37,0.32,Matches
15,16,Marc Albrighton,eng ENG,FWMF,Leicester City,32,1989,6,237.0,40.0,6.9,2.6,1,67.0,0,5,34.0,13,1.67,4.0,3.0,1.0,0.38,0.89,4.9,4.3,0.6,0.24,0.62,Matches
16,17,Thiago Alcántara,es ESP,MF,Liverpool,31,1991,18,1254.0,70.0,36.7,13.9,14,82.0,9,4,25.0,0,1.72,22.0,23.0,-1.0,-0.07,-1.28,24.4,20.7,3.6,0.26,-0.49,Matches
17,18,Carlos Alcaraz,ar ARG,MFFW,Southampton,19,2002,18,1029.0,57.0,30.1,11.4,13,70.0,2,5,24.0,2,0.72,15.0,25.0,-10.0,-0.87,0.14,12.2,22.7,-10.5,-0.92,-0.44,Matches
18,19,Kyle Alex John,eng ENG,DF,Everton,21,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
19,20,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,37,2923.0,79.0,85.5,32.5,34,85.0,23,3,16.0,1,1.78,70.0,44.0,26.0,0.8,0.44,64.2,42.6,21.6,0.66,0.65,Matches
20,21,Alisson,br BRA,GK,Liverpool,29,1992,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.78,71.0,43.0,28.0,0.76,0.76,68.6,49.1,19.5,0.53,-1.64,Matches
21,22,Allan,br BRA,DFMF,Everton,31,1991,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
22,23,Dele Alli,eng ENG,MF,Everton,26,1996,2,40.0,20.0,1.2,0.4,0,,0,2,20.0,1,0.0,1.0,1.0,0.0,0.0,0.61,1.0,1.7,-0.7,-1.57,-1.05,Matches
23,24,Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,34,2491.0,73.0,72.8,27.7,29,81.0,6,5,26.0,0,1.74,43.0,22.0,21.0,0.76,-0.6,45.7,27.6,18.2,0.66,-0.71,Matches
24,25,Julián Álvarez,ar ARG,FWMF,Manchester City,22,2000,31,1465.0,47.0,42.8,16.3,13,85.0,8,18,20.0,6,2.42,37.0,16.0,21.0,1.29,-0.55,32.3,17.3,15.0,0.92,-0.53,Matches
25,26,Steven Alzate,co COL,MF,Brighton,23,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
26,27,Daniel Amartey,gh GHA,DF,Leicester City,27,1994,20,1610.0,81.0,47.1,17.9,18,87.0,16,2,22.0,15,0.8,20.0,27.0,-7.0,-0.39,0.11,19.9,27.5,-7.6,-0.42,-0.17,Matches
27,28,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,2006,1,4.0,4.0,0.1,0.0,0,,0,1,4.0,0,1.0,0.0,0.0,0.0,0.0,0.97,0.1,0.7,-0.6,-13.93,-13.34,Matches
28,29,Ethan Ampadu,wls WAL,DFMF,Chelsea,21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
29,30,Joseph Anang,eng ENG,GK,West Ham,22,2000,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
30,31,Joachim Andersen,dk DEN,DF,Crystal Palace,26,1996,32,2782.0,87.0,81.3,30.9,32,87.0,30,0,,0,1.31,35.0,37.0,-2.0,-0.06,0.92,34.0,35.4,-1.3,-0.04,1.01,Matches
31,32,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,19,2002,22,410.0,19.0,12.0,4.6,3,58.0,0,19,12.0,12,1.82,8.0,7.0,1.0,0.22,-0.8,11.7,5.5,6.2,1.37,0.59,Matches
32,33,Jaidon Anthony,eng ENG,MFFW,Bournemouth,22,1999,30,1257.0,42.0,36.8,14.0,11,76.0,4,19,22.0,8,0.97,9.0,29.0,-20.0,-1.43,-0.85,13.6,26.0,-12.4,-0.89,-0.35,Matches
33,34,Michail Antonio,jm JAM,FW,West Ham,32,1990,33,1829.0,55.0,53.5,20.3,21,75.0,2,12,22.0,1,1.09,23.0,29.0,-6.0,-0.3,0.1,25.9,29.3,-3.4,-0.17,-0.14,Matches
34,35,Antony,br BRA,FW,Manchester Utd,22,2000,25,1802.0,72.0,52.7,20.0,23,76.0,6,2,30.0,0,1.88,29.0,21.0,8.0,0.4,0.01,32.5,25.2,7.3,0.36,-0.19,Matches
35,36,Cameron Archer,eng ENG,FWMF,Aston Villa,21,2001,6,49.0,8.0,1.4,0.5,0,,0,6,8.0,8,1.17,0.0,1.0,-1.0,-1.84,-2.0,0.2,0.4,-0.1,-0.25,-0.19,Matches
36,37,Alphonse Areola,fr FRA,GK,West Ham,29,1993,5,309.0,62.0,9.0,3.4,2,90.0,2,3,43.0,30,0.8,5.0,7.0,-2.0,-0.58,-0.26,5.3,7.5,-2.2,-0.64,-0.59,Matches
37,38,Joe Aribo,ng NGA,MFFW,Southampton,26,1996,21,1224.0,58.0,35.8,13.6,13,77.0,3,8,28.0,8,0.57,13.0,24.0,-11.0,-0.81,0.26,13.5,16.6,-3.1,-0.23,0.6,Matches
38,39,Adam Armstrong,eng ENG,FWMF,Southampton,25,1997,30,1335.0,45.0,39.0,14.8,14,73.0,0,16,20.0,4,0.8,17.0,24.0,-7.0,-0.47,0.82,13.8,24.0,-10.2,-0.69,-0.13,Matches
39,40,Stuart Armstrong,sct SCO,MFFW,Southampton,30,1992,32,1408.0,44.0,41.2,15.6,14,70.0,0,18,24.0,3,0.56,12.0,34.0,-22.0,-1.41,-0.74,16.3,28.9,-12.6,-0.81,-0.33,Matches
40,41,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,29,2565.0,88.0,75.0,28.5,29,88.0,28,0,,7,1.14,27.0,33.0,-6.0,-0.21,0.11,39.2,39.0,0.2,0.01,0.34,Matches
41,42,Harrison Ashby,sct SCO,DF,West Ham,20,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
42,43,Harrison Ashby,sct SCO,DF,Newcastle Utd,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
43,44,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,1989,15,554.0,37.0,16.2,6.2,5,62.0,0,10,24.0,5,1.07,3.0,8.0,-5.0,-0.81,-0.69,6.0,8.5,-2.5,-0.41,-0.39,Matches
44,45,Ludwig Augustinsson,se SWE,DF,Aston Villa,28,1994,3,77.0,26.0,2.3,0.9,1,44.0,0,2,17.0,9,1.67,1.0,0.0,1.0,1.17,1.06,2.5,0.8,1.6,1.92,2.02,Matches
45,46,Serge Aurier,ci CIV,DF,Nott'ham Forest,29,1992,24,1943.0,81.0,56.8,21.6,22,84.0,16,2,45.0,0,1.38,24.0,31.0,-7.0,-0.32,1.08,22.7,32.7,-10.0,-0.46,0.45,Matches
46,47,Brandon Austin,eng ENG,GK,Tottenham,23,1999,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches
47,48,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24,1997,27,1404.0,52.0,41.1,15.6,17,71.0,0,10,19.0,2,0.93,19.0,29.0,-10.0,-0.64,0.25,17.9,25.9,-8.1,-0.52,0.24,Matches
48,49,Yasin Ayari,se SWE,MF,Brighton,18,2003,3,67.0,22.0,2.0,0.7,1,45.0,0,2,11.0,12,2.0,2.0,2.0,0.0,0.0,-0.51,2.7,1.5,1.3,1.72,1.13,Matches
49,50,André Ayew,gh GHA,FWMF,Nott'ham Forest,32,1989,13,316.0,24.0,9.2,3.5,1,78.0,0,12,20.0,5,0.69,5.0,10.0,-5.0,-1.42,-0.7,4.7,7.2,-2.6,-0.73,-0.09,Matches
50,51,Jordan Ayew,gh GHA,FWMF,Crystal Palace,30,1991,38,2714.0,71.0,79.4,30.2,31,82.0,17,7,24.0,0,1.18,32.0,41.0,-9.0,-0.3,-0.3,29.7,40.2,-10.5,-0.35,-0.57,Matches
51,52,Luke Ayling,eng ENG,DF,Leeds United,30,1991,29,2054.0,71.0,60.1,22.8,22,89.0,21,7,14.0,4,0.79,27.0,48.0,-21.0,-0.92,-0.33,27.6,43.3,-15.7,-0.69,-0.42,Matches
52,53,César Azpilicueta,es ESP,DF,Chelsea,32,1989,25,1527.0,61.0,44.6,17.0,16,82.0,12,9,23.0,6,1.12,17.0,21.0,-4.0,-0.24,0.0,22.5,27.0,-4.5,-0.27,-0.34,Matches
