,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
0,1,James Abankwah,ie IRL,DF,Udinese,18,2004,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1,2,Oliver Abildgaard,dk DEN,MF,Hellas Verona,26,1996,6.6,0,3,2,66.7,0.46,0.3,0.0,0.0,14.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
2,3,Tammy Abraham,eng ENG,FW,Roma,24,1997,24.3,8,62,28,45.2,2.55,1.15,0.13,0.29,12.0,0,0,0,10.8,10.8,0.17,-2.8,-2.8,Matches
3,4,Christian Acella,it ITA,MF,Cremonese,20,2002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,5,Francesco Acerbi,it ITA,DF,Inter,34,1988,26.9,0,18,2,11.1,0.67,0.07,0.0,0.0,15.9,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
5,6,Yacine Adli,fr FRA,MFFW,Milan,22,2000,1.6,0,2,2,100.0,1.25,1.25,0.0,0.0,18.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
6,7,Michel Aebischer,ch SUI,FWMF,Bologna,25,1997,17.1,1,15,2,13.3,0.88,0.12,0.07,0.5,17.1,1,0,0,1.5,1.5,0.1,-0.5,-0.5,Matches
7,8,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,19,2003,9.1,0,21,2,9.5,2.31,0.22,0.0,0.0,18.7,0,0,0,1.9,1.9,0.09,-1.9,-1.9,Matches
8,9,Kevin Agudelo,co COL,MFFW,Spezia,23,1998,23.7,0,28,7,25.0,1.18,0.3,0.0,0.0,21.4,0,0,0,1.5,1.5,0.05,-1.5,-1.5,Matches
9,10,Ola Aina,ng NGA,DF,Torino,25,1996,9.7,1,8,3,37.5,0.82,0.31,0.13,0.33,15.2,0,0,0,0.8,0.8,0.1,0.2,0.2,Matches
10,11,Emanuel Aiwum,at AUT,DF,Cremonese,21,2000,18.4,0,3,1,33.3,0.16,0.05,0.0,0.0,17.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
11,12,Jean-Daniel Akpa-Akpro,ci CIV,MFFW,Empoli,29,1992,15.1,1,14,5,35.7,0.93,0.33,0.07,0.2,19.5,0,0,0,1.5,1.5,0.1,-0.5,-0.5,Matches
12,13,Luis Alberto,es ESP,MF,Lazio,29,1992,27.1,6,45,17,37.8,1.66,0.63,0.11,0.29,23.2,4,1,2,4.4,2.7,0.06,1.6,2.3,Matches
13,14,Agustín Álvarez Martínez,uy URU,FWMF,Sassuolo,21,2001,4.1,1,14,4,28.6,3.42,0.98,0.07,0.25,15.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches
14,15,Kelvin Amian,fr FRA,DF,Spezia,24,1998,26.4,0,26,7,26.9,0.99,0.27,0.0,0.0,16.7,1,0,0,2.7,2.7,0.1,-2.7,-2.7,Matches
15,16,Bruno Amione,ar ARG,DF,Hellas Verona,20,2002,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
16,17,Bruno Amione,ar ARG,DF,Sampdoria,20,2002,23.2,1,12,2,16.7,0.52,0.09,0.08,0.5,11.5,0,0,0,0.9,0.9,0.07,0.1,0.1,Matches
17,18,Ethan Ampadu,wls WAL,DFMF,Spezia,21,2000,29.3,0,16,5,31.3,0.55,0.17,0.0,0.0,18.1,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
18,19,Sofyan Amrabat,ma MAR,MF,Fiorentina,25,1996,22.2,0,13,4,30.8,0.59,0.18,0.0,0.0,26.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
19,20,Felipe Anderson,br BRA,FW,Lazio,29,1993,32.9,9,41,23,56.1,1.25,0.7,0.22,0.39,15.1,0,0,0,6.0,6.0,0.15,3.0,3.0,Matches
20,21,Janis Antiste,fr FRA,FW,Sassuolo,19,2002,0.6,1,1,1,100.0,1.73,1.73,1.0,1.0,17.3,0,0,0,0.2,0.2,0.18,0.8,0.8,Matches
21,22,Marcos Antônio,br BRA,MF,Lazio,22,2000,6.6,1,3,1,33.3,0.45,0.15,0.33,1.0,18.3,0,0,0,1.2,1.2,0.41,-0.2,-0.2,Matches
22,23,Valentin Antov,bg BUL,DF,Monza,21,2000,3.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
23,24,Marko Arnautović,at AUT,FW,Bologna,33,1989,17.0,10,28,15,53.6,1.65,0.88,0.25,0.47,15.5,0,3,3,7.2,4.8,0.17,2.8,2.2,Matches
24,25,Tolgay Arslan,de GER,MF,Udinese,31,1990,13.5,1,25,5,20.0,1.86,0.37,0.04,0.2,21.1,1,0,0,2.2,2.2,0.09,-1.2,-1.2,Matches
25,26,Santiago Ascacíbar,ar ARG,MF,Cremonese,25,1997,8.1,0,14,3,21.4,1.73,0.37,0.0,0.0,27.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
26,27,Kristoffer Askildsen,no NOR,MF,Lecce,21,2001,8.1,0,10,3,30.0,1.24,0.37,0.0,0.0,24.0,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
27,28,Kristjan Asllani,al ALB,MF,Inter,20,2002,6.6,0,11,0,0.0,1.67,0.0,0.0,,27.0,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
28,29,Emil Audero,it ITA,GK,Sampdoria,25,1997,25.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
29,30,Tommaso Augello,it ITA,DF,Sampdoria,27,1994,34.0,2,11,4,36.4,0.32,0.12,0.18,0.5,14.5,0,0,0,1.0,1.0,0.09,1.0,1.0,Matches
30,31,Carlos Augusto,br BRA,DF,Monza,23,1999,34.3,6,42,16,38.1,1.23,0.47,0.14,0.38,15.0,0,0,0,4.4,4.4,0.11,1.6,1.6,Matches
31,32,Kaan Ayhan,tr TUR,DF,Sassuolo,27,1994,6.1,0,1,1,100.0,0.17,0.17,0.0,0.0,37.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
32,33,Jaime Báez,uy URU,DF,Cremonese,27,1995,1.1,0,2,0,0.0,1.87,0.0,0.0,,23.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
33,34,Nedim Bajrami,al ALB,MFFW,Empoli,23,1999,10.4,1,21,7,33.3,2.01,0.67,0.05,0.14,24.1,6,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
34,35,Nedim Bajrami,al ALB,FWMF,Sassuolo,23,1999,9.1,1,23,8,34.8,2.53,0.88,0.04,0.13,20.7,4,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
35,36,Tiemoué Bakayoko,fr FRA,MF,Milan,27,1994,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
36,37,Tommaso Baldanzi,it ITA,MF,Empoli,19,2003,19.7,4,33,12,36.4,1.68,0.61,0.12,0.33,20.1,0,0,0,2.4,2.4,0.07,1.6,1.6,Matches
37,38,Fodé Ballo-Touré,sn SEN,DF,Milan,25,1997,5.8,1,5,3,60.0,0.86,0.52,0.2,0.33,11.4,0,0,0,0.6,0.6,0.12,0.4,0.4,Matches
38,39,Lameck Banda,zm ZAM,FWMF,Lecce,21,2001,18.2,2,36,12,33.3,1.98,0.66,0.06,0.17,19.0,0,0,0,3.1,3.1,0.09,-1.1,-1.1,Matches
39,40,Filippo Bandinelli,it ITA,MF,Empoli,27,1995,25.1,2,24,7,29.2,0.95,0.28,0.08,0.29,23.4,0,0,0,1.7,1.7,0.07,0.3,0.3,Matches
40,41,Antonín Barák,cz CZE,MF,Hellas Verona,27,1994,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
41,42,Antonín Barák,cz CZE,MF,Fiorentina,27,1994,20.0,2,32,7,21.9,1.6,0.35,0.06,0.29,17.7,0,0,0,2.6,2.6,0.08,-0.6,-0.6,Matches
42,43,Andrea Barberis,it ITA,MF,Monza,28,1993,3.8,0,2,0,0.0,0.53,0.0,0.0,,26.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
43,44,Tommaso Barbieri,it ITA,DF,Juventus,19,2002,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
44,45,Francesco Bardi,it ITA,GK,Bologna,30,1992,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,46,Nicolò Barella,it ITA,MF,Inter,25,1997,29.0,6,33,13,39.4,1.14,0.45,0.18,0.46,20.6,1,0,0,3.2,3.2,0.1,2.8,2.8,Matches
46,47,Enzo Barrenechea,ar ARG,MF,Juventus,21,2001,1.8,0,2,0,0.0,1.14,0.0,0.0,,11.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
47,48,Musa Barrow,gm GAM,FWMF,Bologna,23,1998,21.8,3,65,16,24.6,2.98,0.73,0.05,0.19,23.2,1,0,0,3.0,3.0,0.05,0.0,0.0,Matches
48,49,Federico Baschirotto,it ITA,DF,Lecce,25,1996,37.0,3,21,6,28.6,0.57,0.16,0.14,0.5,11.8,0,0,0,1.9,1.9,0.09,1.1,1.1,Matches
49,50,Toma Bašić,hr CRO,MF,Lazio,25,1996,5.7,1,11,5,45.5,1.93,0.88,0.09,0.2,19.6,0,0,0,1.8,1.8,0.17,-0.8,-0.8,Matches
50,51,Alberto Basso,it ITA,MF,Cremonese,18,2004,0.2,0,1,1,100.0,5.63,5.63,0.0,0.0,13.7,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
51,52,Alessandro Bastoni,it ITA,DF,Inter,23,1999,24.0,0,12,3,25.0,0.5,0.13,0.0,0.0,13.1,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches
52,53,Simone Bastoni,it ITA,MFDF,Spezia,25,1996,13.2,2,22,7,31.8,1.67,0.53,0.09,0.29,20.9,2,0,0,1.1,1.1,0.05,0.9,0.9,Matches
53,54,Brian Bayeye,cd COD,DF,Torino,22,2000,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
54,55,Rodrigo Becão,br BRA,DF,Udinese,26,1996,27.6,2,19,5,26.3,0.69,0.18,0.11,0.4,12.1,0,0,0,1.5,1.5,0.08,0.5,0.5,Matches
55,56,Julius Beck,dk DEN,MF,Spezia,17,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,57,Raoul Bellanova,it ITA,DF,Inter,22,2000,5.5,0,4,1,25.0,0.73,0.18,0.0,0.0,8.1,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
57,58,Andrea Belotti,it ITA,FW,Roma,28,1993,12.7,0,19,9,47.4,1.49,0.71,0.0,0.0,12.7,0,0,1,3.5,2.7,0.14,-3.5,-2.7,Matches
58,59,Marco Benassi,it ITA,DF,Fiorentina,27,1994,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
59,60,Marco Benassi,it ITA,MF,Cremonese,27,1994,11.1,0,19,8,42.1,1.71,0.72,0.0,0.0,19.9,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
60,61,Ismaël Bennacer,dz ALG,MF,Milan,24,1997,22.3,2,16,3,18.8,0.72,0.13,0.13,0.67,25.0,3,0,0,1.0,1.0,0.06,1.0,1.0,Matches
61,62,Domenico Berardi,it ITA,FW,Sassuolo,27,1994,20.7,12,75,19,25.3,3.62,0.92,0.07,0.26,22.0,4,7,8,11.4,5.1,0.07,0.6,-0.1,Matches
62,63,Bartosz Bereszyński,pl POL,DF,Sampdoria,30,1992,13.3,0,3,0,0.0,0.23,0.0,0.0,,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
63,64,Bartosz Bereszyński,pl POL,DF,Napoli,30,1992,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,65,Marco Bertini,it ITA,MF,Lazio,19,2002,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
65,66,Beto,gw GNB,FW,Udinese,24,1998,23.7,10,60,20,33.3,2.54,0.85,0.15,0.45,13.7,0,1,1,10.9,10.1,0.17,-0.9,-1.1,Matches
66,67,Matteo Bianchetti,it ITA,DF,Cremonese,29,1993,23.7,1,7,4,57.1,0.3,0.17,0.14,0.25,10.9,0,0,0,0.8,0.8,0.11,0.2,0.2,Matches
67,68,Alessandro Bianco,it ITA,MF,Fiorentina,19,2002,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,25.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
68,69,Jaka Bijol,si SVN,DF,Udinese,23,1999,30.3,3,20,7,35.0,0.66,0.23,0.15,0.43,9.5,0,0,0,2.2,2.2,0.11,0.8,0.8,Matches
69,70,Cristiano Biraghi,it ITA,DF,Fiorentina,29,1992,28.3,2,24,5,20.8,0.85,0.18,0.08,0.4,27.4,15,0,1,1.8,1.1,0.04,0.2,0.9,Matches
70,71,Samuele Birindelli,it ITA,DF,Monza,23,1999,15.6,0,14,4,28.6,0.9,0.26,0.0,0.0,17.6,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
71,72,Kristijan Bistrović,hr CRO,MF,Lecce,24,1998,5.1,0,8,1,12.5,1.56,0.2,0.0,0.0,24.4,4,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
72,73,Alexis Blin,fr FRA,MF,Lecce,25,1996,26.4,1,22,4,18.2,0.83,0.15,0.05,0.25,12.9,0,0,0,2.8,2.8,0.13,-1.8,-1.8,Matches
73,74,Jeremie Boga,ci CIV,MFFW,Atalanta,25,1997,8.7,2,13,3,23.1,1.5,0.35,0.15,0.67,20.2,2,0,0,1.9,1.9,0.14,0.1,0.1,Matches
74,75,Emil Bohinen,no NOR,MF,Salernitana,23,1999,9.2,0,4,0,0.0,0.43,0.0,0.0,,25.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
75,76,Giacomo Bonaventura,it ITA,MF,Fiorentina,32,1989,21.2,5,49,14,28.6,2.31,0.66,0.1,0.36,19.6,2,0,0,4.3,4.3,0.09,0.7,0.7,Matches
76,77,Federico Bonazzoli,it ITA,FWMF,Salernitana,25,1997,12.4,2,32,7,21.9,2.57,0.56,0.06,0.29,18.9,1,0,0,2.4,2.4,0.07,-0.4,-0.4,Matches
77,78,Warren Bondo,fr FRA,MF,Monza,18,2003,0.7,0,1,0,0.0,1.5,0.0,0.0,,21.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
78,79,Kevin Bonifazi,it ITA,DF,Bologna,26,1996,10.0,0,2,0,0.0,0.2,0.0,0.0,,11.3,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
79,80,Leonardo Bonucci,it ITA,DF,Juventus,35,1987,9.8,1,4,1,25.0,0.41,0.1,0.25,1.0,12.0,0,0,1,1.1,0.3,0.07,-0.1,0.7,Matches
80,81,Erik Botheim,no NOR,MFFW,Salernitana,22,2000,9.6,1,7,1,14.3,0.73,0.1,0.14,1.0,13.5,0,0,0,0.6,0.6,0.08,0.4,0.4,Matches
