,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,SCA_SCA,SCA_SCA90,SCATypes_PassLive,SCATypes_PassDead,SCATypes_TO,SCATypes_Sh,SCATypes_Fld,SCATypes_Def,GCA_GCA,GCA_GCA90,GCATypes_PassLive,GCATypes_PassDead,GCATypes_TO,GCATypes_Sh,GCATypes_Fld,GCATypes_Def,Matches
208,209,Hugo González,es ESP,MFFW,Valencia,20.0,2003.0,1.0,5,5.11,2,2,0,0,1,0,1,1.02,1,0,0,0,0,0,Matches
209,210,Iñaki González,es ESP,MF,Las Palmas,19.0,2004.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
210,211,Peter González,do DOM,MFFW,Valencia,21.0,2002.0,7.2,14,1.94,8,2,2,1,1,0,1,0.14,0,0,0,0,1,0,Matches
211,212,Urko González,es ESP,MF,Real Sociedad,22.0,2001.0,1.7,1,0.58,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
212,213,Andoni Gorosabel,es ESP,DF,Alavés,26.0,1996.0,31.7,59,1.86,46,5,1,1,4,2,2,0.06,2,0,0,0,0,0,Matches
213,214,Pablo Gozalbez,es ESP,MFFW,Valencia,22.0,2001.0,1.1,1,0.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
214,215,Mason Greenwood,eng ENG,MFFW,Getafe,21.0,2001.0,29.6,111,3.75,58,10,23,11,9,0,17,0.57,6,2,4,3,2,0,Matches
215,216,Dominik Greif,sk SVK,GK,Mallorca,26.0,1997.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
216,217,Antoine Griezmann,fr FRA,FWMF,Atlético Madrid,32.0,1991.0,29.4,107,3.64,68,21,4,10,2,2,11,0.37,10,0,0,1,0,0,Matches
217,218,Vicente Guaita,es ESP,GK,Celta Vigo,36.0,1987.0,26.7,7,0.26,4,3,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
218,219,Andrés Guardado,mx MEX,MF,Betis,36.0,1986.0,5.0,15,3.02,12,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
219,220,Sergi Guardiola,es ESP,FWMF,Cádiz,32.0,1991.0,5.5,15,2.73,10,0,0,3,2,0,1,0.18,1,0,0,0,0,0,Matches
220,221,Nemanja Gudelj,rs SRB,DFMF,Sevilla,31.0,1991.0,19.4,20,1.03,17,1,0,2,0,0,2,0.1,2,0,0,0,0,0,Matches
221,222,Gonçalo Guedes,pt POR,FWMF,Villarreal,26.0,1996.0,10.6,40,3.79,29,1,4,4,1,1,4,0.38,3,0,0,1,0,0,Matches
