,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
10,11,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,24,1999,29.4,2,19,5,26.3,0.65,0.17,0.11,0.4,11.9,0,0,0,3.1,3.1,0.17,-1.1,-1.1,Matches
11,12,Ola Aina,ng NGA,DF,Nott'ham Forest,26,1996,18.8,1,11,1,9.1,0.59,0.05,0.09,1.0,26.6,0,0,0,0.3,0.3,0.02,0.7,0.7,Matches
12,13,Rayan Aït-Nouri,dz ALG,DFMF,Wolves,22,2001,25.9,2,24,8,33.3,0.93,0.31,0.08,0.25,16.8,0,0,0,3.3,3.3,0.14,-1.3,-1.3,Matches
13,14,Kristoffer Ajer,no NOR,DF,Brentford,25,1998,20.4,2,12,4,33.3,0.59,0.2,0.17,0.5,9.9,0,0,0,1.3,1.3,0.11,0.7,0.7,Matches
14,15,Manuel Akanji,ch SUI,DFMF,Manchester City,28,1995,27.9,2,15,5,33.3,0.54,0.18,0.13,0.4,17.0,0,0,0,1.9,1.9,0.13,0.1,0.1,Matches
15,16,Nathan Aké,nl NED,DF,Manchester City,28,1995,22.7,2,20,5,25.0,0.88,0.22,0.1,0.4,10.8,0,0,0,2.5,2.5,0.12,-0.5,-0.5,Matches
16,17,Thiago Alcántara,es ESP,MF,Liverpool,32,1991,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
17,18,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,1998,23.9,3,47,8,17.0,1.96,0.33,0.06,0.38,24.4,5,0,0,2.6,2.3,0.05,0.4,0.7,Matches
18,19,Alisson,br BRA,GK,Liverpool,30,1992,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19,20,Miguel Almirón,py PAR,FW,Newcastle Utd,29,1994,21.5,3,41,12,29.3,1.91,0.56,0.07,0.25,16.1,0,0,0,4.5,4.5,0.11,-1.5,-1.5,Matches
20,21,Edson Álvarez,mx MEX,MF,West Ham,25,1997,26.4,1,17,3,17.6,0.64,0.11,0.06,0.33,21.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
21,22,Julián Álvarez,ar ARG,MFFW,Manchester City,23,2000,29.4,11,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13,2,2,13.0,11.5,0.12,-2.0,-2.5,Matches
22,23,Zeki Amdouni,ch SUI,FW,Burnley,22,2000,21.7,5,48,21,43.8,2.21,0.97,0.08,0.19,17.8,0,1,1,5.8,5.0,0.1,-0.8,-1.0,Matches
23,24,Sofyan Amrabat,ma MAR,MFDF,Manchester Utd,26,1996,10.4,0,3,0,0.0,0.29,0.0,0.0,,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
24,25,Joachim Andersen,dk DEN,DF,Crystal Palace,27,1996,37.9,2,21,8,38.1,0.55,0.21,0.1,0.25,12.8,1,0,0,1.7,1.7,0.08,0.3,0.3,Matches
25,26,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20,2002,11.4,0,19,4,21.1,1.67,0.35,0.0,0.0,14.5,0,0,0,1.5,1.5,0.08,-1.5,-1.5,Matches
26,27,Jaidon Anthony,eng ENG,FW,Bournemouth,23,1999,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
27,28,Michail Antonio,jm JAM,FW,West Ham,33,1990,18.8,6,30,14,46.7,1.59,0.74,0.2,0.43,13.1,0,0,0,5.8,5.8,0.19,0.2,0.2,Matches
28,29,Antony,br BRA,FW,Manchester Utd,23,2000,14.7,1,43,15,34.9,2.92,1.02,0.02,0.07,18.9,0,0,0,3.4,3.4,0.08,-2.4,-2.4,Matches
29,30,Oliver Arblaster,eng ENG,MF,Sheffield Utd,19,2004,10.5,0,1,1,100.0,0.1,0.1,0.0,0.0,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
30,31,Cameron Archer,eng ENG,FWMF,Sheffield Utd,22,2001,20.4,4,42,9,21.4,2.06,0.44,0.1,0.44,16.7,0,0,0,5.5,5.5,0.14,-1.5,-1.5,Matches
31,32,Cameron Archer,eng ENG,MF,Aston Villa,22,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
32,33,Alphonse Areola,fr FRA,GK,West Ham,30,1993,30.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
33,34,Lorenz Assignon,tg TOG,DF,Burnley,23,2000,13.7,1,9,4,44.4,0.66,0.29,0.11,0.25,22.1,0,0,0,0.4,0.4,0.04,0.6,0.6,Matches
34,35,Serge Aurier,ci CIV,DFMF,Nott'ham Forest,30,1992,9.3,0,6,1,16.7,0.65,0.11,0.0,0.0,16.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
35,36,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25,1997,11.6,6,22,11,50.0,1.9,0.95,0.27,0.55,11.5,0,0,0,4.7,4.7,0.22,1.3,1.3,Matches
36,37,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31,1991,28.3,4,48,19,39.6,1.7,0.67,0.08,0.21,18.2,0,0,0,3.9,3.9,0.08,0.1,0.1,Matches
37,38,Benoît Badiashile,fr FRA,DF,Chelsea,22,2001,14.9,0,6,1,16.7,0.4,0.07,0.0,0.0,14.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
38,39,Leon Bailey,jm JAM,MFFW,Aston Villa,25,1997,23.0,10,53,18,34.0,2.31,0.78,0.19,0.56,16.1,1,0,0,6.3,6.3,0.12,3.7,3.7,Matches
39,40,Stefan Bajcetic,es ESP,MF,Liverpool,18,2004,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,41,George Baldock,gr GRE,DF,Sheffield Utd,30,1993,10.8,0,1,0,0.0,0.09,0.0,0.0,,22.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
41,42,Carlos Baleba,cm CMR,MF,Brighton,19,2004,14.7,0,21,5,23.8,1.43,0.34,0.0,0.0,24.4,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
42,43,Fodé Ballo-Touré,sn SEN,DFMF,Fulham,26,1997,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
43,44,Shandon Baptiste,gd GRN,MF,Brentford,25,1998,2.5,1,2,2,100.0,0.79,0.79,0.5,0.5,6.6,0,0,0,0.9,0.9,0.45,0.1,0.1,Matches
44,45,Valentín Barco,ar ARG,DFFW,Brighton,19,2004,3.4,0,4,2,50.0,1.17,0.59,0.0,0.0,24.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
45,46,Ross Barkley,eng ENG,MF,Luton Town,29,1993,29.1,5,66,19,28.8,2.27,0.65,0.08,0.26,21.5,6,0,0,4.1,4.1,0.06,0.9,0.9,Matches
46,47,Harvey Barnes,eng ENG,FWMF,Newcastle Utd,25,1997,8.9,5,27,12,44.4,3.03,1.35,0.19,0.42,16.0,0,0,0,3.6,3.6,0.13,1.4,1.4,Matches
47,48,Chris Basham,eng ENG,DFMF,Sheffield Utd,35,1988,3.6,0,2,0,0.0,0.56,0.0,0.0,,10.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
48,49,Calvin Bassey,ng NGA,DF,Fulham,23,1999,25.6,1,5,1,20.0,0.2,0.04,0.2,1.0,10.1,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
49,50,Owen Beck,wls WAL,DF,Liverpool,20,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
50,51,Donny van de Beek,nl NED,DF,Manchester Utd,26,1997,0.0,0,1,0,0.0,30.0,0.0,0.0,,16.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
51,52,Amari'i Bell,jm JAM,DF,Luton Town,29,1994,19.1,0,2,2,100.0,0.1,0.1,0.0,0.0,18.8,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
52,53,Jean-Ricner Bellegarde,fr FRA,MFFW,Wolves,25,1998,10.6,2,15,5,33.3,1.41,0.47,0.13,0.4,16.5,0,0,0,1.6,1.6,0.1,0.4,0.4,Matches
53,54,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,22,2001,4.7,0,8,3,37.5,1.72,0.64,0.0,0.0,18.2,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches
54,55,Saïd Benrahma,dz ALG,FWMF,West Ham,27,1995,6.9,0,18,5,27.8,2.61,0.73,0.0,0.0,19.8,0,0,1,1.8,1.0,0.06,-1.8,-1.0,Matches
55,56,Rodrigo Bentancur,uy URU,MF,Tottenham,26,1997,11.2,1,18,4,22.2,1.61,0.36,0.06,0.25,16.3,0,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches
56,57,Daniel Bentley,eng ENG,GK,Wolves,30,1993,4.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
57,58,Jóhann Berg Guðmundsson,is ISL,MFFW,Burnley,32,1990,13.2,1,15,6,40.0,1.13,0.45,0.07,0.17,15.6,1,0,0,1.9,1.9,0.12,-0.9,-0.9,Matches
58,59,Sander Berge,no NOR,MF,Burnley,25,1998,33.4,1,25,3,12.0,0.75,0.09,0.04,0.33,17.6,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
59,60,Luke Berry,eng ENG,MFDF,Luton Town,31,1992,3.6,2,8,4,50.0,2.23,1.11,0.25,0.5,10.9,0,0,0,1.0,1.0,0.13,1.0,1.0,Matches
60,61,Beto,gw GNB,FW,Everton,25,1998,10.6,3,42,12,28.6,3.97,1.14,0.07,0.25,14.7,0,0,1,6.8,6.0,0.14,-3.8,-3.0,Matches
61,62,Jordan Beyer,de GER,DF,Burnley,23,2000,13.7,0,5,0,0.0,0.36,0.0,0.0,,8.2,0,0,0,0.5,0.5,0.1,-0.5,-0.5,Matches
62,63,Philip Billing,dk DEN,MF,Bournemouth,27,1996,15.5,2,30,8,26.7,1.93,0.52,0.07,0.25,20.6,7,0,0,2.5,2.5,0.08,-0.5,-0.5,Matches
63,64,Yves Bissouma,ml MLI,MF,Tottenham,26,1996,23.0,0,24,5,20.8,1.04,0.22,0.0,0.0,25.0,1,0,0,1.4,1.4,0.06,-1.4,-1.4,Matches
64,65,Benicio Boaitey,eng ENG,FWDF,Brighton,19,2004,0.4,0,1,0,0.0,2.25,0.0,0.0,,25.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
65,66,Oscar Bobb,no NOR,FWMF,Manchester City,20,2003,3.4,1,4,1,25.0,1.19,0.3,0.25,1.0,11.1,0,0,0,1.4,1.4,0.35,-0.4,-0.4,Matches
66,67,Jayden Bogle,eng ENG,DF,Sheffield Utd,23,2000,31.0,3,32,11,34.4,1.03,0.36,0.09,0.27,16.2,0,0,0,2.3,2.3,0.07,0.7,0.7,Matches
67,68,Willy Boly,ci CIV,DF,Nott'ham Forest,32,1991,16.0,2,14,6,42.9,0.88,0.38,0.14,0.33,10.4,0,0,0,1.5,1.5,0.11,0.5,0.5,Matches
68,69,Sven Botman,nl NED,DF,Newcastle Utd,23,2000,15.3,2,10,2,20.0,0.65,0.13,0.2,1.0,10.5,0,0,0,0.6,0.6,0.06,1.4,1.4,Matches
69,70,Jarrod Bowen,eng ENG,FW,West Ham,26,1996,33.5,16,84,37,44.0,2.5,1.1,0.19,0.43,14.2,0,0,0,11.6,11.6,0.14,4.4,4.4,Matches
70,71,Conor Bradley,nir NIR,DF,Liverpool,20,2003,8.4,1,12,4,33.3,1.43,0.48,0.08,0.25,17.3,0,0,0,0.9,0.9,0.07,0.1,0.1,Matches
71,72,Jarrad Branthwaite,eng ENG,DF,Everton,21,2002,34.6,3,14,4,28.6,0.4,0.12,0.21,0.75,11.6,0,0,0,1.7,1.7,0.12,1.3,1.3,Matches
72,73,Ben Brereton,cl CHI,FWMF,Sheffield Utd,24,1999,12.3,6,34,16,47.1,2.77,1.3,0.15,0.31,14.5,0,1,1,6.1,5.3,0.16,-0.1,-0.3,Matches
73,74,Rhian Brewster,eng ENG,FWMF,Sheffield Utd,23,2000,3.8,0,7,3,42.9,1.82,0.78,0.0,0.0,23.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
74,75,Armando Broja,al ALB,FW,Chelsea,21,2001,5.0,1,13,2,15.4,2.58,0.4,0.08,0.5,11.1,0,0,0,2.4,2.4,0.18,-1.4,-1.4,Matches
75,76,Armando Broja,al ALB,FW,Fulham,21,2001,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
76,77,Andre Brooks,eng ENG,MFDF,Sheffield Utd,19,2003,10.4,0,9,2,22.2,0.86,0.19,0.0,0.0,19.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
77,78,David Brooks,wls WAL,FWMF,Bournemouth,26,1997,3.1,1,13,5,38.5,4.15,1.6,0.08,0.2,17.4,0,0,0,2.2,2.2,0.17,-1.2,-1.2,Matches
78,79,Jacob Brown,sct SCO,MFFW,Luton Town,25,1998,11.3,2,26,6,23.1,2.3,0.53,0.08,0.33,14.1,0,0,0,2.8,2.8,0.11,-0.8,-0.8,Matches
79,80,Josh Brownhill,eng ENG,MF,Burnley,27,1995,25.0,4,28,11,39.3,1.12,0.44,0.14,0.36,21.8,0,0,0,1.9,1.9,0.07,2.1,2.1,Matches
80,81,Jacob Bruun Larsen,dk DEN,MFFW,Burnley,24,1998,13.9,6,43,14,32.6,3.1,1.01,0.12,0.36,19.2,11,1,1,5.0,4.2,0.1,1.0,0.8,Matches
81,82,Hugo Bueno,es ESP,DFMF,Wolves,20,2002,8.2,0,5,0,0.0,0.61,0.0,0.0,,18.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
82,83,Santiago Bueno,uy URU,DF,Wolves,24,1998,9.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
83,84,Facundo Buonanotte,ar ARG,FWMF,Brighton,18,2004,15.2,3,21,8,38.1,1.39,0.53,0.14,0.38,16.8,0,0,0,2.4,2.4,0.11,0.6,0.6,Matches
84,85,Reece Burke,eng ENG,DF,Luton Town,26,1996,18.4,0,13,3,23.1,0.7,0.16,0.0,0.0,14.3,0,0,0,1.3,1.3,0.12,-1.3,-1.3,Matches
85,86,Dan Burn,eng ENG,DF,Newcastle Utd,31,1992,30.3,2,23,5,21.7,0.76,0.17,0.09,0.4,8.1,0,0,0,3.1,3.1,0.14,-1.1,-1.1,Matches
86,87,Mason Burstow,eng ENG,FW,Chelsea,19,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
87,88,Moisés Caicedo,ec ECU,MF,Chelsea,21,2001,31.8,1,13,4,30.8,0.41,0.13,0.08,0.25,29.0,0,0,0,0.4,0.4,0.03,0.6,0.6,Matches
88,89,Tom Cairney,sct SCO,MF,Fulham,32,1991,16.5,1,17,8,47.1,1.03,0.48,0.06,0.13,21.2,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
89,90,Dominic Calvert-Lewin,eng ENG,FW,Everton,26,1997,24.1,7,71,28,39.4,2.94,1.16,0.07,0.18,13.9,1,2,2,12.9,11.4,0.16,-5.9,-6.4,Matches
90,91,Thomas Cannon,ie IRL,FW,Everton,20,2002,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
91,92,Diego Carlos,br BRA,DF,Aston Villa,30,1993,20.2,0,10,1,10.0,0.5,0.05,0.0,0.0,9.1,0,0,0,1.9,1.9,0.19,-1.9,-1.9,Matches
92,93,Cesare Casadei,it ITA,FWMF,Chelsea,20,2003,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
93,94,Casemiro,br BRA,MFDF,Manchester Utd,31,1992,22.0,1,39,9,23.1,1.77,0.41,0.03,0.11,17.1,1,0,0,3.5,3.5,0.09,-2.5,-2.5,Matches
94,95,Kaelan Casey,eng ENG,DF,West Ham,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
95,96,Matty Cash,pl POL,DF,Aston Villa,25,1997,23.8,2,33,13,39.4,1.39,0.55,0.06,0.15,16.2,0,0,0,4.2,4.2,0.13,-2.2,-2.2,Matches
96,97,Timothy Castagne,be BEL,DF,Fulham,27,1995,29.3,1,14,4,28.6,0.48,0.14,0.07,0.25,11.3,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
97,98,Jonny Castro,es ESP,MF,Wolves,29,1994,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
98,99,Trevoh Chalobah,eng ENG,DF,Chelsea,24,1999,10.6,1,2,2,100.0,0.19,0.19,0.5,0.5,9.5,0,0,0,0.2,0.2,0.1,0.8,0.8,Matches
99,100,Calum Chambers,eng ENG,MFDF,Aston Villa,28,1995,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
100,101,Youssef Chermiti,pt POR,FW,Everton,19,2004,2.3,0,7,2,28.6,3.03,0.87,0.0,0.0,14.6,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches
101,102,Ben Chilwell,eng ENG,DF,Chelsea,26,1996,8.4,0,12,4,33.3,1.43,0.48,0.0,0.0,16.6,1,0,0,1.2,1.2,0.1,-1.2,-1.2,Matches
102,103,Tawanda Chirewa,zw ZIM,MFFW,Wolves,19,2003,1.6,0,3,1,33.3,1.86,0.62,0.0,0.0,21.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
103,104,Leon Chiwome,eng ENG,FW,Wolves,17,2006,1.9,0,2,0,0.0,1.03,0.0,0.0,,11.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
104,105,Tahith Chong,nl NED,MFFW,Luton Town,23,1999,22.0,4,31,7,22.6,1.41,0.32,0.13,0.57,16.6,0,0,0,2.7,2.7,0.09,1.3,1.3,Matches
105,106,Ryan Christie,sct SCO,MF,Bournemouth,28,1995,32.3,0,43,13,30.2,1.33,0.4,0.0,0.0,20.0,0,0,0,2.3,2.3,0.05,-2.3,-2.3,Matches
106,107,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19,2003,2.5,1,3,2,66.7,1.19,0.79,0.33,0.5,19.9,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches
107,108,Bobby Clark,eng ENG,MF,Liverpool,18,2005,1.0,0,2,0,0.0,2.02,0.0,0.0,,18.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
108,109,Jordan Clark,eng ENG,MF,Luton Town,29,1993,14.5,1,17,4,23.5,1.17,0.28,0.06,0.25,16.9,0,0,0,1.0,1.0,0.06,0.0,0.0,Matches
109,110,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32,1991,14.9,0,4,0,0.0,0.27,0.0,0.0,,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
110,111,Séamus Coleman,ie IRL,DF,Everton,34,1988,7.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
111,112,Nathan Collins,ie IRL,DF,Brentford,22,2001,29.5,1,10,2,20.0,0.34,0.07,0.1,0.5,9.9,0,0,0,1.7,1.7,0.17,-0.7,-0.7,Matches
112,113,Levi Colwill,eng ENG,DF,Chelsea,20,2003,20.0,1,11,3,27.3,0.55,0.15,0.09,0.33,11.9,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
113,114,Lewis Cook,eng ENG,MF,Bournemouth,26,1997,31.0,0,12,4,33.3,0.39,0.13,0.0,0.0,24.0,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
114,115,Jack Cork,eng ENG,MF,Burnley,34,1989,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
115,116,Maxwel Cornet,ci CIV,MFFW,West Ham,26,1996,1.2,1,4,1,25.0,3.21,0.8,0.25,1.0,12.5,0,0,0,0.4,0.4,0.1,0.6,0.6,Matches
116,117,Vladimír Coufal,cz CZE,DF,West Ham,30,1992,34.8,0,8,2,25.0,0.23,0.06,0.0,0.0,22.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
117,118,Philippe Coutinho,br BRA,MFFW,Aston Villa,31,1992,0.3,0,3,1,33.3,10.8,3.6,0.0,0.0,24.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
118,119,Aaron Cresswell,eng ENG,DFFW,West Ham,33,1989,4.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
119,120,Marc Cucurella,es ESP,DF,Chelsea,25,1998,19.8,0,8,4,50.0,0.4,0.2,0.0,0.0,14.4,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Matches
120,121,Josh Cullen,ie IRL,MF,Burnley,27,1996,22.9,2,16,5,31.3,0.7,0.22,0.13,0.4,22.8,0,0,0,0.6,0.6,0.04,1.4,1.4,Matches
121,122,Matheus Cunha,br BRA,FWMF,Wolves,24,1999,27.1,12,72,36,50.0,2.66,1.33,0.15,0.31,18.0,0,1,1,9.5,8.7,0.12,2.5,2.3,Matches
122,123,Sam Curtis,ie IRL,DF,Sheffield Utd,17,2005,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
123,124,Mahmoud Dahoud,de GER,MF,Brighton,27,1996,5.0,0,6,1,16.7,1.19,0.2,0.0,0.0,26.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
124,125,Ameen Al-Dakhil,be BEL,DF,Burnley,21,2002,11.7,1,8,3,37.5,0.68,0.26,0.13,0.33,16.0,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Matches
125,126,Diogo Dalot,pt POR,DF,Manchester Utd,24,1999,35.3,2,30,7,23.3,0.85,0.2,0.07,0.29,21.0,0,0,0,1.7,1.7,0.06,0.3,0.3,Matches
126,127,Mikkel Damsgaard,dk DEN,MF,Brentford,23,2000,9.4,0,9,4,44.4,0.96,0.43,0.0,0.0,18.0,1,0,0,0.9,0.9,0.1,-0.9,-0.9,Matches
127,128,Danilo,br BRA,MF,Nott'ham Forest,22,2001,19.9,2,23,7,30.4,1.16,0.35,0.09,0.29,21.0,0,0,0,1.8,1.8,0.08,0.2,0.2,Matches
128,129,Arnaut Danjuma,nl NED,MFFW,Everton,26,1997,6.6,1,25,9,36.0,3.78,1.36,0.04,0.11,16.0,1,0,0,2.6,2.6,0.1,-1.6,-1.6,Matches
129,130,Jayden Danns,eng ENG,FW,Liverpool,17,2006,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
130,131,Josh Dasilva,eng ENG,DFFW,Brentford,24,1998,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
131,132,David Datro Fofana,ci CIV,FW,Burnley,20,2002,9.8,4,19,10,52.6,1.95,1.02,0.21,0.4,14.0,0,0,0,4.5,4.5,0.24,-0.5,-0.5,Matches
132,133,Ben Davies,wls WAL,DF,Tottenham,30,1993,12.1,1,12,2,16.7,0.99,0.17,0.08,0.5,11.8,0,0,0,2.3,2.3,0.19,-1.3,-1.3,Matches
133,134,Tom Davies,eng ENG,MF,Sheffield Utd,25,1998,2.5,0,4,1,25.0,1.63,0.41,0.0,0.0,15.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
134,135,Craig Dawson,eng ENG,DF,Wolves,33,1990,24.5,1,16,5,31.3,0.65,0.2,0.06,0.2,11.2,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
135,136,Kevin De Bruyne,be BEL,MF,Manchester City,32,1991,13.6,4,44,17,38.6,3.24,1.25,0.09,0.24,21.4,6,0,0,2.4,2.4,0.05,1.6,1.6,Matches
136,137,Hannes Delcroix,be BEL,DF,Burnley,24,1999,6.5,0,4,2,50.0,0.61,0.31,0.0,0.0,11.2,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
137,138,Leander Dendoncker,be BEL,MF,Aston Villa,28,1995,1.3,1,2,1,50.0,1.51,0.76,0.5,1.0,12.5,0,0,0,0.7,0.7,0.37,0.3,0.3,Matches
138,139,Moussa Diaby,fr FRA,FWMF,Aston Villa,24,1999,24.2,6,54,22,40.7,2.24,0.91,0.11,0.27,15.9,0,0,0,7.0,7.0,0.13,-1.0,-1.0,Matches
139,140,Amad Diallo,ci CIV,FWMF,Manchester Utd,21,2002,4.3,1,10,4,40.0,2.31,0.92,0.1,0.25,19.3,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
140,141,Amadou Diallo,eng ENG,MF,Newcastle Utd,20,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
141,142,Rúben Dias,pt POR,DF,Manchester City,26,1997,28.4,0,20,8,40.0,0.7,0.28,0.0,0.0,15.2,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches
