,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,_Int,_Tkl+Int,_Clr,_Err,Matches
44,45,Iddrisu Baba,gh GHA,MF,Almería,27.0,1996.0,15.9,46,26,27,18,1,17,39,43.6,22,20,6,14,11,57,27,2,Matches
45,46,Srđan Babić,rs SRB,DF,Almería,27.0,1996.0,1.0,2,2,0,2,0,1,1,100.0,0,1,1,0,0,2,2,0,Matches
46,47,Loïc Bade,fr FRA,DF,Sevilla,23.0,2000.0,25.3,65,41,53,12,0,30,49,61.2,19,23,15,8,38,103,116,2,Matches
47,48,Alex Baena,es ESP,MFFW,Villarreal,22.0,2001.0,28.7,34,21,10,16,8,20,47,42.6,27,23,2,21,13,47,17,1,Matches
48,49,Eric Bailly,ci CIV,DF,Villarreal,29.0,1994.0,9.3,5,3,4,1,0,2,2,100.0,0,8,8,0,9,14,38,2,Matches
49,50,Cédric Bakambu,cd COD,FW,Betis,32.0,1991.0,2.2,1,0,0,1,0,0,0,,0,2,0,2,0,1,0,0,Matches
50,51,Alejandro Balde,es ESP,DF,Barcelona,19.0,2003.0,15.3,20,11,11,6,3,7,11,63.6,4,14,1,13,5,25,21,1,Matches
51,52,Iván Balliu,al ALB,DF,Rayo Vallecano,31.0,1992.0,31.9,44,31,20,24,0,22,39,56.4,17,27,11,16,29,73,66,1,Matches
52,53,Jonathan Bamba,ci CIV,MFFW,Celta Vigo,27.0,1996.0,22.0,14,9,4,8,2,2,17,11.8,15,20,0,20,18,32,12,0,Matches
53,54,Léo Baptistão,br BRA,FW,Almería,30.0,1992.0,20.4,25,16,12,8,5,9,25,36.0,16,13,1,12,11,36,22,0,Matches
54,55,Kike Barja,es ESP,FWMF,Osasuna,26.0,1997.0,3.4,6,2,2,2,2,3,8,37.5,5,2,1,1,2,8,2,0,Matches
55,56,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,21.0,2001.0,15.9,32,21,7,16,9,10,26,38.5,16,18,1,17,6,38,5,0,Matches
56,57,Pablo Barrios,es ESP,MF,Atlético Madrid,20.0,2003.0,17.3,45,25,15,29,1,19,40,47.5,21,20,3,17,28,73,24,2,Matches
57,58,Marc Bartra,es ESP,DF,Betis,32.0,1991.0,2.5,4,3,3,1,0,4,5,80.0,1,3,1,2,3,7,10,0,Matches
58,59,Augusto Batalla,ar ARG,GK,Granada,27.0,1996.0,17.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,2,Matches
59,60,Bebé,cv CPV,MFFW,Rayo Vallecano,33.0,1990.0,2.4,2,2,1,1,0,1,5,20.0,4,1,0,1,0,2,0,0,Matches
60,61,Sheraldo Becker,sr SUR,FWMF,Real Sociedad,28.0,1995.0,8.6,2,2,0,2,0,0,1,0.0,1,3,0,3,1,3,0,0,Matches
61,62,Héctor Bellerín,es ESP,DF,Betis,28.0,1995.0,19.0,34,22,14,16,4,20,53,37.7,33,13,5,8,22,56,40,1,Matches
62,63,Jude Bellingham,eng ENG,MF,Real Madrid,20.0,2003.0,25.7,42,34,14,18,10,12,36,33.3,24,55,5,50,21,63,17,0,Matches
63,64,Fran Beltrán,es ESP,MF,Celta Vigo,24.0,1999.0,27.0,56,32,22,23,11,24,63,38.1,39,28,2,26,18,74,34,0,Matches
64,65,Carlos Benavídez,uy URU,MF,Alavés,25.0,1998.0,12.6,56,35,19,26,11,19,34,55.9,15,13,5,8,19,75,31,0,Matches
65,66,Yuri Berchiche,es ESP,DF,Athletic Club,33.0,1990.0,21.4,33,25,13,14,6,19,33,57.6,14,28,9,19,20,53,62,0,Matches
66,67,Álex Berenguer,es ESP,FW,Athletic Club,28.0,1995.0,17.7,23,14,9,9,5,7,24,29.2,17,23,0,23,5,28,13,0,Matches
67,68,Isaac Bernal,es ESP,FW,Sevilla,23.0,2000.0,11.5,6,3,2,2,2,5,9,55.6,4,12,0,12,0,6,11,0,Matches
68,69,Antonio Blanco,es ESP,MF,Alavés,23.0,2000.0,27.0,61,36,29,27,5,31,86,36.0,55,25,2,23,35,96,30,0,Matches
69,70,Daley Blind,nl NED,DF,Girona,33.0,1990.0,33.0,47,21,33,13,1,29,47,61.7,18,37,19,18,21,68,113,0,Matches
70,71,Adri Bosch,es ESP,DF,Granada,22.0,2001.0,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
71,72,Yassine Bounou,ma MAR,GK,Sevilla,32.0,1991.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
72,73,Lucas Boyé,ar ARG,FW,Granada,27.0,1996.0,28.2,50,25,14,25,11,14,34,41.2,20,35,5,30,10,60,46,0,Matches
73,74,Juan Brandáriz,es ESP,DF,Almería,24.0,1999.0,27.0,34,22,22,12,0,16,26,61.5,10,38,23,15,14,48,107,3,Matches
74,75,Darko Brašanac,rs SRB,MF,Osasuna,31.0,1992.0,0.5,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,Matches
75,76,Brau,es ESP,DF,Granada,21.0,2001.0,0.3,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches
76,77,Claudio Bravo,cl CHI,GK,Betis,40.0,1983.0,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches
77,78,Ben Brereton,cl CHI,FWMF,Villarreal,24.0,1999.0,3.0,2,2,1,0,1,0,2,0.0,2,0,0,0,0,2,0,0,Matches
78,79,Ante Budimir,hr CRO,FW,Osasuna,32.0,1991.0,27.1,21,15,2,11,8,5,14,35.7,9,19,5,14,5,26,18,0,Matches
79,80,Pablo Busto,es ESP,DF,Betis,17.0,2005.0,0.5,1,1,0,0,1,1,1,100.0,0,0,0,0,1,2,3,0,Matches
80,81,José Callejón,es ESP,MFFW,Granada,36.0,1987.0,8.9,13,6,10,3,0,8,22,36.4,14,7,1,6,5,18,10,0,Matches
81,82,Eduardo Camavinga,fr FRA,MFDF,Real Madrid,20.0,2002.0,20.2,76,47,39,29,8,23,39,59.0,16,36,8,28,29,105,29,1,Matches
82,83,Sergio Camello,es ESP,FW,Rayo Vallecano,22.0,2001.0,18.5,16,5,3,10,3,6,15,40.0,9,10,2,8,3,19,15,0,Matches
83,84,José Campaña,es ESP,MF,Las Palmas,30.0,1993.0,1.9,2,2,1,1,0,0,2,0.0,2,3,2,1,2,4,3,0,Matches
84,85,João Cancelo,pt POR,DF,Barcelona,29.0,1994.0,27.8,64,44,35,21,8,38,58,65.5,20,35,6,29,29,93,59,1,Matches
85,86,Sergi Canós,es ESP,MFFW,Valencia,26.0,1997.0,13.7,23,13,7,11,5,10,24,41.7,14,14,2,12,11,34,9,0,Matches
86,87,Étienne Capoue,fr FRA,MF,Villarreal,35.0,1988.0,16.2,32,18,17,12,3,15,22,68.2,7,20,4,16,22,54,24,1,Matches
87,88,Isaac Carcelen,es ESP,DF,Cádiz,30.0,1993.0,29.0,50,31,30,15,5,25,45,55.6,20,24,7,17,27,77,87,2,Matches
88,89,Cárdenas,es ESP,GK,Rayo Vallecano,26.0,1997.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
89,90,Marc Cardona,es ESP,FW,Las Palmas,28.0,1995.0,8.0,9,8,3,4,2,1,12,8.3,11,5,0,5,2,11,7,0,Matches
90,91,Sergi Cardona,es ESP,DF,Las Palmas,24.0,1999.0,31.3,90,55,52,29,9,55,96,57.3,41,45,7,38,46,136,102,0,Matches
91,92,Johnny Cardoso,us USA,MF,Betis,21.0,2001.0,14.8,48,29,19,24,5,22,33,66.7,11,20,5,15,32,80,31,0,Matches
92,93,Carmona,es ESP,DFMF,Getafe,21.0,2002.0,14.6,30,21,13,14,3,9,28,32.1,19,15,2,13,21,51,25,0,Matches
