,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,GoalKicks_Att,GoalKicks_Launch%,GoalKicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
10,11,Guillaume Dietsch,fr FRA,GK,Metz,22,2001,0.8,1,0,0,0,0,0.8,0.31,-0.2,-0.21,6,16,37.5,19,3,47.4,36.4,7,100.0,63.0,14,1,7.1,0,0.0,3.0,Matches
11,12,Yehvann Diouf,fr FRA,GK,Reims,23,1999,34.0,47,6,1,4,1,42.7,0.27,-3.3,-0.1,124,353,35.1,1135,179,25.2,30.1,157,42.7,36.9,522,38,7.3,46,1.35,14.2,Matches
12,13,Gianluigi Donnarumma,it ITA,GK,Paris S-G,24,1999,24.1,20,3,0,2,0,30.3,0.25,10.3,0.43,36,94,38.3,641,113,11.4,24.2,131,16.0,23.0,294,15,5.1,23,0.95,13.2,Matches
13,14,Mathieu Gorgelin,fr FRA,GK,Le Havre,32,1990,1.0,2,1,0,0,0,2.9,0.39,0.9,0.92,3,9,33.3,17,0,47.1,33.1,2,50.0,32.5,12,0,0.0,1,1.0,14.5,Matches
14,15,Philipp Köhn,ch SUI,GK,Monaco,25,1998,22.0,32,5,1,6,1,32.0,0.27,1.0,0.05,82,249,32.9,536,91,32.5,32.1,130,57.7,43.5,282,22,7.8,19,0.86,11.3,Matches
15,16,Alban Lafont,fr FRA,GK,Nantes,24,1999,27.7,43,8,0,2,0,42.4,0.31,-0.6,-0.02,123,388,31.7,839,145,34.2,34.0,166,60.8,46.9,385,33,8.6,33,1.19,13.0,Matches
16,17,Jean-Louis Leca,fr FRA,GK,Lens,37,1985,1.0,2,0,0,0,0,1.0,0.49,-1.0,-1.03,1,10,10.0,22,5,31.8,29.0,4,75.0,60.5,8,0,0.0,0,0.0,9.8,Matches
17,18,Benjamin Lecomte,fr FRA,GK,Montpellier,32,1991,30.0,37,4,2,3,3,36.8,0.24,2.8,0.09,150,436,34.4,781,137,44.2,36.6,221,41.2,36.4,471,29,6.2,13,0.43,9.5,Matches
18,19,Anthony Lopes,pt POR,GK,Lyon,32,1990,31.0,49,4,1,7,1,43.5,0.25,-4.5,-0.15,132,362,36.5,839,156,34.1,32.4,196,38.8,34.1,438,36,8.2,28,0.9,12.4,Matches
19,20,Pau López,es ESP,GK,Marseille,28,1994,32.7,39,3,1,7,1,32.6,0.24,-5.4,-0.17,93,325,28.6,1044,113,24.8,29.4,149,44.3,37.3,406,15,3.7,25,0.77,13.9,Matches
20,21,Radosław Majecki,pl POL,GK,Monaco,23,1999,12.0,10,0,0,0,1,14.7,0.29,5.7,0.47,39,121,32.2,296,68,31.1,32.0,80,36.3,33.4,160,13,8.1,7,0.58,11.0,Matches
21,22,Steve Mandanda,fr FRA,GK,Rennes,38,1985,34.0,46,3,0,5,3,38.2,0.25,-4.8,-0.14,134,416,32.2,1017,149,29.9,31.5,192,58.3,43.1,451,36,8.0,37,1.09,15.1,Matches
22,23,Vito Mannone,it ITA,GK,Lille,35,1988,1.0,2,0,0,0,0,1.7,0.35,-0.3,-0.26,5,16,31.3,37,1,40.5,35.9,1,100.0,61.0,11,2,18.2,4,3.96,15.0,Matches
23,24,Yvon Mvogo,ch SUI,GK,Lorient,29,1994,34.0,66,8,1,8,1,63.1,0.27,-1.9,-0.06,139,378,36.8,921,162,29.1,31.4,228,48.2,38.8,591,24,4.1,13,0.38,8.9,Matches
24,25,Keylor Navas,cr CRC,GK,Paris S-G,36,1986,4.0,6,1,0,0,0,4.7,0.31,-1.3,-0.33,4,9,44.4,80,12,10.0,23.5,18,5.6,22.2,37,0,0.0,5,1.25,16.3,Matches
25,26,Massamba Ndiaye,sn SEN,GK,Clermont Foot,21,2001,4.0,6,1,0,1,0,7.8,0.29,1.8,0.45,20,55,36.4,148,28,29.7,30.9,24,45.8,35.1,75,7,9.3,3,0.75,10.1,Matches
26,27,Alexandre Oukidja,dz ALG,GK,Metz,35,1988,33.2,57,6,1,7,0,52.3,0.26,-4.7,-0.14,209,666,31.4,708,125,57.3,42.4,292,89.0,59.0,569,46,8.1,22,0.66,10.3,Matches
27,28,Denis Petrić,rs SRB,GK,Nantes,35,1988,0.3,1,0,0,1,0,0.3,0.28,-0.7,-2.71,1,2,50.0,7,2,28.6,30.7,0,,,4,0,0.0,0,0.0,,Matches
28,29,Guillaume Restes,fr FRA,GK,Toulouse,18,2005,34.0,46,4,2,6,0,45.3,0.3,-0.7,-0.02,92,285,32.3,702,93,27.4,29.3,193,48.2,38.9,490,7,1.4,16,0.47,10.7,Matches
29,30,Rémy Riou,fr FRA,GK,Lyon,35,1987,3.0,6,0,1,0,0,4.7,0.33,-1.3,-0.44,5,24,20.8,81,13,16.0,26.1,23,47.8,39.0,32,3,9.4,3,1.0,13.4,Matches
30,31,Brice Samba,fr FRA,GK,Lens,29,1994,33.0,35,6,0,6,1,42.3,0.27,8.3,0.25,163,369,44.2,948,143,31.8,31.5,170,40.0,33.5,388,32,8.2,39,1.18,14.8,Matches
31,32,Matz Sels,be BEL,GK,Strasbourg,31,1992,19.0,24,1,0,2,2,20.0,0.31,-2.0,-0.11,88,226,38.9,505,68,37.4,34.5,113,32.7,33.7,257,6,2.3,19,1.0,13.9,Matches
32,33,Arnau Tenas,es ESP,GK,Paris S-G,22,2001,5.9,7,0,0,2,0,6.0,0.24,-1.0,-0.17,14,46,30.4,174,19,23.0,29.6,37,16.2,27.1,71,2,2.8,5,0.85,14.8,Matches
