,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,PenaltyKicks_PKatt,PenaltyKicks_PKA,PenaltyKicks_PKsv,PenaltyKicks_PKm,PenaltyKicks_Save%,Matches
0,1,Simone Aresti,it ITA,GK,Cagliari,37,1986,1,0,1,0.0,1,90.0,1,0,100.0,0,0,0,0,,1,1,0,0,0.0,Matches
1,2,Emil Audero,it ITA,GK,Inter,26,1997,4,4,337,3.7,3,0.8,11,8,72.7,2,1,1,2,50.0,0,0,0,0,,Matches
2,3,Nicola Bagnolini,it ITA,GK,Bologna,19,2004,1,0,5,0.1,0,0.0,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches
3,4,Etrit Berisha,al ALB,GK,Empoli,34,1989,14,14,1260,14.0,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3,Matches
4,5,Elia Caprile,it ITA,GK,Empoli,21,2001,23,23,2070,23.0,27,1.17,106,78,78.3,6,6,11,5,21.7,5,4,1,0,20.0,Matches
5,6,Marco Carnesecchi,it ITA,GK,Atalanta,23,2000,27,27,2425,26.9,30,1.11,107,75,75.7,15,5,7,8,29.6,7,4,2,1,33.3,Matches
6,7,Michele Cerofolini,it ITA,GK,Frosinone,24,1999,8,7,675,7.5,11,1.47,28,18,60.7,2,2,3,3,42.9,1,0,0,1,,Matches
7,8,Oliver Christensen,dk DEN,GK,Fiorentina,24,1999,4,4,360,4.0,9,2.25,19,10,63.2,1,1,2,0,0.0,2,2,0,0,0.0,Matches
8,9,Andrea Consigli,it ITA,GK,Sassuolo,36,1987,35,35,3150,35.0,68,1.94,159,93,61.6,6,8,21,3,8.6,10,7,1,2,12.5,Matches
9,10,Nikita Contini Baranovsky,it ITA,GK,Napoli,27,1996,1,0,17,0.2,0,0.0,0,0,,0,0,0,1,,0,0,0,0,,Matches
10,11,Benoît Costil,fr FRA,GK,Salernitana,36,1987,13,13,1170,13.0,29,2.23,66,38,60.6,2,3,8,1,7.7,3,3,0,0,0.0,Matches
11,12,Alessio Cragno,it ITA,GK,Sassuolo,29,1994,3,3,270,3.0,7,2.33,14,8,57.1,1,1,1,0,0.0,1,1,0,0,0.0,Matches
12,13,Raffaele Di Gennaro,it ITA,GK,Inter,29,1993,1,0,23,0.3,0,0.0,4,4,100.0,0,0,0,0,,0,0,0,0,,Matches
13,14,Michele Di Gregorio,it ITA,GK,Monza,26,1997,33,33,2872,31.9,35,1.1,159,122,79.9,11,11,11,12,36.4,5,3,2,0,40.0,Matches
14,15,Wladimiro Falcone,it ITA,GK,Lecce,28,1995,38,38,3420,38.0,54,1.42,173,119,71.7,8,14,16,7,18.4,6,5,1,0,16.7,Matches
