,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG,Matches
0,1,Nabil Aberdin,fr FRA,DF,Getafe,20.0,2002.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1,2,Abner,br BRA,DF,Betis,23.0,2000.0,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,14,33,58,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,Matches
2,3,Abdel Abqar,ma MAR,DF,Alavés,24.0,1999.0,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.5,0.5,0.2,0.6,7,49,1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches
3,4,Marcos Acuña,ar ARG,DF,Sevilla,31.0,1991.0,21,18,1292,14.4,1,2,3,1,0,0,7,0,0.3,0.3,1.5,1.8,23,59,42,0.07,0.14,0.21,0.07,0.21,0.02,0.11,0.13,0.02,0.13,Matches
4,5,Julen Agirrezabala,es ESP,GK,Athletic Club,22.0,2000.0,4,2,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
5,6,Lucien Agoume,fr FRA,MF,Sevilla,21.0,2002.0,12,9,777,8.6,0,0,0,0,0,0,3,0,0.9,0.9,0.6,1.5,7,35,9,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.17,0.1,0.17,Matches
6,7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27.0,1995.0,6,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,12,0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,Matches
7,8,Ilias Akhomach,ma MAR,MFFW,Villarreal,19.0,2004.0,31,17,1511,16.8,2,2,4,2,0,0,4,0,3.2,3.2,2.6,5.7,68,45,160,0.12,0.12,0.24,0.12,0.24,0.19,0.15,0.34,0.19,0.34,Matches
8,9,Sergio Akieme,es ESP,DF,Almería,25.0,1997.0,19,19,1675,18.6,2,0,2,2,0,0,2,0,1.2,1.2,2.2,3.3,27,28,72,0.11,0.0,0.11,0.11,0.11,0.06,0.12,0.18,0.06,0.18,Matches
9,10,Paul Akouokou,ci CIV,MF,Betis,25.0,1997.0,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
10,11,David Alaba,at AUT,DF,Real Madrid,31.0,1992.0,14,14,1154,12.8,0,1,1,0,0,0,2,0,1.0,1.0,0.7,1.6,9,51,13,0.0,0.08,0.08,0.0,0.08,0.08,0.05,0.13,0.08,0.13,Matches
11,12,Raúl Albiol,es ESP,DF,Villarreal,37.0,1985.0,26,24,2031,22.6,0,1,1,0,0,0,6,0,0.4,0.4,0.8,1.3,8,62,0,0.0,0.04,0.04,0.0,0.04,0.02,0.04,0.06,0.02,0.06,Matches
12,13,Rubén Alcaraz,es ESP,MF,Cádiz,32.0,1991.0,36,36,3134,34.8,3,1,4,1,2,2,14,0,3.3,1.7,1.4,3.1,27,154,37,0.09,0.03,0.11,0.03,0.06,0.09,0.04,0.13,0.05,0.09,Matches
13,14,Omar Alderete,py PAR,DF,Getafe,26.0,1996.0,31,24,2195,24.4,0,1,1,0,0,0,8,1,1.2,1.2,1.0,2.2,23,98,9,0.0,0.04,0.04,0.0,0.04,0.05,0.04,0.09,0.05,0.09,Matches
14,15,Iván Alejo,es ESP,MF,Cádiz,28.0,1995.0,30,21,1692,18.8,0,2,2,0,0,0,17,0,0.5,0.5,1.3,1.8,48,31,104,0.0,0.11,0.11,0.0,0.11,0.03,0.07,0.1,0.03,0.1,Matches
15,16,Carles Aleñá,es ESP,MF,Getafe,25.0,1998.0,29,10,1020,11.3,1,1,2,1,0,0,6,0,1.2,1.2,1.6,2.8,12,23,45,0.09,0.09,0.18,0.09,0.18,0.11,0.14,0.25,0.11,0.25,Matches
16,17,Mohamed Ali Cho,fr FRA,FWMF,Real Sociedad,19.0,2004.0,11,1,249,2.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,16,3,19,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.18,0.14,0.18,Matches
17,18,Tadeo Allende,ar ARG,MFFW,Celta Vigo,24.0,1999.0,10,2,336,3.7,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,9,7,25,0.27,0.0,0.27,0.27,0.27,0.33,0.1,0.43,0.33,0.43,Matches
18,19,Domingos André Ribeiro Almeida,pt POR,FWMF,Valencia,23.0,2000.0,18,12,965,10.7,2,1,3,2,0,0,0,0,0.6,0.6,1.2,1.8,24,50,33,0.19,0.09,0.28,0.19,0.28,0.05,0.11,0.17,0.05,0.17,Matches
19,20,Marcos Alonso,es ESP,DF,Barcelona,32.0,1990.0,5,3,252,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,11,14,33,0.0,0.0,0.0,0.0,0.0,0.03,0.18,0.21,0.03,0.21,Matches
20,21,Adrià Altimira,es ESP,DFMF,Villarreal,22.0,2001.0,11,10,775,8.6,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,10,29,15,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,Matches
21,22,Sergi Altimira,es ESP,MF,Betis,21.0,2001.0,14,6,568,6.3,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,10,31,8,0.16,0.0,0.16,0.16,0.16,0.03,0.04,0.07,0.03,0.07,Matches
22,23,Gastón Álvarez,uy URU,DF,Getafe,23.0,2000.0,34,29,2537,28.2,2,0,2,2,0,0,7,0,0.7,0.7,0.6,1.4,11,63,40,0.07,0.0,0.07,0.07,0.07,0.03,0.02,0.05,0.03,0.05,Matches
23,24,Hugo Álvarez,es ESP,MFDF,Celta Vigo,20.0,2003.0,12,8,762,8.5,1,1,2,1,0,0,1,0,1.0,1.0,1.5,2.6,36,34,80,0.12,0.12,0.24,0.12,0.24,0.12,0.18,0.3,0.12,0.3,Matches
24,25,Yeray Álvarez,es ESP,DF,Athletic Club,28.0,1995.0,19,14,1152,12.8,0,0,0,0,0,0,1,1,0.3,0.3,0.1,0.4,13,55,2,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
25,26,Selim Amallah,ma MAR,FWMF,Valencia,26.0,1996.0,20,7,604,6.7,0,1,1,0,0,0,5,1,0.4,0.4,0.3,0.8,7,21,36,0.0,0.15,0.15,0.0,0.15,0.06,0.05,0.11,0.06,0.11,Matches
26,27,Amath,sn SEN,FWMF,Mallorca,27.0,1996.0,15,3,394,4.4,0,0,0,0,0,0,2,0,1.6,1.6,0.4,1.9,19,13,30,0.0,0.0,0.0,0.0,0.0,0.35,0.09,0.44,0.35,0.44,Matches
27,28,Miguel Ángel Rubio,es ESP,DF,Granada,25.0,1998.0,19,17,1560,17.3,1,0,1,1,0,0,5,0,0.8,0.8,0.1,0.9,7,27,1,0.06,0.0,0.06,0.06,0.06,0.05,0.0,0.05,0.05,0.05,Matches
28,29,Fabrizio Angileri,ar ARG,DFMF,Getafe,29.0,1994.0,11,2,164,1.8,0,0,0,0,0,0,2,1,0.0,0.0,1.3,1.3,2,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,0.0,0.73,Matches
29,30,Mauro Arambarri,uy URU,MF,Getafe,27.0,1995.0,7,3,339,3.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.6,2,20,6,0.0,0.0,0.0,0.0,0.0,0.14,0.01,0.15,0.14,0.15,Matches
30,31,Jon Aramburu,ve VEN,DF,Real Sociedad,21.0,2002.0,11,5,543,6.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,6,26,25,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
31,32,Julian Araujo,mx MEX,DF,Las Palmas,21.0,2001.0,25,15,1462,16.2,1,0,1,1,0,0,5,0,0.7,0.7,1.2,1.9,23,74,47,0.06,0.0,0.06,0.06,0.06,0.04,0.07,0.11,0.04,0.11,Matches
32,33,Ronald Araújo,uy URU,DF,Barcelona,24.0,1999.0,25,21,1997,22.2,1,2,3,1,0,0,6,0,2.1,2.1,1.4,3.5,24,101,11,0.05,0.09,0.14,0.05,0.14,0.09,0.07,0.16,0.09,0.16,Matches
