,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
31,32,Mohamed El Arouch,fr FRA,FW,Lyon,19,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
32,33,Marco Asensio,es ESP,MFFW,Paris S-G,27,1996,12.4,4,27,10,37.0,2.18,0.81,0.15,0.4,19.2,1,0,0,3.2,3.2,0.12,0.8,0.8,Matches
33,34,Joel Asoro,se SWE,FWMF,Metz,24,1999,9.4,2,6,3,50.0,0.64,0.32,0.33,0.67,15.4,0,0,0,0.6,0.6,0.1,1.4,1.4,Matches
34,35,Lorenz Assignon,tg TOG,DF,Rennes,23,2000,11.2,1,11,4,36.4,0.98,0.36,0.09,0.25,22.9,0,0,0,0.4,0.4,0.04,0.6,0.6,Matches
35,36,Youcef Atal,dz ALG,DF,Nice,27,1996,4.0,1,4,1,25.0,1.0,0.25,0.25,1.0,22.6,0,0,0,0.1,0.1,0.03,0.9,0.9,Matches
36,37,Valentin Atangana Edoa,fr FRA,MF,Reims,17,2005,6.2,0,9,2,22.2,1.46,0.32,0.0,0.0,19.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
37,38,Arthur Atta,fr FRA,MFFW,Metz,20,2003,10.3,1,9,4,44.4,0.88,0.39,0.11,0.25,16.2,0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
38,39,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,34,1989,29.1,17,112,47,42.0,3.84,1.61,0.12,0.28,15.8,5,4,4,20.5,17.3,0.16,-3.5,-4.3,Matches
39,40,André Ayew,gh GHA,FW,Le Havre,33,1989,12.3,5,32,12,37.5,2.61,0.98,0.16,0.42,15.1,1,0,0,3.1,3.1,0.1,1.9,1.9,Matches
40,41,Neil El Aynaoui,fr FRA,MF,Lens,22,2001,17.4,1,22,8,36.4,1.26,0.46,0.05,0.13,16.0,0,0,0,2.4,2.4,0.11,-1.4,-1.4,Matches
41,42,Abdellah Baallal,ma MAR,MF,Clermont Foot,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
42,43,Shavy Babicka,ga GAB,FWMF,Toulouse,23,2000,4.1,1,8,4,50.0,1.93,0.97,0.13,0.25,18.7,0,0,0,0.6,0.6,0.07,0.4,0.4,Matches
43,44,Aliou Badara Baldé,gn GUI,FWDF,Nice,20,2002,0.8,0,3,2,66.7,3.91,2.61,0.0,0.0,19.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
44,45,Tiemoué Bakayoko,fr FRA,MF,Lorient,28,1994,14.6,2,12,7,58.3,0.82,0.48,0.17,0.29,15.8,0,0,0,1.7,1.7,0.15,0.3,0.3,Matches
