,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,PenaltyKicks_PKatt,PenaltyKicks_PKA,PenaltyKicks_PKsv,PenaltyKicks_PKm,PenaltyKicks_Save%,Matches
31,32,Fernando Pacheco,es ESP,GK,Almería,30,1992,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches
32,33,Iñaki Peña ,es ESP,GK,Barcelona,23,1999,2,0,73,0.8,2,2.47,4,2,50.0,0,0,0,0,,0,0,0,0,,Matches
33,34,Predrag Rajković,rs SRB,GK,Mallorca,26,1995,36,36,3240,36.0,40,1.11,133,92,74.4,13,8,15,12,33.3,7,6,1,0,14.3,Matches
34,35,Pepe Reina,es ESP,GK,Villarreal,39,1982,22,22,1980,22.0,27,1.23,87,61,73.6,13,3,6,5,22.7,4,4,0,0,0.0,Matches
35,36,Álex Remiro,es ESP,GK,Real Sociedad,27,1995,38,38,3420,38.0,35,0.92,133,99,74.4,21,8,9,15,39.5,2,1,1,0,50.0,Matches
36,37,Leonardo Román,es ESP,GK,Mallorca,22,2000,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
37,38,Gerónimo Rulli,ar ARG,GK,Villarreal,30,1992,14,14,1260,14.0,10,0.71,56,46,82.1,6,3,5,7,50.0,0,0,0,0,,Matches
38,39,Rui Silva,pt POR,GK,Betis,28,1994,26,26,2340,26.0,32,1.23,104,73,71.2,12,4,10,9,34.6,2,2,0,0,0.0,Matches
39,40,Unai Simón,es ESP,GK,Athletic Club,25,1997,31,31,2745,30.5,37,1.21,104,70,67.3,13,6,12,9,29.0,3,3,0,0,0.0,Matches
40,41,David Soria,es ESP,GK,Getafe,29,1993,38,38,3420,38.0,45,1.18,166,119,75.3,10,12,16,13,34.2,8,4,4,0,50.0,Matches
41,42,Marc-André ter Stegen,de GER,GK,Barcelona,30,1992,38,38,3347,37.2,18,0.48,98,83,84.7,28,4,6,26,68.4,3,3,0,0,0.0,Matches
42,43,Iván Villar,es ESP,GK,Celta Vigo,25,1997,19,19,1710,19.0,24,1.26,62,38,66.1,6,5,8,4,21.1,4,3,0,1,0.0,Matches
43,44,Axel Werner,ar ARG,GK,Elche,26,1996,2,2,180,2.0,4,2.0,8,4,50.0,0,0,2,0,0.0,0,0,0,0,,Matches
