,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,_Int,_Tkl+Int,_Clr,_Err,Matches
0,1,Tammy Abraham,eng ENG,FW,Roma,25.0,1997.0,2.7,3.0,1,0.0,1.0,2.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,3.0,4.0,0.0,Matches
1,2,Francesco Acerbi,it ITA,DF,Inter,35.0,1988.0,26.5,22.0,13,16.0,6.0,0.0,11.0,14.0,78.6,3.0,20.0,13.0,7.0,32,54.0,77.0,1.0,Matches
2,3,Yacine Adli,fr FRA,MF,Milan,23.0,2000.0,15.6,34.0,17,17.0,13.0,4.0,13.0,35.0,37.1,22.0,22.0,8.0,14.0,20,54.0,15.0,1.0,Matches
3,4,Michel Aebischer,ch SUI,MF,Bologna,26.0,1997.0,24.8,35.0,20,9.0,20.0,6.0,15.0,34.0,44.1,19.0,28.0,6.0,22.0,12,47.0,22.0,0.0,Matches
4,5,Lucien Agoume,fr FRA,MF,Inter,21.0,2002.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
5,6,Marley Aké,fr FRA,FW,Udinese,22.0,2001.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
6,7,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18.0,2004.0,0.2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
7,8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,30.0,1992.0,7.8,20.0,11,14.0,4.0,2.0,3.0,9.0,33.3,6.0,10.0,4.0,6.0,12,32.0,15.0,1.0,Matches
8,9,David Akpan Ankeye,ng NGA,FW,Genoa,21.0,2002.0,0.6,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.0,Matches
9,10,Luis Alberto,es ESP,MF,Lazio,30.0,1992.0,25.7,35.0,20,16.0,12.0,7.0,15.0,53.0,28.3,38.0,34.0,4.0,30.0,7,42.0,13.0,0.0,Matches
