,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Min,PlayingTime_Mn/MP,PlayingTime_Min%,PlayingTime_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,TeamSuccess_PPM,TeamSuccess_onG,TeamSuccess_onGA,TeamSuccess_+/-,TeamSuccess_+/-90,TeamSuccess_On-Off,TeamSuccess(xG)_onxG,TeamSuccess(xG)_onxGA,TeamSuccess(xG)_xG+/-,TeamSuccess(xG)_xG+/-90,TeamSuccess(xG)_On-Off,Matches
531,532,Dango Ouattara,bf BFA,FWMF,Lorient,20,2002,18,1548.0,86.0,45.3,17.2,18,86.0,13,0,,0,1.61,27.0,25.0,2.0,0.12,0.26,21.1,26.6,-5.4,-0.32,0.08,Matches
532,533,Zinédine Ould Khaled,fr FRA,MFFW,Angers,22,2000,4,51.0,13.0,1.5,0.6,0,,0,4,13.0,5,0.5,0.0,2.0,-2.0,-3.53,-2.3,0.9,0.9,0.1,0.16,0.72,Matches
533,534,Azzedine Ounahi,ma MAR,MFFW,Marseille,22,2000,7,121.0,17.0,3.5,1.3,1,45.0,0,6,13.0,1,2.14,1.0,2.0,-1.0,-0.74,-1.51,2.8,2.9,-0.1,-0.09,-0.72,Matches
534,535,Azzedine Ounahi,ma MAR,MFFW,Angers,22,2000,15,1129.0,75.0,33.0,12.5,13,83.0,6,2,27.0,0,0.53,13.0,29.0,-16.0,-1.28,-0.02,14.2,20.5,-6.3,-0.5,0.07,Matches
535,536,Adam Ounas,dz ALG,FWMF,Lille,25,1996,21,1064.0,51.0,31.1,11.8,12,67.0,2,9,30.0,0,2.0,18.0,14.0,4.0,0.34,-0.31,21.6,12.3,9.4,0.79,0.07,Matches
536,537,Abdoulaye Ousmane,mr MTN,DF,Lille,22,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
537,538,Pablo Pagis,fr FRA,MF,Lorient,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
538,539,Ante Palaversa,hr CRO,MF,Troyes,22,2000,2,31.0,16.0,0.9,0.3,0,,0,2,16.0,11,0.0,2.0,0.0,2.0,5.81,6.82,1.1,0.6,0.5,1.51,2.55,Matches
539,540,Nicolas Pallois,fr FRA,DF,Nantes,34,1987,26,2213.0,85.0,64.7,24.6,26,85.0,22,0,,3,0.77,24.0,40.0,-16.0,-0.65,-0.5,29.3,33.7,-4.4,-0.18,0.21,Matches
540,541,Erik Palmer-Brown,us USA,DF,Troyes,25,1997,38,3191.0,84.0,93.3,35.5,36,87.0,32,2,27.0,0,0.63,42.0,78.0,-36.0,-1.02,-1.02,35.9,70.6,-34.7,-0.98,0.69,Matches
541,542,Yannick Pandor,km COM,GK,Lens,21,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
542,543,Lucas Paquetá,br BRA,MF,Lyon,24,1997,2,159.0,80.0,4.6,1.8,2,80.0,0,0,,0,3.0,6.0,2.0,4.0,2.26,1.88,3.5,2.4,1.0,0.58,0.35,Matches
543,544,Leandro Paredes,ar ARG,MF,Paris S-G,28,1994,3,52.0,17.0,1.5,0.6,0,,0,3,17.0,1,3.0,4.0,1.0,3.0,5.19,3.96,2.2,0.3,1.8,3.19,2.44,Matches
544,545,Dimitri Payet,fr FRA,MFFW,Marseille,35,1987,24,835.0,35.0,24.4,9.3,9,65.0,1,15,17.0,8,1.96,27.0,13.0,14.0,1.51,1.06,16.8,10.9,5.8,0.63,0.04,Matches
545,546,Théo Pellenard,fr FRA,DF,Auxerre,28,1994,2,99.0,50.0,2.9,1.1,1,85.0,0,1,14.0,4,1.5,1.0,2.0,-1.0,-0.91,-0.18,0.6,2.8,-2.2,-1.96,-1.59,Matches
546,547,Aurélien Pelon,fr FRA,MF,Lorient,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
547,548,Timothee Pembele,fr FRA,DF,Paris S-G,19,2002,5,263.0,53.0,7.7,2.9,4,65.0,0,1,5.0,8,1.8,5.0,8.0,-3.0,-1.03,-2.51,5.4,5.5,-0.1,-0.02,-0.88,Matches
548,549,Nicolas Penneteau,fr FRA,GK,Reims,41,1981,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
549,550,Patrick Pentz,at AUT,GK,Reims,25,1997,7,630.0,90.0,18.4,7.0,7,90.0,7,0,,12,0.86,10.0,14.0,-4.0,-0.57,-0.7,11.4,11.2,0.2,0.03,-0.25,Matches
550,551,Nicolas Pépé,ci CIV,FWMF,Nice,27,1995,18,1495.0,83.0,43.7,16.6,17,85.0,10,1,51.0,1,1.39,17.0,16.0,1.0,0.06,-0.41,22.8,19.2,3.6,0.21,-0.22,Matches
551,552,Brayann Pereira,fr FRA,DF,Auxerre,19,2003,2,180.0,90.0,5.3,2.0,2,90.0,2,0,,7,0.0,2.0,6.0,-4.0,-2.0,-1.33,1.4,5.0,-3.6,-1.81,-1.47,Matches
552,553,Danilo Pereira,pt POR,DFMF,Paris S-G,30,1991,33,2410.0,73.0,70.5,26.8,27,83.0,19,6,27.0,3,2.12,57.0,27.0,30.0,1.12,-0.57,52.9,33.0,19.9,0.74,-0.15,Matches
553,554,Mathias Pereira Lage,pt POR,MFFW,Brest,25,1996,24,1264.0,53.0,37.0,14.0,16,70.0,2,8,18.0,3,1.13,17.0,25.0,-8.0,-0.57,-0.49,14.2,20.1,-5.9,-0.42,-0.14,Matches
554,555,Gaëtan Perrin,fr FRA,MFFW,Auxerre,26,1996,37,1391.0,38.0,40.7,15.5,15,60.0,0,22,22.0,0,0.92,15.0,25.0,-10.0,-0.65,0.15,17.2,26.3,-9.1,-0.59,-0.29,Matches
555,556,Lucas Perrin,fr FRA,DF,Strasbourg,23,1998,26,1765.0,68.0,51.6,19.6,18,88.0,16,8,23.0,6,1.23,31.0,27.0,4.0,0.2,0.86,26.8,29.6,-2.8,-0.14,0.08,Matches
556,557,Denis Petrić,rs SRB,GK,Nantes,34,1988,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches
557,558,Léo Pétrot,fr FRA,DF,Lorient,25,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
558,559,Ronaël Pierre-Gabriel,fr FRA,DF,Strasbourg,24,1998,14,653.0,47.0,19.1,7.3,7,71.0,2,7,23.0,2,0.71,7.0,16.0,-9.0,-1.24,-1.27,8.6,13.0,-4.5,-0.61,-0.54,Matches
559,560,Julian Pollersbeck,de GER,GK,Lorient,27,1994,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
560,561,Julien Ponceau,fr FRA,MF,Lorient,21,2000,31,1655.0,53.0,48.4,18.4,20,72.0,3,11,19.0,6,1.29,29.0,29.0,0.0,0.0,0.05,22.1,29.1,-7.0,-0.38,-0.04,Matches
561,562,Łukasz Poręba,pl POL,MF,Lens,22,2000,10,260.0,26.0,7.6,2.9,3,67.0,0,7,8.0,27,2.3,6.0,2.0,4.0,1.38,0.39,5.8,3.5,2.3,0.78,0.18,Matches
562,563,Jackson Porozo,ec ECU,DF,Troyes,21,2000,22,1617.0,74.0,47.3,18.0,17,88.0,15,5,26.0,12,0.64,26.0,40.0,-14.0,-0.78,0.32,21.8,36.9,-15.1,-0.84,0.35,Matches
563,564,Sanjin Prcić,ba BIH,MF,Strasbourg,28,1993,29,1633.0,56.0,47.7,18.1,17,76.0,6,12,28.0,7,0.97,29.0,37.0,-8.0,-0.44,-0.44,20.4,34.4,-14.0,-0.77,-1.13,Matches
564,565,Mehdi Puch Herrantz,fr FRA,MF,Ajaccio,18,2004,4,47.0,12.0,1.4,0.5,0,,0,4,12.0,1,0.75,1.0,1.0,0.0,0.0,1.36,0.3,0.8,-0.5,-0.9,-0.43,Matches
565,566,Ghjuvanni Quilichini,fr FRA,GK,Ajaccio,19,2002,1,82.0,82.0,2.4,0.9,0,,0,1,82.0,5,3.0,1.0,0.0,1.0,1.1,2.5,0.5,0.5,0.0,-0.05,0.43,Matches
566,567,Ionuț Radu,ro ROU,GK,Auxerre,25,1997,17,1530.0,90.0,44.7,17.0,17,90.0,17,0,,0,1.06,16.0,20.0,-4.0,-0.24,0.91,20.3,24.6,-4.3,-0.25,0.3,Matches
567,568,Simon Ramet,fr FRA,DF,Lille,19,2003,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,10,3.0,1.0,0.0,1.0,90.0,89.47,0.1,0.5,-0.3,-27.47,-28.22,Matches
568,569,Adil Rami,fr FRA,DF,Troyes,36,1985,20,1596.0,80.0,46.7,17.7,18,84.0,12,2,45.0,6,0.45,14.0,33.0,-19.0,-1.07,-0.23,15.4,40.3,-24.9,-1.4,-0.71,Matches
569,570,Sergio Ramos,es ESP,DF,Paris S-G,36,1986,33,2704.0,82.0,79.1,30.0,31,85.0,26,2,37.0,0,2.3,72.0,32.0,40.0,1.33,0.2,59.5,38.7,20.8,0.69,-0.46,Matches
570,571,Aaron Ramsey,wls WAL,MF,Nice,31,1990,27,1584.0,59.0,46.3,17.6,18,74.0,6,9,27.0,0,1.59,25.0,10.0,15.0,0.85,1.05,28.2,17.2,11.0,0.63,0.55,Matches
571,572,Lilian Raolisoa,fr FRA,DFMF,Angers,22,2000,7,173.0,25.0,5.1,1.9,0,,0,7,25.0,4,0.57,2.0,4.0,-2.0,-1.04,0.23,1.9,3.0,-1.1,-0.57,-0.02,Matches
572,573,Elba Rashani,xk KVX,MFFW,Clermont Foot,29,1993,32,2162.0,68.0,63.2,24.0,26,78.0,7,6,24.0,0,1.66,33.0,31.0,2.0,0.08,0.51,32.7,32.8,0.0,0.0,0.76,Matches
573,574,Rafael Ratão,br BRA,FWMF,Toulouse,26,1995,30,1851.0,62.0,54.1,20.6,25,68.0,1,5,30.0,1,1.3,34.0,33.0,1.0,0.05,0.45,31.5,28.7,2.8,0.14,0.55,Matches
574,575,Rayan Raveloson,mg MAD,DFMF,Auxerre,25,1997,34,2431.0,72.0,71.1,27.0,27,88.0,23,7,10.0,2,1.0,22.0,40.0,-18.0,-0.67,0.24,30.8,44.3,-13.6,-0.5,-0.3,Matches
575,576,Jeff Reine-Adélaïde,fr FRA,MF,Troyes,24,1998,6,233.0,39.0,6.8,2.6,3,62.0,0,3,15.0,4,0.17,2.0,7.0,-5.0,-1.93,-1.06,2.8,5.9,-3.0,-1.17,-0.16,Matches
576,577,Jeff Reine-Adélaïde,fr FRA,MF,Lyon,24,1998,14,336.0,24.0,9.8,3.7,1,45.0,0,13,22.0,3,1.07,6.0,6.0,0.0,0.0,-0.53,6.7,5.6,1.1,0.3,0.05,Matches
577,578,Alexsandro Ribeiro,br BRA,DF,Lille,22,1999,21,1612.0,77.0,47.1,17.9,16,89.0,15,5,38.0,15,1.76,31.0,25.0,6.0,0.33,-0.41,33.0,19.4,13.6,0.76,0.03,Matches
578,579,Sergio Rico,es ESP,GK,Paris S-G,28,1993,0,,,,,0,,0,0,,25,,,,,,,,,,,,Matches
579,580,Rémy Riou,fr FRA,GK,Lyon,34,1987,7,601.0,86.0,17.6,6.7,6,90.0,6,1,61.0,31,1.86,11.0,8.0,3.0,0.45,-0.03,11.1,8.6,2.5,0.38,0.16,Matches
580,581,Renaud Ripart,fr FRA,FWMF,Troyes,29,1993,26,1320.0,51.0,38.6,14.7,15,72.0,4,11,22.0,2,0.73,19.0,28.0,-9.0,-0.61,0.54,15.8,24.1,-8.3,-0.57,0.75,Matches
581,582,Robin Risser,fr FRA,GK,Strasbourg,17,2004,0,,,,,0,,0,0,,27,,,,,,,,,,,,Matches
582,583,Jordan Robinand,fr FRA,MF,Strasbourg,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
583,584,Joe Rodon,wls WAL,DF,Rennes,24,1997,16,1417.0,89.0,41.4,15.7,16,89.0,14,0,,17,1.69,32.0,17.0,15.0,0.95,0.28,25.4,17.5,7.9,0.5,0.08,Matches
584,585,Valentin Rongier,fr FRA,MF,Marseille,27,1994,36,3032.0,84.0,88.7,33.7,34,87.0,29,2,35.0,0,1.94,56.0,37.0,19.0,0.56,-1.29,55.8,39.3,16.4,0.49,-0.99,Matches
585,586,Pablo Rosario,nl NED,MFDF,Nice,25,1997,31,1767.0,57.0,51.7,19.6,17,83.0,11,14,26.0,6,1.58,22.0,26.0,-4.0,-0.2,-1.02,28.2,23.5,4.7,0.24,-0.19,Matches
586,587,Anthony Rouault,fr FRA,DF,Toulouse,21,2001,37,3314.0,90.0,96.9,36.8,37,90.0,35,0,,1,1.27,51.0,55.0,-4.0,-0.11,1.59,51.7,54.0,-2.4,-0.06,1.75,Matches
587,588,Léo Rouille,fr FRA,DF,Rennes,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
588,589,Kays Ruiz,ma MAR,MF,Auxerre,19,2002,1,62.0,62.0,1.8,0.7,1,62.0,0,0,,8,0.0,0.0,1.0,-1.0,-1.45,-0.73,0.1,2.2,-2.1,-2.98,-2.61,Matches
589,590,Fabián Ruiz Peña,es ESP,MF,Paris S-G,26,1996,27,1892.0,70.0,55.3,21.0,21,79.0,10,6,40.0,0,2.3,45.0,21.0,24.0,1.14,-0.33,40.5,27.0,13.6,0.65,-0.32,Matches
590,591,Halid Šabanović,ba BIH,DF,Angers,22,1999,15,638.0,43.0,18.7,7.1,8,63.0,2,7,20.0,8,0.67,8.0,14.0,-6.0,-0.85,0.51,7.0,9.8,-2.8,-0.4,0.18,Matches
591,592,Falaye Sacko,ml MLI,DF,Montpellier,27,1995,35,2580.0,74.0,75.4,28.7,29,86.0,23,6,15.0,3,1.34,57.0,45.0,12.0,0.42,1.38,41.7,49.6,-7.9,-0.28,-0.06,Matches
592,593,Tom Saettel,fr FRA,FW,Strasbourg,17,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
593,594,Yakine Said Mmadi,km COM,DF,Marseille,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
594,595,Wesley Saïd,fr FRA,FWMF,Lens,27,1995,21,644.0,31.0,18.8,7.2,6,57.0,0,15,20.0,1,2.43,11.0,6.0,5.0,0.7,-0.4,11.9,11.8,0.2,0.02,-0.73,Matches
595,596,Théo Sainte-Luce,fr FRA,DF,Montpellier,23,1998,9,534.0,59.0,15.6,5.9,7,71.0,3,2,20.0,2,1.67,18.0,14.0,4.0,0.67,0.71,10.7,11.2,-0.5,-0.09,0.2,Matches
596,597,Hamza Sakhi,fr FRA,MF,Auxerre,26,1996,27,1658.0,61.0,48.5,18.4,18,83.0,8,9,19.0,7,0.63,16.0,40.0,-24.0,-1.3,-1.1,21.6,25.7,-4.0,-0.22,0.38,Matches
597,598,Mamadou Sakho,fr FRA,DF,Montpellier,32,1990,15,763.0,51.0,22.3,8.5,7,76.0,1,8,29.0,17,1.07,16.0,20.0,-4.0,-0.47,-0.71,11.1,13.2,-2.1,-0.25,0.02,Matches
598,599,Ibrahim Salah,ma MAR,FWMF,Rennes,20,2001,13,227.0,17.0,6.6,2.5,1,63.0,0,12,14.0,3,1.46,3.0,3.0,0.0,0.0,-0.85,4.4,4.9,-0.5,-0.19,-0.69,Matches
599,600,Amine Salama,fr FRA,FWMF,Angers,22,2000,25,1249.0,50.0,36.5,13.9,12,78.0,4,13,24.0,2,0.16,10.0,28.0,-18.0,-1.3,-0.05,17.5,20.7,-3.2,-0.23,0.5,Matches
600,601,Romain Salin,fr FRA,GK,Rennes,38,1984,0,,,0.0,0.0,0,,0,0,,2,3.0,2.0,1.0,1.0,,,,,,,,Matches
601,602,Yoann Salmier,gf GUF,DF,Troyes,29,1992,32,2646.0,83.0,77.4,29.4,31,85.0,25,1,8.0,2,0.72,39.0,65.0,-26.0,-0.88,0.28,32.0,55.7,-23.7,-0.81,0.97,Matches
602,603,Mama Samba Baldé,gw GNB,FW,Troyes,26,1995,34,2665.0,78.0,77.9,29.6,30,84.0,20,4,37.0,0,0.53,36.0,68.0,-32.0,-1.08,-0.6,31.9,62.4,-30.5,-1.03,-0.03,Matches
603,604,Brice Samba,fr FRA,GK,Lens,28,1994,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,1,2.19,65.0,28.0,37.0,1.0,-1.0,64.0,40.2,23.7,0.64,1.14,Matches
604,605,Renato Sanches,pt POR,MF,Paris S-G,24,1997,23,717.0,31.0,21.0,8.0,6,51.0,1,17,24.0,1,2.22,18.0,9.0,9.0,1.13,-0.2,16.7,10.5,6.2,0.78,-0.01,Matches
605,606,Alexis Sánchez,cl CHI,FWMF,Marseille,33,1988,35,2679.0,77.0,78.3,29.8,32,80.0,11,3,41.0,2,1.89,51.0,27.0,24.0,0.81,0.44,51.8,32.3,19.5,0.65,0.25,Matches
606,607,Morgan Sanson,fr FRA,MF,Strasbourg,27,1994,18,1419.0,79.0,41.5,15.8,18,79.0,6,0,,0,1.39,25.0,22.0,3.0,0.19,0.69,22.1,14.8,7.4,0.47,1.1,Matches
