,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,AerialDuels_Won,AerialDuels_Lost,AerialDuels_Won%,Matches
199,200,Ben Godfrey,eng ENG,DF,Everton,24,1998,8.9,2,0,0,10,5,1,7,8,11,0,0,0,35,15,17,46.9,Matches
200,201,João Gomes,br BRA,MF,Wolves,21,2001,7.3,5,0,0,17,16,0,8,4,13,0,0,0,59,7,4,63.6,Matches
201,202,Toti Gomes,pt POR,DF,Wolves,23,1999,10.9,6,0,0,16,5,1,9,11,9,0,0,0,61,17,16,51.5,Matches
202,203,Joe Gomez,eng ENG,DF,Liverpool,25,1997,16.3,3,0,0,13,4,1,4,24,21,0,1,0,126,46,38,54.8,Matches
203,204,Sergio Gómez,es ESP,DFMF,Manchester City,21,2000,3.9,0,0,0,1,2,0,8,2,4,0,0,0,19,3,10,23.1,Matches
204,205,Anthony Gordon,eng ENG,FWMF,Newcastle Utd,21,2001,5.4,1,0,0,7,8,1,9,2,12,0,0,0,25,0,3,0.0,Matches
205,206,Anthony Gordon,eng ENG,FW,Everton,21,2001,12.2,6,0,0,20,15,3,25,4,22,0,0,0,56,9,29,23.7,Matches
206,207,Demarai Gray,jm JAM,FWMF,Everton,26,1996,27.9,3,0,0,24,51,13,173,13,24,0,0,0,98,13,45,22.4,Matches
207,208,Jack Grealish,eng ENG,FW,Manchester City,26,1995,22.8,4,0,0,27,78,3,53,7,16,1,0,0,110,14,17,45.2,Matches
208,209,Sam Greenwood,eng ENG,MFFW,Leeds United,20,2002,4.7,1,0,0,11,3,0,43,1,7,0,0,0,31,1,7,12.5,Matches
209,210,Pascal Groß,de GER,MFDF,Brighton,31,1991,36.0,6,0,0,35,18,10,224,13,38,0,1,1,140,10,36,21.7,Matches
210,211,Vicente Guaita,es ESP,GK,Crystal Palace,35,1987,27.0,1,0,0,1,3,0,0,0,0,0,0,0,26,10,1,90.9,Matches
211,212,Gonçalo Guedes,pt POR,FWMF,Wolves,25,1996,7.9,1,0,0,11,24,5,27,1,6,0,0,0,34,7,11,38.9,Matches
212,213,Marc Guéhi,eng ENG,DF,Crystal Palace,22,2000,37.0,8,0,0,24,40,0,0,45,27,0,0,1,241,54,43,55.7,Matches
213,214,Bruno Guimarães,br BRA,MF,Newcastle Utd,24,1997,30.3,7,0,0,45,83,1,22,36,40,0,0,0,233,19,13,59.4,Matches
214,215,İlkay Gündoğan,de GER,MF,Manchester City,31,1990,26.1,0,0,0,23,25,6,30,20,18,2,0,0,155,19,12,61.3,Matches
215,216,Darko Gyabi,eng ENG,FW,Leeds United,18,2004,0.1,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,,Matches
216,217,Erling Haaland,no NOR,FW,Manchester City,22,2000,30.8,5,0,0,31,24,8,12,3,2,1,0,0,37,50,50,50.0,Matches
217,218,Lewis Hall,eng ENG,DF,Chelsea,17,2004,7.3,1,0,0,3,11,1,34,11,12,0,0,0,48,7,5,58.3,Matches
218,219,Luke Harris,wls WAL,MFFW,Fulham,17,2005,0.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,Matches
219,220,Jack Harrison,eng ENG,FWMF,Leeds United,25,1996,30.1,2,0,0,38,37,3,186,22,17,0,0,0,174,5,42,10.6,Matches
220,221,Kai Havertz,de GER,FWMF,Chelsea,23,1999,28.5,5,0,0,60,25,28,14,7,16,0,0,0,81,79,59,57.2,Matches
221,222,Jan Paul van Hecke,nl NED,DF,Brighton,22,2000,3.3,2,0,0,7,4,0,0,6,6,0,0,0,15,6,15,28.6,Matches
222,223,Hwang Hee-chan,kr KOR,FWMF,Wolves,26,1996,12.6,1,0,0,20,19,1,10,5,9,0,0,0,45,7,30,18.9,Matches
223,224,Dean Henderson,eng ENG,GK,Nott'ham Forest,25,1997,18.0,2,0,0,1,1,0,0,0,0,0,1,0,11,1,0,100.0,Matches
224,225,Jordan Henderson,eng ENG,MF,Liverpool,32,1990,23.0,2,0,0,18,9,3,45,21,23,0,0,0,163,11,10,52.4,Matches
225,226,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,35,1987,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
226,227,Rico Henry,eng ENG,DF,Brentford,25,1997,36.0,4,0,0,32,38,2,87,30,31,1,0,0,197,40,55,42.1,Matches
