,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,AerialDuels_Won,AerialDuels_Lost,AerialDuels_Won%,Matches
0,1,Nabil Aberdin,fr FRA,DF,Getafe,20.0,2002.0,2.0,0,0,0,1,1,0,0,0,0,0,0,0,10,4,6,40.0,Matches
1,2,Abner,br BRA,DF,Betis,23.0,2000.0,15.6,3,0,0,16,2,2,26,15,19,0,1,0,79,14,10,58.3,Matches
2,3,Abdel Abqar,ma MAR,DF,Alavés,24.0,1999.0,25.7,10,0,0,33,23,1,2,23,19,0,2,1,109,39,36,52.0,Matches
3,4,Marcos Acuña,ar ARG,DF,Sevilla,31.0,1991.0,14.4,7,0,0,18,17,1,82,4,21,0,0,0,99,13,11,54.2,Matches
4,5,Julen Agirrezabala,es ESP,GK,Athletic Club,22.0,2000.0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0,Matches
5,6,Lucien Agoume,fr FRA,MF,Sevilla,21.0,2002.0,8.6,3,0,0,19,2,0,2,7,18,0,0,0,48,9,7,56.3,Matches
6,7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27.0,1995.0,4.5,0,0,0,4,0,0,0,4,3,0,0,0,22,14,9,60.9,Matches
7,8,Ilias Akhomach,ma MAR,MFFW,Villarreal,19.0,2004.0,16.8,4,0,0,41,35,4,29,13,21,0,0,0,70,3,7,30.0,Matches
8,9,Sergio Akieme,es ESP,DF,Almería,25.0,1997.0,18.6,2,0,0,18,17,1,57,10,15,0,2,0,99,10,15,40.0,Matches
9,10,Paul Akouokou,ci CIV,MF,Betis,25.0,1997.0,0.3,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,,Matches
10,11,David Alaba,at AUT,DF,Real Madrid,31.0,1992.0,12.8,2,0,0,4,0,0,17,15,9,0,0,1,63,10,9,52.6,Matches
11,12,Raúl Albiol,es ESP,DF,Villarreal,37.0,1985.0,22.6,6,0,0,21,8,1,0,16,14,0,0,0,75,46,29,61.3,Matches
12,13,Rubén Alcaraz,es ESP,MF,Cádiz,32.0,1991.0,34.8,14,0,0,84,71,1,36,33,59,0,0,0,234,47,49,49.0,Matches
