,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,AerialDuels_Won,AerialDuels_Lost,AerialDuels_Won%,Matches
0,1,Abner,br BRA,DF,Betis,22,2000,6.7,2,0,0,8,2,0,13,8,9,0.0,1.0,0,43.0,9.0,16.0,36.0,Matches
1,2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,1.0,1.0,50.0,Matches
2,3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,21.2,10,3,0,32,34,1,147,23,36,0.0,1.0,0,141.0,30.0,18.0,62.5,Matches
3,4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,7.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,14.0,1.0,0.0,100.0,Matches
4,5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,21.0,4,0,0,13,33,0,57,13,15,0.0,1.0,0,130.0,15.0,17.0,46.9,Matches
5,6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,34.7,6,1,1,18,18,0,2,31,36,0.0,1.0,0,214.0,63.0,63.0,50.0,Matches
6,7,Sergio Akieme,es ESP,DF,Almería,24,1997,25.5,5,0,0,20,18,0,70,14,16,0.0,0.0,0,127.0,14.0,15.0,48.3,Matches
7,8,Babatunde Akinsola,ng NGA,FW,Valladolid,19,2003,0.1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,1.0,0.0,0.0,,Matches
8,9,Paul Akouokou,ci CIV,MFDF,Betis,24,1997,5.0,3,0,0,7,4,0,0,12,9,0.0,0.0,0,27.0,6.0,7.0,46.2,Matches
9,10,David Alaba,at AUT,DF,Real Madrid,30,1992,20.4,3,0,0,9,3,0,26,14,11,0.0,1.0,0,94.0,11.0,8.0,57.9,Matches
10,11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,0.3,0,0,0,2,1,0,1,0,0,,,0,,,,,Matches
11,12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,2.5,2,1,1,4,3,0,6,2,2,0.0,0.0,0,14.0,3.0,1.0,75.0,Matches
12,13,Jordi Alba,es ESP,DF,Barcelona,33,1989,15.8,6,1,1,11,4,10,91,11,18,0.0,0.0,0,118.0,8.0,15.0,34.8,Matches
13,14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,23.5,6,0,0,17,13,1,1,14,17,0.0,0.0,0,108.0,38.0,25.0,60.3,Matches
14,15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,22.7,11,1,1,45,33,0,44,19,31,0.0,1.0,0,159.0,30.0,29.0,50.8,Matches
15,16,Omar Alderete,py PAR,DF,Getafe,25,1996,22.7,9,0,0,35,10,0,7,26,20,0.0,0.0,0,141.0,61.0,31.0,66.3,Matches
16,17,Iván Alejo,es ESP,MFFW,Cádiz,27,1995,14.6,13,1,1,38,44,2,108,5,21,0.0,1.0,0,76.0,25.0,17.0,59.5,Matches
17,18,Carles Aleñá,es ESP,MFFW,Getafe,24,1998,23.5,12,1,1,60,50,3,43,4,10,0.0,1.0,0,120.0,15.0,38.0,28.3,Matches
