,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,AerialDuels_Won,AerialDuels_Lost,AerialDuels_Won%,Matches
204,205,Nuha Jatta,gm GAM,FW,RB Leipzig,17.0,2006.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
205,206,Fredrik Jensen,fi FIN,MFFW,Augsburg,25.0,1997.0,14.9,1,0,0,14,2,5,91,12,11,0,1,0,60,24,21,53.3,Matches
206,207,Moritz Jenz,de GER,DF,Wolfsburg,24.0,1999.0,19.4,7,1,1,26,3,0,0,26,24,0,0,1,81,48,22,68.6,Matches
207,208,Anthony Jung,de GER,DF,Werder Bremen,31.0,1991.0,28.7,4,1,0,15,15,1,23,24,23,0,1,0,142,44,26,62.9,Matches
208,209,Josip Juranović,hr CRO,DF,Union Berlin,27.0,1995.0,14.4,4,0,0,4,10,0,104,12,14,0,0,0,87,3,4,42.9,Matches
209,210,David Jurásek,cz CZE,DF,Hoffenheim,22.0,2000.0,5.5,1,0,0,3,1,0,24,3,11,0,0,0,29,5,3,62.5,Matches
210,211,Julian Justvan,de GER,FWMF,Hoffenheim,25.0,1998.0,0.5,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,,Matches
211,212,Julian Justvan,de GER,MFFW,Darmstadt 98,25.0,1998.0,11.4,1,0,0,2,5,0,41,11,4,0,0,0,52,1,15,6.3,Matches
212,213,Ozan Kabak,tr TUR,DF,Hoffenheim,23.0,2000.0,25.4,11,1,1,31,9,0,3,46,35,0,1,0,96,68,47,59.1,Matches
213,214,Pavel Kadeřábek,cz CZE,DFFW,Hoffenheim,31.0,1992.0,26.8,7,0,0,17,12,1,101,23,19,0,0,0,65,62,64,49.2,Matches
214,215,Florian Kainz,at AUT,MFFW,Köln,30.0,1992.0,24.4,4,0,0,19,33,1,167,13,20,0,0,0,126,12,25,32.4,Matches
215,216,Sasa Kalajdzic,at AUT,FW,Eint Frankfurt,26.0,1997.0,3.6,0,0,0,3,10,1,1,2,2,0,0,0,10,9,11,45.0,Matches
216,217,Jakub Kamiński,pl POL,FWMF,Wolfsburg,21.0,2002.0,5.3,0,0,0,3,5,2,16,2,5,0,0,0,24,4,12,25.0,Matches
217,218,Kevin Kampl,si SVN,MF,RB Leipzig,32.0,1990.0,15.1,3,0,0,16,3,0,11,11,8,0,1,0,102,3,10,23.1,Matches
218,219,Harry Kane,eng ENG,FW,Bayern Munich,30.0,1993.0,31.5,2,0,0,10,39,13,31,6,9,0,0,0,55,30,34,46.9,Matches
219,220,Atakan Karazor,de GER,MF,Stuttgart,26.0,1996.0,29.1,9,0,0,28,61,0,4,27,44,0,0,0,174,44,38,53.7,Matches
220,221,Emir Karic,at AUT,DF,Darmstadt 98,26.0,1997.0,19.8,4,0,0,17,7,5,52,13,27,0,0,0,76,21,16,56.8,Matches
221,222,Silas Katompa,cd COD,FWMF,Stuttgart,24.0,1998.0,10.0,0,0,0,13,15,5,28,0,3,1,0,0,37,5,11,31.3,Matches
222,223,Mikkel Kaufmann,dk DEN,FW,Union Berlin,22.0,2001.0,5.4,0,0,0,7,10,0,5,1,3,0,0,0,19,26,34,43.3,Matches
223,224,Naby Keïta,gn GUI,MFDF,Werder Bremen,28.0,1995.0,1.2,2,0,0,2,1,0,0,2,1,0,0,0,14,0,3,0.0,Matches
224,225,Yannik Keitel,de GER,DFMF,Freiburg,23.0,2000.0,10.2,0,0,0,12,6,0,2,12,15,0,0,0,52,23,17,57.5,Matches
225,226,Thomas Keller,de GER,MFFW,Heidenheim,23.0,1999.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
226,227,Aljoscha Kemlein,de GER,MF,Union Berlin,18.0,2004.0,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.0,Matches
