,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,GoalKicks_Att,GoalKicks_Launch%,GoalKicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
26,27,Simone Perilli,it ITA,GK,Hellas Verona,27,1995,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.19,0.8,0.75,6,30,20.0,21.0,0,81.0,57.3,13.0,100.0,69.8,19.0,1.0,5.3,1.0,1.0,12.0,Matches
27,28,Mattia Perin,it ITA,GK,Juventus,29,1992,10.5,7.0,1.0,0.0,1.0,0.0,11.2,0.23,4.2,0.39,32,107,29.9,287.0,54,28.6,30.8,63.0,39.7,35.9,154.0,4.0,2.6,11.0,1.04,15.7,Matches
28,29,Samuele Perisan,it ITA,GK,Empoli,24,1997,7.0,9.0,0.0,0.0,2.0,0.0,7.5,0.31,-1.5,-0.22,25,75,33.3,153.0,39,32.0,32.7,75.0,34.7,34.3,134.0,5.0,3.7,4.0,0.57,11.6,Matches
29,30,Ivan Provedel,it ITA,GK,Lazio,28,1994,37.9,30.0,1.0,0.0,5.0,1.0,31.4,0.25,2.4,0.06,158,373,42.4,1121.0,166,27.4,32.2,198.0,33.3,33.2,493.0,21.0,4.3,55.0,1.45,16.5,Matches
30,31,Ionuț Radu,ro ROU,GK,Cremonese,25,1997,9.0,19.0,3.0,0.0,3.0,0.0,21.0,0.29,2.0,0.22,38,143,26.6,265.0,34,41.1,37.3,67.0,50.7,46.3,107.0,6.0,5.6,9.0,1.0,14.5,Matches
31,32,Nicola Ravaglia,it ITA,GK,Sampdoria,33,1988,9.0,23.0,2.0,0.0,3.0,0.0,17.9,0.26,-5.1,-0.57,49,145,33.8,226.0,45,42.5,35.6,99.0,49.5,37.6,155.0,10.0,6.5,1.0,0.11,10.5,Matches
32,33,Francesco Rossi,it ITA,GK,Atalanta,31,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,1,0.0,3.0,0,0.0,17.3,1.0,100.0,65.0,1.0,0.0,0.0,0.0,0.0,,Matches
33,34,Alessandro Russo,it ITA,GK,Sassuolo,21,2001,1.0,3.0,0.0,0.0,0.0,0.0,2.8,0.4,-0.2,-0.22,0,12,0.0,42.0,2,28.6,30.7,8.0,0.0,18.3,14.0,0.0,0.0,0.0,0.0,10.0,Matches
34,35,Mouhamadou Sarr,sn SEN,GK,Cremonese,25,1997,2.0,3.0,0.0,0.0,1.0,0.0,2.9,0.36,-0.1,-0.05,19,38,50.0,71.0,12,40.8,35.7,12.0,75.0,53.6,18.0,0.0,0.0,1.0,0.5,8.6,Matches
35,36,Luigi Sepe,it ITA,GK,Salernitana,31,1991,17.0,27.0,4.0,0.0,0.0,0.0,30.3,0.27,3.3,0.2,76,274,27.7,490.0,84,40.6,35.9,154.0,48.7,41.1,222.0,16.0,7.2,13.0,0.76,14.2,Matches
36,37,Marco Silvestri,it ITA,GK,Udinese,31,1991,38.0,48.0,6.0,2.0,3.0,2.0,48.7,0.31,2.7,0.07,144,380,37.9,872.0,142,31.9,32.0,302.0,33.8,34.1,547.0,13.0,2.4,21.0,0.55,12.2,Matches
37,38,Salvatore Sirigu,it ITA,GK,Fiorentina,35,1987,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19,1.0,0.96,6,16,37.5,30.0,9,40.0,37.7,8.0,50.0,41.8,12.0,0.0,0.0,2.0,2.0,26.3,Matches
38,39,Łukasz Skorupski,pl POL,GK,Bologna,31,1991,37.0,49.0,7.0,1.0,6.0,3.0,47.8,0.25,1.8,0.05,146,371,39.4,933.0,206,29.8,31.7,278.0,33.5,33.0,492.0,29.0,5.9,24.0,0.65,12.9,Matches
39,40,Marco Sportiello,it ITA,GK,Atalanta,30,1992,14.9,21.0,1.0,1.0,2.0,0.0,19.6,0.29,-1.4,-0.1,52,148,35.1,346.0,85,20.5,28.8,116.0,66.4,49.7,200.0,18.0,9.0,18.0,1.21,15.0,Matches
40,41,Mile Svilar,rs SRB,GK,Roma,22,1999,3.0,3.0,0.0,0.0,0.0,0.0,2.9,0.29,-0.1,-0.03,16,44,36.4,61.0,13,50.8,41.4,16.0,81.3,60.1,42.0,6.0,14.3,4.0,1.33,12.1,Matches
41,42,Wojciech Szczęsny,pl POL,GK,Juventus,32,1990,27.5,26.0,3.0,0.0,5.0,0.0,26.0,0.25,0.0,0.0,128,270,47.4,634.0,128,32.2,33.5,153.0,43.1,38.3,389.0,11.0,2.8,21.0,0.76,14.7,Matches
42,43,Ciprian Tătărușanu,ro ROU,GK,Milan,36,1986,16.0,22.0,2.0,2.0,4.0,1.0,16.8,0.25,-4.2,-0.26,94,195,48.2,473.0,75,32.1,32.9,83.0,51.8,41.8,195.0,9.0,4.6,13.0,0.81,14.4,Matches
43,44,Pietro Terracciano,it ITA,GK,Fiorentina,32,1990,29.0,38.0,6.0,0.0,3.0,2.0,33.1,0.28,-2.9,-0.1,155,375,41.3,871.0,113,32.7,33.2,198.0,45.5,40.5,271.0,12.0,4.4,55.0,1.9,18.4,Matches
44,45,Martin Turk,si SVN,GK,Sampdoria,18,2003,4.0,9.0,1.0,0.0,3.0,0.0,8.0,0.26,-1.0,-0.25,35,78,44.9,99.0,15,41.4,35.1,43.0,86.0,56.3,60.0,0.0,0.0,2.0,0.5,12.3,Matches
45,46,Samir Ujkani,xk KVX,GK,Empoli,34,1988,0.1,1.0,0.0,0.0,0.0,0.0,0.2,0.25,-0.8,-9.69,0,0,,2.0,1,0.0,18.5,1.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,,Matches
46,47,Guglielmo Vicario,it ITA,GK,Empoli,25,1996,30.9,39.0,4.0,0.0,8.0,1.0,40.9,0.27,2.9,0.09,138,455,30.3,1106.0,151,33.5,33.8,170.0,50.0,42.9,606.0,34.0,5.6,22.0,0.71,11.5,Matches
47,48,Jeroen Zoet,nl NED,GK,Spezia,31,1991,3.7,4.0,1.0,0.0,1.0,0.0,2.8,0.14,-1.2,-0.31,25,78,32.1,110.0,13,54.5,39.0,23.0,78.3,58.4,62.0,4.0,6.5,6.0,1.61,14.7,Matches
48,49,Petar Zovko,ba BIH,GK,Spezia,20,2002,0.8,2.0,0.0,0.0,0.0,0.0,1.7,0.55,-0.3,-0.42,7,21,33.3,23.0,3,47.8,35.1,13.0,76.9,51.1,24.0,1.0,4.2,2.0,2.47,17.0,Matches
