,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Min,PlayingTime_Mn/MP,PlayingTime_Min%,PlayingTime_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,TeamSuccess_PPM,TeamSuccess_onG,TeamSuccess_onGA,TeamSuccess_+/-,TeamSuccess_+/-90,TeamSuccess_On-Off,TeamSuccess(xG)_onxG,TeamSuccess(xG)_onxGA,TeamSuccess(xG)_xG+/-,TeamSuccess(xG)_xG+/-90,TeamSuccess(xG)_On-Off,Matches
0,1,Brenden Aaronson,us USA,MFFW,Union Berlin,22.0,2000.0,30,1267.0,42.0,41.4,14.1,14,68.0,2,16,20.0,2,1.07,17.0,23.0,-6.0,-0.43,0.53,15.4,21.2,-5.9,-0.42,-0.19,Matches
1,2,Paxten Aaronson,us USA,MF,Eint Frankfurt,19.0,2003.0,7,101.0,14.0,3.3,1.1,1,45.0,0,6,9.0,7,0.86,2.0,2.0,0.0,0.0,-0.03,1.1,2.6,-1.5,-1.3,-1.16,Matches
2,3,Junior Adamu,at AUT,FWMF,Freiburg,22.0,2001.0,15,105.0,7.0,3.4,1.2,0,,0,15,7.0,13,1.47,1.0,5.0,-4.0,-3.43,-3.15,0.9,3.4,-2.5,-2.17,-2.22,Matches
3,4,Sargis Adamyan,am ARM,FWMF,Köln,30.0,1993.0,20,801.0,40.0,26.2,8.9,8,73.0,1,12,18.0,5,0.8,9.0,21.0,-12.0,-1.35,-0.55,11.8,16.5,-4.6,-0.52,0.31,Matches
4,5,Karim Adeyemi,de GER,FWMF,Dortmund,21.0,2002.0,21,913.0,43.0,29.8,10.1,10,64.0,1,11,25.0,3,1.76,19.0,15.0,4.0,0.39,-0.49,18.4,17.1,1.2,0.12,-0.31,Matches
5,6,Amine Adli,ma MAR,MFFW,Leverkusen,23.0,2000.0,23,898.0,39.0,29.3,10.0,8,71.0,1,15,22.0,4,2.65,28.0,9.0,19.0,1.9,-0.01,24.2,10.4,13.8,1.39,0.14,Matches
6,7,Felix Agu,de GER,DFMF,Werder Bremen,23.0,1999.0,24,1614.0,67.0,52.7,17.9,19,81.0,4,5,14.0,5,1.42,21.0,23.0,-2.0,-0.11,0.14,22.5,28.7,-6.3,-0.35,-0.14,Matches
7,8,Ludovic Ajorque,fr FRA,FW,Mainz 05,29.0,1994.0,26,1360.0,52.0,44.4,15.1,15,80.0,9,11,14.0,6,1.04,13.0,26.0,-13.0,-0.86,-0.91,20.6,20.9,-0.2,-0.01,-0.03,Matches
8,9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28.0,1995.0,17,1097.0,65.0,35.8,12.2,11,86.0,9,6,26.0,11,1.35,26.0,21.0,5.0,0.41,0.64,20.2,20.1,0.1,0.01,0.34,Matches
9,10,Faride Alidou,de GER,FWMF,Köln,22.0,2001.0,26,1282.0,49.0,41.9,14.2,14,69.0,0,12,27.0,2,0.85,12.0,27.0,-15.0,-1.05,-0.19,15.0,24.5,-9.5,-0.67,0.13,Matches
10,11,Skelly Alvero,fr FRA,MF,Werder Bremen,21.0,2002.0,6,123.0,21.0,4.0,1.4,1,78.0,0,5,9.0,3,0.5,1.0,1.0,0.0,0.0,0.18,2.0,1.7,0.3,0.18,0.49,Matches
11,12,Nadiem Amiri,de GER,MF,Mainz 05,26.0,1996.0,15,1315.0,88.0,43.0,14.6,15,88.0,11,0,,0,1.53,23.0,20.0,3.0,0.21,0.98,23.3,21.7,1.6,0.11,0.18,Matches
12,13,Nadiem Amiri,de GER,MF,Leverkusen,26.0,1996.0,8,86.0,11.0,2.8,1.0,1,67.0,0,7,3.0,11,2.5,0.0,0.0,0.0,0.0,-1.97,2.3,0.7,1.6,1.62,0.34,Matches
13,14,Kofi Amoako,de GER,MF,Wolfsburg,18.0,2005.0,2,2.0,1.0,0.1,0.0,0,,0,2,1.0,4,2.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.16,Matches
14,15,Robert Andrich,de GER,MFDF,Leverkusen,28.0,1994.0,28,1690.0,60.0,55.2,18.8,18,87.0,16,10,12.0,6,2.71,47.0,9.0,38.0,2.02,0.25,40.7,14.0,26.6,1.42,0.3,Matches
15,16,Spyridon Angelidis,gr GRE,GK,Werder Bremen,18.0,2005.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
16,17,Waldemar Anton,de GER,DF,Stuttgart,27.0,1996.0,33,2886.0,87.0,94.3,32.1,32,89.0,30,1,45.0,0,2.12,76.0,38.0,38.0,1.19,0.67,68.4,34.7,33.7,1.05,1.57,Matches
17,18,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,29.0,1994.0,25,1216.0,49.0,39.7,13.5,11,76.0,1,14,27.0,2,1.0,18.0,28.0,-10.0,-0.74,0.33,17.3,26.1,-8.9,-0.66,-0.15,Matches
18,19,Asaf Arania,il ISR,MF,Darmstadt 98,17.0,2005.0,1,6.0,6.0,0.2,0.1,0,,0,1,6.0,2,0.0,0.0,1.0,-1.0,-15.0,-13.38,0.0,0.5,-0.5,-8.23,-7.04,Matches
19,20,Maximilian Arnold,de GER,MF,Wolfsburg,29.0,1994.0,30,2506.0,84.0,81.9,27.8,27,90.0,26,3,26.0,0,1.0,32.0,49.0,-17.0,-0.61,-0.94,30.6,37.4,-6.7,-0.24,-0.43,Matches
20,21,Arthur,br BRA,DF,Leverkusen,20.0,2003.0,4,184.0,46.0,6.0,2.0,2,75.0,1,2,17.0,4,3.0,8.0,1.0,7.0,3.42,1.61,6.1,1.8,4.3,2.09,0.86,Matches
21,22,Takuma Asano,jp JPN,FWMF,Bochum,28.0,1994.0,29,1986.0,68.0,64.9,22.1,26,74.0,5,3,21.0,0,0.86,25.0,53.0,-28.0,-1.27,-0.93,29.2,41.6,-12.4,-0.56,0.02,Matches
22,23,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,17.0,2006.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,0,3.0,0.0,0.0,0.0,0.0,-1.44,0.0,0.0,0.0,0.0,-1.56,Matches
23,24,Noah Atubolu,de GER,GK,Freiburg,21.0,2002.0,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,,0,1.24,45.0,58.0,-13.0,-0.38,,49.4,50.5,-1.1,-0.03,,Matches
24,25,Adam Aznou,es ESP,DF,Bayern Munich,17.0,2006.0,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
25,26,Matthias Bader,de GER,DFMF,Darmstadt 98,26.0,1997.0,24,1802.0,75.0,58.9,20.0,21,82.0,12,3,26.0,0,0.71,22.0,41.0,-19.0,-0.95,1.7,20.5,38.2,-17.7,-0.88,0.77,Matches
26,27,Elias Bakatukanda,de GER,MF,Köln,19.0,2004.0,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
27,28,Ridle Baku,de GER,DFMF,Wolfsburg,25.0,1998.0,33,2013.0,61.0,65.8,22.4,22,81.0,10,11,20.0,0,1.09,28.0,34.0,-6.0,-0.27,0.51,24.8,29.9,-5.2,-0.23,-0.2,Matches
28,29,Samuel Bamba,de GER,FW,Dortmund,19.0,2004.0,2,47.0,24.0,1.5,0.5,0,,0,2,24.0,2,1.0,0.0,0.0,0.0,0.0,-0.75,1.6,0.8,0.9,1.66,1.34,Matches
29,30,Aymen Barkok,ma MAR,MFFW,Mainz 05,25.0,1998.0,13,321.0,25.0,10.5,3.6,1,68.0,0,12,21.0,0,0.62,7.0,7.0,0.0,0.0,0.39,5.7,6.2,-0.5,-0.15,-0.17,Matches
30,31,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23.0,2000.0,31,2606.0,84.0,85.2,29.0,29,88.0,26,2,29.0,0,1.1,36.0,38.0,-2.0,-0.07,1.91,38.9,34.4,4.5,0.15,1.0,Matches
31,32,Daniel Batz,de GER,GK,Mainz 05,32.0,1991.0,4,360.0,90.0,11.8,4.0,4,90.0,4,0,,16,0.5,1.0,3.0,-2.0,-0.5,-0.17,6.2,2.9,3.3,0.83,0.94,Matches
32,33,Maximilian Bauer,de GER,DF,Augsburg,23.0,2000.0,14,810.0,58.0,26.5,9.0,9,83.0,6,5,12.0,15,1.57,15.0,22.0,-7.0,-0.78,-0.66,15.6,17.8,-2.2,-0.24,0.12,Matches
33,34,Elias Baum,de GER,DFMF,Eint Frankfurt,17.0,2005.0,4,28.0,7.0,0.9,0.3,0,,0,4,7.0,1,1.25,1.0,0.0,1.0,3.21,3.21,0.3,1.1,-0.8,-2.5,-2.35,Matches
34,35,Oliver Baumann,de GER,GK,Hoffenheim,33.0,1990.0,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,,0,1.35,66.0,66.0,0.0,0.0,,53.6,60.8,-7.2,-0.21,,Matches
35,36,Christoph Baumgartner,at AUT,MFFW,RB Leipzig,23.0,1999.0,32,1158.0,36.0,37.8,12.9,11,69.0,0,21,19.0,2,1.94,23.0,16.0,7.0,0.54,-0.92,29.3,12.4,16.9,1.32,0.91,Matches
36,37,Mika Baur,de GER,MF,Freiburg,19.0,2004.0,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
37,38,Ihlas Bebou,tg TOG,FWDF,Hoffenheim,29.0,1994.0,32,1636.0,51.0,53.5,18.2,16,82.0,6,16,20.0,2,1.34,36.0,37.0,-1.0,-0.06,-0.12,27.7,34.4,-6.7,-0.37,-0.33,Matches
