,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,PenaltyKicks_PKatt,PenaltyKicks_PKA,PenaltyKicks_PKsv,PenaltyKicks_PKm,PenaltyKicks_Save%,Matches
0,1,Doğan Alemdar,tr TUR,GK,Rennes,19,2002,6,4,406,4.5,8,1.77,16,7,56.3,2,0,2,1,25.0,2,1,1,0,50.0,Matches
1,2,Paul Bernardoni,fr FRA,GK,Angers,25,1997,27,27,2430,27.0,62,2.3,143,84,62.2,1,5,21,3,11.1,9,8,0,1,0.0,Matches
2,3,Marco Bizot,nl NED,GK,Brest,31,1991,37,37,3330,37.0,54,1.46,176,122,73.3,11,10,16,8,21.6,9,7,2,0,22.2,Matches
3,4,Rubén Blanco,es ESP,GK,Marseille,27,1995,6,6,495,5.5,6,1.09,19,15,68.4,1,3,2,0,0.0,0,0,0,0,,Matches
4,5,Joaquín Blázquez,ar ARG,GK,Brest,21,2001,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
5,6,Marcin Bułka,pl POL,GK,Nice,22,1999,2,2,180,2.0,2,1.0,6,4,66.7,0,1,1,0,0.0,0,0,0,0,,Matches
6,7,Matis Carvalho,pt POR,GK,Montpellier,23,1999,2,1,136,1.5,3,1.99,8,5,62.5,0,0,1,1,100.0,0,0,0,0,,Matches
7,8,Lucas Chevalier,fr FRA,GK,Lille,20,2001,32,32,2880,32.0,31,0.97,105,76,72.4,16,9,7,10,31.3,3,2,1,0,33.3,Matches
8,9,Benoît Costil,fr FRA,GK,Auxerre,35,1987,19,19,1710,19.0,41,2.16,96,55,60.4,3,4,12,2,10.5,3,3,0,0,0.0,Matches
9,10,Rémy Descamps,fr FRA,GK,Nantes,26,1996,1,1,90,1.0,1,1.0,6,5,83.3,0,1,0,0,0.0,0,0,0,0,,Matches
10,11,Mory Diaw,sn SEN,GK,Clermont Foot,29,1993,37,37,3330,37.0,47,1.27,161,110,75.8,17,8,12,10,27.0,12,8,4,0,33.3,Matches
11,12,Yehvann Diouf,fr FRA,GK,Reims,22,1999,31,31,2790,31.0,31,1.0,137,107,78.1,11,12,8,14,45.2,1,1,0,0,0.0,Matches
12,13,Ouparine Djoco,gw GNB,GK,Clermont Foot,24,1998,1,1,90,1.0,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
13,14,Gianluigi Donnarumma,it ITA,GK,Paris S-G,23,1999,38,38,3409,37.9,40,1.06,160,120,76.3,27,4,7,13,34.2,5,2,1,2,33.3,Matches
