,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,PenaltyKicks_PKatt,PenaltyKicks_PKA,PenaltyKicks_PKsv,PenaltyKicks_PKm,PenaltyKicks_Save%,Matches
14,15,Maxime Dupé,fr FRA,GK,Toulouse,29,1993,38,38,3420,38.0,57,1.5,179,122,70.4,13,9,16,9,23.7,7,4,3,0,42.9,Matches
15,16,Yahia Fofana,ci CIV,GK,Angers,21,2000,11,11,990,11.0,19,1.73,54,35,66.7,3,1,7,1,9.1,2,1,1,0,50.0,Matches
16,17,Gauthier Gallon,fr FRA,GK,Troyes,29,1993,30,30,2667,29.6,65,2.19,177,114,66.1,3,9,18,0,0.0,5,5,0,0,0.0,Matches
17,18,Léo Jardim,br BRA,GK,Lille,27,1995,6,6,540,6.0,13,2.17,17,4,35.3,3,1,2,0,0.0,2,2,0,0,0.0,Matches
18,19,Bingourou Kamara,sn SEN,GK,Montpellier,25,1996,5,4,408,4.5,11,2.43,25,13,60.0,0,1,3,0,0.0,3,1,1,1,50.0,Matches
19,20,Alban Lafont,fr FRA,GK,Nantes,23,1999,37,37,3329,37.0,54,1.46,179,129,74.9,7,14,16,11,29.7,9,9,0,0,0.0,Matches
20,21,Jean-Louis Leca,fr FRA,GK,Lens,36,1985,1,1,90,1.0,1,1.0,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches
21,22,Benjamin Lecomte,fr FRA,GK,Montpellier,31,1991,19,19,1710,19.0,22,1.16,96,72,79.2,10,3,6,8,42.1,4,2,2,0,50.0,Matches
22,23,Donovan Léon,gf GUF,GK,Auxerre,29,1992,2,2,180,2.0,2,1.0,11,9,90.9,1,1,0,0,0.0,1,1,0,0,0.0,Matches
23,24,Benjamin Leroy,fr FRA,GK,Ajaccio,33,1989,32,32,2798,31.1,60,1.93,133,74,60.9,6,4,22,4,12.5,9,8,0,1,0.0,Matches
24,25,Alexandre Letellier,fr FRA,GK,Paris S-G,31,1990,1,0,11,0.1,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,Matches
25,26,Mateusz Lis,pl POL,GK,Troyes,25,1997,9,8,751,8.3,16,1.92,51,34,72.5,1,3,4,1,12.5,3,2,1,0,33.3,Matches
26,27,Anthony Lopes,pt POR,GK,Lyon,31,1990,32,32,2816,31.3,39,1.25,131,94,75.6,16,4,12,7,21.9,7,7,0,0,0.0,Matches
27,28,Pau López,es ESP,GK,Marseille,27,1994,33,32,2925,32.5,34,1.05,123,90,76.4,21,4,7,10,31.3,5,5,0,0,0.0,Matches
28,29,Steve Mandanda,fr FRA,GK,Rennes,37,1985,34,34,3014,33.5,31,0.93,110,79,73.6,19,5,10,12,35.3,3,2,1,0,33.3,Matches
29,30,Vito Mannone,it ITA,GK,Lorient,34,1988,18,17,1608,17.9,24,1.34,84,60,72.6,4,6,7,5,29.4,1,1,0,0,0.0,Matches
30,31,Yvon Mvogo,ch SUI,GK,Lorient,28,1994,21,21,1812,20.1,29,1.44,98,70,71.4,11,4,6,3,14.3,1,1,0,0,0.0,Matches
31,32,Alexander Nübel,de GER,GK,Monaco,25,1996,38,38,3420,38.0,58,1.53,195,140,72.8,19,8,11,9,23.7,5,5,0,0,0.0,Matches
32,33,Jonas Omlin,ch SUI,GK,Montpellier,28,1994,14,14,1166,13.0,26,2.01,73,48,68.5,5,1,8,2,14.3,4,3,1,0,25.0,Matches
33,34,Patrick Pentz,at AUT,GK,Reims,25,1997,7,7,630,7.0,14,2.0,29,16,58.6,1,3,3,0,0.0,2,2,0,0,0.0,Matches
34,35,Ghjuvanni Quilichini,fr FRA,GK,Ajaccio,19,2002,1,0,82,0.9,0,0.0,4,4,100.0,0,0,0,1,,0,0,0,0,,Matches
35,36,Ionuț Radu,ro ROU,GK,Auxerre,25,1997,17,17,1530,17.0,20,1.18,74,53,73.0,4,6,7,5,29.4,2,0,2,0,100.0,Matches
36,37,Rémy Riou,fr FRA,GK,Lyon,34,1987,7,6,601,6.7,8,1.2,24,17,83.3,2,4,0,1,16.7,4,4,0,0,0.0,Matches
37,38,Brice Samba,fr FRA,GK,Lens,28,1994,37,37,3330,37.0,28,0.76,125,98,80.0,24,9,4,15,40.5,3,3,0,0,0.0,Matches
38,39,Kasper Schmeichel,dk DEN,GK,Nice,35,1986,36,36,3240,36.0,35,0.97,141,105,77.3,15,12,9,11,30.6,5,3,1,1,25.0,Matches
39,40,Matz Sels,be BEL,GK,Strasbourg,30,1992,38,38,3420,38.0,59,1.55,174,115,71.8,9,13,16,6,15.8,11,10,0,1,0.0,Matches
40,41,François-Joseph Sollacaro,fr FRA,GK,Ajaccio,28,1994,6,6,540,6.0,14,2.33,24,11,45.8,1,1,4,1,16.7,1,1,0,0,0.0,Matches
